"gene_id","Total counts D1","Total counts D2","Total counts D3","Total counts D4","Total counts D5","Total counts D6"
"Afu2g12630",2151,2378,2623,135,141,99
"Afu7g06540",74,133,140,1978,2205,2074
"Afu6g00690",10185,12314,14240,291,532,410
"Afu3g03060",10069,9309,12000,1069,1289,1028
"Afu3g02430",8093,7812,8789,918,1130,1077
"Afu2g02040",1555,1409,1710,144,130,161
"Afu5g01710",5504,4840,5071,689,797,681
"Afu6g00680",2817,3742,3948,209,332,234
"Afu3g13790",2441,2038,2511,324,354,405
"Afu1g03352",8302,8230,9370,1228,1021,1407
"Afu6g00430",10688,10263,14020,1171,1901,1227
"Afu1g05020",1931,2049,2336,350,549,440
"Afu3g01960",497,517,548,29,35,22
"Afu1g01530",1194,1357,1303,229,271,296
"Afu3g02270",3007,3278,3822,406,664,475
"Afu4g03760",382,427,645,3175,5417,3685
"Afu2g02610",2052,2341,2570,557,538,556
"Afu5g13250",1189,1454,1162,126,172,199
"Afu8g06070",598,717,674,79,88,72
"Afu6g12250",4310,3810,4115,596,989,715
"Afu5g01420",515,521,397,10,8,14
"Afu4g01070",1963,1823,1441,186,141,246
"Afu3g01500",599,785,733,87,84,109
"Afu1g03195",1126,1089,1206,228,353,265
"Afu8g06350",1052,1100,1471,4786,6912,6432
"Afu4g10610",1124,1277,1175,279,283,355
"Afu3g00720",2057,2264,2235,573,626,616
"Afu1g10590",1482,1929,1384,196,108,209
"Afu5g01990",10502,10294,12088,1083,1865,770
"Afu1g03360",840,1246,1126,175,131,155
"Afu4g09200",1308,1304,1485,353,359,395
"Afu7g05230",977,885,958,255,284,195
"Afu4g09510",6615,5072,6489,1754,1750,1697
"Afu1g17590",1318,1344,1039,84,28,110
"Afu2g02630",32920,36598,37378,8085,7437,6624
"Afu1g12240",2532,2151,2737,588,915,762
"Afu5g02650",2943,3503,3606,1002,1066,1083
"Afu1g01300",286,314,308,35,25,23
"Afu1g17030",555,521,353,28,29,49
"Afu2g04240",1602,1433,1231,268,332,310
"Afu3g08870",1671,1364,1090,201,143,226
"Afu5g06240",2553,3148,4101,25524,17725,16097
"Afu1g13220",1343,1382,1476,375,486,420
"Afu1g03200",5259,4441,5080,674,1272,791
"Afu7g04910",2547,2034,1193,66,17,94
"Afu8g06360",1101,1154,1353,4158,6689,6140
"Afu3g14560",816,828,927,228,283,231
"Afu3g06020",1981,1816,2151,6898,5857,7562
"Afu8g00440",219,176,240,820,681,849
"Afu4g03230",202,268,403,14,16,22
"Afu2g02020",348,399,478,56,77,84
"Afu6g11020",1300,1443,1547,380,544,505
"Afu8g01390",1618,1193,1479,353,467,324
"Afu2g10950",686,794,809,215,215,277
"Afu7g06750",1300,1369,934,196,134,240
"Afu8g02150",208,240,282,34,17,25
"Afu4g08170",10501,8110,9179,2465,1917,1941
"Afu7g00800",879,603,393,34,11,47
"Afu4g13570",1062,1066,1084,234,329,200
"Afu5g12470",623,703,732,167,249,214
"Afu5g09810",669,590,699,200,215,182
"Afu3g01150",167,214,211,18,12,16
"Afu2g01590",766,767,770,251,233,246
"Afu3g07155",380,349,269,41,40,47
"Afu2g01250",184,178,214,18,25,21
"Afu2g14460",838,1004,1011,298,316,323
"Afu6g10290",2757,3222,3313,949,1292,1145
"Afu7g00350",3680,3361,3865,1353,1436,1216
"Afu4g01580",1892,1138,1264,244,258,327
"Afu2g12850",4146,4069,4450,877,1543,1043
"Afu6g03590",7961,7048,8063,1075,2190,1827
"Afu4g14070",785,568,661,142,176,147
"Afu1g12410",213,236,211,25,26,33
"Afu2g14620",2514,2614,2827,655,909,747
"Afu6g01830",599,729,655,169,189,207
"Afu5g07360",1210,1197,1523,261,399,433
"Afu2g02030",5080,4742,5194,1164,1683,1544
"Afu6g10660",2936,2620,3479,7224,8621,6426
"Afu3g13730",280,206,266,731,725,672
"Afu2g02150",2599,2961,3777,7364,7442,7940
"Afu2g04230",6510,4500,4300,782,1236,1204
"Afu6g06640",2807,2402,2475,771,790,643
"Afu7g02010",916,724,843,266,218,266
"Afu5g07310",765,658,734,217,301,239
"Afu2g04610",5632,5863,6048,2251,2413,2371
"Afu8g00410",902,1121,1102,338,444,380
"Afu5g00740",3560,3478,4130,828,1134,1403
"Afu3g02670",658,571,609,142,193,199
"Afu2g05230",195,223,219,32,41,39
"Afu4g12870",14589,11800,13022,3681,4409,4461
"Afu1g02040",713,808,850,284,323,258
"Afu7g08600",448,547,616,2465,1580,2166
"Afu6g02000",676,715,987,219,301,229
"Afu4g09320",840,727,753,223,191,272
"Afu5g09970",587,510,686,1903,1792,1423
