"gene_id","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3"
"Afu1g00100",0,2,0,1,0,1,0,0,0,0,0,0
"Afu1g00110",38,19,27,10,6,1,6,7,6,3,3,12
"Afu1g00120",477,320,280,218,474,212,318,272,263,412,339,407
"Afu1g00130",20,15,23,6,14,2,4,1,5,11,5,4
"Afu1g00140",13,9,6,2,2,4,5,2,2,9,4,8
"Afu1g00150",2076,1743,1862,231,97,175,61,140,77,28,27,33
"Afu1g00160",17,11,15,9,4,3,1,1,1,1,1,1
"Afu1g00170",63,48,44,52,127,47,5,5,5,6,5,9
"Afu1g00180",51,47,42,33,25,23,7,18,1,2,6,4
"Afu1g00200",9,12,16,7,8,7,2,4,3,0,0,2
"Afu1g00210",3426,2699,2752,2784,1889,2085,392,679,311,184,199,224
"Afu1g00220",13609,11421,12445,3495,3691,2642,2718,2365,2498,4061,3559,4949
"Afu1g00230",2328,2152,1988,3016,2335,2056,948,1075,899,838,744,1070
"Afu1g00240",46,31,35,34,12,12,54,48,53,39,23,40
"Afu1g00250",48,36,32,16,12,10,43,59,39,36,24,34
"Afu1g00270",229,180,191,140,106,130,44,30,28,27,12,20
"Afu1g00280",63,54,69,11,10,23,4,9,0,7,2,9
"Afu1g00290",54,58,68,39,22,24,2,8,3,6,3,8
"Afu1g00300",11,11,13,2,2,3,7,7,3,4,8,9
"Afu1g00310",41,37,30,27,16,21,6,18,13,5,4,6
"Afu1g00320",0,0,1,1,0,1,0,1,1,0,0,0
"Afu1g00330",1,1,1,0,0,0,0,1,0,0,1,1
"Afu1g00340",13,7,12,11,3,4,6,5,2,2,4,4
"Afu1g00350",43,43,46,22,8,9,0,0,0,2,2,3
"Afu1g00390",185,138,150,39,36,24,20,78,17,8,19,20
"Afu1g00400",0,1,2,0,0,0,1,3,0,0,0,0
"Afu1g00410",9,10,12,12,15,3,6,8,3,3,2,4
"Afu1g00420",29,16,15,4,14,6,13,15,13,16,17,14
"Afu1g00440",819,912,931,1709,3333,1702,140,112,95,134,117,121
"Afu1g00450",131,142,148,602,1350,431,3,14,3,5,5,10
"Afu1g00460",261,241,283,246,309,168,72,61,69,102,86,138
"Afu1g00470",483,464,492,601,585,453,192,342,168,329,270,382
"Afu1g00480",121,111,100,285,560,266,1,5,1,5,6,6
"Afu1g00490",7,7,2,9,4,8,3,6,3,2,4,7
"Afu1g00500",8275,10705,11408,5702,7903,4284,3555,7105,3108,8849,6546,8953
"Afu1g00510",12556,14529,15083,10186,12146,7246,8383,8265,7369,11062,8643,10806
"Afu1g00520",234,220,231,393,414,293,96,150,100,116,82,122
"Afu1g00530",683,737,720,3463,7256,2762,135,423,117,198,150,218
"Afu1g00540",655,556,569,309,389,264,217,221,176,145,105,114
"Afu1g00550",1494,1189,1122,750,747,570,373,625,344,313,334,396
"Afu1g00560",8858,7732,8185,3050,2350,2680,4565,3670,3750,3932,3395,4287
"Afu1g00570",498,369,342,337,328,247,401,358,305,233,275,329
"Afu1g00580",1054,845,944,686,720,472,206,289,162,119,106,173
"Afu1g00590",77,55,79,69,58,89,10,14,15,7,13,12
"Afu1g00610",100,103,108,43,30,24,18,45,18,16,20,21
"Afu1g00620",67,51,36,22,19,19,8,8,3,6,6,9
"Afu1g00630",124,114,80,152,180,113,67,80,39,38,31,31
"Afu1g00640",200,153,160,122,98,77,75,57,69,72,59,72
"Afu1g00650",29,13,11,8,27,3,6,15,8,19,9,10
"Afu1g00660",6,5,6,9,7,9,4,9,8,3,4,4
"Afu1g00670",199,187,148,142,96,89,60,73,39,55,44,51
"Afu1g00680",28,22,18,3,3,6,7,9,5,3,7,8
"Afu1g00690",21,21,15,16,9,8,2,10,2,4,1,2
"Afu1g00700",549,430,426,232,172,165,149,186,143,124,87,137
"Afu1g00710",2,2,2,4,2,4,4,2,2,8,3,5
"Afu1g00720",11,7,6,8,0,2,3,3,1,4,5,2
"Afu1g00730",9,10,11,3,4,6,1,4,0,1,1,1
"Afu1g00740",19,20,27,4,6,11,5,2,2,2,6,10
"Afu1g00750",3367,2883,2902,4077,3426,3027,2273,2272,1957,2318,2120,2782
"Afu1g00760",9470,8286,8838,10736,10133,8511,4542,3789,4017,7745,7958,10010
"Afu1g00770",6,3,3,32,47,27,1,5,3,0,5,2
"Afu1g00780",6,5,3,7,2,6,1,4,1,2,6,2
"Afu1g00790",168,161,157,153,107,99,769,676,655,434,429,532
"Afu1g00800",1,1,5,1,0,1,3,0,0,0,0,1
"Afu1g00810",5,7,2,0,1,0,4,4,0,1,0,0
"Afu1g00820",8,3,6,4,7,5,1,1,1,1,2,2
"Afu1g00830",64,40,40,25,21,22,5,14,4,4,4,9
"Afu1g00840",2086,1832,1886,1240,875,915,699,900,700,640,692,836
"Afu1g00850",194,160,143,73,94,63,51,63,38,38,36,45
"Afu1g00880",1502,1293,1122,1938,1478,1222,1266,1005,1090,746,670,933
"Afu1g00890",234,199,198,677,1320,495,88,96,91,74,63,75
"Afu1g00910",1127,886,852,798,1290,618,752,679,609,484,484,575
"Afu1g00920",2075,1559,1398,936,852,864,1866,1728,1544,1038,1077,1368
"Afu1g00930",12124,8545,7448,11132,9112,7066,7707,10460,6725,4803,4673,6212
"Afu1g00940",133,115,145,172,136,145,91,118,99,124,142,172
"Afu1g00950",88,101,75,77,53,68,55,51,33,81,61,108
"Afu1g00960",555,466,418,261,150,190,200,237,211,226,188,310
"Afu1g00970",5,11,17,3,2,4,17,16,8,28,13,14
"Afu1g00980",47,39,37,1,1,25,19,43,22,50,31,38
"Afu1g00990",119,109,101,37,16,58,230,322,176,327,232,290
"Afu1g01000",35,29,28,24,24,12,28,31,19,13,12,23
"Afu1g01010",41,31,34,16,6,35,14,14,19,17,18,18
"Afu1g01020",378,269,246,187,94,119,435,380,322,271,218,241
"Afu1g01030",1499,1339,1180,650,569,425,1890,1881,1691,2419,1837,2568
"Afu1g01040",611,514,483,314,266,196,452,499,404,528,410,551
"Afu1g01050",401,336,380,102,56,77,212,285,200,215,202,256
"Afu1g01070",47,31,34,41,39,48,8,11,5,1,3,1
"Afu1g01080",36,43,22,43,43,50,6,12,2,2,4,5
"Afu1g01090",62,58,67,105,78,61,11,16,10,10,3,8
"Afu1g01100",136,108,118,39,41,76,34,16,20,16,26,40
"Afu1g01110",1,1,11,1,0,1,0,0,2,0,0,0
"Afu1g01120",48,42,52,5,12,2,3,2,1,2,1,0
"Afu1g01130",45,26,44,36,25,19,7,9,9,5,4,9
"Afu1g01140",200,142,168,269,216,201,68,73,49,57,63,57
"Afu1g01160",259,226,252,331,154,228,27,34,29,7,10,12
"Afu1g01170",0,2,2,0,1,0,0,0,0,0,0,0
"Afu1g01175",9,9,12,6,3,1,1,0,0,1,1,2
"Afu1g01180",16,9,14,14,7,4,7,7,12,4,2,3
"Afu1g01190",21,13,14,15,15,6,11,9,6,4,5,5
"Afu1g01200",3,3,1,2,1,3,0,2,0,2,0,0
"Afu1g01210",11,10,16,0,0,1,0,0,0,0,1,2
"Afu1g01220",23,17,9,3,0,1,13,6,7,5,6,6
"Afu1g01230",95,73,70,44,30,40,70,52,69,45,30,45
"Afu1g01240",625,530,553,743,517,460,219,204,206,82,98,129
"Afu1g01250",328,274,271,176,160,113,47,52,56,23,23,36
"Afu1g01260",165,122,137,52,46,41,0,3,1,1,3,1
"Afu1g01265",10,6,7,3,2,2,1,4,1,1,3,1
"Afu1g01270",30,26,16,14,6,15,11,18,5,21,9,19
"Afu1g01280",21,14,15,2,1,0,0,1,0,1,0,2
"Afu1g01290",8,3,7,0,1,0,0,3,1,1,0,0
"Afu1g01300",450,364,352,79,79,56,48,24,33,36,24,38
"Afu1g01310",47,31,27,15,20,3,1,0,2,4,1,3
"Afu1g01320",37,28,21,4,10,4,0,2,1,1,2,0
"Afu1g01330",380,393,345,554,421,478,146,145,117,131,114,163
"Afu1g01340",325,291,348,626,344,371,134,149,131,106,89,144
"Afu1g01350",2005,2516,2447,728,618,609,281,1352,278,248,305,421
"Afu1g01360",1428,1483,1387,817,826,628,511,833,447,264,207,392
"Afu1g01370",634,712,615,250,172,199,372,374,303,189,187,262
"Afu1g01380",1296,1017,1051,2448,1841,1441,661,745,616,497,525,754
"Afu1g01390",831,638,631,574,259,321,533,401,483,289,239,310
"Afu1g01400",220,202,175,123,64,61,154,117,150,99,64,104
"Afu1g01410",1058,722,747,422,291,280,629,549,578,436,367,474
"Afu1g01420",9,7,9,10,4,1,6,5,7,8,6,8
"Afu1g01430",311,256,243,152,87,164,471,615,436,1538,1136,1522
"Afu1g01440",24,22,16,16,7,11,35,29,25,33,33,41
"Afu1g01450",352,298,318,554,372,521,122,166,116,161,123,196
"Afu1g01460",87,65,86,122,91,70,24,26,18,21,11,14
"Afu1g01480",5,2,6,6,6,5,3,4,2,6,17,6
"Afu1g01490",72,77,90,168,105,111,65,55,62,74,50,98
"Afu1g01500",2,3,0,4,4,7,0,6,4,2,3,5
"Afu1g01520",9,6,13,9,5,7,0,3,1,1,0,1
"Afu1g01530",41,48,25,139,84,74,60,104,55,45,34,51
"Afu1g01540",111,102,102,437,266,272,94,112,99,96,58,82
"Afu1g01550",383,416,334,158,76,123,59,90,50,59,53,82
"Afu1g01560",971,972,934,1066,675,735,197,544,188,267,224,352
"Afu1g01570",484,376,349,80,65,210,85,91,78,49,58,70
"Afu1g01580",107,79,100,102,115,75,34,31,33,23,42,34
"Afu1g01590",1357,1133,1088,1698,1211,886,481,585,418,336,292,467
"Afu1g01600",2277,1874,1826,722,619,338,2988,4150,2659,2774,2406,3317
"Afu1g01610",746,648,701,315,219,228,878,995,835,584,448,631
"Afu1g01620",105,126,113,286,172,165,1154,832,1055,889,645,916
"Afu1g01630",205,172,163,317,178,171,1028,833,911,829,546,816
"Afu1g01640",2373,1997,1896,5264,3088,3608,1008,1949,853,1189,1161,1459
"Afu1g01650",98,75,63,66,43,51,113,90,107,149,106,134
"Afu1g01660",61,39,45,142,130,75,171,120,112,153,83,190
"Afu1g01670",34,45,31,172,114,91,74,72,83,57,49,69
"Afu1g01680",1358,1163,1197,4291,2971,2445,907,1074,798,1122,899,1199
"Afu1g01690",1126,820,915,3227,4939,1830,941,1330,822,762,519,757
"Afu1g01700",1146,825,860,746,558,535,355,555,343,343,251,385
"Afu1g01710",15,10,7,21,15,15,6,11,3,4,3,4
"Afu1g01720",5071,3806,3788,5284,3758,3131,2766,2794,2514,2082,1816,2509
"Afu1g01730",303,182,223,99,54,87,401,414,364,232,205,271
"Afu1g01740",3073,2451,2512,3514,3083,2538,1861,2459,1577,2810,2483,3413
"Afu1g01750",706,562,561,656,473,408,553,581,476,486,463,610
"Afu1g01760",3510,2989,3083,3836,2868,2600,3123,3061,2803,2347,2151,3021
"Afu1g01770",903,637,642,394,304,273,493,437,498,240,194,287
"Afu1g01780",673,535,572,357,236,217,644,574,625,290,243,390
"Afu1g01790",523,445,447,464,426,341,922,958,827,804,769,1048
"Afu1g01812",2250,1855,1694,697,559,523,556,2429,415,305,298,424
"Afu1g01820",14,8,7,8,2,1,1,20,1,4,1,1
"Afu1g01830",183,156,131,344,297,212,143,189,126,211,205,259
"Afu1g01850",1350,1177,1195,1708,1319,1331,228,508,221,153,164,178
"Afu1g01860",643,542,653,517,411,398,162,201,117,75,82,100
"Afu1g01870",1798,1366,1431,1565,1399,994,1043,1180,926,1010,1032,1317
"Afu1g01890",1481,1228,1118,667,523,416,82,229,67,48,28,60
"Afu1g01900",623,504,501,585,360,394,135,260,103,122,129,140
"Afu1g01910",1466,1193,1225,976,831,645,669,441,616,350,301,469
"Afu1g01920",1895,1473,1488,165,90,128,370,445,328,278,237,299
"Afu1g01930",323,280,295,251,157,156,68,100,86,47,54,61
"Afu1g01940",1618,1465,1400,1632,1019,1140,279,326,217,218,212,301
"Afu1g01950",1654,1411,1502,2915,4354,1982,492,479,422,351,347,415
"Afu1g01960",5220,4654,4871,2272,2532,1679,2981,2241,2482,1235,1252,1574
"Afu1g01970",2337,1988,2017,3516,3431,2492,1754,1440,1587,1169,1008,1442
"Afu1g01980",47,36,29,21,24,27,30,31,26,12,12,16
"Afu1g01990",502,452,381,962,1225,760,134,191,124,194,226,288
"Afu1g02000",577,466,503,353,232,322,68,115,43,46,48,49
"Afu1g02010",2024,1746,1747,2770,2348,1895,1873,2030,1754,1695,1464,2024
"Afu1g02020",1602,1436,1362,1308,973,957,815,962,711,668,722,913
"Afu1g02030",4086,3115,3046,5407,5246,3729,4057,4703,3762,6646,5452,7943
"Afu1g02040",948,887,922,537,525,337,193,461,174,154,146,218
"Afu1g02050",1949,1711,1693,1976,1445,1335,1072,941,974,589,648,855
"Afu1g02060",114,97,112,33,28,24,87,88,89,57,56,85
"Afu1g02070",2340,1681,1694,2329,2241,1476,12151,10446,11176,12260,11312,16568
"Afu1g02080",831,636,632,411,379,285,900,783,860,829,766,1073
"Afu1g02090",988,941,879,952,1154,688,458,643,370,382,422,623
"Afu1g02100",486,445,467,483,540,360,106,135,101,81,74,104
"Afu1g02110",2002,1480,1448,3677,4265,2989,2080,2233,1825,2527,2033,2947
"Afu1g02120",976,710,758,545,611,400,2164,1342,1953,1229,773,1274
"Afu1g02130",1625,1640,1809,3021,3236,2073,2389,2292,2104,1119,1135,1498
"Afu1g02140",5571,6503,7011,3979,2937,3225,2427,3797,2175,1484,1324,1951
"Afu1g02150",3587,2818,2521,2192,2021,1343,2343,2596,2075,2357,1999,2948
"Afu1g02160",681,602,563,1022,1042,760,268,297,228,228,223,305
"Afu1g02170",4350,3884,3593,3048,2671,2269,1135,1238,1005,755,743,953
"Afu1g02180",1540,1296,1328,2266,1528,1558,570,516,517,287,283,376
"Afu1g02190",9541,7446,7708,9184,7477,6542,3903,4507,3434,4010,3369,4703
"Afu1g02200",2822,2058,2269,2507,2457,1612,792,718,659,359,375,522
"Afu1g02210",763,570,583,1622,2249,1376,334,443,269,642,631,768
"Afu1g02220",183,157,141,246,160,167,99,91,71,83,71,88
"Afu1g02230",109,109,116,49,40,62,35,15,13,23,22,20
"Afu1g02240",6,6,2,1,0,3,0,1,0,2,1,1
"Afu1g02250",1,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02255",42,34,40,17,6,5,0,3,2,2,1,0
"Afu1g02260",8,24,18,17,14,10,12,8,11,7,4,2
"Afu1g02270",4113,3525,3788,7499,4693,5032,4076,2891,3447,1649,1641,2202
"Afu1g02280",1504,1293,1398,2079,1668,1602,585,602,514,359,344,480
"Afu1g02290",16304,12145,9165,11711,5805,8933,50044,43085,42741,40190,44457,54057
"Afu1g02300",4,11,5,2,6,2,8,7,7,8,9,13
"Afu1g02310",66,46,41,4,3,3,6,54,6,3,4,3
"Afu1g02320",224,163,172,45,24,21,205,319,165,97,95,153
"Afu1g02330",1689,1482,1411,1039,791,758,2188,1961,1990,1727,1615,2198
"Afu1g02340",1360,1178,1004,664,581,405,3927,3689,3533,1787,1561,2511
"Afu1g02350",93,91,66,45,37,39,299,267,274,376,313,439
"Afu1g02360",482,415,419,578,316,443,318,385,287,268,225,315
"Afu1g02370",199,155,174,174,116,125,94,128,69,92,81,118
"Afu1g02380",114,110,111,150,94,87,35,53,29,34,39,44
"Afu1g02390",441,340,341,733,600,567,239,358,214,364,323,441
"Afu1g02400",1884,1529,1589,1950,1439,1498,820,564,600,413,396,497
"Afu1g02410",2316,1821,1773,4182,3954,3130,1517,1809,1299,1969,1925,2335
"Afu1g02420",1301,1130,1133,1641,1268,1251,474,665,443,430,390,535
