"Gene","CEA17_0h_1","CEA17_0h_2","CEA17_0h_3","CEA17_24h_1","CEA17_24h_2","CEA17_24h_3","CEA17_48h_1","CEA17_48h_2","CEA17_48h_3","dclA_dclB_0h_1","dclA_dclB_0h_2","dclA_dclB_0h_3","dclA_dclB_24h_1","dclA_dclB_24h_2","dclA_dclB_24h_3","dclA_dclB_48h_1","dclA_dclB_48h_2","dclA_dclB_48h_3","ppdA_ppdB_0h_1","ppdA_ppdB_0h_2","ppdA_ppdB_0h_3","ppdA_ppdB_24h_1","ppdA_ppdB_24h_2","ppdA_ppdB_24h_3","ppdA_ppdB_48h_1","ppdA_ppdB_48h_2","ppdA_ppdB_48h_3","rrpA_rrpB_0h_1","rrpA_rrpB_0h_2","rrpA_rrpB_0h_3","rrpA_rrpB_24h_1","rrpA_rrpB_24h_2","rrpA_rrpB_24h_3","rrpA_rrpB_48h_1","rrpA_rrpB_48h_2","rrpA_rrpB_48h_3"
"AFUA_1G00100",3,0,0,6,7,4,5,3,2,0,0,0,1,5,8,5,4,1,0,2,0,2,2,2,3,0,6,0,0,0,6,3,2,9,2,1
"AFUA_1G00110",2,3,0,9,10,3,12,10,4,0,0,0,22,7,9,5,5,4,0,0,0,13,14,4,4,4,6,0,0,0,6,28,1,12,4,8
"AFUA_1G00120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00150",9,21,13,1307,1571,1335,2544,1576,1299,23,15,9,1633,1428,1462,1739,1239,975,14,3,6,2121,1427,1687,1719,1053,1025,10,12,8,1104,1266,1216,1496,1134,445
"AFUA_1G00160",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"AFUA_1G00170",0,0,0,0,4,0,1,3,0,0,0,0,4,0,0,3,0,0,0,0,1,2,0,0,0,9,0,0,0,0,0,0,0,5,2,0
"AFUA_1G00180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00200",0,0,0,5,0,0,12,6,2,0,0,0,4,3,1,8,7,6,2,0,0,0,3,0,7,4,8,3,2,1,10,3,2,4,15,9
"AFUA_1G00210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00230",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AFUA_1G00250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00350",10,5,8,1,0,1,5,3,1,1,2,6,0,2,0,4,1,0,2,1,3,5,0,0,3,5,0,1,7,2,1,1,1,1,1,0
"AFUA_1G00400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00420",13,14,22,64,69,36,4,14,47,17,7,4,63,60,20,11,46,27,19,9,15,60,48,41,46,4,57,8,11,13,55,85,36,33,29,28
"AFUA_1G00440",658,472,425,8,17,14,180,116,80,528,463,380,43,43,17,117,98,59,648,304,551,44,22,20,197,158,46,348,378,294,26,17,15,138,83,15
"AFUA_1G00450",713,707,999,70,82,17,718,674,689,466,543,661,51,49,25,843,657,540,2209,1227,2085,58,30,20,1088,644,333,1151,1033,819,39,54,14,445,388,150
"AFUA_1G00470",39,35,64,51,36,58,89,80,102,43,40,25,48,49,63,83,96,92,49,42,60,67,46,70,113,100,61,39,48,51,40,64,55,92,78,30
"AFUA_1G00480",2801,2243,3023,111,112,26,506,473,775,2195,1695,1527,59,66,50,730,636,640,3763,1713,3019,81,65,46,1136,669,367,2406,2726,2697,98,60,45,352,430,162
"AFUA_1G00490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00500",189,149,261,1810,2676,833,342,608,5024,138,119,154,2081,2004,1543,608,4192,8852,1544,1671,1740,2033,2629,1438,1510,722,9542,850,574,390,4646,3636,1418,517,10852,7753
"AFUA_1G00510",7587,6420,7314,1669,2443,998,368,617,2114,4649,4551,3744,892,986,1346,321,1799,2604,4501,3803,3099,1020,1053,1208,955,407,4513,5007,6827,7275,2384,1012,1491,551,3779,2167
"AFUA_1G00520",237,274,299,118,123,37,27,41,125,165,182,178,49,54,69,31,136,139,139,265,106,34,15,59,80,38,162,151,198,240,61,69,47,50,269,74
"AFUA_1G00530",2721,2390,2754,844,1148,556,1346,1263,2943,2443,2288,2228,743,870,505,1370,2337,2746,1517,1194,1416,823,618,614,2637,2206,3436,2138,2405,2056,578,648,514,1165,2956,2174
"AFUA_1G00550",6,2,13,201,263,169,450,281,225,4,0,13,154,153,189,252,193,180,13,7,4,160,157,233,260,288,190,4,14,5,138,163,169,317,324,116
"AFUA_1G00560",20,7,9,451,506,623,2210,1749,1726,16,8,4,1142,889,593,1972,1624,1277,12,7,8,762,490,521,1350,917,1080,10,12,11,938,796,529,1295,1597,899
"AFUA_1G00580",21,8,30,26,28,44,70,44,106,7,8,17,32,29,40,76,94,96,32,12,30,50,26,40,175,111,50,19,13,11,48,38,32,30,106,44
"AFUA_1G00610",403,331,401,113,166,57,118,71,101,245,234,184,86,105,67,78,86,46,143,148,131,87,67,91,128,83,102,231,262,320,88,103,46,78,114,19
"AFUA_1G00630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFUA_1G00640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
