Replicate,Tissue,Genotype,Time
1,conidia,WT,0h
2,conidia,WT,0h
3,conidia,WT,0h
1,mycelium,WT,24h
2,mycelium,WT,24h
3,mycelium,WT,24h
1,mycelium,WT,48h
2,mycelium,WT,48h
3,mycelium,WT,48h
1,conidia,dclA_dclB,0h
2,conidia,dclA_dclB,0h
3,conidia,dclA_dclB,0h
1,mycelium,dclA_dclB,24h
2,mycelium,dclA_dclB,24h
3,mycelium,dclA_dclB,24h
1,mycelium,dclA_dclB,48h
2,mycelium,dclA_dclB,48h
3,mycelium,dclA_dclB,48h
1,conidia,ppdA_ppdB,0h
2,conidia,ppdA_ppdB,0h
3,conidia,ppdA_ppdB,0h
1,mycelium,ppdA_ppdB,24h
2,mycelium,ppdA_ppdB,24h
3,mycelium,ppdA_ppdB,24h
1,mycelium,ppdA_ppdB,48h
2,mycelium,ppdA_ppdB,48h
3,mycelium,ppdA_ppdB,48h
1,conidia,rrpA_rrpB,0h
2,conidia,rrpA_rrpB,0h
3,conidia,rrpA_rrpB,0h
1,mycelium,rrpA_rrpB,24h
2,mycelium,rrpA_rrpB,24h
3,mycelium,rrpA_rrpB,24h
1,mycelium,rrpA_rrpB,48h
2,mycelium,rrpA_rrpB,48h
3,mycelium,rrpA_rrpB,48h
