Replicate,Genotype,Treatment,Time
1,WT,control,0h
2,WT,control,0h
3,WT,control,0h
4,WT,control,0h
1,WT,fludioxonil,1h
2,WT,fludioxonil,1h
3,WT,fludioxonil,1h
4,WT,fludioxonil,1h
1,WT,fludioxonil,3h
2,WT,fludioxonil,3h
3,WT,fludioxonil,3h
4,WT,fludioxonil,3h
1,DtcsC,control,0h
2,DtcsC,control,0h
3,DtcsC,control,0h
4,DtcsC,control,0h
1,DtcsC,fludioxonil,1h
2,DtcsC,fludioxonil,1h
3,DtcsC,fludioxonil,1h
4,DtcsC,fludioxonil,1h
1,DtcsC,fludioxonil,3h
2,DtcsC,fludioxonil,3h
3,DtcsC,fludioxonil,3h
4,DtcsC,fludioxonil,3h
1,Dskn7,control,0h
2,Dskn7,control,0h
3,Dskn7,control,0h
4,Dskn7,control,0h
1,Dskn7,fludioxonil,1h
2,Dskn7,fludioxonil,1h
3,Dskn7,fludioxonil,1h
4,Dskn7,fludioxonil,1h
1,Dskn7,fludioxonil,3h
2,Dskn7,fludioxonil,3h
3,Dskn7,fludioxonil,3h
4,Dskn7,fludioxonil,3h
