Feature ID,Bt - DP - Bt_WT_2_6_4_S33_R1_001 (paired) (GE) - Total gene reads,Bt - DP - Bt_WT_2_6_6_S37_R1_001 (paired) (GE) - Total gene reads,Bt + DP - Bt_WT_2_DP_6_4_S34_R1_001 (paired) (GE) - Total gene reads,Bt + DP - Bt_WT_DP_6_12_S42_R1_001 (paired) (GE) - Total gene reads,Bt - Wild Type  - Bt_WT_6_12_S41_R1_001 (paired) (GE) - Total gene reads,Bt - Wild Type  - Bt_WT_6_15_S45_R1_001 (paired) (GE) - Total gene reads,Bt - Ox Mutant  - Bt_Mut_2_6_4_S35_R1_001 (paired) (GE) - Total gene reads,Bt - Ox Mutant  - Bt_Mut_2_6_6_S39_R1_001 (paired) (GE) - Total gene reads,Bt - Ox Mutant  - Bt_Mut_6_12_S43_R1_001 (paired) (GE) - Total gene reads,Bt - Ox Mutant  - Bt_Mut_6_15_S47_R1_001 (paired) (GE) - Total gene reads,Bt - Wild type + DP - Bt_WT_DP_6_15_S46_R1_001 (paired) (GE) - Total gene reads,Bt - Wild type + DP - Bt_WT_2_DP_6_6_S38_R1_001 (paired) (GE) - Total gene reads,Bt - Ox mut + DP - Bt_Mut_2_DP_6_4_S36_R1_001 (paired) (GE) - Total gene reads,Bt - Ox mut + DP - Bt_Mut_2_DP_6_6_S40_R1_001 (paired) (GE) - Total gene reads,Bt - Ox mut + DP - Bt_Mut_DP_6_12_S44_R1_001 (paired) (GE) - Total gene reads,Bt - Ox mut + DP - Bt_Mut_DP_6_15_S48_R1_001 (paired) (GE) - Total gene reads
accC_1,560,503,84,81,194,375,507,385,185,286,56,63,30,42,55,66
accC_2,783,825,1190,699,562,964,848,654,531,891,878,672,790,658,549,783
aepX,0,1,0,2,0,1,1,2,3,0,1,1,1,0,0,0
aepY,2,2,3,1,2,1,0,1,3,0,1,1,0,2,0,0
ahpC,5,17,47,45,30,9,2,2,8,3,17,18,7,4,9,1
ahpF,3,2,49,18,6,0,7,2,0,1,1,10,2,4,2,1
alaS,1383,1759,1618,1782,2746,2077,1290,1461,2169,1642,1400,2175,883,1570,1251,1147
ald,17,11,38,14,33,22,24,17,30,15,31,15,13,13,20,25
ansB,1040,1023,497,666,787,318,693,700,557,249,268,395,428,370,389,274
araA,61,85,51,128,185,80,44,132,173,42,25,65,27,60,66,19
araJ,106,99,86,112,130,177,80,93,96,112,115,106,78,95,80,91
argB,65,55,49,82,79,59,54,87,72,45,42,32,38,28,54,41
argH,469,500,278,340,644,566,403,665,691,360,209,296,250,250,298,142
aroA,107,106,117,164,171,164,95,153,148,170,145,117,87,103,105,151
aroB,96,92,113,129,149,127,89,121,129,76,81,103,76,72,103,80
aroC,1670,2437,1413,2144,2362,2495,1651,2244,2426,1963,1721,2286,956,2327,1563,1511
aroQ,15,17,24,15,18,17,22,20,19,17,10,17,9,7,11,10
arsA_1,58,35,38,20,27,30,43,77,59,22,16,72,29,45,26,15
arsA_2,65,72,51,58,68,57,41,97,69,43,40,56,37,53,46,46
arsB_1,1,1,4,3,6,2,5,11,5,4,1,6,2,1,5,3
arsB_2,3,1,0,1,2,1,2,3,1,1,0,0,0,0,0,0
arsD_1,9,4,8,9,13,6,8,23,16,5,4,16,6,15,10,4
arsD_2,13,17,7,4,11,13,7,19,18,8,7,11,13,13,4,12
asnB,1,0,1,0,1,2,0,1,4,1,0,0,0,2,1,0
asnS,5631,5630,4434,4539,6654,6793,6095,8808,8042,4703,3716,4712,3289,4689,3907,3204
aspD,229,519,225,414,350,124,252,224,270,118,127,282,210,349,348,135
aspS,1533,1960,1769,1532,1583,2142,1506,2803,2046,1252,1244,2291,1265,1901,1281,923
aspT,89,89,80,121,82,31,92,56,64,31,39,71,87,58,72,31
atpB,214,371,227,174,170,97,198,135,124,65,154,189,136,158,159,140
atpC,63,76,67,64,66,21,86,32,24,16,39,32,53,18,47,24
atpE,30,52,27,20,26,7,23,18,14,5,14,16,19,14,10,12
atpF,78,125,65,69,68,26,56,46,37,17,43,47,41,35,47,30
bamD,158,99,219,222,213,139,168,165,222,148,110,135,141,132,181,120
bcp,427,736,572,616,513,577,355,737,616,434,446,973,440,737,514,495
bexA,185,64,151,124,167,158,258,102,151,115,78,90,94,90,104,91
bglX_1,18347,9455,10654,10134,19707,16340,64,76,70,67,10304,7764,30,60,53,52
bglX_2,119,172,68,102,177,37,115,83,102,22,20,108,62,101,70,34
bioC,75,57,81,37,74,66,49,57,51,45,39,38,40,26,27,29
bioD,29,42,27,26,29,30,19,20,26,11,15,23,17,22,13,15
bla,658,902,1021,1212,994,1241,672,1236,1174,988,1022,1434,631,1265,1007,1034
BT_RS00005,1,4,1,3,2,0,1,1,1,2,2,0,3,2,2,0
BT_RS00010,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BT_RS00015,2,2,1,3,1,2,0,0,0,1,0,1,0,0,0,2
BT_RS00020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BT_RS00030,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BT_RS00035,28,16,24,31,25,29,18,36,27,14,31,13,27,20,36,12
BT_RS00045,1,0,1,0,1,1,1,1,1,1,2,3,1,0,1,2
BT_RS00050,0,0,0,2,0,1,1,0,1,1,0,0,3,0,0,0
BT_RS00055,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
BT_RS00060,1,0,1,1,0,1,0,0,1,0,3,0,0,0,0,0
BT_RS00065,8,3,1,0,4,3,4,3,5,3,4,2,0,5,0,1
BT_RS00070,2,0,5,0,3,3,1,1,1,1,1,1,2,0,1,4
BT_RS00075,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0
BT_RS00080,0,0,1,0,2,1,0,0,0,0,0,0,1,0,2,0
BT_RS00085,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
BT_RS00090,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BT_RS00095,2,1,1,1,0,0,2,0,0,6,1,1,1,0,0,0
BT_RS00100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT_RS00105,1,0,0,0,1,1,1,0,0,0,0,0,2,0,1,1
BT_RS00110,1,2,5,1,1,3,5,2,1,1,1,2,2,0,2,7
BT_RS00115,0,0,3,2,0,0,2,0,0,0,1,1,1,0,0,2
BT_RS00120,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0
BT_RS00125,46,66,57,65,64,72,25,39,38,44,50,75,12,19,27,35
BT_RS00130,36,25,25,35,41,40,14,19,16,11,9,22,11,3,8,9
BT_RS00135,62,71,31,40,73,64,23,32,24,33,32,36,16,18,14,18
BT_RS00140,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0
BT_RS00145,3,1,1,2,0,2,0,1,0,0,3,0,2,2,1,0
BT_RS00150,16,1,17,16,18,11,14,1,14,10,12,3,9,2,9,7
BT_RS00155,111,68,78,95,140,193,106,166,289,164,85,72,56,79,147,92
BT_RS00160,85,90,59,77,118,199,107,183,194,218,126,65,52,76,109,111
BT_RS00165,2,3,1,3,5,2,4,4,5,1,3,0,1,0,1,2
BT_RS00170,17,12,4,11,26,38,14,31,30,21,10,10,7,8,12,10
BT_RS00175,31,14,15,19,43,24,14,25,42,25,20,6,9,17,22,22
BT_RS00180,28,18,17,22,39,56,40,37,85,43,21,24,15,23,29,42
BT_RS00185,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0
BT_RS00190,7,5,2,1,6,4,5,5,6,6,2,2,1,0,7,3
BT_RS00195,12,6,7,6,7,4,12,10,21,7,1,3,10,5,5,3
BT_RS00200,75,39,28,43,86,82,69,86,136,81,44,28,35,32,58,43
BT_RS00205,35,20,15,35,44,63,38,70,64,49,19,22,16,21,31,23
BT_RS00210,7,4,3,6,7,4,7,6,5,6,5,0,1,3,0,5
