"gene_id","Raw Counts WT Replicate 1","Raw Counts WT Replicate 2","Raw Counts WT Replicate 3","Raw Counts II1046 Replicate 1","Raw Counts II1046 Replicate 2","Raw Counts II1046 Replicate 3"
"BP1026B_I0001",3151,3346,4128,3116,3072,3408
"BP1026B_I0002",3343,2605,3239,2904,2884,3224
"BP1026B_I0003",24369,11927,13425,16143,16195,18233
"BP1026B_I0004",15082,7930,8121,9294,9022,9492
"BP1026B_I0005",70275,84170,100838,114465,116754,131129
"BP1026B_I0006",1151,849,948,905,923,967
"BP1026B_I0007",1066,855,1017,1142,1161,1294
"predicted RNA",178,118,129,114,128,152
"BP1026B_I0008",2671,2269,2734,2536,2561,2805
"BP1026B_I0009",2529,1560,1882,2255,2301,2601
"BP1026B_I0010",1776,945,1047,1386,1313,1416
"BP1026B_I0011",1228,634,703,894,821,921
"BP1026B_I0012",1431,1304,1469,1465,1517,1603
"BP1026B_I0013",1287,795,872,1126,1131,1212
"BP1026B_I0014",803,360,457,570,555,570
"BP1026B_I0015",1720,661,712,993,923,1090
"BP1026B_I0016",736,422,463,497,516,533
"BP1026B_I0018",1131,644,725,668,606,762
"BP1026B_I0017",911,570,632,605,582,569
"BP1026B_I0019",1281,725,804,938,942,1047
"BP1026B_I0020",813,417,461,435,451,445
"BP1026B_I0021",613,519,554,638,705,760
"BP1026B_I0022",1004,807,1053,771,750,837
"BP1026B_I0023",62,67,53,43,42,50
"BP1026B_I0024",631,402,488,472,484,523
"BP1026B_I0025",1000,660,679,870,847,929
"BP1026B_I0027",99,56,56,80,86,86
"BP1026B_I0026",379,222,214,260,275,281
"BP1026B_I0028",175,159,194,230,215,250
"BP1026B_I0029",1354,950,1067,1156,1217,1268
"BP1026B_I0030",2991,1423,1638,1718,1690,1943
"BP1026B_I0031",627,368,365,510,491,493
"BP1026B_I0032",777,431,525,717,701,751
"BP1026B_I0033",117,105,107,110,129,162
"BP1026B_I0034",456,234,276,362,350,370
"BP1026B_I0035",1235,518,624,521,511,615
"BP1026B_I0036",93,60,59,46,50,53
"BP1026B_I0037",66,35,45,46,35,44
"BP1026B_I0038",202,108,119,123,136,164
"BP1026B_I0039",46,31,29,39,40,37
"BP1026B_I0040",90,31,47,34,35,40
"BP1026B_I0041",169,102,115,133,104,145
"BP1026B_I0042",37,28,33,29,35,30
"BP1026B_I0043",7,8,6,12,9,14
"BP1026B_I0044",348,197,244,368,388,417
"BP1026B_I0045",516,362,429,836,791,955
"BP1026B_I0046",32,12,11,36,25,42
"BP1026B_I0047",40,39,37,53,48,45
"BP1026B_I0048",21,11,10,10,12,18
"BP1026B_I0049",37,12,16,27,18,23
"BP1026B_I0050",9,10,11,10,10,13
"BP1026B_I0051",42,24,18,36,21,25
"BP1026B_I0052",69,55,46,57,37,47
"BP1026B_I0053",132,91,89,73,62,76
"BP1026B_I0054",36,35,28,33,26,32
"BP1026B_I0055",142,103,118,76,90,89
"BP1026B_I0056",141,93,108,81,79,93
"BP1026B_I0057",188,110,130,107,118,132
"BP1026B_I0059",64,37,34,41,45,37
"BP1026B_I0058",349,190,230,228,259,254
"BP1026B_I0060",244,149,168,208,195,217
"BP1026B_I0061",180,163,175,233,245,267
"BP1026B_I0062",566,297,309,311,296,296
"BP1026B_I0063",111,87,117,56,50,65
"BP1026B_I0064",63,52,58,31,25,23
"BP1026B_I0065",194,108,129,102,85,78
"BP1026B_I0066",452,269,269,227,217,219
"BP1026B_I0067",853,442,471,348,317,383
"BP1026B_I0068",28,18,17,22,32,37
"BP1026B_I0069",697,394,499,400,393,451
"BP1026B_I0070",316,218,233,180,180,205
"BP1026B_I0071",249,117,89,105,109,103
"BP1026B_I0072",47,29,36,28,41,39
"BP1026B_I0073",41,28,31,30,26,24
"BP1026B_I0074",7,4,3,3,4,2
"BP1026B_I0075",4210,3467,4213,3854,3812,4331
"BP1026B_I0076",11503,9691,10903,11261,11350,12379
"predicted RNA",149,90,80,84,89,107
"BP1026B_I0077",3670,2452,2952,3243,3312,4041
"BP1026B_I0078",3744,2557,2946,3376,3450,3919
"BP1026B_I0079",1609,1586,1791,1962,2007,2052
"BP1026B_I0080",512,478,573,498,497,595
"BP1026B_I0081",5801,4564,5492,5473,5426,6142
"predicted RNA",297,213,265,238,228,261
"BP1026B_I0082",15152,11313,13353,9899,10100,11238
"BP1026B_I0083",11,9,6,5,9,10
"BP1026B_I0084",511,362,411,339,355,400
"BP1026B_I0085",375,284,322,471,477,539
"BP1026B_I0086",227,179,186,274,231,248
"BP1026B_I0087",39,35,42,33,35,37
"BP1026B_I0089",442,314,362,490,497,554
"BP1026B_I0088",558,370,435,581,583,655
"BP1026B_I0090",1514,1063,1307,1276,1309,1508
"BP1026B_I0091",549,385,439,251,253,307
"BP1026B_I0092",593,324,360,376,408,430
"BP1026B_I0093",696,710,808,553,607,641
"BP1026B_I0094",544,393,438,353,331,415
"BP1026B_I0095",637,284,322,300,280,277
"BP1026B_I0096",4849,2643,2994,3252,3227,3414
"BP1026B_I0097",12721,8371,9537,14157,13903,14992
"predicted RNA",35,28,31,56,59,61
"BP1026B_I0098",1123,727,823,520,565,623
"predicted RNA",908,418,456,261,255,321
"predicted RNA",1734,1136,1311,810,824,902
"BP1026B_I0099",5751,3032,3298,1724,1623,1765
"BP1026B_I0100",677,455,510,426,470,469
"BP1026B_I0101",511,283,355,423,430,497
"BP1026B_I0102",343,231,246,271,254,287
"BP1026B_I0103",413,295,342,396,397,451
"predicted RNA",56,30,34,44,43,51
"BP1026B_I0106",165,150,180,131,135,111
"BP1026B_I0107",372,297,371,215,234,256
"BP1026B_I0108",2569,2590,2953,5211,5220,6129
"BP1026B_I0109",17,12,13,12,14,9
"BP1026B_I0110",157,168,179,120,139,167
"BP1026B_I0111",979,636,763,578,484,586
"BP1026B_I0112",1207,872,1047,916,916,1091
"BP1026B_I0113",13341,8713,10129,6796,6790,7607
"BP1026B_I0114",3344,2641,3018,2528,2582,2909
"BP1026B_I0115",117,97,109,84,89,95
"BP1026B_I0116",320,188,209,198,176,209
"BP1026B_I0117",5133,3617,4253,4467,4640,4991
"BP1026B_I0118",3056,1708,1717,2104,2078,2184
"BP1026B_I0119",1421,1176,1336,1691,1625,1840
"BP1026B_I0120",11573,8882,10490,11772,11433,12903
"predicted RNA",750,454,421,370,354,390
"BP1026B_I0121",2870,1391,1609,1662,1639,1785
"BP1026B_I0122",2072,1347,1528,1768,1865,1878
"BP1026B_I0123",5736,3104,3566,3699,3764,4288
"BP1026B_I0124",2135,1113,1358,1256,1238,1395
"BP1026B_I0125",58,54,64,45,52,59
"BP1026B_I0126",992,884,1103,963,942,1115
"BP1026B_I0127",472,324,343,246,270,266
"BP1026B_I0128",20,22,18,22,18,15
"BP1026B_I0129",41,30,37,26,25,18
"BP1026B_I0130",30,24,28,16,13,15
"BP1026B_I0131",47,55,52,36,40,42
"BP1026B_I0132",41,36,36,20,24,30
"BP1026B_I0133",38,34,44,28,23,26
"BP1026B_I0134",61,72,74,35,35,36
"BP1026B_I0135",205,226,202,132,142,148
"BP1026B_I0136",39,44,56,55,55,58
"BP1026B_I0137",66,95,101,92,96,107
"BP1026B_I0138",137,107,116,109,109,119
"BP1026B_I0139",1127,947,1047,1135,1056,1422
"BP1026B_I0140",1552,1648,1902,1928,1921,2346
"predicted RNA",154,142,163,158,166,188
"BP1026B_I0141",4283,5085,6293,6942,6896,8169
"BP1026B_I0142",1398,1677,1870,2231,2359,2475
"BP1026B_I0143",57,36,51,65,56,71
"BP1026B_I0144",179,126,134,138,159,150
"BP1026B_I0145",17,10,12,6,10,11
"BP1026B_I0146",67,52,51,49,59,51
"BP1026B_I0147",48,42,48,46,46,52
"BP1026B_I0148",24,27,34,26,22,24
"BP1026B_I0149",16,8,11,9,13,11
"BP1026B_I0150",62,32,48,38,43,45
"BP1026B_I0151",47,23,29,43,45,56
"BP1026B_I0152",84,59,83,102,113,113
"BP1026B_I0153",5,3,3,4,3,5
"BP1026B_I0154",34,16,22,16,17,18
"BP1026B_I0157",2230,3328,4063,1542,1553,1743
"predicted RNA",178,121,164,349,362,430
"BP1026B_I0158",139,178,183,258,279,296
"BP1026B_I0159",23,14,18,13,22,23
"BP1026B_I0160",6,2,3,3,4,3
"BP1026B_I0161",18,8,6,13,8,7
"BP1026B_I0162",13,14,4,3,9,7
"BP1026B_I0163",5,2,2,3,2,2
"BP1026B_I0164",2,3,2,0,1,4
"BP1026B_I0165",2,1,2,2,1,2
"BP1026B_I0166",2,0,2,0,1,3
"BP1026B_I0167",10,4,6,5,7,7
"BP1026B_I0168",20,10,9,12,25,18
"BP1026B_I0169",29,31,38,30,47,37
"BP1026B_I0170",20,22,28,34,26,29
