"gene_id","DMSO_01","DMSO_02","DMSO_03","Enoxolone_01","Enoxolone_02","Enoxolone_03"
"CDR20291_0001",2590,2502,4603,2841,5285,4391
"CDR20291_0002",3193,2653,5115,3035,6133,4514
"CDR20291_0003",15601,11265,20879,15545,24432,21836
"CDR20291_0004",17819,11049,21826,14394,18249,14793
"CDR20291_0005",7181,9768,20063,10273,30503,25913
"CDR20291_0006",2038,5199,9230,3290,12861,12623
"CDR20291_0007",6868,15011,26876,11072,39879,34210
"CDR20291_0008",4941,4975,8926,4769,11428,8537
"CDR20291_0009",2235,1137,2582,1730,2071,1688
"CDR20291_0010",16623,10590,19736,32470,40178,39773
"CDR20291_0011",547,691,1156,472,1468,1133
"CDR20291_0012",5411,2831,6604,6999,6888,6939
"CDR20291_0013",9288,3958,6936,12446,10963,8357
"CDR20291_0014",13066,6352,13084,19385,20647,18271
"CDR20291_0015",24314,16560,31138,43603,52294,46996
"CDR20291_0016",8840,8491,15678,8814,16103,13950
"CDR20291_0017",5509,3509,7012,3858,5861,5143
"CDR20291_0018",38112,14895,28643,32628,29353,22279
"CDR20291_0019",17600,8437,16146,14298,19063,13620
"CDR20291_0020",450,292,595,219,571,293
"CDR20291_0021",55,65,73,60,127,97
"CDR20291_0022",104,118,160,86,267,177
"CDR20291_0023",182,155,297,125,336,230
"CDR20291_0024",992,691,1301,787,1225,1111
"CDR20291_0025",262,457,788,357,1173,1109
"CDR20291_0026",241,382,627,327,968,905
"CDR20291_0027",627,602,1058,751,1471,1094
"CDR20291_0028",1602,980,1551,1764,2006,1700
"CDR20291_0029",235,125,217,197,329,235
"CDR20291_0030",37,24,33,38,58,46
"CDR20291_0031",285,186,396,223,391,320
"CDR20291_0032",104,123,147,90,247,156
"CDR20291_0033",1,2,0,1,1,1
"CDR20291_0034",47,38,46,41,76,56
"CDR20291_0035",1643,756,1420,1198,1348,991
"CDR20291_0036",2057,1389,2251,2334,3306,2530
"CDR20291_0037",4431,2458,3970,4835,5554,4442
"CDR20291_0038",135282,54728,76825,165301,136975,119266
"CDR20291_0039",77525,38226,59328,77241,83173,89376
"CDR20291_0040",94638,23236,44175,96352,48479,37313
"CDR20291_0041",28039,22190,42177,23029,43061,34185
"CDR20291_0042",23304,13879,29084,16856,21442,19456
"CDR20291_0043",8562,7273,13370,8880,15487,13445
"CDR20291_0044",1384,1213,2913,1062,3121,2458
"CDR20291_0045",11321,9942,18871,9790,21695,17808
"CDR20291_0046",7688,9377,16689,7949,20477,17014
"CDR20291_0047",3413,2635,5135,3004,5907,5324
"CDR20291_0048",9136,6595,11656,8641,13860,12221
"CDR20291_0049",4283,5875,10775,4385,13470,11842
"CDR20291_0050",3843,6229,12237,4147,14315,13412
"CDR20291_0051",138708,141996,285641,134922,395356,406372
"CDR20291_0052",64533,44969,71248,53999,80551,64585
"CDR20291_0053",47705,38837,69964,46168,85990,71426
"CDR20291_0054",75783,85868,161625,90401,200413,186377
"CDR20291_0055",56409,83459,143628,74268,189793,149668
"CDR20291_0056",116588,175885,313919,159585,429583,322705
"CDR20291_0057",241441,150455,294742,302734,339880,300228
"CDR20291_0058",351377,161627,292075,304331,280798,186698
"CDR20291_0059",10171,4471,8073,10028,8442,6560
"CDR20291_0060",81760,108146,197076,99117,270610,251129
"CDR20291_0061",107561,152475,269850,141978,395811,339827
"CDR20291_0062",20579,46737,82954,28185,108552,95569
"CDR20291_0063",23113,45990,92935,31637,110907,120261
"CDR20291_0064",187847,425665,754686,255599,1018954,832821
"CDR20291_0065",210992,234057,383781,309120,464669,458867
"CDR20291_0066",51466,86223,142126,68274,192186,173935
"CDR20291_0067",82077,172392,295076,115446,416382,352366
"CDR20291_0068",43705,73392,140455,54500,191797,182190
"CDR20291_0069",17873,28633,53811,24434,65600,73553
"CDR20291_0070",75915,192195,321538,104706,451457,393087
"CDR20291_0071",45798,74950,121380,53502,170748,148219
"CDR20291_0072",35553,72863,120320,45198,173749,162817
"CDR20291_0073",66239,130152,216062,81900,306745,263910
