"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"CD630_00010",9129,8139,8477,11993,13324,7388,2050,2918,2665,2846,1900,2253
"CD630_00020",7484,6659,6568,8784,11231,6047,1576,2612,2084,2426,1644,1843
"CD630_00030",484,523.5,470.5,444.5,658,451.5,152.5,119,87.5,96,119.5,96.5
"CD630_00040",5657,5440.5,4775,6391,8872.5,4517.5,1694.5,1877.5,1864.5,1982.5,1495.5,1510.5
"CD630_00050",9020.5,9913.5,8019,10774,15779.5,7655.5,2731.5,3142.5,2991.5,3035.5,2496.5,2465.5
"CD630_00060",17837.5,19505.5,15229.5,21265.5,30192.5,15552.5,4506.5,4843,4859,5109,4138.5,4068.5
"CD630_00070",431,449,362.5,432.5,671.5,384.5,314,218,198.5,216.5,270,233
"CD630_00080",644,733.5,543.5,714,978,518.5,427.5,409.5,355.5,426.5,441.5,320.5
"CD630_00090",1365.5,1345.5,1127,1542.5,2263,1085.5,851,976.5,1034,1015,892.5,944.5
"CD630_00100",590.5,685.5,589.5,649.5,1011.5,525.5,478,382.5,335,365,378,348
"CD630_00110",2039,2159.5,1726.5,1988.5,3525.5,1633,1378.5,1473.5,1575.5,1547,1414,1329
"CD630_00120",1916.5,1447,1591.5,2064,2380,1543.5,968,847.5,1184,1032,988.5,1047.5
"CD630_00130",2424.5,1906,1999.5,2499,3385,2012.5,1203,1251.5,1627,1517,1413.5,1305.5
"CD630_00140",5959,6179,5507,7134,9982,4928,6833,7160,9244,7840,9041,8069
"CD630_00150",1332,553,1273,1787,1141,935,1351,972,1212,1108,1034,989
"CD630_00160",7312.5,5752.5,6657,9060,9714,5907.5,3436,3610,3562,3364,2656,2939.5
"CD630_00170",1926.5,2028,1780.5,2181.5,3036,1687.5,1489,1123,1231.5,1137.5,1214.5,1095
"CD630_00180",4906,4961.5,4391.5,5324.5,8406,4051,3833,3357,3790.5,3226.5,3695.5,3390.5
"CD630_00181",194,138,164,168,206,111,197,151,161,185,164,134
"CD630_00190",2588,2068,2184,3171,3782,2013,1762,1896,2063,1878,1982,1822
"CD630_00200",933,828,839,1059,1199,778,109,111,88,94,56,80
"CD630_00210",5849,5422,5066,6089,9247,4829,16222,12654,22713,17153,21098,17266
"CD630_00220",683,558,629,766,1108,626,888,783,1127,935,1338,1034
"CD630_00230",368.5,288.5,224.5,312.5,442.5,238,3599.5,2573,3376.5,3066.5,4210,3144
"CD630_00240",828,673.5,568,810,1002,573,9723.5,8052.5,10936.5,10107.5,12505.5,9907.5
"CD630_00250",1972.5,1558,1369.5,2124.5,2130.5,1099,30782.5,23813,32665,31068.5,34203.5,28285
"CD630_00260",5428,4403,3940,5815,6062,3470,115270.5,95459.5,118050,112469.5,126640,106168.5
"CD630_00270",4112.5,3461,3590.5,5381.5,5390,3352.5,18263.5,17412,22669.5,21100,19571,18537.5
"CD630_00280",2057.5,1589,1892.5,2808.5,2586,1699.5,5680.5,5722,7704.5,6722,5954,6150.5
"CD630_00290",7150,5778,6546,8537,11699,6201,5166,5277,5688,5509,5484,5399
"CD630_00300",10005,8600,8973,11895,15697,8440,3557,4505,4728,4729,3479,3789
"CD630_00310",231,182,185,256,334,171,228,305,293,231,247,230
"CD630_00320",8,2,8,9,12,9,20,29,15,14,16,17
"CD630_00330",9,12,10,15,13,4,17,45,28,32,16,14
"CD630_00340",49,53,53,71,99,59,34,61,39,29,30,27
"CD630_00350",47,52,63,73,83,34,112,61,105,181,121,74
"CD630_00360",101,187,120,177,165,96,212,149,242.5,416,223,190
"CD630_00370",94,131,102.5,117.5,193,87,205.5,126,177.5,313.5,184.5,157
"CD630_00380",263,306,279.5,370.5,427,175,365.5,352,513,791.5,436.5,371
"CD630_00390",184,169,178,229,300,128,220,203,240,368,216,208
"CD630_00400",83.5,77.5,86,100.5,110.5,70.5,110,117.5,123.5,129.5,131,112.5
"CD630_00410",14.5,12.5,14,14.5,22.5,4.5,23,32.5,23.5,30.5,40,29.5
"CD630_00420",10,27,12,35.5,44.5,14,35.5,39.5,41,45,35.5,34
"CD630_00430",28,30,28,31.5,41.5,18,39.5,82.5,55,44,55.5,51
"CD630_00440",5,0,5,4,2,1,3,8,8,4,5,6
"CD630_00450",4,8,9,13,13,6,6,9,7,5,7,9
"CD630_00460",532,301,416,623,612,384,368,406,616,523,578,503
"CD630_00470",782.5,622.5,741,943.5,1076.5,691.5,432.5,429,404,348.5,432.5,405.5
"CD630_00480",1272.5,1108.5,1101,1494.5,1805.5,1019.5,749.5,687,706,585.5,627.5,576.5
"CD630_00490",46698,52187,57367,38273,68808,45982,56426,78221,65842,17710,55302,59185
"CD630_00500",44184,54211,54250,36738,74417,44049,67112,90557,72002,22604,61763,61617
"CD630_00510",5837,5733,5119,6746,9892,4730,5226,6040,5994,4981,5713,5349
"CD630_00511",83,73,65,68,72,66,76,33,67,55,102,81
"CD630_00520",16019,14011.5,11242,17859,21490.5,10866,11021,12517.5,19246.5,17763.5,21165.5,17840
"CD630_00530",3508,3248.5,2666,3969,3674.5,2643,2400,2193.5,2316.5,2061.5,2964.5,2519
"CD630_00540",5384,5285.5,4004.5,6636.5,7766.5,3885.5,2467.5,2848,3337.5,3817.5,4005,3445
"CD630_00550",2767,2700,1925,3383,4053.5,2109.5,1237,1386.5,1642,1583.5,1795,1495.5
"CD630_00560",4358,4259,3319,5546.5,6076.5,3439.5,1994.5,2022,2307.5,2109,2540,2217.5
"CD630_00570",5065,5157.5,3870.5,6253,7621.5,4006.5,2480,2572.5,2832,2666,3209,2984
"CD630_00580",5019,10738,5121,5975,23010,7983,2079,3351,4718,2804,3964,2313
"CD630_00581",7727,8435.5,7296.5,10249,13086.5,6800,2977,3375,3194,3235.5,3047.5,2806
"CD630_00590",12582,13882,11833,15316,21927.5,11079,3947.5,4745.5,4644,4566.5,4106,3927.5
"CD630_00600",35476,39505.5,32541,40571.5,63929.5,30846.5,10956,13219,12625,12452,11225.5,10475
"CD630_00610",39682,42654.5,36291.5,46186,67176.5,34224.5,10349,13064,12086,11892,10824.5,10377.5
"CD630_00620",60441,66441.5,54598,74092.5,110545,52440,14904.5,19575.5,19059,18389,16019.5,16156
"CD630_00630",44619,55081.5,41978.5,52340,79281,41355,12919,14273.5,13591.5,12925,12030,11205.5
"CD630_00640",30391,34094.5,27093.5,30369,52034,25748,8694,10585.5,10788.5,10471,8827,8718.5
"CD630_00650",3242,2587,2328,3576,3933,2225,3461,3886,5477,5529,5776,4908
"CD630_00660",68031,66330.5,64227,79077.5,110087,60171,29809,34119,34074,34915.5,27347,27761
"CD630_00670",83158,89830.5,74752,93566.5,146693,72047,32097,36813,38346,39119.5,30797,31039
"CD630_00680",6616,8938,7243,7933,14259,6598,2289,2369,2195,2135,2000,1773
