"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS01130",42,23,18,13,24,10,32,8274,9068,7,17,20,121,90,68,17,7,9,9995,69,291,31,61,24
"gene-CDR20291_RS00045",836,981,931,101,160,152,383,4039,5078,94,102,89,1118,1093,907,162,80,119,4253,577,890,121,253,104
"gene-CDR20291_RS00750",2250,3354,1767,826,840,752,3256,585,664,713,767,486,2754,1711,3413,704,1023,167,260,4277,2953,876,762,514
"gene-CDR20291_RS05460",0,1,6,0,0,0,2,254,209,3,0,0,16,7,6,1,0,4,17,15,12,0,2,3
"gene-CDR20291_RS05465",23745,27473,19231,3238,2388,2920,24399,8490,11520,2588,2509,2894,25566,10902,15974,2974,3630,2128,2852,24723,20297,2837,2613,2548
"gene-CDR20291_RS05470",846,1239,1097,203,416,179,807,18818,22517,199,230,229,2031,2946,2518,360,176,199,2705,1525,1624,262,546,356
"gene-CDR20291_RS05475",183,195,184,31,36,9,186,463,500,48,37,11,280,196,421,32,40,10,234,330,291,31,19,46
"gene-CDR20291_RS05480",13170,16730,14447,2147,3014,2100,10092,225979,226808,1792,2487,1916,24028,59691,55828,2115,2192,1343,72033,16695,26838,2207,4426,2529
"gene-CDR20291_RS05485",3975,4879,3421,612,807,611,6608,4056,4736,684,629,603,5831,2668,4862,620,900,287,1103,5347,4493,605,491,620
"gene-CDR20291_RS05490",5546,6789,4200,742,1262,724,9775,11441,13430,855,711,699,8866,3950,10874,1041,908,389,6762,8281,8891,868,490,1110
"gene-CDR20291_RS05495",16239,18887,15527,2584,6512,2459,10587,46269,35576,2546,2682,3935,12825,19642,35731,2250,3900,3317,21628,14689,29986,2440,3092,4646
"gene-CDR20291_RS05500",3524,3836,2571,662,576,778,4772,4146,6362,502,507,518,4988,2057,3936,605,804,441,2535,4797,3679,593,493,606
"gene-CDR20291_RS05505",2287,2833,1403,304,515,394,2474,10455,14987,317,303,309,3282,777,1660,427,381,160,1226,2143,3309,278,305,460
"gene-CDR20291_RS00755",756,1059,1190,179,195,124,872,1191,982,138,122,153,955,1224,786,137,164,116,307,771,919,149,118,138
"gene-CDR20291_RS05510",1981,2447,2336,333,986,357,1453,5643,5516,411,442,423,1636,2354,4638,207,525,266,3372,1922,2807,310,465,536
"gene-CDR20291_RS05515",690,903,635,80,187,145,684,5812,8053,91,97,75,1168,384,795,113,123,52,515,661,1341,101,108,124
"gene-CDR20291_RS05520",4884,6113,3528,1175,551,1600,5385,1414,1786,1024,1744,1264,6250,2115,2699,717,2435,549,747,8973,6183,1466,973,838
"gene-CDR20291_RS05525",93,107,129,33,18,30,92,14,30,26,40,42,117,57,71,20,57,5,14,204,151,32,22,28
"gene-CDR20291_RS05530",8944,12761,7519,1319,1335,1333,11076,7047,8739,1275,1201,860,11273,4498,9755,1437,1691,579,1589,11902,12023,1527,1420,1210
"gene-CDR20291_RS05535",74,59,24,11,6,13,11,83,65,13,15,7,82,85,66,23,10,4,34,44,61,9,26,5
"gene-CDR20291_RS05540",2894,4218,2493,565,258,766,3602,600,888,772,915,743,3216,1217,1866,432,1176,168,309,5558,4131,833,382,549
"gene-CDR20291_RS05545",9469,10769,5644,1345,675,2058,12360,1579,2278,1807,2322,2154,9389,2478,4833,1193,2862,530,771,15849,10564,1987,931,1362
"gene-CDR20291_RS05550",122,143,104,35,48,39,156,128,205,41,40,43,393,109,253,50,39,10,55,427,282,55,35,51
"gene-CDR20291_RS05555",18669,24200,17816,1761,2951,1391,22384,32772,36318,1803,1517,1948,25963,14443,23484,1648,2059,1331,9227,22083,18743,1793,1621,2292
"gene-CDR20291_RS00760",1530,2137,2059,264,403,227,1222,1780,1971,252,217,315,1824,1811,2829,216,306,175,1020,2149,2413,270,216,362
