"gene_id","Raw Counts Wt R0 Replicate 1","Raw Counts Wt R0 Replicate 2","Raw Counts Wt Rif 16 Replicate 1","Raw Counts Wt Rif 16 Replicate 2"
"MAB_0001",966,1662,1153,1202
"MAB_0002",1831,2308,1748,1428
"MAB_0003",1035,1284,1078,910
"MAB_0004",386,559,417,353
"MAB_0005",193,321,237,268
"MAB_0006",12186,17473,13083,11412
"predicted RNA",110,106,82,86
"MAB_0007",4215,7091,6652,4590
"MAB_0008",1022,1842,1655,1142
"MAB_0009",1209,1985,2015,1567
"MAB_0010c",1207,2011,1577,1203
"MAB_0011c",488,948,740,639
"predicted RNA",202,371,245,191
"MAB_0012c",1459,2452,1933,1422
"MAB_0013c",99,146,113,108
"MAB_0014",161,237,163,154
"MAB_0015",18,40,35,21
"MAB_0016",617,1061,783,741
"MAB_0017",73,127,90,89
"MAB_0018c",23,58,36,25
"MAB_0019",5114,6510,5263,5749
"MAB_0020",1501,2086,1466,1524
"MAB_t5001",202,534,340,379
"MAB_t5002",120,453,269,326
"MAB_0022c",18,37,16,21
"MAB_0023",65,106,94,79
"MAB_0024c",620,729,590,412
"MAB_0025",1499,2559,1785,2646
"MAB_0026",951,1204,1036,892
"MAB_0027c",90,149,122,117
"MAB_0028c",186,262,209,188
"MAB_0029c",572,698,567,500
"MAB_0030",27,50,23,29
"MAB_0031",140,236,129,126
"MAB_0032",300,452,285,215
"MAB_0033c",2809,4670,3575,3608
"MAB_0034c",1904,2812,2223,2224
"MAB_0035c",1213,2328,1658,1848
"MAB_0036c",536,863,686,651
"MAB_0037c",3065,4760,3250,3039
"MAB_0038c",2695,4650,3383,3150
"MAB_0039c",9533,15776,10710,11976
"MAB_t5003",232,543,435,959
"MAB_0042",162,291,204,163
"MAB_0043",265,458,332,329
"MAB_0044",52,75,80,66
"MAB_0045",80,157,99,92
"MAB_0046",136,133,99,100
"MAB_0047",163,167,154,135
"MAB_0048",176,241,206,245
"MAB_0049",214,288,238,350
"MAB_0050c",3,17,5,8
"MAB_0051",8,31,24,24
"MAB_0052",5,7,5,7
"MAB_0053c",33,56,37,59
"MAB_0054c",14,21,16,23
"MAB_0055c",48,122,72,87
"MAB_0056c",646,1120,788,776
"MAB_0057",37,55,49,35
"MAB_0058c",2922,4029,4205,3868
"MAB_0059c",0,2,0,2
"MAB_0060",60,165,100,86
"MAB_0061",66,115,62,47
"MAB_0062",319,471,352,282
"MAB_0063c",37,90,41,48
"MAB_0064c",582,817,591,581
"MAB_0065c",3092,4142,2952,2742
"MAB_0066c",38,81,59,53
"MAB_0067",2,5,5,2
"MAB_0068",721,1542,789,558
"MAB_0069",793,1376,744,375
"MAB_0070",132,229,147,110
"MAB_0071c",185,327,245,276
"MAB_0072c",6,9,9,7
"MAB_0073c",2,2,6,7
"MAB_0074c",14,25,7,12
"MAB_0075",14,16,15,7
"MAB_0076",36,57,51,43
"MAB_0077",43,64,42,47
"MAB_0078",11,18,15,8
"MAB_0079c",1,2,0,0
"MAB_0080c",72,95,98,84
"MAB_0081",10,7,5,9
"MAB_0082c",712,1381,969,925
"MAB_0083",58,87,77,66
"MAB_0084",114,206,168,148
"MAB_0085c",53,71,71,66
"MAB_0086",83,110,71,86
