"gene_id","MAB_WT_1","MAB_WT_2","MAB_WT_3","MAB_KOB11_1","MAB_KOB11_2","MAB_KOB11_3","MAB_KOB11_B11_1","MAB_KOB11_B11_2","MAB_KOB11_B11_3","MAB_KOB11_L1_1","MAB_KOB11_L1_2","MAB_KOB11_L1_3","MAB_KOB11_L2_1","MAB_KOB11_L2_2","MAB_KOB11_L2_3"
"MAB_0001",90,839,620,889,858,1164,710,369,277,1363,939,407,845,190,356
"MAB_0002",976,5368,3569,3424,3155,1949,3823,4184,828,3048,2840,2596,3056,1491,2730
"MAB_0003",648,4637,3180,2107,2726,1750,4141,1944,888,2414,3072,2550,1991,1476,1525
"MAB_0004",518,2830,955,1804,1492,1214,888,901,618,1485,2123,1633,736,957,2155
"MAB_0005",244,1720,3119,1295,2443,510,2095,908,447,1518,1770,968,755,945,1797
"MAB_0006",4914,15711,17052,11262,14915,11487,19537,8620,3583,9714,14689,12003,8547,8522,11913
"MAB_0007",1762,4348,5793,8421,14957,6566,13710,6043,404,5763,13899,9966,3366,10395,10071
"MAB_0008",171,550,960,3025,1606,804,1420,745,0,388,467,1725,196,660,1585
"MAB_0009",223,988,1177,2467,2476,2361,2186,1266,735,922,907,1422,833,485,1188
"MAB_0010c",315,1032,1357,3563,3311,1908,3742,1568,487,1932,3506,2031,1752,1761,2204
"MAB_0011c",174,139,434,743,704,853,466,367,0,367,558,220,803,436,271
"MAB_0012c",247,691,722,1338,2067,974,3054,975,415,1052,1204,1014,920,1287,1701
"MAB_0013c",0,246,235,147,102,134,97,48,232,449,127,82,125,202,1
"MAB_0014",43,55,85,37,125,6,44,134,14,79,124,39,138,6,54
"MAB_0015",0,136,161,46,230,57,0,16,111,101,205,55,98,39,2
"MAB_0016",179,1793,1515,1481,2059,904,2105,1193,405,1223,1234,1810,1427,852,2003
"MAB_0017",126,265,771,711,468,387,548,209,0,458,366,387,253,289,226
"MAB_0018c",19,260,157,372,182,103,240,211,17,203,182,113,228,240,41
"MAB_0019",6530,14115,18651,12017,11322,10161,18596,8274,7533,19426,12342,7636,14490,8674,8973
"MAB_0020",662,4824,5248,3967,2665,3407,3461,2435,2635,4245,5482,1811,5241,2259,1528
"MAB_0022c",47,220,108,194,67,181,19,92,478,504,150,51,65,22,0
"MAB_0023",105,220,52,198,81,82,85,19,504,206,165,30,208,0,72
"MAB_0024c",1085,3923,2738,2536,1600,1063,1317,799,934,1811,2318,1627,1986,1438,2903
"MAB_0025",51,383,1051,607,489,476,172,75,692,950,476,244,1065,438,284
"MAB_0026",194,1360,1111,2267,1042,834,1540,1141,146,2323,1228,798,825,269,1397
"MAB_0027c",0,223,181,208,311,326,262,43,380,801,417,123,229,97,113
"MAB_0028c",118,485,98,340,193,81,147,192,54,325,272,128,279,9,131
"MAB_0029c",58,363,381,446,171,292,329,164,262,330,276,231,500,285,206
"MAB_0030",0,128,43,185,24,30,120,139,0,169,94,0,19,0,33
"MAB_0031",113,704,475,794,627,613,770,511,118,472,712,184,738,409,421
"MAB_0032",175,670,827,715,629,658,683,815,907,1180,790,504,1109,820,525
"MAB_0033c",558,4462,5610,4992,3424,4057,4030,2296,2842,5293,4097,3079,2778,2134,2981
"MAB_0034c",587,2519,2655,3057,2087,2655,1558,1114,1674,4704,2535,2080,2405,1894,1184
"MAB_0035c",188,776,549,973,1201,638,684,304,422,1559,869,666,926,470,48
"MAB_0036c",34,880,683,688,644,704,637,271,598,1948,963,345,509,395,127
"MAB_0037c",3221,6739,6628,7504,9058,6750,8321,3131,4929,11548,10717,4242,9498,3779,2860
"MAB_0038c",1495,11324,3751,3989,6487,2706,4600,4459,1103,3945,6144,4927,5562,2802,4159
"MAB_0039c",7605,12668,11583,15285,11979,10806,12399,6729,5452,23250,12299,6556,13985,7999,8056
"MAB_0042",0,67,125,518,395,258,100,630,23,260,132,184,135,55,269
"MAB_0043",225,653,590,1078,1296,664,750,648,229,256,449,835,381,196,517
"MAB_0044",49,84,101,140,97,161,208,4,0,103,33,98,29,0,123
"MAB_0045",49,326,245,464,266,173,225,190,0,170,250,166,199,232,92
"MAB_0046",0,16,15,35,0,0,0,4,149,41,11,28,111,113,1
"MAB_0047",44,434,164,65,173,129,32,113,45,140,113,56,241,279,40
"MAB_0048",0,68,391,190,88,57,260,91,200,70,98,73,79,112,151
"MAB_0049",78,102,80,126,119,19,611,14,295,143,245,226,423,53,2
"MAB_0050c",0,19,0,0,6,39,0,2,0,2,26,0,48,104,0
"MAB_0051",0,55,0,30,15,51,41,0,0,61,21,44,54,33,0
"MAB_0052",0,3,31,44,26,0,39,0,194,0,0,0,48,290,104
"MAB_0053c",0,15,0,27,0,0,0,0,9,57,18,0,59,0,0
"MAB_0054c",0,19,0,14,13,0,0,0,4,57,23,0,50,1,0
"MAB_0055c",0,140,85,116,17,106,2,50,332,116,82,0,60,23,0
"MAB_0056c",419,1538,1718,1104,1169,943,973,647,1632,1733,1242,662,1382,188,463
"MAB_0057",0,268,50,48,107,0,111,95,77,171,64,56,55,0,52
"MAB_0058c",716,5681,6183,4214,3187,4266,4040,2696,3402,6239,3485,1842,3075,1835,2395
"MAB_0059c",0,0,0,38,0,0,0,0,130,62,3,0,3,153,8
"MAB_0060",0,259,114,119,55,12,207,134,44,191,158,241,100,69,167
"MAB_0061",0,330,322,124,88,0,199,337,79,197,223,139,74,430,0
"MAB_0062",157,1052,553,865,689,552,564,408,360,783,1256,821,725,438,744
"MAB_0063c",200,230,174,51,53,116,81,0,33,112,163,0,105,0,83
"MAB_0064c",566,1901,1823,1499,1024,1752,1929,1619,1343,1742,1751,770,1463,1467,669
"MAB_0065c",801,3535,2690,2452,2475,1274,4119,2524,723,3016,2306,2346,1788,2132,2191
"MAB_0066c",0,213,0,76,128,35,192,179,194,127,175,123,279,48,0
"MAB_0067",0,31,34,0,0,0,0,0,55,44,26,24,21,0,0
"MAB_0068",140,379,123,229,301,351,413,206,55,376,924,268,238,230,389
"MAB_0069",48,264,58,333,287,179,44,46,21,434,218,187,237,92,133
"MAB_0070",52,403,272,368,143,311,377,310,91,323,193,99,263,173,122
"MAB_0071c",0,310,213,528,178,325,270,247,356,480,285,142,313,73,131
"MAB_0072c",93,39,78,28,13,5,31,0,635,173,39,0,15,0,20
"MAB_0073c",0,51,135,50,9,0,64,56,0,100,41,39,22,0,0
"MAB_0074c",0,104,71,67,49,143,76,0,5,359,49,27,52,52,0
"MAB_0075",10,347,90,28,51,65,99,25,154,19,95,144,50,2,19
"MAB_0076",200,394,320,206,99,78,252,63,12,239,178,134,178,107,184
"MAB_0077",388,1430,450,299,228,198,328,208,131,537,253,224,198,0,90
"MAB_0078",0,117,0,78,70,130,108,0,144,131,137,33,99,99,135
"MAB_0079c",0,2,0,62,7,0,67,0,51,44,17,0,0,62,0
"MAB_0080c",89,335,255,125,110,138,81,61,0,85,146,278,246,90,111
"MAB_0081",0,421,236,122,84,37,191,15,597,153,91,77,56,0,143
"MAB_0082c",117,1029,375,1532,852,750,898,540,353,807,1274,548,861,556,167
"MAB_0083",118,192,147,74,75,53,32,5,165,58,34,62,6,247,74
"MAB_0084",80,744,652,357,495,184,653,163,325,564,392,470,479,357,313
"MAB_0085c",0,216,35,240,158,134,353,30,590,121,57,175,11,14,92
"MAB_0086",37,422,52,180,97,191,332,394,119,254,125,152,203,17,162
"MAB_0087c",0,275,177,441,237,139,243,132,468,423,421,313,359,492,125
"MAB_0088c",523,1550,968,1111,871,934,1583,374,1051,2297,1191,966,1314,1350,645
"MAB_0089c",1146,1614,1375,1432,1239,1396,2368,907,615,2806,1921,914,3063,1416,1113
"MAB_0090c",519,1881,756,1532,1409,587,1413,1053,237,1426,1015,963,933,724,985
"MAB_0091",5971,17507,14020,22933,17080,15761,16461,9879,9877,30053,18555,10764,18391,10788,7799
"MAB_0092",1634,6545,5301,7417,5865,5050,5485,4053,2096,7205,7493,4431,3647,3220,3666
"MAB_0093",524,3997,3103,1954,1829,2465,3095,3313,625,1179,2031,2887,1692,1522,3233
"MAB_0094c",49,661,322,541,681,467,699,393,591,687,823,816,507,665,369
"MAB_0095",0,201,39,126,28,0,281,4,12,63,16,124,58,74,60
"MAB_0096",0,224,308,704,822,1294,310,596,544,770,579,483,427,51,193
"MAB_0097",165,877,740,827,584,420,1259,1250,431,800,597,818,737,374,526
"MAB_0098",123,50,42,94,49,82,164,96,1,11,93,126,193,107,148
"MAB_0099",19,260,335,177,181,230,176,138,201,395,193,174,363,83,155
"MAB_0100",58,313,81,141,97,242,210,164,102,132,128,38,157,0,187
"MAB_0101",98,133,74,81,115,150,229,181,0,194,174,134,119,75,68
"MAB_0102",0,148,0,32,65,53,162,128,29,59,54,0,21,119,41
"MAB_0103",545,2023,2036,2223,1636,2466,1806,1992,847,2673,2300,1425,2181,1817,968
"MAB_0104",26,507,342,465,386,104,454,232,62,385,322,142,208,105,225
"MAB_0105c",22,584,534,614,759,530,877,260,610,773,641,471,343,389,255
"MAB_0106c",117,1340,465,977,598,886,1222,718,487,1987,939,795,1172,157,705
"MAB_0107c",166,611,645,899,603,563,669,599,360,1263,610,658,646,587,193
"MAB_0108c",99,965,2193,2309,756,1732,1107,1344,1630,4514,1765,650,5519,1670,188
"MAB_0109c",53,1359,1004,1357,878,1122,1652,1003,417,781,1442,1560,1013,746,1059
"MAB_0110c",1344,2194,1069,2026,1800,1407,2495,1026,844,2628,2042,979,2147,1056,1399
"MAB_0111c",45,983,571,1016,469,712,714,489,286,1327,601,405,1172,535,525
"MAB_0112",3741,6924,8707,10327,11824,8668,9475,3236,4786,11117,10069,4937,6182,6795,4363
