"gene_id","S1-WT","S2-WT","S3-WT","R1-WT","R2-WT","R3-WT","R1-Dlsr2","R2-Dlsr2","R3-Dlsr2","S1-Dlsr2","S2-Dlsr2","S3-Dlsr2"
"MAB_4098c",140557,181789,157753,22908,8643,9450,224329,181967,201596,89032,104836,85191
"MAB_4097c",9773,12816,10131,3823,1298,1690,16804,10622,11398,8148,6515,6644
"MAB_3338c",9,6,3,6,0,2,4,1,4,8,0,4
"MAB_4509c",514,1338,1642,1437,235,145,1733,1471,737,271,2142,253
"MAB_1741",50,42,20,17,18,6,6,12,8,2,2,4
"MAB_4099c",350965,402179,336622,165929,126110,102058,451144,382781,405958,156283,208563,138116
"MAB_1794",1,1,2,2,0,0,1,0,1,0,0,0
"MAB_1736",16,2,5,2,9,1,0,5,3,0,0,1
"MAB_2552c",1832,1641,1272,867,767,394,4211,4346,4391,2846,1331,2109
"MAB_1813",0,1,2,0,0,1,2,2,3,0,0,1
"MAB_4798",9,8,5,3,5,2,11,25,20,30,8,15
"MAB_4372",16,19,19,9,15,4,8,6,12,4,7,9
"MAB_2165",2817,1059,757,322,1921,560,104,585,566,128,144,36
"MAB_1808",2,1,2,2,1,0,3,1,1,0,0,0
"MAB_1728",47,7,5,3,21,4,2,9,10,2,1,0
"MAB_1730",29,9,12,4,35,2,0,3,6,1,1,2
"MAB_2512",1488,735,464,618,241,345,1247,898,421,2510,95,198
"MAB_0249",31,3,4,3,6,4,23,13,15,3,2,0
"MAB_1777",0,0,1,0,0,0,0,2,1,0,0,0
"MAB_2509c",44,6,1,7,3,3,5,1,0,73,7,0
"MAB_1737",18,7,15,4,21,5,2,8,2,2,5,1
"MAB_3337c",2,2,1,2,1,0,0,2,0,6,3,3
"MAB_3786c",3422,771,532,470,1667,799,39,140,182,36,109,30
"MAB_1775",2,4,2,5,2,0,4,2,2,4,0,0
"MAB_4921c",5189,1703,1310,1131,1928,1155,348,589,678,496,358,289
"MAB_1735",45,33,26,9,47,14,19,20,19,7,15,7
"MAB_1739",24,8,7,4,12,7,1,2,8,2,2,2
"MAB_1806",0,2,3,1,1,1,1,0,1,1,0,0
"MAB_4620c",1501,746,563,620,607,372,377,577,656,280,124,208
"MAB_0287",11,8,8,6,5,5,16,10,10,7,4,5
"MAB_1817c",5,2,3,1,4,1,3,2,3,1,0,0
"MAB_0855",1423,4724,3881,2328,998,2691,3024,7621,7508,56,8,30
"MAB_4516c",10,9,8,7,10,1,4,8,9,151,0,86
"MAB_3103c",2873,3052,2626,2135,1666,1347,1489,1588,1536,787,931,677
"MAB_4040c",59,29,27,22,43,12,8,29,28,10,9,4
"MAB_2531c",43,16,10,12,13,9,10,7,6,47,4,6
"MAB_0398c",1015,1410,1127,617,670,803,639,804,713,865,538,760
"MAB_0234",0,6,3,4,1,1,4,1,2,0,1,0
"MAB_1738",8,7,7,6,4,4,1,3,1,2,0,0
"MAB_0357c",1293,190,142,78,802,216,6,50,61,20,12,11
"MAB_0808c",5,3,1,4,2,0,1,2,3,6,2,6
"MAB_1344c",2786,987,742,606,1589,727,71,154,170,119,185,87
"MAB_2076",156,117,68,95,68,50,266,588,485,479,242,371
"MAB_1781",6,5,5,3,4,3,6,0,2,1,0,1
"MAB_1514",2372,4158,3327,2991,1936,1786,3051,1585,1440,1764,1053,1550
"MAB_4369c",113,58,34,55,52,23,21,31,26,14,8,14
"MAB_0184c",65,43,37,26,45,23,27,38,41,40,13,34
"MAB_1740",19,16,16,8,21,7,8,5,4,1,2,2
"MAB_0660",22,23,12,17,16,6,9,11,8,5,3,4
"MAB_2487",3,3,1,2,3,0,3,1,2,0,0,2
"MAB_1726",3000,725,582,317,2666,490,34,609,560,139,39,79
"MAB_2516c",22,19,13,10,18,8,12,18,17,33,5,13
"MAB_4621c",1655,512,338,356,837,376,66,133,114,100,139,66
"MAB_1297c",604,825,845,801,838,211,882,738,543,362,985,355
"MAB_2510c",90,23,15,17,20,15,38,21,11,183,9,9
"MAB_3203",5,7,7,4,5,4,3,0,1,20,4,9
"MAB_2974c",100,88,60,75,67,32,31,55,42,51,15,42
"MAB_4837c",4878,2665,1892,2206,1393,2064,300,260,314,325,632,295
"MAB_0691",1930,2290,1904,2347,682,1366,866,938,922,1494,720,1204
"MAB_1011c",9440,7604,5539,3541,10420,4604,915,5208,6775,597,1583,537
"MAB_2735c",338,373,245,294,184,168,285,237,265,158,165,86
"MAB_4115c",29256,36890,27319,25108,18142,20047,17699,34563,38819,37871,18448,28289
"MAB_1104c",75,68,42,48,61,23,13,19,27,25,10,26
"MAB_0399c",2068,2094,1671,1283,1164,1455,905,1236,1191,1363,763,1235
"MAB_4212c",14201,8608,6198,6068,9632,4602,1625,5430,6183,2911,1751,1266
"MAB_3104c",9574,9191,8152,8192,4813,5149,4744,4524,3998,1326,2475,1633
"MAB_0404c",2242,484,418,556,1211,342,96,286,345,142,85,96
"MAB_2521c",146,67,35,42,50,43,22,32,28,207,25,26
"MAB_2992c",2730,2779,2043,1818,2042,1410,537,1811,1770,1184,711,840
"MAB_4023c",501,415,289,330,212,276,155,273,267,207,83,136
"MAB_1273",1682,595,570,521,960,275,8312,941,1154,560,228,107
"MAB_0854",881,2324,2148,1644,609,1343,1281,4304,4374,27,9,10
"MAB_1975",6650,5450,3899,5233,2899,3078,2282,3633,3031,2058,1114,2252
"MAB_2075",134,108,67,65,94,58,290,517,499,419,220,325
"MAB_3102c",551,677,566,481,446,354,387,395,403,296,163,277
"MAB_4343c",52,51,35,54,27,21,30,29,34,18,14,13
"MAB_1652",801,1832,2522,1355,1441,996,823,585,524,604,174,613
"MAB_2617c",2206,1155,924,1247,825,783,369,385,390,667,461,379
"MAB_1012c",12180,8599,6699,4558,15901,5106,1170,6827,8439,541,1602,564
"MAB_0072c",58,50,29,48,31,19,8,33,25,9,9,6
"MAB_2526c",329,90,52,52,54,77,25,43,15,542,25,27
"MAB_2848c",1691,1353,1044,1266,714,877,489,974,1059,661,397,533
"MAB_4022c",371,335,224,267,133,246,130,224,210,169,83,144
"MAB_1653",1326,2696,3126,2050,2110,1255,1074,908,777,803,334,746
"MAB_1809",11,12,11,13,8,4,5,8,5,0,2,6
"MAB_4368c",527,272,175,272,207,179,117,178,190,111,80,99
"MAB_1010c",7980,6087,4075,3187,8071,3869,684,4064,5338,554,1375,405
"MAB_2514c",155,51,42,62,34,50,38,36,39,119,9,18
"MAB_1006c",18535,18029,12878,6884,16226,14999,3682,11421,14245,1757,5023,1802
"MAB_2049c",1476,918,1328,579,892,1030,3202,1574,2716,720,173,473
"MAB_0664",23,30,26,18,24,16,9,13,24,14,8,14
"MAB_1409c",3933,944,496,1409,849,803,72,117,112,80,153,55
"MAB_1397c",270,137,133,142,135,102,49,52,57,110,59,104
"MAB_1673",2270,1655,1304,2299,833,882,1280,1049,1024,622,403,582
"MAB_3628c",1990,1246,975,823,1223,1011,330,1198,1408,483,317,365
