"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA0263.1,tRNA-Arg",1,4,1,3,2,0,20,49
"PA0296-PA0297,P1",91,87,187,227,266,34,139,138
"PA0826.2,ssrA",438767,646144,857747,1102303,1193050,199724,763290,569856
"PA0836.1,P5",0,0,1,2,4,0,1,2
"PA0887.1,P7",12,24,17,22,35,3,27,22
"PA0976.1,tRNA-Lys",3,9,3,1,2,1,5,12
"PA1030.1,P8",4,4,16,21,22,2,11,7
"PA1052-PA1053,sRNA622",1654,3382,5498,6935,8138,1446,1107,448
"PA1324.1,P9",11,17,10,7,20,2,33,36
"PA14_00010,dnaA",1285,1532,3169,3274,3603,639,2629,3422
"PA14_00020,dnaN",975,958,2436,2591,2571,493,1888,2132
"PA14_00030,recF",1091,1938,3335,3020,3423,618,3147,3491
"PA14_00050,gyrB",1339,1705,4134,4664,5207,852,4016,4602
"PA14_00060",115,223,139,131,140,33,204,289
"PA14_00070",94,223,164,152,157,42,266,590
"PA14_00080",114,107,131,170,165,22,18,21
"PA14_00090,glyS",336,450,665,534,387,100,930,935
"PA14_00100,glyQ",403,711,758,495,580,111,675,722
"PA14_00110,tag",40,55,66,33,35,11,62,83
"PA14_00120",178,325,410,285,326,41,573,848
"PA14_00130",68,72,126,115,113,14,107,151
"PA14_00140",8,12,7,14,9,5,11,14
"PA14_00150",7,6,8,10,11,3,38,40
"PA14_00160",42,41,100,124,81,8,122,103
"PA14_00170,trkA",207,382,517,523,555,107,397,484
"PA14_00180,sun",113,222,306,338,304,55,196,290
"PA14_00190,fmt",51,91,109,120,126,31,181,282
"PA14_00200,def",321,401,981,1062,1011,149,1025,817
"PA14_00210",271,297,567,304,375,83,397,532
"PA14_00230,smf",0,1,5,1,1,0,3,1
"PA14_00240",13,7,34,10,16,1,47,55
"PA14_00250,qor",116,86,774,403,496,63,351,384
"PA14_00280,hemF",159,458,2270,2111,2312,311,633,837
"PA14_00290,aroE",32,91,371,315,367,37,130,88
"PA14_00300,plcB",56,29,274,211,242,40,772,1374
"PA14_00310",10,16,78,55,58,13,186,193
"PA14_00320",10,6,36,32,28,2,61,96
"PA14_00340",3,2,4,3,6,0,8,10
"PA14_00360",5,1,16,8,4,3,16,13
"PA14_00380,betC",12,8,30,21,18,3,43,28
"PA14_00400",46,50,94,50,77,8,105,140
"PA14_00410",7,4,14,8,13,0,26,34
"PA14_00420",2,1,1,8,5,1,7,15
"PA14_00430,bvga",21,21,36,33,38,7,32,22
"PA14_00440,trpA",23,11,87,75,52,2,70,110
"PA14_00450,trpB",260,152,847,412,424,109,439,453
"PA14_00460,trpI",38,26,93,55,57,9,52,55
"PA14_00470",248,354,566,513,868,92,351,347
"PA14_00480",1005,831,1399,1410,1387,238,939,1612
"PA14_00490",87,67,27,14,14,6,11,4
"PA14_00510",323,226,179,125,128,21,24,42
"PA14_00520",17,28,73,40,52,4,9,4
"PA14_00530",31,22,50,38,32,8,48,82
"PA14_00550",36,25,63,52,53,4,41,43
"PA14_00560,exoT",74,84,694,601,491,66,327,436
"PA14_00570",147,35,51,52,43,13,14,13
"PA14_00580",45,15,13,18,8,3,9,13
"PA14_00590",21,8,18,19,14,4,9,13
"PA14_00600",16,9,9,353,37,48,22,32
"PA14_00620",63,96,108,4111,609,693,295,233
"PA14_00630",117,100,39,96,54,5,25,26
"PA14_00640,phzH",27,53,45,50,65,7,13,9
"PA14_00650",124,91,190,183,314,30,80,120
"PA14_00660",28,17,22,10,9,1,21,19
"PA14_00670",215,172,660,371,394,100,399,405
"PA14_00680",9,14,24,10,18,2,18,32
"PA14_00690",7,10,14,6,16,0,13,20
"PA14_00700",1,1,5,7,3,1,3,8
"PA14_00710,osmC",207,330,8,10,130,24,1327,1828
"PA14_00720",54,63,53,41,48,5,373,494
"PA14_00730",30,36,28,46,37,4,132,182
"PA14_00740",101,185,3,0,4,0,595,932
"PA14_00750",29,47,63,71,74,8,89,82
"PA14_00760",42,37,79,73,52,10,40,57
"PA14_00770",59,33,123,95,72,8,118,110
"PA14_00780",39,34,125,79,61,7,139,211
"PA14_00790,prlC",840,775,3173,2707,2773,447,3127,3725
"PA14_00800",152,55,449,346,257,64,391,513
"PA14_00810",10,9,6,12,15,4,25,43
"PA14_00820",3357,2197,283,445,450,69,138,157
"PA14_00830",5224,4813,645,757,796,138,841,797
"PA14_00850",118,153,8,10,5,0,2,4
"PA14_00860",64,65,3,7,1,1,3,5
"PA14_00875,ppkA",1451,1333,125,143,116,17,39,56
"PA14_00890",295,235,23,19,15,4,4,12
"PA14_00900",205,194,11,18,18,5,3,6
"PA14_00910",1516,990,79,135,119,24,34,27
"PA14_00925",310,212,31,26,35,5,6,7
"PA14_00940",468,282,32,29,39,2,6,12
"PA14_00960",145,70,9,23,10,2,3,9
"PA14_00970",555,328,90,178,230,21,42,45
"PA14_00980",772,449,281,446,429,76,246,201
"PA14_00990",3003,1842,58,56,46,18,57,62
"PA14_01010",5317,2287,116,116,75,34,37,49
"PA14_01020",13981,5958,272,254,233,65,150,161
"PA14_01030",1950,1151,54,31,52,10,43,44
"PA14_01040",214,97,3,6,9,1,11,10
"PA14_01060",503,257,6,9,6,0,2,1
"PA14_01070",626,459,18,7,9,1,2,4
"PA14_01080",2988,1268,22,22,11,4,13,9
"PA14_01100,clpB",2591,1719,60,53,56,12,59,72
"PA14_01110",1854,1587,46,42,42,7,89,106
