"gene_id","PA01.1","PA01.2","dsmc.1","dsmc.2","dmksB.1","dmksB.2","dd.1","dd.2"
"dnaA",2854,2510,3087,2993,2220,2183,2952,3118
"dnaN",2742,2667,2933,2938,2758,2877,2962,3113
"recF",1548,1403,1501,1537,1544,1443,1691,1798
"gyrB",5623,5482,5565,5368,5999,5830,5294,5451
"lptA",316,225,303,312,317,359,281,294
"PA0006",200,187,223,192,176,180,267,255
"PA0007",126,110,181,118,61,78,108,106
"glyS",1693,1369,1300,1180,2476,2490,1170,1136
"glyQ",940,876,755,847,1128,1073,669,735
"tag",61,53,58,65,65,66,53,43
"PA0011",308,297,342,320,288,328,219,243
"PA0012",36,41,44,39,53,34,39,53
"PA0013",57,59,68,62,72,64,60,58
"PA0014",12,24,22,18,11,18,23,29
"PA0015",56,57,48,57,62,61,79,74
"trkA",394,359,336,345,338,331,424,390
"PA0017",271,257,264,237,223,230,299,307
"fmt",258,269,258,264,228,219,374,429
"def",747,632,779,697,866,917,1069,1056
"PA0020",1186,1245,1136,1120,1531,1524,736,857
"PA0021",32,21,35,24,23,16,22,20
"PA0022",168,182,170,204,199,172,149,172
"qor",309,276,340,322,290,328,297,297
"hemF",2297,2115,1907,1856,1958,2038,2004,2365
"aroE",676,666,593,562,665,637,602,549
"plcB",221,215,267,231,166,168,190,227
"PA0027",135,121,132,98,71,60,98,111
"PA0028",37,31,22,27,10,13,27,18
"PA0029",31,31,33,26,20,20,36,23
"PA0030",24,25,19,27,21,18,25,26
"betC",87,96,92,85,93,78,105,103
"PA0032",86,103,107,91,83,81,97,92
"PA0033",50,51,70,52,35,56,61,66
"PA0034",48,57,43,44,40,33,64,64
"trpA",181,164,159,161,171,167,169,141
"trpB",399,374,431,354,449,479,338,323
"trpI",106,110,116,84,105,107,73,68
"PA0038",92,93,131,122,70,65,129,133
"PA0039",660,567,805,694,330,337,361,401
"PA0040",264,267,420,399,19,26,42,51
"PA0041",1420,1114,1964,1753,169,174,259,355
"PA0042",86,67,124,94,69,67,51,72
"PA0043",95,68,100,74,55,70,118,109
"exoT",993,937,171,145,2008,1967,1870,1954
"PA0045",726,535,924,813,86,79,129,97
"PA0046",461,320,615,476,46,32,32,35
"PA0047",441,387,662,478,41,26,44,42
"PA0048",106,80,131,113,16,22,23,21
"PA0049",87,64,64,80,28,34,74,72
"PA0050",2,5,9,3,2,0,1,1
"phzH",9,23,16,21,15,16,27,22
"PA0052",8,9,6,10,4,4,7,8
"PA0053",90,68,72,92,32,49,115,116
"PA0054",138,117,144,130,74,59,111,119
"PA0055",183,172,155,162,201,251,174,182
"PA0056",23,30,27,30,26,26,18,16
"PA0057",15,21,10,10,15,14,18,19
"PA0058",13,3,19,6,13,11,9,17
"osmC",42,40,56,38,19,15,71,62
"PA0060",45,40,59,37,34,23,51,74
"PA0061",117,75,93,88,43,82,173,134
"PA0062",37,35,39,38,29,30,64,62
"PA0063",202,248,283,280,211,224,260,285
"PA0064",298,264,341,287,195,169,183,150
"PA0065",234,187,204,228,245,291,152,165
"PA0066",181,190,154,161,260,258,151,161
"prlC",2473,2392,2548,2342,2194,2382,2450,2506
"PA0068",217,197,224,207,204,216,198,226
"PA0069",74,54,92,85,30,41,80,61
"PA0070",2362,2051,3369,2884,144,170,346,322
"PA0071",639,602,848,866,176,212,291,294
"PA0072",105,100,161,125,13,13,24,32
"PA0073",88,104,139,105,5,6,15,16
"ppkA",668,596,804,703,81,79,141,113
"pppA",154,170,223,207,17,8,27,37
"PA0076",153,123,215,180,14,13,24,39
"icmF1",895,767,1249,1070,72,82,147,164
"PA0078",322,303,417,354,27,32,52,60
"PA0079",430,345,550,449,47,50,106,106
"PA0080",164,151,201,205,9,8,47,61
"fha1",348,332,493,475,122,126,360,331
"PA0082",283,264,452,394,12,21,59,55
"PA0083",514,499,801,798,10,20,29,35
"PA0084",2101,1698,2880,2770,48,57,131,138
"hcp1",2365,2055,3064,2780,31,35,87,82
"PA0086",330,296,438,398,34,31,53,32
"PA0087",145,99,138,131,3,2,17,26
"PA0088",394,395,559,532,16,15,43,38
"PA0089",151,145,197,194,4,8,12,11
"clpV1",1493,1266,1997,1701,51,66,103,117
"vgrG1",723,615,959,880,37,47,65,56
"PA0092",140,119,138,157,24,30,22,23
"PA0093",363,379,579,504,61,40,70,56
"PA0094",183,161,287,215,18,23,32,23
"PA0095",785,708,1305,1210,138,130,254,228
"PA0096",36,52,102,70,7,10,14,12
"PA0097",144,148,197,207,8,6,22,27
"PA0098",95,82,111,135,5,10,21,24
"PA0099",219,144,294,319,26,20,60,83
"PA0100",350,352,489,435,97,85,153,122
"PA0101",138,166,247,185,35,38,48,47
"PA0102",307,275,272,280,403,388,561,544
"PA0103",68,71,57,43,62,57,69,51
"PA0104",101,95,118,91,140,139,137,122
"coxB",59,54,76,60,32,29,68,61
"coxA",65,50,52,54,43,40,82,73
"PA0107",11,14,8,5,5,5,13,9
"coIII",42,32,58,44,17,24,92,102
"PA0109",10,7,9,10,7,5,18,15
"PA0110",10,5,11,3,3,12,8,6
"PA0111",6,9,9,4,10,3,4,6
"PA0112",7,12,13,10,2,15,12,20
