gene_id,Control1_count,Control2_count,Control3_count,DTS1_count,DTS2_count,DTS3_count
PA0001,2117,1760,1878,7967,6089,5586
PA0002,2486,2323,2795,7160,4830,4667
PA0003,673,703,827,2698,1733,1879
PA0004,7380,5856,7955,19576,11012,12861
PA0005,156,165,193,203,156,148
PA0006,76,90,86,200,95,142
PA0007,2274,1808,1926,228,131,160
PA0008,612,505,678,2726,2034,1924
PA0009,377,265,440,1888,1350,1109
PA0010,65,67,62,79,66,45
PA0011,330,303,365,747,585,682
PA0012,21,30,30,15,15,11
PA0013,42,31,28,59,54,60
PA0014,4,3,9,11,6,12
PA0015,62,52,75,88,43,64
PA0016,931,884,1080,1357,993,934
PA0017,267,247,307,964,636,739
PA0018,254,217,240,770,509,567
PA0019,920,989,1253,3617,1439,1839
PA0020,1653,1712,1762,1202,862,747
PA0021,7,9,8,29,23,28
PA0022,124,122,130,297,201,265
PA0023,245,210,210,350,195,336
PA0024,1268,1261,1357,7822,3641,4240
PA0025,196,162,143,1730,690,1294
PA0026,494,409,423,228,149,159
PA0027,160,125,139,63,56,58
PA0028,29,18,33,9,17,14
PA0029,62,61,57,23,17,27
PA0030,22,25,29,43,18,33
PA0031,60,63,83,81,42,50
PA0032,56,44,52,101,80,108
PA0032a,73,32,38,168,69,242
PA0033,17,11,13,49,18,42
PA0034,26,34,30,96,53,50
PA0035,231,199,224,300,154,226
PA0036,411,317,319,549,321,414
PA0037,60,40,38,177,114,146
PA0038,472,411,454,668,288,495
PA0039,1457,1504,1854,1700,819,1454
PA0040,50.65,31.25,65.84,58.04,45.62,49.98
PA0041,356.45,460.79,438.38,364.37,281.73,331.37
PA0041a,49,75,84,24,165,23
PA0042,70,48,50,60,70,53
PA0043,57,49,58,49,50,49
PA0044,143,159,181,1208,6011,1444
PA0045,86,77,70,656,417,511
PA0046,12,9,17,82,58,50
PA0047,17,10,16,52,30,82
PA0048,14,7,6,17,14,15
PA0049,110,83,110,33,31,25
PA0050,1,4,1,0,0,0
PA0051,332,296,413,15,28,25
PA0052,125,91,106,6,1,4
PA0054,95,101,75,108,87,73
PA0055,514,408,518,464,226,218
PA0056,7,13,16,46,25,25
PA0057,18,15,17,39,30,18
PA0058,13,16,17,24,14,25
PA0059,1090,1028,913,378,194,276
PA0060,208,191,207,166,136,106
PA0061,113,107,122,179,112,142
PA0062,99,149,155,65,52,54
PA0063,175,109,139,201,158,171
PA0064,72,85,99,175,122,153
PA0065,105,100,115,171,135,112
PA0066,89,55,89,157,109,101
PA0067,2089,1577,2026,5258,2700,3427
PA0068,117,119,142,261,132,181
PA0069,48,52,65,930,184,387
PA0070,821,575,716,1601,1683,1314
PA0071,652,1030,915,518,407,393
PA0072,10,12,9,11,9,24
PA0073,12,15,13,5,7,6
PA0074,161,173,167,313,178,249
PA0075,18,19,16,63,40,41
PA0076,8,7,10,46,36,27
PA0077,190,141,148,405,267,318
PA0078,58,53,79,248,209,185
PA0079,70,78,70,308,412,319
PA0080,35,29,40,150,215,157
PA0081,379,399,447,1123,761,872
PA0082,123,96,100,288,297,294
PA0083,192,138,170,330,382,297
PA0084,959,681,860,886,1247,716
PA0085,367,225,302,344,338,408
PA0086,53,58,71,68,94,83
PA0087,25,15,14,22,26,9
PA0088,82,41,43,49,70,51
PA0089,34,22,38,30,20,13
PA0090,310,221,244,210,141,188
PA0091,113.35,79.17,97.77,108.88,77.39,80.61
PA0092,32,29,16,40,34,28
PA0093,44,49,42,46,57,55
PA0094,70,48,65,48,71,43
PA0095,368.13,341.83,352.27,394.12,320.8,457.82
PA0096,13,20,10,14,9,11
PA0097,39,34,41,41,29,19
PA0098,13,11,10,13,9,16
PA0099,130,92,119,73,54,56
PA0100,181,191,180,148,106,123
PA0101,70,60,61,43,25,23
PA0102,1015,885,955,1181,396,754
PA0103,47,32,31,60,44,50
PA0103a,122,124,113,232,233,209
PA0105,552,454,422,76,59,55
PA0106,391,289,272,88,75,89
PA0107,35,26,31,2,4,6
PA0108,486,512,409,103,37,86
PA0109,6,16,3,0,1,0
PA0110,14,25,23,1,6,2
PA0111,26,24,12,1,0,5
PA0112,24,21,20,11,13,3
PA0113,74,75,72,42,37,46
PA0114,889,704,906,1116,367,446
PA0115,70,71,79,93,49,82
PA0116,101,93,96,113,86,138
PA0117,25,37,22,65,43,59
PA0118,56,51,41,93,56,82
PA0119,137,99,89,821,615,841
PA0120,96,102,113,434,260,374
PA0121,72,74,76,250,150,214
PA0122,11398,9948,11544,114,86,78
PA0123,873,732,958,122,132,129
PA0124,29,43,31,134,107,146
PA0125,37,36,43,45,43,33
