gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA0001,9316,8103,40239,5310,5701,5500
PA0002,8256,6981,35843,4532,4164,4132
PA0003,2786,2130,11515,3139,3183,3349
PA0004,13714,11103,58231,12292,11663,12138
PA0005,558,396,2159,686,642,717
PA0006,714,506,2752,523,539,558
PA0007,1028,986,5040,823,789,883
PA0008,8000,7665,38669,7129,6987,6711
PA0009,3448,3071,15844,2511,2419,2509
PA0010,197,178,835,284,261,213
PA0011,571,430,2255,605,616,670
PA0012,65,66,317,125,86,97
PA0013,223,148,1093,280,261,279
PA0014,76,64,328,99,92,96
PA0015,315,286,1275,308,296,276
PA0016,3130,2799,14019,1421,1370,1301
PA0017,3845,3570,17398,1319,1247,1079
PA0018,3168,2975,14801,1395,1512,1263
PA0019,1593,1249,7110,1282,1179,1237
PA0020,1677,1341,7419,1539,1467,1397
PA0021,319,405,1863,488,451,382
PA0022,1080,950,4871,1152,1185,1091
PA0023,1592,1485,7540,1881,1864,1805
PA0024,1172,1137,5962,1603,1256,1347
PA0025,1134,1035,5457,1660,1554,1454
PA0026,767,653,3764,644,573,570
PA0027,1094,1163,5609,671,648,634
PA0028,500,498,2590,220,190,208
PA0029,547,525,2906,665,654,602
PA0030,310,308,1509,246,274,262
PA0031,375,337,1817,532,483,379
PA0032,239,309,1411,386,447,361
PA0033,386,300,1710,564,512,442
PA0034,164,166,807,405,396,405
PA0035,942,1004,4916,988,872,851
PA0036,1532,1479,6981,1526,1516,1360
PA0037,328,373,1975,605,622,543
PA0038,772,519,3141,678,656,690
PA0039,755,596,3017,413,360,422
PA0040,67,99,434,123,98,106
PA0041,1764,1916,10039,1410,1303,1234
PA0042,337,235,1333,413,376,433
PA0043,399,355,1987,650,600,593
PA0044,918,739,4200,614,558,708
PA0045,196,174,946,146,160,117
PA0046,153,131,618,210,213,176
PA0047,211,185,1105,241,208,181
PA0048,88,77,628,92,72,83
PA0049,283,261,1653,392,338,297
PA0050,335,342,2006,59,57,51
PA0051,1243,1245,6678,198,188,161
PA0052,268,240,1341,94,85,75
PA0053,205,229,1156,788,811,910
PA0054,344,432,2021,1433,1395,1391
PA0055,464,488,2358,1299,1279,1259
PA0056,293,288,1596,1163,1118,967
PA0057,254,195,1188,512,469,425
PA0058,236,215,1015,339,320,292
PA0059,2933,2657,14328,1374,1421,1432
PA0060,784,711,3453,885,820,825
PA0061,532,512,2523,1379,1253,1149
PA0062,516,353,2046,1124,1011,990
PA0063,1129,1030,5443,1248,1209,1164
PA0064,491,603,2935,713,610,418
PA0065,741,691,3693,832,810,727
PA0066,312,301,1604,408,402,339
PA0067,11184,10173,50431,7312,7343,6818
PA0068,1039,946,4817,882,818,788
PA0069,460,409,2202,681,598,532
PA0070,3438,3233,16082,853,841,791
PA0071,1078,1089,5361,583,587,515
PA0072,814,856,4137,301,308,232
PA0073,475,618,2834,119,156,115
PA0074,1987,2199,10018,630,583,494
PA0075,599,488,2549,221,215,200
PA0076,790,913,4305,248,233,202
PA0077,3488,3666,17497,777,735,619
PA0078,1482,1617,7474,472,458,417
PA0079,2561,2549,12848,783,879,830
PA0080,386,334,1811,220,219,195
PA0081,1134,1197,5885,738,706,748
PA0082,954,907,4866,715,653,525
PA0083,1082,994,5027,446,484,451
PA0084,2600,2747,13411,723,740,773
PA0085,1374,1172,6270,294,248,303
PA0086,1247,1292,6795,287,365,323
PA0087,465,570,2565,98,120,81
PA0088,1068,962,5083,245,191,221
PA0089,449,415,2345,170,143,123
PA0090,2922,2533,12947,691,615,565
PA0091,638,732,3222,909,839,750
PA0092,442,362,1704,629,566,653
PA0093,500,429,2638,589,554,569
PA0094,146,96,586,79,81,69
PA0095,2572,2353,13145,1520,1535,1406
PA0096,216,177,759,162,102,118
PA0097,451,528,2355,266,196,221
PA0098,431,506,2554,193,160,158
PA0099,491,379,1928,171,185,145
PA0100,623,554,3004,426,332,415
PA0101,849,908,4743,493,460,365
PA0102,1153,969,5489,841,839,711
PA0103,919,978,4603,1156,1030,966
PA0104,862,750,4027,532,502,497
PA0105,5262,4472,23145,2209,2341,2264
PA0106,8036,7429,38056,1975,1958,1983
PA0107,1484,1361,7055,453,419,443
PA0108,2876,2751,12880,773,672,776
PA0109,1136,983,5313,229,239,266
PA0110,1874,1668,8269,414,359,338
PA0111,1377,1105,5915,239,259,197
PA0112,1213,1177,5834,354,358,249
PA0113,1460,1332,7353,635,588,477
PA0114,1059,890,4424,702,612,582
PA0115,363,352,1707,578,516,585
PA0116,283,260,1276,556,559,594
PA0117,162,168,978,361,340,263
PA0118,69,95,516,105,102,79
PA0119,400,302,1979,2532,2568,2283
PA0120,567,570,2835,4449,4190,3642
PA0121,475,387,2073,3621,3810,3471
PA0122,835,662,3154,1280,1130,1226
PA0123,635,689,3119,1017,1097,1016
PA0124,43,60,430,362,339,323
PA0125,27,53,232,133,143,126
PA0126,505,441,2215,644,592,549
PA0127,243,240,1157,300,264,218
PA0128,71,89,461,179,195,198
PA0129,934,894,4061,1344,1356,1364
PA0130,2319,2183,11788,2169,2146,1861
PA0131,383,348,1778,370,379,371
PA0132,1053,1067,4977,833,893,909
PA0133,410,440,1867,734,763,710
PA0134,709,825,3725,1443,1451,1285
PA0135,20,34,130,38,34,24
PA0136,385,507,2399,499,495,421
PA0137,205,191,1091,320,293,222
PA0138,351,339,1747,410,343,263
PA0139,21271,16496,85190,1331,1349,1421
PA0140,75778,72357,364934,4880,4718,4525
PA0141,4228,3738,18653,3713,3766,3436
PA0142,614,476,2725,1724,1532,1374
PA0143,650,665,3261,703,758,657
PA0144,349,423,1783,608,602,444
PA0145,123,233,959,362,388,305
PA0146,218,222,1260,268,301,269
PA0147,386,408,2241,425,375,386
PA0148,620,552,3393,734,730,741
PA0149,411,442,1853,706,615,569
PA0150,292,461,1861,723,711,583
PA0151,376,440,2130,570,597,598
PA0152,404,429,2256,767,731,669
PA0153,181,184,1088,351,386,419
PA0154,213,285,1256,371,405,361
PA0155,302,277,1862,926,726,636
PA0156,978,1194,5368,2089,2091,1702
PA0157,1261,1416,6660,1535,1554,1311
PA0158,3205,3170,15235,1440,1282,1151
PA0159,1383,1241,6355,1137,1052,925
PA0160,34,30,256,33,52,42
PA0161,23,31,133,10,17,20
PA0162,470,478,1897,701,720,747
PA0163,345,314,1743,551,581,504
PA0164,449,517,2431,382,488,355
PA0165,221,161,890,430,454,432
PA0166,296,382,2046,532,604,470
PA0167,330,295,1709,629,471,506
PA0168,472,484,2735,495,507,409
PA0169,812,752,4040,468,458,405
PA0170,441,506,2537,245,241,197
PA0171,430,423,2290,351,320,288
PA0172,918,896,4628,587,690,494
PA0173,555,516,2353,175,178,135
PA0174,349,324,1969,80,73,72
PA0175,1149,1108,5312,140,157,158
PA0176,6284,5812,29051,694,869,704
PA0177,984,938,5052,180,173,120
PA0178,2835,3164,15134,861,649,650
PA0179,603,437,2038,228,228,247
PA0180,613,608,2708,454,481,475
PA0181,313,352,1889,605,548,475
PA0182,262,290,1519,187,172,119
PA0183,459,415,2044,478,402,383
PA0184,196,222,1388,493,529,400
PA0185,258,326,1581,611,596,439
PA0186,207,228,1026,277,383,317
PA0187,430,324,1683,84,84,57
PA0188,451,424,2224,189,164,114
PA0189,310,392,2033,544,495,471
PA0190,95,120,725,719,645,556
PA0191,152,121,710,677,708,582
PA0192,341,423,2035,751,710,629
PA0193,202,201,1164,353,316,358
PA0194,209,198,1219,317,248,291
PA0195,785,708,3397,492,520,463
PA0195.1,3489,3493,18107,2041,2080,1706
PA0196,1212,1107,5657,851,799,834
PA0197,189,161,886,367,302,324
PA0198,308,265,1398,880,870,743
PA0199,510,437,2463,618,612,566
PA0200,238,167,888,133,144,161
PA0201,415,529,2277,5660,5905,5117
PA0202,636,661,3232,19830,19648,17005
PA0203,280,254,1301,5473,5121,5153
PA0204,94,118,580,1228,1175,1166
PA0205,192,208,1044,1313,1210,1091
PA0206,198,219,958,888,844,907
PA0207,410,418,2120,777,735,692
PA0208,5926,5354,27789,3173,2975,2913
PA0209,2053,2347,11030,755,796,561
PA0210,341,380,1705,165,160,138
PA0211,1746,1850,8381,804,817,713
PA0212,1250,1173,5848,616,628,475
PA0213,1047,1125,5517,534,557,488
PA0214,996,1195,5543,575,583,448
PA0215,269,265,1412,131,154,147
PA0216,406,339,1755,437,389,367
PA0217,387,385,1765,693,571,529
PA0218,490,390,2317,721,674,664
PA0219,337,401,1830,332,340,350
PA0220,330,253,1372,427,300,325
PA0221,286,260,1193,177,158,137
PA0222,184,201,1013,117,113,127
PA0223,162,139,968,111,112,121
PA0224,180,160,878,162,184,144
PA0225,179,195,1138,365,400,411
PA0226,170,261,1076,504,506,441
PA0227,218,288,1265,382,354,319
PA0228,714,718,3665,907,880,743
PA0229,437,377,2205,425,424,450
PA0230,1522,1607,8314,1565,1593,1385
PA0231,1202,1127,5504,754,795,628
PA0232,761,643,3205,373,388,335
PA0233,494,627,2983,497,507,431
PA0234,193,179,939,235,213,177
PA0235,292,237,1379,395,335,339
PA0236,279,347,1499,270,225,245
PA0237,179,190,880,240,273,227
PA0238,206,196,1101,200,246,162
PA0239,154,169,924,228,200,208
PA0240,355,305,1895,847,856,752
PA0241,167,241,1027,559,553,522
PA0242,391,484,2018,595,643,539
PA0243,251,257,1170,321,305,314
PA0244,275,270,1330,450,540,460
PA0245,128,135,599,263,278,253
PA0246,683,614,3065,834,880,703
PA0247,291,304,1574,492,490,490
PA0248,370,367,1879,619,607,540
PA0249,795,859,3776,308,407,273
PA0250,816,734,3647,304,367,329
PA0251,179,141,747,214,160,171
PA0252,43,76,295,86,90,63
PA0253,198,183,769,285,244,269
PA0254,640,675,3347,1400,1386,1252
PA0255,412,430,1875,948,837,764
PA0256,311,204,1298,294,283,291
PA0257,193,160,746,329,347,379
PA0258,92,65,451,111,121,113
PA0259,887,806,4004,702,690,721
PA0260,789,764,3934,557,479,496
PA0261,98,91,467,76,39,62
PA0262,219,216,1132,190,210,218
PA0263,20,8,64,7,8,6
PA0263.1,10,14,39,9,7,16
PA0264,219,197,1065,551,587,502
PA0265,10660,10055,48360,17160,17564,16135
PA0266,12069,11490,57744,13311,12938,12514
PA0267,673,641,3622,1047,1072,900
PA0268,733,793,3845,1284,1427,1022
PA0269,406,412,2293,192,144,150
PA0270,886,789,4234,243,229,223
PA0271,641,628,3250,184,178,178
PA0272,904,1002,5034,666,560,551
PA0273,187,305,1432,296,249,226
PA0274,229,247,1159,417,333,352
PA0275,231,308,1391,675,650,555
PA0276,221,202,1029,299,303,263
PA0277,549,400,2079,1199,1121,1062
PA0278,182,218,1123,397,331,285
PA0279,334,348,1783,601,525,447
PA0280,751,838,3899,1973,1916,1876
PA0281,411,466,2296,1525,1418,1473
PA0282,634,531,2510,3562,3195,3297
PA0283,713,551,3130,11669,10526,11097
PA0284,102,115,530,2038,2181,2579
PA0285,1545,1474,7708,1506,1411,1363
PA0286,4251,3756,18904,2738,2552,2814
PA0287,197,325,1497,441,475,429
PA0288,272,342,1625,237,194,178
PA0289,372,452,1932,752,639,518
PA0290,647,535,2907,845,886,810
PA0291,2851,2510,12384,6562,6695,6085
PA0292,1849,1857,8878,2222,2211,1903
PA0293,229,198,997,653,529,516
PA0294,188,204,1032,154,206,174
PA0295,709,727,3585,463,547,526
PA0296,1144,766,4671,404,342,407
PA0296.1,3620,3330,16646,2345,2223,2291
PA0297,1440,1211,6293,1394,1401,1386
PA0298,4876,4452,22433,4677,4562,4222
PA0299,6108,5920,29983,5717,5579,5633
PA0300,5938,4740,25935,3546,3238,3606
PA0301,1864,1388,7746,1368,1240,1337
PA0302,4768,4140,21201,2791,2552,2892
PA0303,2652,2100,11384,1092,1026,994
PA0304,998,1082,5355,403,377,374
PA0305,2199,2102,9921,2448,2444,2085
PA0306,1500,1107,6158,877,713,778
PA0306.1,615,577,3040,946,873,797
PA0307,404,309,1851,600,607,597
PA0308,762,806,3718,2070,2053,1694
PA0309,1031,942,4884,1721,1579,1427
PA0310,578,417,2265,618,646,670
PA0311,104,107,541,197,210,153
PA0312,603,525,3029,828,827,707
PA0313,962,817,3982,1651,1452,1429
PA0314,508,491,2402,435,477,427
PA0315,2201,1914,10055,577,639,599
PA0316,10109,8796,46874,7306,7609,7065
PA0317,3484,2957,16134,4306,4231,4381
PA0318,1279,975,5522,925,984,823
PA0319,852,811,4524,1458,1410,1384
