gene_id,EV_1(GSM5097993),EV_2(GSM5097994),EV_3(GSM5097995),PA2577_1,PA2577_2,PA2577_3
D3C65_00005,12761,11211,14028,11068,11434,11243
D3C65_00010,10293,8556,10527,9455,9641,9540
D3C65_00015,4515,3938,4540,3947,3824,3932
D3C65_00020,19379,15879,18572,16403,16676,16006
D3C65_00025,1626,1427,1707,1520,1531,1674
D3C65_00030,796,746,797,614,720,748
D3C65_00035,481,394,497,591,510,550
D3C65_00040,8612,6977,8485,7350,7652,7397
D3C65_00045,4634,3782,4736,4490,4486,4480
D3C65_00050,425,344,384,271,331,324
D3C65_00055,1071,950,962,881,826,851
D3C65_00060,288,299,305,215,210,275
D3C65_00065,621,558,566,522,492,537
D3C65_00070,162,128,169,140,138,141
D3C65_00075,524,431,449,372,374,403
D3C65_00080,3168,2437,2713,2971,2707,2694
D3C65_00085,2173,1641,1896,1957,1966,1919
D3C65_00090,1677,1367,1564,1473,1457,1319
D3C65_00095,3378,3346,3788,3431,2664,2886
D3C65_00100,4585,3748,4095,4495,4392,4277
D3C65_00105,84,85,93,70,71,72
D3C65_00110,947,886,855,818,878,918
D3C65_00115,665,494,659,603,683,613
D3C65_00120,4956,4002,5617,5009,5738,5641
D3C65_00125,1673,1473,1816,1378,1554,1579
D3C65_00130,1082,1017,1384,1204,1112,1218
D3C65_00135,571,522,553,428,460,467
D3C65_00140,199,153,143,155,138,161
D3C65_00145,57,52,55,37,61,57
D3C65_00150,58,35,46,51,46,50
D3C65_00155,83,54,76,111,95,112
D3C65_00160,329,271,315,327,316,316
D3C65_00165,277,254,309,243,250,261
D3C65_00170,33,17,34,16,32,22
D3C65_00175,76,69,77,101,66,66
D3C65_00180,598,424,441,455,509,437
D3C65_00185,1090,906,1120,1038,1052,970
D3C65_00190,509,396,453,444,490,432
D3C65_00195,476,410,516,532,537,599
D3C65_00200,2604,2086,2478,2246,2197,2261
D3C65_00205,1826,1474,2039,2125,2003,1987
D3C65_00210,5240,4308,5145,4960,5147,5094
D3C65_00215,298,281,257,249,249,195
D3C65_00220,132,121,132,156,116,129
D3C65_00225,116,132,155,155,112,130
D3C65_00230,434,367,483,291,342,352
D3C65_00235,183,184,216,117,150,139
D3C65_00240,245,212,281,198,168,171
D3C65_00245,222,170,220,187,185,203
D3C65_00250,336,265,359,322,277,280
D3C65_00255,29,19,29,12,19,28
D3C65_00260,253,209,285,283,258,293
D3C65_00265,496,497,499,389,357,418
D3C65_00270,4049,3096,3712,4424,3970,3880
D3C65_00275,1740,1312,1491,1615,1639,1479
D3C65_00280,2345,1837,1991,2080,2309,2164
D3C65_00285,62,43,58,55,60,72
D3C65_00290,322,232,232,291,348,420
D3C65_00295,193,148,180,167,203,194
D3C65_00300,76,98,78,72,85,82
D3C65_00305,63,60,56,85,80,66
D3C65_00310,1196,1040,1338,1111,1104,1079
D3C65_00315,238,197,226,208,243,230
D3C65_00320,602,480,668,635,594,614
D3C65_00325,108,93,88,91,81,88
D3C65_00330,138,113,109,145,165,130
D3C65_00335,41,43,55,63,57,55
D3C65_00340,72,75,95,96,107,125
D3C65_00345,288,233,254,351,307,322
D3C65_00350,246,246,248,201,239,240
D3C65_00355,102,66,76,121,106,131
D3C65_00360,613,489,512,624,497,544
D3C65_00365,1320,969,1126,1101,1084,1077
D3C65_00370,752,566,642,669,636,604
D3C65_00375,919,728,765,789,822,833
D3C65_00380,6410,5027,6528,6398,6378,6436
D3C65_00385,550,418,481,483,470,490
D3C65_00390,211,175,196,294,296,296
D3C65_00395,9168,7098,8704,10983,10978,9864
D3C65_00400,1914,1625,2059,2229,2126,2196
D3C65_00405,521,423,478,524,572,555
D3C65_00410,385,346,388,474,478,485
D3C65_00415,2985,2251,2777,3448,3510,3224
D3C65_00420,763,512,620,747,697,720
D3C65_00425,603,504,568,631,682,677
D3C65_00430,4734,3612,4237,4820,5016,4634
D3C65_00435,1912,1270,1502,1878,1882,1807
D3C65_00440,2405,1780,2033,2230,2467,2258
D3C65_00445,1202,892,1098,1424,1255,1200
D3C65_00450,2095,1919,2541,2534,2180,2201
D3C65_00455,4472,3488,4512,4343,4124,4140
D3C65_00460,3880,2902,3410,3581,3647,3506
D3C65_00465,11280,8280,10397,11471,11742,11205
D3C65_00470,8501,6587,7254,8431,8667,8421
D3C65_00475,2133,1620,1778,1980,2159,2075
D3C65_00480,696,447,553,671,719,603
D3C65_00485,2547,1719,2102,2608,2732,2582
D3C65_00490,935,775,872,1095,1180,1047
D3C65_00495,6387,5069,6459,7510,8126,7614
D3C65_00500,2506,2065,2434,3046,3165,3001
D3C65_00505,816,572,619,745,671,679
D3C65_00510,1276,897,1069,1059,1027,923
D3C65_00515,909,656,793,907,805,749
D3C65_00520,1614,1335,1948,1774,1728,1725
D3C65_00525,165,122,176,187,177,179
D3C65_00530,334,256,333,319,373,304
D3C65_00535,233,173,223,228,223,251
