gene_id,PA_DP08,PA_DP09,PA_DP12,PA_RP01,PA_RP04,PA_RP06,PAEF_DP44,PAEF_DP45,PAEF_DP47,PAEF_RP37,PAEF_RP39,PAEF_RP41,PALDH_DP55,PALDH_DP58,PALDH_DP60,PALDH_RP49,PALDH_RP52,PALDH_RP53
PA0001,22,27,34,25,21,26,0,0,0,14,24,9,17,8,18,21,16,11
PA0002,19,21,27,17,13,29,0,0,0,12,16,14,13,12,13,12,14,10
PA0003,13,15,30,13,12,23,0,0,0,15,12,10,15,7,12,11,9,11
PA0004,49,44,53,28,46,53,1,2,1,26,45,25,36,39,20,33,26,40
PA0005,0,2,5,2,3,4,0,0,0,0,3,0,0,0,0,2,2,0
PA0006,4,3,4,2,1,2,0,0,0,3,2,0,3,2,2,3,3,0
PA0007,3,8,7,11,10,12,0,0,0,8,7,7,7,6,2,7,9,2
PA0008,7,17,10,6,10,11,0,0,0,6,13,8,9,20,9,13,8,4
PA0009,11,10,17,7,11,7,0,0,0,4,6,3,4,9,7,8,7,2
PA0010,0,3,2,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0
PA0011,7,7,5,4,6,3,0,0,0,2,6,3,2,2,1,9,7,5
PA0012,3,3,3,3,6,2,0,0,0,1,2,1,2,1,1,4,3,0
PA0013,1,2,1,2,1,1,0,0,0,1,0,3,1,1,2,6,0,0
PA0014,1,2,2,0,1,1,0,0,0,0,1,0,3,0,0,1,0,2
PA0015,0,2,2,3,3,3,0,0,0,1,3,6,2,0,2,5,2,0
PA0016,5,7,4,7,2,7,0,0,0,9,7,5,9,5,4,11,9,6
PA0017,3,3,7,1,3,3,0,0,0,0,2,2,0,1,0,6,1,2
PA0018,0,0,2,0,1,1,0,0,0,0,3,1,1,1,0,5,1,0
PA0019,20,14,17,11,18,19,0,0,0,10,14,13,13,13,12,15,9,7
PA0020,15,14,12,18,27,26,0,0,0,12,16,10,8,7,7,15,14,14
PA0021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,1
PA0022,3,1,0,3,1,1,0,0,0,1,0,0,3,3,0,3,0,0
PA0023,5,8,1,8,4,1,0,0,0,4,0,1,6,3,3,3,2,7
PA0024,6,2,7,4,4,8,0,0,0,2,9,4,4,1,3,5,6,4
PA0025,3,2,1,3,4,0,0,0,0,2,1,0,2,3,1,6,4,1
PA0026,13,9,7,7,15,16,0,0,0,7,7,7,6,5,3,12,10,6
PA0027,2,3,4,5,15,6,0,0,0,10,13,6,4,1,3,16,5,6
PA0028,0,0,3,1,3,2,0,0,0,2,2,2,0,1,2,4,4,1
PA0029,0,0,0,1,2,1,0,0,0,3,0,1,0,3,1,9,1,1
PA0030,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
PA0031,1,0,2,1,2,1,0,0,0,1,2,0,4,3,1,8,0,0
PA0032,0,3,1,0,0,2,0,0,0,0,1,0,3,0,1,4,0,0
PA0032a,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PA0033,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
PA0034,1,2,2,2,1,2,0,0,0,1,1,0,1,0,1,0,0,0
PA0035,5,2,3,0,2,3,0,0,0,1,2,0,2,0,1,3,2,0
PA0036,8,8,8,5,5,3,0,0,0,3,5,1,7,1,1,5,2,2
PA0037,0,1,1,0,1,1,0,0,0,2,0,0,3,0,0,5,1,0
PA0038,30,32,39,25,24,27,0,0,0,30,30,35,26,32,30,25,26,23
PA0039,46,58,41,45,32,34,0,0,0,26,49,41,47,43,27,33,45,22
PA0040,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,5,0,1
PA0041,13,12,16,14,12,16,0,0,0,14,19,17,24,15,10,69,9,11
PA0041a,1,0,3,0,1,2,0,0,0,0,2,1,1,0,1,1,1,2
PA0042,3,5,2,3,5,2,0,0,0,4,4,4,2,4,1,2,3,1
PA0043,0,1,0,0,0,1,0,0,0,2,1,0,2,1,0,5,1,0
PA0044,5,2,3,5,4,10,0,0,0,4,2,4,4,2,4,6,2,4
PA0045,1,1,0,1,1,2,0,0,0,1,2,1,0,1,1,1,2,2
PA0046,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
PA0047,0,1,2,0,1,0,0,0,0,1,1,2,0,0,0,3,0,0
PA0048,1,3,1,3,4,1,0,0,0,1,2,2,0,0,0,1,2,3
PA0049,10,9,11,6,8,4,0,0,0,7,8,7,6,5,8,20,4,2
PA0050,8,12,11,28,15,21,0,0,0,18,30,21,13,3,3,31,18,10
PA0051,3,4,3,9,7,5,0,0,0,4,2,4,2,1,3,5,2,2
PA0052,1,2,0,6,6,6,0,0,0,4,4,0,3,0,0,6,5,4
PA0054,0,2,1,2,4,1,0,0,0,0,1,0,1,0,1,3,1,0
PA0055,6,4,5,2,5,6,0,1,0,4,9,3,10,1,2,5,4,5
PA0056,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,2,0
PA0057,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0
PA0058,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0
PA0059,29,31,27,15,18,22,0,0,0,19,24,13,33,26,21,17,28,12
PA0060,3,7,5,4,1,6,0,0,0,3,5,5,5,3,8,2,6,2
PA0061,2,2,1,3,0,2,0,0,0,1,1,3,3,1,1,8,4,1
PA0062,3,5,0,2,6,4,0,0,0,0,2,1,1,2,1,1,1,1
PA0063,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,13,1,0
PA0064,3,1,2,2,1,1,0,0,0,3,1,1,3,0,0,1,3,0
PA0065,1,3,4,4,2,1,0,0,0,3,0,3,1,0,2,1,1,1
PA0066,2,2,3,0,1,0,0,0,0,1,1,0,3,2,3,2,0,3
PA0067,19,20,15,7,13,15,0,0,0,3,6,6,15,8,3,11,8,1
PA0068,1,4,0,0,0,0,0,0,0,1,2,0,0,2,0,2,2,0
PA0069,6,2,5,0,0,1,0,0,0,0,0,0,4,1,1,7,0,1
PA0070,19,21,21,14,15,18,0,0,0,8,17,9,20,15,7,19,15,17
PA0071,62,83,74,54,55,71,0,0,0,50,68,63,93,65,62,73,67,47
PA0072,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,9,1,0
PA0073,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,9,0,0
PA0074,5,5,5,7,7,7,0,0,0,5,7,5,5,3,3,10,5,1
PA0075,2,0,3,1,1,0,0,0,0,3,2,4,2,1,0,2,1,2
PA0076,0,1,2,0,1,0,0,0,0,1,2,3,1,1,0,8,0,0
PA0077,3,2,5,3,5,2,0,0,0,10,5,6,3,1,3,25,4,1
PA0078,0,2,2,3,0,1,0,0,0,3,3,0,3,1,0,9,3,2
PA0079,2,2,2,1,3,2,0,0,0,0,3,2,5,7,1,6,1,2
PA0080,1,1,0,1,2,0,0,0,0,0,2,1,1,2,0,1,0,0
PA0081,24,23,15,19,12,9,0,0,0,20,13,7,26,7,14,23,12,11
PA0082,13,12,18,12,13,9,0,0,0,11,14,21,19,4,5,26,6,7
PA0083,9,8,5,7,6,5,0,0,0,2,6,7,14,8,3,6,3,2
PA0084,30,37,30,25,21,22,0,0,0,15,28,18,36,23,17,25,17,10
PA0085,7,17,7,9,4,10,0,0,0,5,9,4,12,8,1,6,3,5
PA0086,1,2,2,1,1,1,0,0,0,3,0,2,1,1,1,11,2,2
PA0087,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PA0088,3,2,0,4,0,0,0,0,0,4,2,2,5,1,5,18,2,1
PA0089,0,2,3,4,1,0,0,0,0,2,4,2,1,6,0,7,2,1
PA0090,12,12,7,7,7,4,0,0,0,6,7,9,8,5,6,24,9,2
PA0091,3,3,5,4,3,4,0,0,0,2,4,3,3,5,3,5,4,1
PA0092,1,0,2,0,2,0,0,0,0,1,1,0,4,1,1,0,0,0
PA0093,2,2,2,3,0,2,0,0,0,3,1,1,5,0,1,5,3,0
PA0094,4,6,5,6,6,1,0,0,0,3,3,6,5,2,2,5,3,1
PA0095,11,18,12,13,13,13,0,0,0,15,19,6,13,10,6,19,13,5
PA0096,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0
PA0097,0,1,2,0,2,0,0,0,0,1,0,1,1,0,2,8,0,0
PA0098,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,5,0,0
PA0099,1,7,8,6,3,3,0,0,0,3,5,0,5,6,1,6,3,2
PA0100,2,3,3,2,2,3,0,0,0,1,1,2,8,1,3,4,4,2
PA0101,1,1,0,1,1,1,0,0,0,2,1,1,0,0,0,5,3,0
PA0102,39,42,19,18,22,10,0,0,0,24,25,7,41,19,10,21,7,9
PA0103,8,6,8,8,6,1,0,0,0,8,3,3,4,5,6,14,0,2
PA0103a,15,10,12,7,10,9,0,0,0,7,13,13,8,5,8,15,4,2
PA0105,4,5,2,9,6,7,0,0,0,11,9,4,6,0,0,7,7,6
PA0106,2,3,2,5,4,1,0,0,0,1,2,2,5,1,0,3,1,2
PA0107,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
PA0108,4,7,2,9,6,3,0,0,0,6,3,3,7,1,0,5,3,0
PA0109,1,2,0,1,0,2,0,0,0,1,1,0,1,0,0,1,1,0
PA0110,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
PA0111,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,4,0,0
PA0112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
PA0113,1,0,0,1,4,3,0,0,0,2,1,1,3,1,0,3,1,1
PA0114,13,12,19,11,18,23,0,0,0,8,12,5,9,2,9,6,11,5
PA0115,3,4,2,2,4,4,0,0,0,1,5,1,6,5,0,6,4,7
PA0116,3,6,3,4,3,3,0,0,0,5,4,1,4,1,1,2,2,0
PA0117,2,4,0,0,1,1,0,0,0,0,0,1,0,0,0,6,1,0
PA0118,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
PA0119,3,3,1,1,4,1,0,0,0,2,0,4,2,2,3,4,1,0
PA0120,1,1,0,0,2,3,0,0,0,0,2,4,2,2,0,2,1,0
PA0121,0,0,0,0,1,2,0,0,0,4,0,0,1,0,0,6,0,0
PA0122,115,152,115,228,162,157,0,0,1,155,198,163,147,59,51,194,141,99
PA0123,1,3,0,3,3,0,0,0,0,4,5,7,1,0,1,7,4,0
PA0124,3,4,2,3,3,4,0,0,0,1,3,1,3,1,1,3,2,4
PA0125,0,0,1,1,1,2,0,0,0,0,2,0,1,0,0,1,0,1
PA0126,2,0,3,2,1,0,0,0,0,1,1,0,3,2,0,3,0,0
PA0127,2,3,2,0,3,0,0,0,0,1,3,1,0,1,1,1,0,0
PA0128,1,3,1,1,1,2,0,0,0,1,0,1,0,0,1,0,0,1
PA0129,3,5,4,4,1,1,0,0,0,4,2,1,6,4,2,6,4,1
PA0130,1,4,1,1,4,3,0,0,0,3,3,1,0,0,1,6,0,1
PA0131,0,1,2,0,0,1,0,0,0,1,1,0,2,1,2,0,0,1
PA0132,1,3,5,2,1,1,0,0,0,5,1,0,0,0,1,1,0,2
PA0133,0,0,1,0,0,3,0,0,0,3,2,1,1,0,0,3,2,2
PA0134,2,3,4,7,3,1,0,0,0,4,3,1,0,2,1,6,1,0
PA0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0136,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,7,1,0
PA0137,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0
PA0138,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,4,1,0
PA0139,116,99,113,63,66,103,0,0,0,42,70,31,73,45,30,40,42,28
PA0140,1,3,5,7,5,5,0,0,1,8,6,5,4,4,0,9,3,2
PA0141,10,18,18,20,22,24,0,0,0,18,18,7,10,13,6,21,12,14
PA0142,4,3,4,2,5,5,0,0,0,2,3,2,3,5,1,11,4,3
PA0143,21,11,11,8,8,10,0,0,0,4,13,3,6,5,8,12,4,6
PA0144,1,1,0,2,0,4,0,0,0,2,2,3,1,0,0,5,3,1
PA0145,3,1,3,0,2,1,0,0,0,1,0,1,1,0,0,7,0,0
PA0146,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0
PA0147,1,2,1,4,0,0,0,0,0,0,2,0,0,0,0,7,0,0
PA0148,3,5,1,4,3,6,0,0,0,4,8,4,3,2,4,5,2,4
PA0149,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,6,1,0
PA0150,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,11,1,1
PA0151,0,2,0,1,0,1,0,2,0,1,1,0,0,0,0,11,0,0
PA0152,0,3,1,1,0,0,0,0,0,1,2,0,2,1,0,4,1,0
PA0153,1,2,4,2,2,3,0,0,0,0,0,1,0,2,0,1,1,1
PA0154,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,0,2,0
PA0155,4,6,3,3,7,4,0,0,0,2,0,0,0,2,3,4,2,3
PA0156,6,6,1,4,8,4,0,0,0,7,3,4,3,2,1,13,4,3
PA0157,3,2,4,3,6,5,0,0,0,1,6,0,0,3,2,12,1,3
PA0158,14,10,13,9,11,11,0,0,0,9,11,16,15,9,4,26,21,9
PA0159,2,1,4,5,6,2,0,0,0,2,2,4,3,1,3,6,4,2
PA0160,4,6,0,6,3,1,0,0,0,3,4,3,6,1,2,4,5,4
PA0162,0,0,3,1,1,4,0,0,0,3,2,1,1,1,2,4,0,3
PA0163,1,0,1,4,2,0,0,0,0,0,2,0,0,0,0,3,1,0
PA0164,1,3,3,1,1,1,0,0,0,1,1,1,0,0,0,11,0,0
