gene_id,ALE__1,ALE__2,ALE__3,COL__1,COL__2,COL__3,ctrl__1,ctrl__2,ctrl__3,NV716__1,NV716__2
PA0001,825,1986,1566,2008,1302,1093,489,619,773,1448,818
PA0002,380,867,736,1630,856,890,171,233,304,450,304
PA0003,888,2483,1488,3797,2459,1882,984,1185,1544,2253,1193
PA0004,755,1759,1325,3807,2311,2024,409,660,645,941,635
PA0005,165,449,282,432,296,230,61,93,105,272,196
PA0006,178,388,230,348,240,202,71,135,127,200,132
PA0007,829,2002,1197,4401,2423,2024,1386,1666,1847,2345,1557
PA0008,297,767,595,779,494,450,127,222,207,340,187
PA0009,118,340,267,207,92,98,27,37,33,106,55
PA0010,91,325,173,246,104,108,47,60,68,202,211
PA0011,194,565,471,778,434,390,113,144,208,302,264
PA0012,187,487,256,246,180,141,49,82,105,286,149
PA0013,107,242,163,109,93,44,24,29,35,153,94
PA0014,130,201,162,245,155,102,74,62,82,200,110
PA0015,365,829,544,1089,495,461,547,687,711,941,620
PA0016,250,701,432,825,500,440,258,337,383,487,272
PA0017,178,424,322,808,417,338,147,157,172,134,87
PA0018,88,276,213,294,163,144,51,102,97,83,77
PA0019,1564,3449,2306,3460,2223,1495,1310,1649,1855,3322,2276
PA0020,513,1518,1016,1423,853,697,282,308,351,656,325
PA0021,18,41,31,60,50,40,25,27,20,36,34
PA0022,118,273,185,287,179,126,68,54,56,138,77
PA0023,91,242,165,384,230,171,88,76,91,104,68
PA0024,79,184,145,356,195,162,40,60,52,69,36
PA0025,133,264,227,644,420,350,130,160,156,149,82
PA0026,33,94,84,318,221,184,117,110,173,94,48
PA0027,57,178,129,767,457,344,156,188,240,105,70
PA0028,77,165,82,719,404,285,108,127,163,143,71
PA0029,93,162,167,239,159,91,120,127,116,141,120
PA0030,30,47,36,87,63,40,19,31,44,45,21
PA0031,80,168,183,226,140,137,61,73,75,110,106
PA0032,236,568,380,418,205,208,116,151,211,394,216
PA0033,9,24,19,45,22,8,4,9,13,5,15
PA0034,89,221,87,156,88,69,65,57,57,93,65
PA0035,365,1191,744,1480,767,591,322,415,383,689,431
PA0036,950,2404,1358,817,492,442,159,255,266,669,428
PA0037,160,359,246,307,189,155,199,219,247,341,159
PA0038,1190,3383,1851,2377,1489,1141,1624,2122,2273,3064,1832
PA0039,2353,5000,3333,10768,6595,5212,2477,2756,3422,6157,3700
PA0040,123,293,214,234,146,73,41,69,87,181,111
PA0041,587,1588,882,3804,2077,1898,713,888,1059,1220,760
PA0042,49,141,107,242,144,116,123,153,137,99,60
PA0043,221,589,358,821,513,393,208,232,313,386,267
PA0044,253,590,362,993,629,491,241,320,480,441,327
PA0045,56,123,71,105,77,64,15,31,24,35,28
PA0046,47,137,82,143,113,49,23,12,23,34,43
PA0047,65,161,159,315,193,123,74,86,132,61,62
PA0048,29,57,30,95,57,44,40,74,75,81,35
PA0049,44,79,56,210,146,165,51,95,97,91,73
PA0050,186,562,302,708,433,343,133,213,228,358,291
PA0051,43,77,58,181,97,97,100,83,78,83,70
PA0052,41,110,58,345,210,175,75,80,114,71,32
PA0053,296,625,505,1126,634,505,176,242,278,433,242
PA0054,65,133,101,187,57,70,9,20,13,42,26
PA0055,80,220,154,194,59,90,17,23,35,58,43
PA0056,18,65,55,107,49,33,26,35,14,25,20
PA0057,21,98,51,74,42,34,23,28,33,69,68
PA0058,17,57,16,53,37,44,1,28,11,27,19
PA0059,402,905,647,755,358,311,219,307,334,600,306
PA0060,488,1401,846,837,399,351,307,417,530,1019,503
PA0061,422,944,563,1227,632,544,552,620,730,701,458
PA0062,226,483,215,236,138,92,79,84,131,341,220
PA0063,365,875,606,1056,568,454,206,288,345,335,150
PA0064,144,407,213,590,343,246,126,154,219,185,152
PA0065,74,190,104,188,155,101,56,67,88,108,52
PA0066,164,434,294,314,231,168,139,138,206,270,187
PA0067,883,2310,1587,1979,1108,976,361,533,568,1026,580
PA0068,166,490,417,601,274,266,69,131,131,149,106
PA0069,69,175,120,356,158,98,114,113,173,107,100
PA0070,370,892,620,2751,1452,1210,199,219,253,269,155
PA0071,1165,3231,1938,3291,1937,1626,943,1074,1418,2212,1395
PA0072,57,121,119,718,418,316,105,150,185,138,144
PA0073,83,146,86,625,338,303,94,100,138,141,98
PA0074,153,414,272,2045,1152,980,176,284,218,234,155
PA0075,38,127,85,524,329,234,43,85,79,106,52
PA0076,22,93,70,555,257,317,53,61,80,109,44
PA0077,413,1086,723,2732,1654,1359,421,523,568,693,420
PA0078,98,288,202,689,434,325,105,139,152,164,74
PA0079,111,266,197,473,255,222,78,116,138,134,105
PA0080,38,73,59,90,40,60,22,46,53,53,38
PA0081,636,1719,1082,1495,847,663,545,767,857,1428,831
PA0082,635,1559,1135,1228,670,594,384,556,528,965,689
PA0083,72,210,151,222,171,152,27,29,20,72,20
PA0084,192,477,329,969,470,486,69,73,82,187,77
PA0085,384,836,650,3251,1854,1564,195,232,255,336,204
PA0086,141,418,293,984,592,470,249,338,339,445,227
PA0087,20,62,54,127,82,78,22,38,39,46,20
PA0088,71,194,166,726,389,341,69,88,80,80,47
PA0089,72,212,110,669,348,330,77,116,106,108,76
PA0090,355,876,601,1706,1048,877,232,349,373,496,327
PA0091,152,342,261,1676,918,883,179,214,270,267,171
PA0092,21,52,38,83,70,31,10,13,12,21,25
PA0093,123,296,207,273,186,155,136,148,173,195,144
PA0094,78,184,110,192,121,99,37,66,37,94,56
PA0095,1689,4630,2812,4055,2244,1871,1197,1714,1972,2679,1439
PA0096,10,54,26,84,52,41,16,21,22,49,25
PA0097,77,153,109,355,264,195,110,100,127,147,107
PA0098,62,180,95,382,211,216,68,114,134,93,68
PA0099,24,90,70,426,179,214,46,52,66,42,40
PA0100,236,597,372,1172,692,686,250,261,351,383,257
PA0101,127,351,196,1091,561,412,201,212,297,349,149
PA0102,1103,2962,1953,1870,1099,798,668,826,819,3088,2047
PA0103,60,174,119,228,106,104,76,114,164,150,124
PA0104,125,274,157,405,229,178,103,172,195,198,113
PA0105,395,1009,510,2127,1322,1074,498,727,752,406,345
PA0106,19,108,71,324,239,152,123,106,121,86,49
PA0107,6,23,11,71,33,36,34,68,67,7,6
PA0108,37,51,34,329,204,148,113,149,150,36,20
PA0109,116,253,144,530,277,244,120,166,187,158,120
PA0110,40,65,46,260,144,134,147,190,184,62,33
PA0111,3,18,19,116,52,39,43,43,45,8,20
PA0112,10,19,11,124,73,42,23,21,43,11,4
PA0113,21,34,37,78,41,30,28,40,42,35,14
PA0114,308,738,523,829,452,330,97,156,111,440,314
PA0115,22,107,76,161,61,89,14,32,29,35,32
PA0116,153,477,277,791,413,304,147,219,223,282,234
PA0117,36,145,58,112,84,40,37,86,118,81,70
PA0118,27,52,24,132,56,74,40,22,54,51,21
PA0119,446,1230,672,976,694,459,576,829,908,1642,928
PA0120,236,602,357,842,426,370,901,1060,1297,1214,762
PA0121,81,191,114,559,301,279,474,753,795,319,202
PA0122,256,746,405,12716,7353,5584,643,804,931,548,321
PA0123,127,303,190,430,228,180,249,287,349,217,139
PA0124,20,60,44,90,68,58,23,46,74,43,60
PA0125,14,15,26,39,19,12,27,37,39,16,22
PA0126,41,103,58,402,252,203,19,15,9,10,32
PA0127,110,272,134,196,122,127,50,74,101,143,83
PA0128,108,242,179,218,108,99,56,63,89,109,90
PA0129,46,94,91,348,184,104,62,105,93,146,92
PA0130,105,297,285,3142,1567,1286,136,205,187,344,159
PA0131,15,55,31,608,297,221,47,58,68,86,37
PA0132,154,359,271,3639,1825,1563,192,270,323,503,310
PA0133,201,397,246,223,162,102,90,175,158,365,269
PA0134,1049,2457,1713,2140,1279,1066,1029,1452,1592,2482,1566
PA0135,14,37,20,38,14,20,19,32,23,43,16
PA0136,231,583,360,838,429,333,239,336,397,342,171
PA0137,22,23,28,76,37,19,19,31,33,32,13
PA0138,46,170,69,185,144,82,55,68,72,65,50
PA0139,585,1617,1075,1934,1602,1234,247,330,316,687,494
PA0140,123,321,195,400,252,243,85,120,127,159,113
PA0141,548,1539,1001,3973,2347,2008,461,628,733,869,474
PA0142,170,411,285,377,221,152,66,81,130,270,211
PA0143,114,201,106,491,363,262,56,44,63,68,47
PA0144,21,64,27,128,93,55,24,31,46,34,21
PA0145,71,135,150,223,106,114,37,42,76,92,42
PA0146,24,58,18,77,35,25,24,34,40,39,37
PA0147,109,188,109,278,154,108,31,92,81,125,83
PA0148,187,528,315,611,311,234,171,212,205,212,158
PA0149,399,1095,546,420,218,211,322,372,415,475,429
PA0150,244,643,412,469,262,205,316,426,408,127,116
PA0151,33,108,88,164,52,60,71,79,83,73,61
PA0152,53,186,98,151,125,68,34,42,26,63,48
PA0153,10,12,14,13,7,5,5,11,11,10,9
PA0154,19,44,37,58,49,32,14,39,9,35,19
PA0155,86,237,173,118,77,62,34,48,48,121,80
PA0156,380,1241,654,1264,827,578,473,523,749,802,480
PA0157,76,103,105,229,145,126,84,81,146,106,68
PA0158,533,1343,985,2425,1463,1306,701,842,1038,816,557
PA0159,183,349,257,705,400,365,142,202,185,234,175
PA0160,50,78,48,112,74,60,45,72,85,108,45
PA0161,80,230,90,295,134,148,122,190,184,283,114
PA0162,120,212,149,229,145,111,172,200,258,231,129
PA0163,126,281,168,259,136,129,62,54,58,110,56
PA0164,132,320,188,700,363,309,117,107,156,204,126
PA0165,49,159,68,77,49,62,26,38,44,68,49
PA0166,3,17,17,44,11,20,11,8,18,6,13
PA0167,204,628,415,317,176,134,64,82,104,507,429
PA0168,121,330,241,421,206,162,70,80,86,81,54
PA0169,48,179,112,275,147,143,34,25,34,31,18
PA0170,34,42,53,68,46,35,5,5,16,19,3
PA0171,5,51,31,65,13,13,3,5,6,5,7
PA0172,185,450,337,323,188,185,74,61,88,154,103
PA0173,20,57,32,260,96,172,49,60,60,40,49
PA0174,12,20,10,92,50,62,16,23,17,19,12
PA0175,78,132,75,401,261,250,78,121,133,124,102
PA0176,374,1034,597,3121,1573,1407,780,919,1093,880,564
PA0177,59,68,66,396,190,182,69,130,117,114,68
PA0178,187,449,229,1992,1231,1001,353,464,555,407,299
PA0179,209,634,376,1069,645,529,563,569,667,1001,581
PA0180,759,1841,1098,1466,886,741,587,632,791,1280,1046
PA0181,284,641,461,474,228,214,105,176,189,393,282
