"gene_id","CONTROL.R1...raw.counts","CONTROL.R2...raw.counts","NAC8.R1...raw.counts","NAC8.R2...raw.counts"
"IS492_00005",5375,14904,5812,14781
"IS492_00010",8099,22653,9093,24654
"IS492_00015",2976,9540,2938,9780
"IS492_00020",19074,57316,21215,62401
"IS492_00025",399,1448,518,1247
"IS492_00030",245,651,178,485
"IS492_00035",216,451,266,542
"IS492_00040",3689,12297,7124,13299
"IS492_00045",855,3300,1359,3007
"IS492_00050",108,268,115,243
"IS492_00055",613,1346,579,1280
"IS492_00060",56,134,74,133
"IS492_00065",64,178,83,124
"IS492_00070",46,117,45,94
"IS492_00075",327,828,293,726
"IS492_00080",1586,5346,1477,4589
"IS492_00085",2294,6779,2115,6127
"IS492_00090",1597,4490,1620,4559
"IS492_00095",2585,4527,2737,4827
"IS492_00100",688,2400,627,1863
"IS492_00105",103,218,131,297
"IS492_00110",509,1264,690,1330
"IS492_00115",569,1458,806,1470
"IS492_00120",853,3589,639,2188
"IS492_00125",830,2643,906,2264
"IS492_00130",254,1110,255,837
"IS492_00135",153,547,129,489
"IS492_00140",32,136,38,114
"IS492_00145",60,221,88,229
"IS492_00150",44,117,67,138
"IS492_00155",119,307,146,301
"IS492_00160",175,461,153,414
"IS492_00165",246,747,248,933
"IS492_00170",283,761,260,927
"IS492_00175",193,499,199,528
"IS492_00180",1615,3709,1994,3545
"IS492_00185",1612,4115,1694,3484
"IS492_00190",286,671,329,746
"IS492_00195",150,578,189,658
"IS492_00200",1908,3055,2259,3320
"IS492_00205",83,306,92,237
"IS492_00210",609,1891,684,1795
"IS492_00215",52,76,49,69
"IS492_00220",79,155,73,148
"IS492_00225",22,67,10,36
"IS492_00230",92,144,54,108
"IS492_00235",104,209,79,125
"IS492_00240",24,76,25,52
"IS492_00250",53,188,61,131
"IS492_00255",208,611,223,573
"IS492_00260",316,670,293,653
"IS492_00265",64,185,48,114
"IS492_00270",33,98,35,69
"IS492_00275",238,610,257,582
"IS492_00280",225,422,232,407
"IS492_00285",1586,5122,1940,4503
"IS492_00290",23,33,13,39
"IS492_00295",17,58,27,41
"IS492_00300",59,141,44,99
"IS492_00305",17,50,27,49
"IS492_00315",483,1136,508,982
"IS492_00320",109,287,144,332
"IS492_00325",54,121,52,111
"IS492_00330",71,187,59,155
"IS492_00335",644,1373,765,1762
"IS492_00340",504,1086,560,1099
"IS492_00345",1255,2885,1503,3066
"IS492_00350",842,2211,909,2041
