"gene_id","P.CK1","P.CK2","P.CK3","P.CK4","P.CK5","P.DDDY1","P.DDDY2","P.DDDY3","P.DDDY4","P.DDDY5"
"PA0001",1374,1096,1122,1272,1230,978,1514,1924,1776,1266
"PA0002",650,514,514,482,562,346,584,662,778,478
"PA0003",928,572,534,900,512,412,734,860,794,542
"PA0004",2660,2024,1878,1854,2220,1752,3004,3368,3100,2014
"PA0005",230,98,140,158,156,92,192,176,200,108
"PA0006",60,64,68,68,72,50,90,94,114,58
"PA0007",0,0,0,0,0,0,0,0,0,0
"PA0008",136,118,120,96,194,92,170,148,158,122
"PA0009",1698,1518,1664,1076,1878,1252,1612,1752,1568,1000
"PA0010",0,0,0,0,0,0,0,0,0,0
"PA0011",0,0,0,0,0,0,0,0,0,0
"PA0012",0,0,0,0,0,0,0,0,0,0
"PA0013",0,0,0,0,0,0,0,0,0,0
"PA0014",0,0,0,0,0,0,0,0,0,0
"PA0015",0,0,0,0,0,0,0,0,0,0
"PA0016",664,666,556,468,556,394,694,776,634,408
"PA0017",72,54,60,20,72,16,50,62,66,34
"PA0018",66,54,62,50,36,38,54,66,50,22
"PA0019",926,778,714,832,576,670,884,1154,940,646
"PA0020",1692,2000,2032,1368,1460,1226,1844,2394,1502,960
"PA0021",0,0,0,0,0,0,0,0,0,0
"PA0022",42,26,28,26,14,14,46,56,48,38
"PA0023",2,0,0,0,0,0,0,0,0,0
"PA0024",82,66,58,78,90,78,66,82,130,52
"PA0025",30,10,4,12,6,6,16,24,24,18
"PA0026",60,56,50,28,84,52,54,70,100,50
"PA0027",0,0,0,0,0,0,0,0,0,0
"PA0028",0,0,0,0,0,0,0,0,0,0
"PA0029",0,0,2,2,0,6,0,0,0,0
"PA0030",0,0,0,0,0,0,0,0,0,0
"PA0031",24,54,26,22,16,20,2,52,12,6
"PA0032",0,0,0,0,0,0,0,0,0,0
"PA0032a",0,0,0,0,0,0,0,0,0,0
"PA0033",22,22,30,24,20,20,20,32,14,10
"PA0034",80,82,68,60,58,44,44,82,50,20
"PA0035",132,62,96,146,24,62,50,136,116,80
"PA0036",814,506,594,626,340,352,516,790,682,300
"PA0037",0,0,0,0,0,0,0,0,0,0
"PA0038",0,2,0,0,0,0,0,0,0,0
"PA0039",1058,962,802,892,700,680,882,1356,984,584
