gene_id,PM2601,PM2602,PM2603,PM2604
gene-PA0001,21067,20184,22341,25380
gene-PA0002,25537,25879,27768,31630
gene-PA0003,17936,17280,16591,19093
gene-PA0004,50285,47275,55237,64284
gene-PA0005,3852,4113,3485,4412
gene-PA0006,2488,2326,1772,2252
gene-PA0007,3201,3517,2469,3513
gene-PA0008,19453,19971,23746,26999
gene-PA0009,13148,12216,13772,14946
gene-PA0010,1206,1156,839,950
gene-PA0011,3500,2245,1903,2310
gene-PA0012,1106,647,548,658
gene-PA0013,2424,1871,1094,1267
gene-PA0014,692,567,332,432
gene-PA0015,834,934,1155,1401
gene-PA0016,8365,10147,10511,12093
gene-PA0017,5650,5793,7983,10553
gene-PA0018,3376,3636,5686,7417
gene-PA0019,7140,6686,6603,7286
gene-PA0020,6229,6833,6130,7632
gene-PA0021,454,441,373,817
gene-PA0022,1465,1802,1638,1943
gene-PA0023,2719,3344,2560,3275
gene-PA0024,9809,9947,17077,19264
gene-PA0025,2320,2438,4062,4518
gene-PA0026,2067,2322,1988,2440
gene-PA0027,1215,1881,1601,2437
gene-PA0028,199,311,408,798
gene-PA0029,1055,1346,1448,2590
gene-PA0030,1065,1597,874,1584
gene-PA0031,2454,2671,1579,2661
gene-PA0032,1763,2003,1544,2319
gene-PA0032a,994,1202,896,1165
gene-PA0033,779,1173,715,996
gene-PA0034,1491,1560,948,1470
gene-PA0035,1951,2404,2190,3160
gene-PA0036,4627,5219,4329,5689
gene-PA0037,1071,1042,1064,1583
gene-PA0038,1317,877,1150,1229
gene-PA0039,2529,1603,2668,2763
gene-PA0040,5421,5769,3973,5624
gene-PA0041,11364,11582,8463,13801
gene-PA0041a,1869,830,418,513
gene-PA0042,1368,1119,788,1019
gene-PA0043,1661,1794,1889,3050
gene-PA0044,22350,21499,34096,36423
gene-PA0045,31671,29571,17651,22729
gene-PA0046,5976,4795,3763,3950
gene-PA0047,4994,5209,3923,4508
gene-PA0048,1381,1342,1212,1696
gene-PA0049,1190,1355,1395,2426
gene-PA0050,627,577,345,466
gene-PA0051,2705,3199,1654,2840
gene-PA0052,809,951,595,915
gene-PA0054,1565,1660,1731,2535
gene-PA0055,2920,3067,2856,3843
gene-PA0056,585,572,780,1361
gene-PA0057,1234,1679,981,1530
gene-PA0058,418,575,580,967
gene-PA0059,1301,1513,1238,1629
