"gene_id","WT_mops_rep1","WT_mops_rep2","pstB_mops_rep1","pstB_mops_rep2","phoB_mops_rep1","phoB_mops_rep2","WT_mops_etoh_rep1","WT_mops_etoh_rep2","pstB_mops_etoh_rep1","pstB_mops_etoh_rep2","phoB_mops_etoh_rep1","phoB_mops_etoh_rep2","WT_adh1_Ca_rep1","WT_adh1_Ca_rep2","pstB_adh1_Ca_rep1","pstB_adh1_Ca_rep2","phoB_adh1_Ca_rep1","phoB_adh1_Ca_rep2","WT_adh1_ADH1_Ca_rep1","WT_adh1_ADH1_Ca_rep2","pstB_adh1_ADH1_Ca_rep1","pstB_adh1_ADH1_Ca_rep2","phoB_adh1_ADH1_Ca_rep1","phoB_adh1_ADH1_Ca_rep2"
"dnaA",8176,7810,6664,4662,6740,4820,6905,4471,8077,7539,8201,4229,9950,7686,6486,9198,13457,7384,6940,10581,9006,8471,10079,10022
"dnaN",8964,8183,6554,4994,7033,5211,7288,4617,8538,7963,8548,4390,11623,8653,7987,9424,17836,8572,8103,11030,10078,8010,14078,9766
"recF",3568,3063,2959,1933,3244,2133,3259,1406,4448,3817,3740,1919,6019,3512,3659,3955,8435,3813,2521,4242,4652,3108,5922,5542
"gyrB",9415,7990,7923,5470,8612,5537,9742,5953,12063,10827,12137,5762,16532,10364,10439,10923,25563,11260,10263,11629,12058,7954,15667,10825
"PA14_00060",862,789,655,418,714,479,823,372,1141,938,870,500,1281,865,771,992,1813,956,784,1378,1331,1014,1527,1112
"PA14_00070",799,645,790,396,714,485,643,300,890,708,836,412,876,604,580,628,1426,749,507,839,1049,688,1155,1045
"PA14_00080",20154,15912,17291,15620,19576,11921,6574,5465,5744,5486,7045,3788,2859,2261,2719,2923,4136,1914,3517,1787,5841,1681,2022,1128
"glyS",2640,2483,2039,1517,2273,1426,2377,1694,4139,3372,3081,1597,4538,2705,3322,3577,7773,2986,3538,3314,4159,2899,4741,3504
"glyQ",1377,1377,1137,802,1142,868,1418,730,2489,2038,1771,907,2652,1619,1625,2187,3777,1757,1197,2048,1933,1729,2611,2298
"tag",427,339,343,215,371,271,347,234,389,359,463,172,539,423,432,425,755,402,404,436,496,373,527,479
"PA14_00120",1875,1654,1575,933,1755,1083,1381,683,1699,1446,1586,737,2369,1584,1731,1693,3814,1618,1297,1858,2005,1292,3008,3112
"PA14_00130",513,488,544,303,566,361,444,157,444,371,428,246,676,683,593,590,1127,620,284,710,660,458,897,1171
"PA14_00140",503,536,475,391,442,297,647,341,403,488,605,381,622,405,386,466,879,385,279,484,546,295,699,1147
"PA14_00150",134,136,142,119,132,115,166,85,110,135,144,101,177,87,111,124,153,87,70,121,159,96,94,118
"PA14_00160",330,402,231,190,276,182,184,178,264,222,263,203,297,199,245,244,595,281,248,220,249,188,408,648
"trkA",2932,2796,1968,1506,2223,1611,1813,1145,2434,2074,2144,1184,2304,1587,1621,1890,3776,1940,1374,2141,1769,1595,2551,2487
"PA14_00180",711,713,522,349,614,399,595,493,1125,875,786,501,868,545,704,795,2164,856,860,720,781,635,1466,1051
"fmt",468,503,336,210,384,242,395,330,763,618,523,401,608,355,450,495,1514,567,503,491,550,440,1152,838
"def",3680,3262,2655,1713,3128,2412,2240,1213,2503,2017,2587,1285,2296,1770,1206,1689,3917,2345,1419,2736,1833,1762,4121,5873
"PA14_00210",2643,2679,1702,1214,2329,1629,5007,2658,3906,4251,5701,2979,3827,2242,1312,1798,5234,3208,3091,4977,1869,2243,3696,4768
"PA14_00230",47,111,32,30,37,28,45,77,82,114,90,82,60,40,68,55,198,75,91,51,64,29,165,252
"PA14_00240",499,531,317,241,427,294,441,485,522,539,574,385,1201,808,955,817,2429,945,1012,748,840,615,1945,2583
"qor",1900,1978,1399,1040,1414,1004,1836,1453,1406,1313,1936,1180,3694,3113,2737,2257,5160,2188,2713,2749,2429,1646,4125,3314
"hemF",623,699,437,310,496,341,570,419,806,750,723,465,971,572,590,714,1665,793,641,782,779,600,1380,1264
"aroE",389,376,232,192,249,198,312,278,443,396,370,259,573,329,382,400,892,413,472,395,422,331,671,577
"plcB",4538,4716,5143,3482,2973,2353,7093,4114,10543,12883,3910,2214,13615,13682,16641,14906,4228,2794,11264,21061,11249,10125,986,335
"PA14_00310",2340,2118,3129,2162,1595,1095,3446,3815,5450,6473,2164,1319,7884,5775,10362,8975,2247,1412,14378,9679,6959,6198,533,181
"PA14_00320",327,318,432,287,241,135,521,536,824,968,318,234,1300,1053,1943,1660,368,217,2032,1737,1290,1116,108,54
"PA14_00340",388,545,451,341,281,209,420,414,693,842,309,350,804,634,1514,961,373,180,1060,910,1217,615,176,201
"PA14_00360",276,259,164,130,206,158,158,118,134,119,158,114,117,81,103,82,147,60,103,104,118,75,131,169
"betC",902,883,563,431,735,504,415,353,371,310,467,377,481,344,402,312,743,331,330,401,474,274,626,898
"PA14_00400",492,474,266,209,390,258,234,191,290,238,272,236,392,242,273,234,518,236,244,279,326,250,416,398
"PA14_00410",672,483,501,292,555,343,324,228,348,319,421,192,606,419,481,367,881,465,417,430,533,339,738,598
"PA14_00420",192,200,140,113,195,91,139,138,232,176,182,131,274,134,211,171,382,191,231,164,232,152,293,194
"PA14_00430",197,161,149,115,162,105,182,82,186,143,191,108,204,128,122,125,409,127,145,170,215,118,230,197
"trpA",1971,1222,734,576,1005,1067,908,773,889,811,1091,683,1224,854,891,1133,3811,1601,774,808,682,554,1120,822
"trpB",4338,2515,1638,1150,2063,2368,2054,1359,1716,1742,2360,1417,2394,1574,1565,1968,8932,2760,1210,1586,1399,1018,2451,1646
"trpI",135,182,81,68,85,68,112,95,157,143,117,135,172,86,109,93,273,118,132,103,90,86,125,174
"PA14_00470",9465,7791,14377,11768,9253,6478,14633,5067,5253,7061,11221,5857,4428,4168,3622,3843,3753,2753,1554,5338,4834,2679,2211,1363
"PA14_00480",27949,24178,36324,26901,26625,18146,36578,16298,19037,22819,30808,15860,17876,15669,12769,17489,12372,10772,7743,19555,14380,11542,6516,3307
"PA14_00490",523,702,301,282,406,323,321,309,294,332,383,426,200,128,206,143,383,204,167,135,189,104,403,941
"PA14_00510",1536,2509,1081,846,1197,951,1136,893,1225,1424,1222,1609,1099,812,1009,862,1726,832,753,918,1073,762,1376,3181
"PA14_00520",48,66,37,17,33,25,28,12,60,48,48,38,65,46,50,37,115,48,22,39,67,45,80,85
"PA14_00530",313,310,241,139,273,206,262,114,273,251,319,158,359,274,257,296,600,380,228,323,337,280,530,1122
"PA14_00550",320,439,191,141,209,140,166,162,307,345,214,295,381,259,394,344,731,321,273,242,368,225,532,607
"exoT",957,1080,717,531,864,596,1188,1019,582,602,1057,757,719,473,597,497,768,391,658,655,627,400,687,786
"PA14_00570",116,181,97,70,109,80,81,60,153,141,97,90,165,97,82,74,229,117,81,118,124,62,140,184
"PA14_00580",109,109,85,67,86,65,64,37,58,57,67,38,105,68,36,46,106,46,53,82,84,45,57,86
"PA14_00590",87,130,49,60,67,53,56,50,97,83,80,68,229,158,89,133,175,116,334,235,197,177,123,103
"PA14_00600",41,86,39,21,36,30,44,42,49,69,37,57,422,273,175,284,206,203,618,576,388,473,132,148
"PA14_00620",162,366,105,95,135,74,113,183,194,240,129,220,2390,1718,1222,2190,1248,1340,3399,3717,2551,3111,645,321
"PA14_00630",452,476,335,328,404,272,621,667,810,1070,627,437,3050,2110,1763,2769,2202,1651,4095,1838,2648,1689,1135,260
"phzH",4946,3824,4338,3270,4770,2840,5858,3507,9190,5891,7769,3088,11797,9637,11553,8195,37450,15891,26360,8973,35845,9350,24432,299
"PA14_00650",11330,9703,7597,6248,8686,6543,4626,4566,2754,2474,4363,2834,9663,7572,9628,9149,6365,4010,7490,5597,8489,4486,3465,155
"PA14_00660",155,166,106,83,133,69,180,88,246,224,229,180,383,282,294,330,850,343,308,289,349,236,591,539
"PA14_00670",775,961,520,418,555,435,760,428,937,952,998,608,2304,1881,1548,1638,4026,1948,1211,2008,1427,1255,3238,3041
"PA14_00680",61,193,41,41,43,37,50,81,119,143,76,155,90,52,69,75,126,49,72,45,64,48,92,82
"PA14_00690",165,266,131,120,143,96,204,210,291,272,207,212,430,278,269,314,860,365,453,318,327,244,655,440
"PA14_00700",53,130,37,39,35,33,60,74,79,98,69,131,122,69,98,92,241,83,79,78,86,61,126,107
"osmC",5998,5436,18528,13886,6816,4039,29234,23438,11958,16171,25053,14900,8802,8042,5977,9144,4794,4083,6199,11288,8212,5414,2267,1113
"PA14_00720",1544,1449,3927,2824,1656,1053,5632,4380,2473,3604,5091,2796,2084,1490,1579,1736,2419,1412,1358,2008,2177,1176,1613,2185
"PA14_00730",821,660,971,699,681,450,1332,1226,772,1027,1516,961,1188,674,889,857,1391,659,742,746,930,536,985,1073
"PA14_00740",322,273,539,434,291,209,932,712,388,538,986,651,1447,977,847,1124,739,511,625,976,631,741,426,392
"PA14_00750",525,477,343,259,461,309,380,279,439,382,492,337,664,442,523,461,1076,477,356,404,514,377,796,788
"PA14_00760",856,863,581,444,713,462,532,511,571,579,740,446,800,503,474,539,1623,678,610,574,602,474,1198,1743
"PA14_00770",697,656,444,329,500,402,506,433,526,484,658,386,566,414,373,438,1202,519,511,534,464,372,986,1168
"PA14_00780",707,837,454,357,597,392,465,438,526,438,664,396,543,391,378,406,1037,481,471,533,430,325,840,1202
"prlC",6727,5981,4647,3302,5121,3516,4134,3049,5185,4426,5301,2862,6074,4288,5337,4927,11332,4694,4713,5022,6411,3724,8986,6244
"PA14_00800",872,704,617,411,702,447,480,432,585,484,675,351,770,563,667,578,1304,591,822,628,832,465,950,818
"PA14_00810",253,282,177,116,214,157,176,126,225,193,191,198,321,139,242,173,1234,224,241,163,281,137,1066,2669
"PA14_00820",4089,4117,2805,2477,2901,2572,2488,1911,2725,3128,2730,2372,1714,1122,730,1338,2963,1725,1137,1442,1451,909,1919,6386
"PA14_00830",2922,3179,2745,1981,2759,1865,2417,1219,2860,2727,2443,1784,1992,1547,1514,1706,3516,2360,1094,2343,2267,1917,2880,6535
"PA14_00850",104,173,94,67,100,65,73,105,136,179,112,144,69,34,66,71,159,72,105,35,85,51,104,245
"PA14_00860",43,43,24,12,34,19,13,48,20,37,25,40,16,5,20,33,50,18,23,11,14,17,25,83
"ppkA",1682,1740,1658,1158,1516,1026,1048,975,1550,1611,1110,1060,777,480,467,732,1622,824,746,678,1037,617,1183,2176
"PA14_00890",352,386,324,221,292,230,197,217,320,304,249,208,161,143,92,158,354,192,179,131,193,105,230,513
"PA14_00900",317,354,280,223,275,228,153,269,278,333,194,273,148,94,131,165,369,198,251,152,219,111,273,543
"PA14_00910",3464,3386,2772,2112,2771,2266,1379,1556,2167,2111,1675,1626,1128,675,750,1081,2626,1242,1320,961,1706,853,1981,4412
"PA14_00925",948,939,700,493,746,610,346,520,536,575,474,463,315,177,201,321,732,420,550,219,486,240,626,1372
"PA14_00940",2098,1988,1331,1072,1475,1265,738,849,1021,917,877,781,597,361,401,616,1342,624,775,523,833,465,1092,2545
"PA14_00960",671,770,418,391,489,481,181,211,343,340,274,264,156,147,126,227,475,282,181,192,293,171,418,1257
"PA14_00970",1213,1227,733,644,978,810,458,332,479,461,510,327,362,312,303,367,776,439,423,450,577,334,654,1418
"PA14_00980",3992,4208,3092,2250,3487,2602,1671,835,1595,1511,1517,1013,1786,1290,1895,1441,3527,1585,1301,1945,3016,1488,3523,4132
"PA14_00990",1982,1912,1467,1055,1521,1226,901,641,1315,1315,874,717,746,446,568,653,1643,734,767,984,1465,835,1476,6569
"PA14_01010",5704,5297,3947,3616,4494,3408,2124,1910,3644,3309,2433,1372,1061,723,393,1016,2449,1698,1635,1429,1910,1171,2550,20177
"PA14_01020",14320,14009,11035,9823,11612,9255,5790,4202,10798,9342,6663,4338,3156,2049,1214,2741,6626,4569,3492,3742,5140,3047,6752,46015
"PA14_01030",9123,7505,8363,6357,7671,5651,3858,3253,5273,5286,4384,2664,3210,1765,723,2001,4437,3522,2888,2433,3292,1881,4404,34255
"PA14_01040",1389,1125,1140,807,1070,799,586,740,1011,949,856,560,513,254,170,322,916,542,662,441,624,373,826,5140
"PA14_01060",468,450,351,254,360,276,206,313,524,505,324,249,228,91,84,148,331,209,262,170,255,142,284,2031
"PA14_01070",1227,997,904,699,893,694,585,544,1121,1167,764,677,498,213,184,351,811,513,524,454,558,370,630,4042
"PA14_01080",468,505,402,352,399,298,298,260,642,579,342,368,250,111,78,186,346,272,206,203,239,161,279,1859
"PA14_01100",2936,2458,2586,2029,2415,1790,1691,1647,2709,2604,2178,1535,1363,643,393,799,2018,1249,1202,963,1306,818,1523,10118
"PA14_01110",1411,1329,1248,859,1221,840,972,985,1533,1604,1212,972,1028,470,456,537,1281,762,783,665,725,470,806,3980
"PA14_01120",454,360,306,200,383,261,276,246,268,260,336,210,249,117,102,122,429,211,193,160,173,110,270,730
"PA14_01130",645,593,394,284,448,408,295,184,332,301,436,268,308,165,147,138,462,273,152,203,205,152,316,1039
"PA14_01140",761,849,469,418,581,455,432,326,508,563,588,425,300,160,135,188,589,353,210,242,286,175,378,1663
"PA14_01150",832,868,456,414,512,480,408,224,529,535,500,345,369,222,164,257,651,443,140,364,292,223,393,1416
"PA14_01160",9930,8565,6781,5389,7701,6155,3534,2466,3182,3033,3958,2321,4470,3455,4584,3940,10160,4508,4751,4693,8151,3651,8472,12647
