gene_id,E113sig1,E113sig2,E113sig3,E113rhlR1,E113rhlR2,E113rhlR3
fig|287.13131.peg.1,9315,9627,8198,8525,8178,8932
fig|287.13131.peg.2,8036,7950,7178,8314,8360,9065
fig|287.13131.peg.3,2184,2544,2337,2754,2461,3197
fig|287.13131.peg.4,5737,6797,4570,6982,5113,7662
fig|287.13131.peg.5,5683,6929,4009,6397,3937,5467
fig|287.13131.peg.6,2052,2455,1648,2062,1568,2087
fig|287.13131.peg.7,3217,3779,2710,3109,2228,3274
fig|287.13131.peg.8,1313,1542,1405,1323,1136,1616
fig|287.13131.peg.9,571,599,792,597,495,964
fig|287.13131.peg.10,1574,1879,1400,1794,1444,1567
fig|287.13131.peg.11,1136,1403,1113,1327,1149,1554
fig|287.13131.peg.12,213,233,240,202,164,202
fig|287.13131.peg.13,438,580,452,403,473,563
fig|287.13131.peg.14,31,38,37,28,28,39
fig|287.13131.peg.15,159,155,140,139,111,137
fig|287.13131.peg.16,270,368,248,337,287,330
fig|287.13131.peg.17,1057,1267,1030,1264,1111,1144
fig|287.13131.peg.18,89,106,118,124,97,99
fig|287.13131.peg.19,97,123,69,108,58,98
fig|287.13131.peg.20,319,363,182,391,212,299
fig|287.13131.peg.21,655,791,698,927,645,878
fig|287.13131.peg.22,344,428,326,455,276,361
fig|287.13131.peg.23,2179,2356,1866,2618,1993,2518
fig|287.13131.peg.24,4233,4839,4773,4673,3919,5159
fig|287.13131.peg.25,15623,17246,19100,16904,17287,24572
fig|287.13131.peg.26,4084,4474,3303,4379,4216,3641
fig|287.13131.peg.27,63,77,71,75,64,35
fig|287.13131.peg.28,1559,1729,1671,1805,1793,1749
fig|287.13131.peg.29,931,1040,1059,973,1089,1114
fig|287.13131.peg.30,8098,7813,6555,7606,5235,6047
fig|287.13131.peg.31,1161,1258,1200,1401,1251,1669
fig|287.13131.peg.32,1019,1076,887,1186,797,1131
fig|287.13131.peg.33,342,400,318,474,364,403
fig|287.13131.peg.34,2555,2945,2374,2803,2692,3094
fig|287.13131.peg.35,795,799,494,947,668,680
fig|287.13131.peg.36,248,268,228,294,219,280
