gene_id,LawnControl1,LawnControl2,LawnControl3,PhoenixColony1,PhoenixColony2,PhoenixColony3,Edge1,Edge2,Edge3,Outer1,Outer2,Outer3,VBNC1,VBNC2,VBNC3
PA0001,104,83,77,89,52,78,41,240,55,38,155,188,138,56,41
PA0002,100,49,81,104,75,106,16,163,30,37,122,169,135,102,25
PA0003,68,42,67,99,122,68,18,173,24,25,83,82,113,19,47
PA0004,172,129,110,175,105,90,39,275,41,89,196,232,214,95,84
PA0005,23,21,12,24,47,20,4,43,8,7,20,24,60,17,18
PA0006,38,20,36,38,76,28,8,115,12,20,41,64,36,67,22
PA0007,112,42,102,168,75,46,58,258,74,90,347,263,111,156,80
PA0008,59,28,36,58,111,30,10,117,23,17,45,52,113,26,68
PA0009,49,44,51,46,90,35,10,100,12,9,18,62,86,0,42
PA0010,14,18,10,15,9,6,9,40,8,1,17,11,10,0,10
PA0011,102,64,59,109,30,66,23,158,54,40,134,151,131,65,62
PA0012,32,25,13,22,21,27,17,75,21,15,72,85,40,17,28
PA0013,37,33,26,33,60,22,1,61,6,0,7,7,33,11,9
PA0014,13,12,20,26,0,3,1,25,3,1,6,4,18,0,11
PA0015,16,17,4,14,39,21,14,59,17,7,48,42,3,30,12
PA0016,77,52,55,50,58,49,30,105,31,17,94,66,62,93,32
PA0017,63,51,56,17,9,43,6,103,20,2,14,17,74,18,28
PA0018,53,18,34,13,15,9,2,68,0,2,10,15,35,43,36
PA0019,93,73,57,105,37,49,49,119,79,61,226,170,111,25,42
PA0020,96,67,78,144,108,62,32,132,47,38,147,252,147,42,67
PA0021,16,13,8,4,0,5,1,49,3,2,2,2,19,6,13
PA0022,22,20,22,20,6,22,12,90,10,9,35,40,22,11,10
PA0023,23,14,16,20,46,21,11,54,14,10,63,67,35,0,24
PA0024,88,44,44,43,71,70,8,144,16,4,22,39,88,9,37
PA0025,19,22,14,14,0,9,1,52,9,0,14,18,8,26,0
PA0026,72,19,37,33,35,30,9,75,16,12,80,55,51,32,16
PA0027,26,8,17,10,44,3,0,56,3,1,36,14,35,9,24
PA0028,11,6,0,4,48,6,0,17,6,4,15,4,8,6,0
PA0029,29,18,14,34,23,10,3,60,3,1,6,4,8,8,17
PA0030,28,12,24,0,16,32,2,34,2,0,9,6,19,0,10
PA0031,83,27,51,15,39,28,4,143,9,3,17,20,114,74,37
PA0032,21,12,22,13,23,22,3,43,2,4,28,12,58,30,5
PA0032a,11,5,9,19,0,14,3,22,6,2,9,2,12,20,5
PA0033,16,6,4,0,9,3,0,21,3,1,4,7,34,35,12
PA0034,55,30,59,47,69,29,5,50,11,4,6,8,51,13,20
