"gene_id","X1.EV","X2.EV","X3.EV","X4.EV.IPTG","X5.EV.IPTG","X6.EV.IPTG","X7.RhlR","X8.RhlR","X9.RhlR","X10.RhlR.IPTG","X11.RhlR.IPTG","X12.RhlR.IPTG"
"dnaA",3309,4615,5689,5928,7049,5918,4313,3497,3652,3994,3528,3904
"dnaN",3104,4451,5187,5606,6036,4893,4312,3325,3227,3704,3403,3898
"recF",2254,3447,5067,4486,6214,5206,3948,3183,3060,3826,3375,3312
"gyrB",5482,7149,9269,9073,10631,8856,7948,6277,6234,7026,5847,6656
"lptA",514,759,905,961,1081,806,721,545,566,574,569,612
"PA0006",360,488,605,696,715,600,470,449,406,463,400,469
"PA0007",1087,1214,1052,1285,1499,1340,1060,1147,1164,1603,1277,1549
"glyS",3499,4286,5421,5369,5727,4923,3965,3055,3186,2826,2724,3302
"glyQ",1746,2703,3535,3193,3658,2967,2502,1805,1750,1756,1588,1902
"tag",307,402,363,471,459,420,367,296,280,368,285,414
"PA0011",796,1212,1572,1438,1770,1660,1277,1081,1108,1230,969,1168
"PA0012",148,200,258,334,380,273,209,184,170,189,213,218
"PA0013",122,163,206,213,281,200,199,177,189,173,130,185
"PA0014",29,49,43,64,85,60,41,32,27,39,46,39
"PA0015",524,622,702,773,878,761,676,583,701,727,583,806
"trkA",762,1139,1483,1370,1713,1342,1147,959,910,1036,949,1060
"PA0017",936,1170,1292,1338,1561,1217,1053,767,944,771,792,1003
"fmt",743,986,1054,1170,1217,1036,882,645,765,621,580,821
"def",1095,1501,1712,2017,2305,1873,1345,1045,1227,1167,1078,1268
"PA0020",1594,2288,2689,2829,3130,2586,2320,1915,1719,1973,1728,1906
"PA0021",155,161,179,184,195,208,165,140,179,138,119,195
"PA0022",1122,1525,1514,1546,1774,1592,1544,1162,1238,1298,1072,1553
"qor",1234,1885,2246,2527,2576,2172,2157,1821,1705,2032,1826,2263
"hemF",2344,3511,3655,4495,4898,3793,2100,1990,1793,1413,1436,1478
"aroE",1380,1734,1832,2230,2474,2082,1271,1070,1165,943,868,1181
"plcB",199,318,383,356,450,403,370,408,311,409,404,388
"PA0027",201,264,259,312,302,276,269,212,246,281,258,312
"PA0028",40,80,76,104,90,93,79,83,82,75,105,115
"PA0029",204,269,271,238,314,288,235,201,209,235,200,268
"PA0030",98,126,144,139,138,119,109,85,84,101,94,149
"betC",335,450,443,480,582,516,455,393,477,445,428,533
"PA0032",291,363,322,346,412,362,277,267,299,294,276,348
"PA0032a",230,288,340,391,497,348,300,249,248,290,210,295
"PA0033",100,156,123,207,201,150,126,107,134,119,124,141
"PA0034",146,170,233,227,275,238,207,150,212,179,139,204
"trpA",673,769,720,893,882,856,624,506,621,599,542,795
"trpB",1033,1190,1305,1582,1799,1418,1160,963,1010,1167,1065,1362
"trpI",466,581,625,582,716,637,538,459,476,493,395,616
"PA0038",479,744,1033,981,1455,1121,951,839,640,1215,950,873
"PA0039",2432,4018,4387,5032,6510,5529,4797,4268,4002,4519,4123,3825
"PA0040",742,1114,1181,1175,1371,1112,1035,823,782,713,712,927
"PA0041",3482,4112,4490,4151,5197,4214,3972,3127,3361,2958,2765,3447
"PA0041a",63,112,105,112,163,136,115,103,102,70,67,69
"PA0042",484,737,836,802,949,837,686,651,609,653,495,656
"PA0043",425,487,564,554,713,548,507,464,499,446,380,531
"exoT",393,539,532,589,687,536,504,495,433,499,402,532
"PA0045",404,637,999,671,997,762,659,478,442,308,282,343
"PA0046",573,821,1102,728,1189,953,750,624,584,405,375,452
"PA0047",1048,1000,1041,1024,1377,924,789,595,733,729,700,1044
"PA0048",1332,1336,1343,1592,1971,1403,1255,968,1117,2037,1631,2381
"PA0049",5295,6290,7412,7802,10218,7001,7058,5368,4922,10159,10340,11771
"PA0050",649,1006,1085,1373,1260,1131,1675,1249,1285,2246,1908,2240
"phzH",116,149,135,143,175,136,267,187,182,1125,918,1066
"PA0052",59,74,70,96,105,84,104,82,94,329,304,365
"PA0054",424,596,765,806,979,801,693,545,561,656,596,615
"PA0055",753,1234,1522,1647,1675,1380,1569,1287,1043,1386,1406,1403
"PA0056",285,381,344,356,420,394,297,290,313,281,267,365
"PA0057",153,193,184,170,215,169,218,146,189,213,180,289
"PA0058",94,90,125,114,148,100,110,107,94,122,82,135
"osmC",219,282,262,387,414,311,353,270,252,376,346,339
"PA0060",270,462,613,467,746,660,630,541,474,623,516,592
"PA0061",528,627,621,691,692,597,511,462,475,503,546,726
"PA0062",510,683,708,724,837,733,607,566,567,638,496,718
"PA0063",669,949,961,1067,1151,955,831,629,689,676,719,848
"PA0064",1255,1514,1473,1656,1758,1439,1335,1046,1122,1009,1030,1462
"PA0065",662,980,1104,1154,1366,1147,994,809,833,920,838,1020
"PA0066",839,954,929,1119,1162,961,870,692,844,697,636,922
"prlC",5197,6947,7648,9156,9135,7589,6088,4971,5146,5028,4805,5728
"PA0068",652,973,1157,1204,1345,1173,912,676,710,757,690,832
"PA0069",416,577,520,568,686,557,413,369,382,309,272,378
"PA0070",4315,5075,5216,5676,6538,4665,4702,3476,3367,2741,2916,3374
"PA0071",1152,1581,1645,1757,2379,1765,1579,1291,1212,1117,1208,1193
"PA0072",392,444,396,481,578,419,359,293,345,219,248,318
"PA0073",310,357,318,381,471,344,330,245,273,202,214,253
"ppkA",1852,2343,2493,2740,3098,2437,2059,1559,1676,1449,1472,1715
"pppA",411,482,483,555,623,488,390,300,358,294,289,342
"PA0076",506,572,553,589,658,438,441,233,299,237,300,395
"icmF1",3050,3308,3453,3417,4229,3174,3030,2105,2253,2054,1924,2389
"PA0078",1677,1849,1734,1684,2027,1726,1608,1248,1349,1090,1039,1416
"PA0079",1714,1853,1781,1754,2056,1634,1499,1207,1442,1134,1037,1478
"PA0080",426,603,571,562,693,488,495,375,428,329,301,379
"fha1",1394,1881,2039,2078,2792,2175,1890,1449,1496,1450,1405,1606
"PA0082",1708,2004,1856,1910,2371,1818,1614,1286,1488,1072,1054,1489
"PA0083",2413,2821,4072,3036,4778,3483,3709,2492,2391,2510,2286,2354
"PA0084",4206,5256,6479,5802,7828,5465,6036,4216,3661,3466,3491,3793
"hcp1",5952,6872,8815,7000,9950,7677,7192,5316,4914,5235,4376,4821
"PA0086",1720,1849,1689,1678,2184,1614,1539,1193,1308,948,974,1304
"PA0087",472,677,754,675,898,627,646,411,415,369,322,413
"PA0088",1419,1759,1744,1706,2195,1647,1483,1081,1048,912,873,1088
"PA0089",550,681,649,692,885,619,561,406,444,377,358,470
"clpV1",3091,3488,3652,3510,4803,3585,2954,2341,2314,2165,1971,2353
"vgrG1",1653,1839,2114,2124,2770,2038,1670,1347,1484,1176,1162,1450
"PA0092",423,510,590,539,698,563,491,417,409,421,315,452
"PA0093",874,1079,1221,1145,1585,1275,1138,924,923,870,729,1024
"PA0094",439,644,836,745,1081,866,849,653,591,684,682,651
"PA0095",1231,1505,1582,1636,2104,1632,1573,1232,1274,1308,1096,1516
"PA0096",149,189,209,199,252,188,191,155,156,131,154,168
"PA0097",484,599,585,589,766,598,660,434,488,404,379,546
"PA0098",285,296,355,321,379,311,296,223,241,250,200,297
"PA0099",156,262,329,328,433,316,286,243,203,236,226,227
"PA0100",1114,1177,1353,1334,1699,1330,1186,946,1062,1095,877,1178
"PA0101",600,682,691,760,787,581,555,457,476,418,437,547
"PA0102",1130,1564,1868,1876,2515,1989,1557,1305,1315,1436,1256,1375
"PA0103",230,355,468,412,553,415,403,323,317,393,330,417
"PA0103a",176,244,319,411,406,272,279,225,203,223,304,297
"coxB",904,855,755,947,1243,864,530,470,488,656,574,658
"coxA",455,382,425,531,752,511,352,278,326,460,460,437
"PA0107",171,155,140,159,282,173,101,95,92,148,133,149
"coIII",328,331,277,433,518,368,237,248,276,366,321,332
"PA0109",158,217,169,327,360,292,230,222,202,274,225,231
"PA0110",124,123,88,132,184,129,89,89,100,102,100,131
"PA0111",64,61,53,80,111,65,46,55,30,68,37,58
"PA0112",186,185,182,194,229,180,132,151,132,152,162,166
"PA0113",212,343,384,349,496,403,315,293,275,341,337,379
"senC",520,884,1106,1180,1263,1094,1150,942,923,1101,1076,1132
"PA0115",393,470,486,619,655,627,621,494,528,549,457,650
"PA0116",735,866,865,1021,1048,950,793,736,821,944,651,1037
"PA0117",136,168,204,193,261,184,170,141,158,218,183,207
"PA0118",187,243,269,324,402,289,275,270,234,344,283,353
"PA0119",228,246,294,259,373,235,199,181,204,246,200,286
"PA0120",371,383,472,393,581,478,414,347,368,581,429,577
"PA0121",256,315,267,286,344,270,223,202,230,262,218,287
"PA0122",225,302,321,347,471,432,5184,4576,3320,15085,15842,11963
"PA0123",577,649,660,747,769,662,1271,1100,1038,2726,2491,2630
"PA0124",142,213,244,220,280,234,225,169,175,184,162,199
"PA0125",93,114,114,127,139,90,91,67,94,74,73,82
"PA0126",574,712,856,669,877,664,694,521,473,332,325,459
"PA0127",276,331,371,426,496,415,366,291,305,324,264,343
"PA0128",502,806,867,1010,1010,870,748,615,673,379,351,486
"gabP",478,565,590,585,811,578,614,538,540,806,575,981
"PA0130",905,1169,1294,1444,1802,1243,1472,1231,1154,2199,1516,2738
"PA0131",143,155,150,182,202,174,158,148,141,191,178,288
"PA0132",405,428,469,513,729,437,585,539,544,1036,704,1350
"PA0133",348,469,602,519,692,527,491,418,379,453,399,428
"PA0134",626,831,819,1066,1296,884,699,668,673,686,694,858
"PA0135",11,21,34,21,33,22,30,17,14,22,20,14
"PA0136",226,272,249,252,301,240,243,174,258,205,164,232
"PA0137",67,118,119,96,127,108,89,71,96,86,81,106
"PA0138",115,167,190,213,244,196,164,146,144,161,176,166
"ahpC",4229,5641,6131,7619,7477,5699,6206,5035,4721,7644,7829,7771
"ahpF",1423,1854,1844,2483,2565,2220,1778,1502,1542,2283,2140,2530
"PA0141",5278,10136,10519,14512,13529,13879,7677,8899,4646,4278,4917,3068
"PA0142",813,1140,1243,1237,1260,1085,1012,758,891,617,643,833
"nuh",432,608,676,799,894,687,739,609,499,744,786,774
"PA0144",180,208,167,219,242,189,191,161,200,200,178,235
"PA0145",322,374,354,398,409,301,295,222,265,246,172,320
"PA0146",123,171,196,179,219,168,146,128,156,186,119,189
"PA0147",288,368,383,453,553,392,354,357,313,370,377,456
"PA0148",391,586,748,859,876,664,631,450,442,485,485,588
"PA0149",107,164,198,215,194,166,122,98,122,83,72,98
"PA0150",281,349,381,340,383,294,240,192,253,169,183,250
"PA0151",292,416,523,436,493,460,373,340,398,298,254,431
"pcaQ",435,621,703,657,820,695,589,493,550,558,496,633
"pcaH",258,262,325,285,410,337,255,242,255,299,243,330
"pcaG",206,219,230,259,295,242,226,186,155,189,180,247
"pcaR",398,578,503,661,665,532,457,382,417,407,401,524
"PA0156",667,864,906,972,1228,1081,888,764,798,894,759,1036
"PA0157",400,540,479,524,668,530,494,383,457,417,391,500
"PA0158",1105,1480,1640,1676,2060,1661,1529,1183,1277,1354,1143,1493
"PA0159",521,786,860,900,1011,852,774,632,652,717,626,766
"PA0160",63,86,86,118,159,108,81,82,84,81,100,80
"opdC",353,432,485,543,672,593,432,323,357,379,317,394
"PA0163",425,535,602,642,695,592,517,463,466,517,426,586
"PA0164",338,389,379,441,503,410,418,330,380,385,343,455
"PA0165",147,237,315,236,351,275,178,159,168,167,125,155
"PA0166",114,178,131,157,202,139,142,134,140,128,124,153
