locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA0001,7628,7528,8178,8641,7624,7501
PA0002,8713,8815,8698,12807,12175,11666
PA0003,5611,5751,6187,6689,6312,6390
PA0004,11174,11272,11301,27174,24127,25008
PA0005,1224,1248,1297,1248,1451,1147
PA0006,1217,1300,1340,866,879,860
PA0007,3950,3936,3822,7905,6868,12325
PA0008,2694,2510,2366,4664,4851,3318
PA0009,1847,1923,1801,1900,2446,1571
PA0010,605,522,598,524,590,534
PA0011,1887,2004,2106,1306,1391,1363
PA0012,764,771,862,717,631,772
PA0013,478,538,561,336,320,303
PA0014,169,231,240,145,158,148
PA0015,521,464,487,648,522,635
PA0016,1187,1264,1258,2144,1990,2015
PA0017,379,371,341,872,815,699
PA0018,324,286,264,633,622,397
PA0019,3404,3699,3838,3815,3142,3785
PA0020,10434,13648,10084,2322,2437,1947
PA0021,97,115,116,59,49,48
PA0022,896,942,877,969,859,924
PA0023,1178,1177,1155,1359,1156,1346
PA0024,1449,1511,1343,3311,3736,2533
PA0025,745,808,708,1584,1713,1199
PA0026,1395,1748,1286,798,710,668
PA0027,719,809,701,419,299,338
PA0028,112,160,119,99,69,75
PA0029,125,158,140,117,82,110
PA0030,67,68,73,93,65,80
PA0031,394,377,414,371,285,416
PA0032,377,442,418,483,375,530
PA0033,280,297,291,656,501,672
PA0034,255,230,278,278,261,281
PA0035,1832,2105,1899,1053,1093,987
PA0036,3174,3668,3241,1570,1712,1388
PA0037,184,238,206,177,154,144
PA0038,4186,4970,4989,4940,4366,8893
PA0039,12371,15984,16050,16439,12544,24149
PA0040,866,1023,919,561,641,521
PA0041,3746,3935,3872,3069,2689,3145
PA0042,512,568,587,391,320,431
PA0043,259,323,262,508,442,488
PA0044,6695,17892,5359,529,451,543
PA0045,1087,1547,999,630,950,588
PA0046,708,888,659,381,505,294
PA0047,403,433,274,392,410,261
PA0048,133,143,119,118,100,83
PA0049,101,93,64,81,80,65
PA0050,993,1226,954,1632,1569,1862
PA0051,231,205,210,475,360,589
PA0052,421,357,371,890,676,1289
PA0053,870,959,924,1117,909,1295
PA0054,681,636,564,788,688,769
PA0055,819,791,730,893,877,766
PA0056,103,105,97,82,83,90
PA0057,79,90,79,132,117,107
PA0058,32,28,28,68,42,43
PA0059,1121,1630,1367,1095,913,1379
PA0060,737,949,874,880,664,925
PA0061,565,584,514,699,543,651
PA0062,206,199,216,173,174,160
PA0063,405,400,353,684,498,540
PA0064,621,722,624,796,821,764
PA0065,721,777,657,774,819,748
PA0066,805,843,733,858,763,807
PA0067,3677,3449,3216,5795,5148,5215
PA0068,671,742,626,1126,936,1096
PA0069,242,275,229,320,338,289
PA0070,8181,7450,6520,9996,9888,11696
PA0071,4283,4435,4269,3600,3411,4327
PA0072,186,185,132,193,153,152
PA0073,136,122,111,193,122,153
PA0074,1821,1736,1497,1374,1326,1463
PA0075,523,537,504,364,385,338
PA0076,414,426,394,308,271,272
PA0077,2780,2868,2362,1919,1830,2018
PA0078,859,840,671,568,588,540
PA0079,1545,1533,1243,1015,1071,1164
PA0080,943,966,808,650,622,706
PA0081,3247,3743,3348,1753,1629,2063
PA0082,3488,3738,3637,1847,1894,2225
PA0083,6938,6464,5870,4078,4020,5053
PA0084,12643,11392,10509,8290,8448,9214
PA0085,11024,9414,9700,5192,5471,6278
PA0086,1467,1299,1183,582,517,552
PA0087,876,715,686,370,358,320
PA0088,1889,1850,1779,947,914,1015
PA0089,1402,1413,1385,816,711,854
PA0090,4681,4281,4046,2931,2889,3312
PA0091,4042,3824,3896,2648,2344,2850
PA0092,1218,1379,1344,751,822,805
PA0093,1571,1998,1728,830,879,950
PA0094,1119,1354,1083,597,623,725
PA0095,5907,6206,6489,3680,3193,4743
PA0096,578,542,550,377,379,490
PA0097,773,768,688,476,466,580
PA0098,391,396,331,293,255,331
PA0099,1772,1820,1736,815,833,1128
PA0100,3133,2942,2881,1823,1675,2378
PA0101,841,681,690,638,542,656
PA0102,1316,1412,1412,2714,2264,2476
PA0103,166,203,167,299,246,246
PA0104,655,832,697,485,540,398
PA0105,10882,10572,11466,2420,1827,5230
PA0106,6845,6187,6310,1798,1585,4282
