"gene_id","PAO1161.EV_1.GSM4975402.","PAO1161.EV_2.GSM4975403.","PAO1161.EV_3.GSM4975404.","PAO1161_PA3973oe_1","PAO1161_PA3973oe_2","PAO1161_PA3973oe_3","PAO1161_WT_1","PAO1161_WT_2","PAO1161_WT_3","PAO1161_dPA3973_1","PAO1161_dPA3973_2","PAO1161_dPA3973_3"
"D3C65_00005",7007,7668,7065,6057,4959,4795,12084,11398,17156,14040,13791,15638
"D3C65_00010",5861,6204,6003,4532,3762,3787,9331,9320,13102,10146,10313,12438
"D3C65_00015",2227,2479,2337,3438,3072,2856,6581,5673,8585,6840,7482,8183
"D3C65_00020",12112,13562,12892,10386,9526,9181,19221,18816,26718,21227,22186,27490
"D3C65_00025",855,859,732,868,708,741,1686,1899,2621,2044,2194,2496
"D3C65_00030",483,527,428,431,389,373,979,974,1586,1216,1566,1703
"D3C65_00035",343,400,357,316,272,270,554,530,770,726,777,1040
"D3C65_00040",5258,5405,5366,3836,3494,3324,7937,8280,10762,8345,9159,11912
"D3C65_00045",3183,3398,3109,2365,2112,2046,4870,4810,6798,5447,5916,7310
"D3C65_00050",157,150,181,143,123,153,387,397,686,537,557,642
"D3C65_00055",616,687,653,610,569,529,1456,1233,2155,1693,1875,1992
"D3C65_00060",168,240,219,209,193,211,445,380,631,494,617,666
"D3C65_00065",354,346,298,457,412,333,953,837,1187,669,964,1188
"D3C65_00070",82,92,72,58,46,50,147,133,188,152,193,210
"D3C65_00075",300,268,256,232,228,216,477,571,621,533,663,890
"D3C65_00080",1483,1555,1371,1799,1615,1429,3136,3304,3843,2869,3953,6229
"D3C65_00085",999,944,810,1097,862,807,2015,2103,2247,1787,2267,3608
"D3C65_00090",671,691,614,774,628,572,1351,1289,1491,1205,1508,2461
"D3C65_00095",1537,1764,1664,1535,1372,1343,3861,3794,5062,3973,4656,5464
"D3C65_00100",3077,3235,3401,2431,2090,2035,7448,8816,12038,10482,9055,10956
"D3C65_00105",68,63,64,25,21,25,63,61,81,60,56,108
"D3C65_00110",697,761,757,588,472,431,1452,1379,1891,1315,1471,1879
"D3C65_00115",481,541,545,290,236,271,929,1058,1347,1082,1151,1567
"D3C65_00120",4291,4923,4366,1294,1385,1471,3447,4680,6465,5601,5828,7114
"D3C65_00125",1528,1658,1626,719,615,620,1247,1603,2248,1820,1905,2541
"D3C65_00130",1150,1211,1185,529,515,534,1805,2380,2802,2682,2520,3046
"D3C65_00135",383,384,404,309,236,205,1054,1384,1666,1172,1191,1464
"D3C65_00140",153,111,112,114,98,85,389,517,535,420,386,519
