gene_id,PAO1SDS_433,PAO1SDS_434,PAO1SDS_435,PAO1day4_400,PAO1day4_401,PAO1day4_402,PAO1day5_403,PAO1day5_404,PAO1day5_405,PAO1day6_406,PAO1day6_407,PAO1day6_408
PA0001,276,139,455,213,121,168,111,123,185,144,229,223
PA0002,232,144,395,128,86,74,51,52,109,77,156,98
PA0003,173,83,232,124,64,67,40,47,88,64,104,75
PA0004,385,218,589,204,140,136,96,109,171,149,228,162
PA0005,23,15,50,18,15,12,13,4,6,14,23,11
PA0006,22,23,48,17,8,16,14,8,15,13,22,20
PA0007,12,7,26,19,16,15,18,22,22,20,48,22
PA0008,140,98,233,70,42,48,30,43,52,41,78,50
PA0009,97,59,131,56,32,28,22,40,41,19,59,40
PA0010,11,10,26,11,5,3,4,2,4,2,8,8
PA0011,41,30,80,38,25,20,11,20,38,21,43,20
PA0012,21,14,25,17,7,7,6,6,13,10,16,18
PA0013,12,5,19,3,3,4,3,2,4,2,4,2
PA0014,2,0,3,4,1,1,1,0,2,2,1,2
PA0015,12,11,21,9,7,2,3,4,14,6,16,10
PA0016,40,36,61,20,13,21,13,10,21,27,22,25
PA0017,44,35,90,25,13,14,12,11,18,14,24,19
PA0018,36,22,86,10,10,13,14,20,18,19,37,20
PA0019,68,63,175,36,43,34,17,37,43,47,85,39
PA0020,102,91,229,89,58,89,42,52,91,63,157,102
PA0021,2,6,9,2,0,1,0,0,1,0,5,0
PA0022,27,15,38,18,10,13,3,2,8,5,20,8
PA0023,37,21,69,17,11,20,13,7,22,13,22,21
PA0024,100,65,167,96,87,76,68,72,96,91,217,96
PA0025,27,27,67,25,42,28,23,28,26,41,76,45
PA0026,46,31,104,47,53,45,22,23,47,42,64,62
PA0027,14,13,39,10,14,10,4,3,19,11,29,17
PA0028,15,5,19,3,4,2,1,0,4,0,6,6
PA0029,8,4,18,7,3,0,1,5,2,5,2,6
PA0030,2,0,1,0,0,1,0,0,0,2,1,0
PA0031,4,5,7,3,4,5,0,0,2,3,5,7
PA0032,6,10,8,8,3,1,3,1,5,0,12,4
PA0033,7,3,17,3,2,2,0,2,1,1,5,4
PA0034,21,10,19,10,3,6,1,1,8,10,6,9
PA0035,47,26,72,24,12,20,9,10,19,20,41,14
PA0036,70,55,138,36,23,33,22,24,32,43,55,41
PA0037,8,4,15,3,2,3,3,2,2,3,5,5
PA0038,161,158,123,320,222,328,260,240,379,382,717,389
PA0039,56,42,53,77,67,74,42,41,72,63,131,91
PA0040,3,2,6,0,3,2,2,0,3,0,7,2
PA0041,55,31,51,47,26,27,21,27,45,28,43,43
PA0042,9,6,9,4,2,3,3,0,4,2,8,0
PA0043,12,7,33,8,5,4,1,3,7,4,11,4
PA0044,184,107,414,167,117,119,69,73,155,146,178,150
PA0045,26,15,32,19,10,8,11,12,15,13,11,14
PA0046,9,2,10,3,5,2,1,3,3,3,5,3
PA0047,3,3,10,4,3,2,1,3,4,2,7,6
PA0048,3,2,5,0,7,5,2,1,2,2,6,7
PA0049,42,37,70,53,27,51,15,17,49,43,63,37
PA0050,13,15,19,48,15,23,12,17,22,22,36,35
PA0051,10,5,22,8,9,10,2,2,5,4,12,5
PA0052,3,8,8,5,10,6,1,5,5,6,15,4
PA0053,29,14,66,22,20,22,9,16,19,25,36,26
PA0054,16,12,22,7,3,6,8,4,4,9,14,5
PA0055,39,48,74,33,17,31,20,20,24,27,33,27
PA0056,8,4,11,1,0,3,1,1,0,1,1,1
PA0057,3,4,11,3,3,2,1,2,0,0,3,1
