"gene_id","AllFR1_S28_L001","AllFR2_S99","AllFR3_S34_L001","F1R1_S25_L001","F1R2_S96","F1R3_S31_L001","F2R1_S26_L001","F2R2_S97","F2R3_S32_L001","F3R1_S27_L001","F3R2_S98","F3R3_S33_L001","FAR1_S29_L001","FAR2_S94","FAR3_S35_L001","P1R1_S30_L001","P1R2_S95","P1R3_S36_L001"
"PA0263.1",0,0,1,0,1,1,3,6,2,1,4,3,6,6,17,16,40,12
"PA0296-PA0297",31,198,323,545,1161,416,411,965,751,476,656,627,787,538,595,584,629,404
"PA0826.2",108095,348924,993520,689169,446122,843818,611232,1411194,1239133,548481,1074584,1324857,1175063,548872,656050,1121347,928959,1321583
"PA0836.1",0,2,0,0,7,1,0,2,0,0,3,3,3,9,2,3,3,2
"PA0887.1",7,22,47,77,173,56,77,153,101,51,122,124,110,70,63,58,69,40
"PA0976.1",0,0,1,1,2,2,3,9,2,2,4,0,6,1,0,2,4,0
"PA1030.1",1,23,27,31,184,42,43,108,68,37,72,61,62,88,39,58,82,39
"PA1052-PA1053",27,145,196,221,1246,184,198,857,222,248,734,349,1078,705,1092,1217,1430,993
"PA1324.1",4,29,25,71,185,48,17,63,28,42,42,38,451,126,278,474,310,326
"PA14_00010",65,560,953,1002,4201,831,1113,3307,2046,853,1721,1257,4966,2987,3606,5609,4647,3769
"PA14_00020",104,558,793,967,4287,847,1133,3246,1657,987,1789,1217,4625,3098,3216,5034,4281,3653
"PA14_00030",68,617,985,884,4113,1072,1260,3671,2030,746,1858,1411,2933,2497,2301,2658,2355,1929
"PA14_00050",73,733,1116,1162,5675,1094,1513,4065,2202,1585,2557,2006,4581,3465,3499,4815,4101,4295
"PA14_00060",20,83,218,202,672,178,122,509,330,183,310,329,696,608,523,755,561,562
"PA14_00070",25,79,122,114,571,99,76,436,238,102,188,185,534,429,367,489,411,265
"PA14_00080",61,330,1027,1182,2739,1050,659,1985,1404,752,1343,1288,3019,2253,2411,2024,2042,1878
"PA14_00090",15,184,320,415,1421,291,403,986,478,507,645,604,2175,1399,1451,2407,1839,1975
"PA14_00100",8,116,97,133,553,109,159,374,214,151,224,138,1051,516,677,1445,799,960
"PA14_00110",8,23,34,27,123,44,69,117,74,55,43,48,178,152,137,295,171,192
"PA14_00120",35,257,230,509,2077,265,616,1504,808,480,786,550,900,837,457,722,587,487
"PA14_00130",1,6,33,22,128,27,41,141,63,36,64,66,299,198,188,289,291,232
"PA14_00140",1,6,18,18,67,17,21,58,19,11,43,44,85,52,55,76,78,62
"PA14_00150",0,13,11,18,61,3,7,21,14,8,16,7,66,35,72,88,91,65
"PA14_00160",22,63,122,137,602,71,126,478,156,163,320,245,360,385,267,372,384,352
"PA14_00170",11,57,170,133,619,146,107,398,231,148,326,205,841,478,674,1200,850,992
"PA14_00180",16,54,163,143,450,82,157,335,259,113,274,212,712,509,615,730,609,616
"PA14_00190",7,53,126,137,488,105,112,350,240,107,177,160,668,638,613,694,592,478
"PA14_00200",26,159,413,269,1369,293,273,1203,620,216,608,488,1117,837,1077,1075,1671,740
"PA14_00210",47,199,480,480,1514,392,532,1441,798,520,780,600,1360,1034,934,1912,1237,1474
"PA14_00230",0,9,25,4,42,5,17,65,28,7,20,20,51,70,67,42,84,66
"PA14_00240",11,21,108,102,312,74,111,336,166,102,276,146,239,209,186,283,267,298
"PA14_00250",13,67,88,185,876,141,284,600,224,235,401,235,962,739,611,1248,1046,1044
"PA14_00280",8,22,67,63,167,37,59,111,78,53,111,77,270,187,205,457,218,277
"PA14_00290",20,29,55,81,160,36,60,134,68,92,135,99,327,207,194,371,212,266
"PA14_00300",28,276,439,394,1851,377,263,1146,504,292,935,570,2385,2422,2319,2691,3400,2956
"PA14_00310",65,433,1138,808,3574,1002,716,2303,1256,726,2058,1548,3208,3106,3542,2803,4334,3768
"PA14_00320",36,194,425,348,1838,417,277,1153,519,292,928,721,1352,1506,1611,1085,1938,1515
"PA14_00340",4,5,21,24,65,22,11,40,32,29,27,33,79,59,75,53,96,72
"PA14_00360",0,0,20,17,32,6,7,18,17,17,13,9,80,51,53,80,51,47
"PA14_00380",0,8,19,19,64,9,17,33,4,19,28,16,92,48,42,117,81,57
"PA14_00400",0,31,50,47,177,51,60,162,98,35,68,58,210,140,146,209,147,158
"PA14_00410",3,37,41,113,321,79,127,270,138,91,132,122,278,212,196,221,224,217
"PA14_00420",0,3,5,0,11,10,2,8,1,0,5,3,34,12,16,34,22,16
"PA14_00430",0,1,6,10,16,8,2,22,4,1,12,11,49,11,26,42,32,23
