"gene_id","PA1","PA2","BSS_32","BSS","E1","E2","BE1","BE2"
"PA0001",4063,3644,5307,808,5293,3607,7046,4397
"PA0002",9765,9197,14347,2184,3810,2759,5555,3361
"PA0003",1854,1706,2502,359,1529,1166,2394,1567
"PA0004",26663,24275,34373,4798,5635,3957,7843,5265
"PA0005",483,403,583,93,968,746,853,526
"PA0006",285,216,376,59,560,353,693,499
"PA0007",356,305,530,77,745,502,571,418
"PA0008",5205,4365,6232,800,1182,823,1370,976
"PA0009",1688,1385,1535,302,751,555,1183,749
"PA0010",248,238,250,57,96,89,127,80
"PA0011",1334,1325,1301,246,1539,1131,1902,1228
"PA0012",127,98,113,53,362,285,446,299
"PA0013",60,64,74,22,1208,817,1242,875
"PA0014",31,37,82,23,82,69,140,84
"PA0015",201,124,229,106,780,620,1063,929
"PA0016",942,903,1313,225,411,289,406,300
"PA0017",374,282,514,93,195,138,234,143
"PA0018",277,153,297,98,276,206,389,235
"PA0019",4146,4648,7471,1044,1912,1423,3145,1856
"PA0020",4237,3494,3167,735,2588,1964,3917,2419
"PA0021",68,56,83,8,16,17,20,16
"PA0022",189,161,225,37,471,328,620,442
"PA0023",1692,1266,2638,522,170,113,210,135
"PA0024",1362,997,925,222,1069,766,1236,821
"PA0025",372,329,415,63,277,242,345,263
"PA0026",1071,903,1341,331,353,224,428,269
"PA0027",642,397,798,136,69,54,91,72
"PA0028",262,238,322,101,93,58,97,88
"PA0029",94,78,140,18,41,36,70,53
"PA0030",48,56,106,18,13,7,33,9
"PA0031",68,72,131,35,105,71,118,78
"PA0032",130,120,170,42,329,269,443,366
"PA0033",24,5,26,6,25,24,31,31
"PA0034",47,41,77,17,88,58,112,62
"PA0035",723,542,1075,189,88,65,127,100
"PA0036",1280,1144,1353,302,332,235,427,314
"PA0037",66,57,75,15,401,246,497,385
"PA0038",264,188,536,228,522,470,1136,700
"PA0039",1950,1776,3086,1108,3025,3058,5783,3052
"PA0040",385,324,492,149,1056,764,1246,900
"PA0041",5254,4743,6331,1484,2678,2025,3476,2486
"PA0042",207,175,216,66,1128,800,1359,1093
"PA0043",143,86,188,37,136,116,207,158
"PA0044",2402,2054,2145,467,2581,2037,4440,3462
"PA0045",739,757,581,120,2234,1683,4252,2538
"PA0046",461,336,241,63,1119,796,1566,1251
"PA0047",158,93,147,26,338,241,456,379
"PA0048",328,191,220,51,14,8,14,11
"PA0049",944,678,727,244,132,97,202,152
"PA0050",3391,3223,2625,351,620,453,898,689
"PA0051",425,387,758,135,427,297,495,353
"PA0052",102,79,203,31,63,31,66,37
"PA0053",482,501,646,110,706,468,1205,734
"PA0054",62,38,89,20,77,39,65,48
"PA0055",438,325,513,174,192,143,282,160
"PA0056",69,58,83,20,166,143,221,161
"PA0057",75,70,131,21,428,331,584,369
"PA0058",40,42,79,16,70,59,131,72
"PA0059",125,106,550,178,139,119,199,146
"PA0060",318,296,589,149,952,708,1390,957
"PA0061",153,79,225,44,178,119,223,154
"PA0062",165,123,477,107,381,298,592,387
"PA0063",141,85,177,55,262,171,364,299
"PA0064",317,215,435,81,163,124,248,162
"PA0065",556,519,659,116,426,295,622,396
"PA0066",736,442,770,137,442,283,561,374
"PA0067",5401,4106,7708,1455,551,421,907,512
"PA0068",1446,1128,2060,528,157,116,150,120
"PA0069",58,48,129,27,51,44,81,49
"PA0070",15403,12962,24750,4121,3188,2405,5141,3446
"PA0071",1365,1000,1702,648,3334,2626,5427,4179
"PA0072",105,65,154,37,6,14,16,16
"PA0073",57,55,87,22,10,5,7,13
"PA0074",1083,881,1742,370,161,105,147,107
"PA0075",227,196,352,80,82,54,72,61
"PA0076",68,48,86,23,41,20,37,25
"PA0077",1871,1501,3134,597,354,194,327,233
"PA0078",571,460,890,134,103,72,139,84
"PA0079",435,330,605,125,85,66,104,67
"PA0080",138,102,210,73,148,89,181,140
"PA0081",665,569,1029,280,1041,803,1481,1024
"PA0082",336,322,634,201,1470,1051,2038,1272
"PA0083",3471,2672,4729,1054,1071,743,1453,1065
"PA0084",7229,6945,12301,2625,2517,1749,3640,2380
"PA0085",17792,15565,29320,2989,677,404,758,564
"PA0086",706,525,913,136,348,240,341,246
"PA0087",132,113,206,52,132,83,181,99
"PA0088",614,519,954,173,163,101,173,96
"PA0089",150,113,265,62,34,16,41,12
"PA0090",4122,3493,5771,1170,281,223,319,261
"PA0091",1723,1310,2331,446,304,209,378,283
"PA0092",315,338,397,76,200,147,273,177
"PA0093",408,331,383,75,420,285,612,412
"PA0094",130,112,128,52,306,237,417,324
"PA0095",1633,1335,2395,669,1221,942,2092,1477
"PA0096",121,95,190,38,25,25,48,32
"PA0097",436,285,590,87,102,66,123,103
"PA0098",154,114,282,55,29,14,53,31
"PA0099",663,719,1311,299,227,156,343,210
"PA0100",3480,3246,5668,952,619,467,890,630
"PA0101",346,230,565,97,144,104,222,153
"PA0102",1423,1320,3091,508,790,572,5519,3428
"PA0103",149,133,602,80,245,165,1646,1165
"PA0104",171,137,312,78,348,277,2222,1551
"PA0105",217,189,265,61,602,416,1294,960
"PA0106",88,67,114,31,160,126,463,307
"PA0107",50,59,70,9,47,27,114,76
"PA0108",62,63,85,20,54,37,104,73
"PA0109",47,22,103,26,10,6,15,10
"PA0110",35,34,69,14,37,32,64,45
"PA0111",32,27,55,8,7,13,31,18
"PA0112",40,43,68,9,15,12,31,11
"PA0113",72,80,96,20,29,13,39,28
"PA0114",243,208,627,295,179,125,304,232
"PA0115",174,142,222,40,70,33,106,76
"PA0116",847,753,974,142,671,511,832,624
"PA0117",171,139,154,29,341,262,446,318
"PA0118",110,82,144,37,178,131,239,163
"PA0119",374,441,562,121,1222,888,1665,1191
"PA0120",430,340,522,63,87,71,109,106
"PA0121",178,132,241,42,178,127,240,158
"PA0122",7764,6883,6526,2059,590,417,849,581
"PA0123",266,258,370,87,2028,1369,1897,1387
"PA0124",102,105,99,31,1004,727,1195,748
"PA0125",46,58,64,15,1373,1102,1662,1190
"PA0126",544,438,610,113,331,202,408,276
"PA0127",203,192,299,52,147,119,166,106
"PA0128",542,419,228,49,1055,896,703,510
"PA0129",331,346,446,105,78,45,91,47
"PA0130",1239,988,2161,415,262,177,383,253
"PA0131",72,45,117,21,26,16,25,20
"PA0132",676,490,1470,270,161,133,283,183
"PA0133",174,164,225,49,716,505,696,481
"PA0134",239,156,464,172,572,384,821,554
"PA0135",18,13,21,3,54,37,54,42
"PA0136",81,84,117,13,123,78,113,83
"PA0137",32,25,50,6,98,76,87,65
"PA0138",56,40,86,17,51,34,37,33
"PA0139",12148,13902,25008,5366,1087,793,1828,1247
"PA0140",974,841,1532,220,549,421,820,536
"PA0141",16882,14280,19687,3420,570,425,460,341
"PA0142",74,74,130,25,1192,1031,1984,1279
"PA0143",1093,886,1692,348,319,240,398,263
"PA0144",51,28,65,15,50,52,78,53
"PA0145",71,52,124,20,64,45,82,62
"PA0146",71,65,106,13,213,164,268,179
"PA0147",93,72,161,34,87,85,121,81
"PA0148",708,658,1051,195,383,259,570,345
"PA0149",6,12,29,4,9,16,22,7
"PA0150",64,74,90,13,216,151,251,200
"PA0151",116,98,233,25,423,321,582,365
"PA0152",72,52,87,20,48,40,63,54
"PA0153",37,32,38,11,64,34,114,57
"PA0154",54,50,68,15,32,24,23,42
"PA0155",117,121,148,49,438,283,615,384
"PA0156",564,377,693,164,723,510,832,657
"PA0157",239,172,331,78,184,139,251,190
"PA0158",2705,2216,3733,796,1487,1071,1699,1263
"PA0159",304,239,412,76,243,158,267,159
"PA0160",29,34,263,133,219,179,428,269
"PA0161",7,9,34,73,424,366,1107,966
"PA0162",535,519,1504,359,1595,1207,3899,2511
"PA0163",166,132,233,31,196,150,258,157
"PA0164",214,162,360,71,288,222,429,343
"PA0165",273,264,190,54,2632,1901,3622,2326
"PA0166",30,27,67,10,92,59,106,71
"PA0167",224,196,266,130,229,188,311,230
"PA0168",170,110,223,74,56,49,68,49
"PA0169",395,369,332,59,102,76,120,76
"PA0170",67,62,69,11,11,3,12,7
"PA0171",152,168,180,38,133,95,152,124
"PA0172",186,140,195,53,1836,1317,2286,1590
"PA0173",45,42,127,29,7,15,9,11
"PA0174",53,33,123,26,12,8,5,10
"PA0175",220,157,372,98,27,28,33,15
"PA0176",2357,1880,5058,828,108,91,172,117
"PA0177",380,308,748,155,31,23,50,40
"PA0178",1061,747,1786,363,117,86,182,142
"PA0179",1407,1231,2360,516,255,146,283,205
"PA0180",376,330,563,136,568,404,760,514
"PA0181",136,117,173,35,66,53,72,56
"PA0182",96,39,115,22,53,54,77,75
"PA0183",166,160,253,44,105,66,109,80
"PA0184",43,42,73,8,90,64,102,65
"PA0185",50,46,89,21,107,57,129,95
"PA0186",37,33,74,18,301,207,508,359
"PA0187",84,78,154,25,159,131,175,164
"PA0188",90,71,116,25,41,28,79,49
"PA0189",64,53,103,10,386,321,540,410
"PA0190",64,54,100,13,141,120,204,133
"PA0191",64,38,83,13,2077,1481,3671,2147
"PA0192",98,91,184,21,338,278,553,317
"PA0193",55,57,114,22,104,58,140,98
"PA0194",42,40,69,9,46,40,90,51
"PA0195",609,494,419,63,823,610,1251,870
"PA0195.1",71,86,76,13,282,218,474,296
"PA0196",332,277,319,59,363,252,518,311
"PA0197",23,25,34,9,95,72,161,113
"PA0198",36,23,39,8,53,57,115,83
"PA0199",32,21,35,5,65,36,92,72
"PA0200",2717,1915,4307,1528,305,318,735,479
"PA0201",232,169,168,43,5322,4080,9877,7168
"PA0202",58,39,87,17,6,1,7,0
"PA0203",48,49,97,22,5,4,5,4
"PA0204",29,23,56,7,12,8,2,7
"PA0205",15,15,34,7,12,7,8,1
"PA0206",41,48,73,12,56,49,69,54
"PA0207",185,153,327,42,1889,1242,3110,2084
"PA0208",145,127,207,32,2378,1746,4126,2726
"PA0209",36,37,45,7,99,86,161,113
"PA0210",12,12,26,1,90,61,86,70
"PA0211",55,47,88,10,100,68,105,79
"PA0212",68,32,72,19,56,43,91,61
"PA0213",24,29,37,6,28,35,42,42
"PA0214",43,44,78,13,193,132,219,175
"PA0215",59,34,62,14,112,75,157,99
"PA0216",121,110,179,34,587,447,759,661
"PA0217",89,84,160,34,70,67,128,87
"PA0218",144,123,208,52,144,120,230,172
"PA0219",67,54,114,21,240,147,239,160
"PA0220",57,54,90,13,187,150,263,168
"PA0221",81,78,116,20,70,48,69,61
"PA0222",55,48,99,18,46,45,82,64
"PA0223",68,75,102,26,56,50,89,52
"PA0224",69,61,91,31,85,51,103,60
"PA0225",311,336,391,63,240,187,387,245
"PA0226",74,67,101,15,241,181,335,251
"PA0227",62,42,90,13,34,24,50,26
"PA0228",145,114,188,36,72,90,135,93
"PA0229",71,85,177,43,101,71,154,88
"PA0230",107,71,193,20,24,24,41,29
"PA0231",69,39,108,28,9,7,23,21
"PA0232",316,297,536,134,44,32,78,58
"PA0233",155,108,220,40,93,64,108,86
"PA0234",31,36,63,15,116,85,181,117
"PA0235",74,44,95,14,58,45,78,55
"PA0236",60,56,62,14,252,175,308,238
"PA0237",58,48,70,12,54,34,63,45
"PA0238",50,46,66,7,25,14,22,12
"PA0239",55,44,102,16,94,54,78,69
"PA0240",37,37,72,8,24,24,40,30
"PA0241",26,37,61,12,46,37,45,43
"PA0242",83,77,190,21,135,89,138,90
"PA0243",226,234,328,58,517,366,603,461
"PA0244",35,25,55,17,29,24,42,35
"PA0245",33,41,63,11,84,82,188,84
"PA0246",82,56,204,42,245,201,387,228
"PA0247",117,101,146,22,184,150,270,180
"PA0248",176,126,236,39,192,162,265,189
"PA0249",89,79,155,30,84,85,147,100
"PA0250",661,455,843,138,60,47,92,78
