"gene_id","BF0285BR1_S16","BF0285BR2_S17","BF0285BR3_S18","BioFWTBR1_S10","BioFWTBR2_S11","BioFWTBR3_S12","Pla0285BR1_S7","Pla0285BR2_S8","Pla0285BR3_S9","PlankWTBR1_S1","PlankWTBR2_S2","PlankWTBR3_S3"
"PA0001",13817,7988,8373,7628,7528,8178,8318,8759,8822,8641,7624,7501
"PA0002",15467,8462,10067,8713,8815,8698,10782,12270,13016,12807,12175,11666
"PA0003",8945,5888,6664,5611,5751,6187,6654,6471,7348,6689,6312,6390
"PA0004",22460,12672,15079,11174,11272,11301,23027,23938,24101,27174,24127,25008
"PA0005",2004,1387,1140,1224,1248,1297,1276,1492,1754,1248,1451,1147
"PA0006",1898,1249,1148,1217,1300,1340,995,1069,1105,866,879,860
"PA0007",5430,3262,3545,3950,3936,3822,6061,6450,4402,7905,6868,12325
"PA0008",5960,3334,2975,2694,2510,2366,5817,6195,4907,4664,4851,3318
"PA0009",3440,1898,1437,1847,1923,1801,2892,2962,3198,1900,2446,1571
"PA0010",1033,638,637,605,522,598,556,694,717,524,590,534
"PA0011",3218,2126,2154,1887,2004,2106,1598,1697,2167,1306,1391,1363
"PA0012",1257,887,790,764,771,862,615,710,826,717,631,772
"PA0013",809,534,410,478,538,561,241,349,366,336,320,303
"PA0014",310,181,224,169,231,240,120,167,213,145,158,148
"PA0015",1052,506,587,521,464,487,694,646,429,648,522,635
"PA0016",2363,1392,1626,1187,1264,1258,1899,2232,2041,2144,1990,2015
"PA0017",916,516,500,379,371,341,978,1001,706,872,815,699
"PA0018",768,392,377,324,286,264,684,824,572,633,622,397
"PA0019",6059,3791,4745,3404,3699,3838,3454,3524,4159,3815,3142,3785
"PA0020",12872,6923,3795,10434,13648,10084,2437,3323,3601,2322,2437,1947
"PA0021",172,92,65,97,115,116,57,40,29,59,49,48
"PA0022",2009,1001,841,896,942,877,1062,1141,1003,969,859,924
"PA0023",2804,1289,1427,1178,1177,1155,1164,1493,1245,1359,1156,1346
"PA0024",2799,1826,2065,1449,1511,1343,2907,3637,4519,3311,3736,2533
