"gene_id","empty_NI_1","empty_NI_2","empty_NI_3","pit2_NI_1","pit2_NI_2","pit2_NI_3","empty_I_1","empty_I_2","empty_I_3","pit2_I_1","pit2_I_2","pit2_I_3"
"PA5570",806,201,195,812,586,472,262,1495,1637,278,833,855
"PA5569",1750,242,208,2128,796,543,902,4649,5314,842,1058,1131
"PA5568",1010,160,109,1839,559,460,562,8499,8922,641,1134,1077
"PA5567",413,67,60,480,332,315,408,685,770,383,256,320
"PA5566",3,0,0,14,3,7,18,3,6,5,6,2
"PA5565",2755,444,396,3229,1336,1091,1361,3291,3725,1203,1413,1583
"PA5564",257,64,32,293,153,149,121,928,1012,116,232,261
"PA5563",630,110,78,788,349,242,356,1378,1427,396,468,457
"PA5562",1412,132,107,1699,572,410,717,1964,2246,622,649,856
"PA5561",230,69,49,196,122,75,98,722,795,116,167,179
"PA5560",2765,401,413,4453,1463,1095,1146,8099,8963,1076,3505,2934
"PA5559",4038,659,575,4821,1729,1220,1632,5837,6534,1313,3626,3201
"PA5558",8030,1065,1041,9914,3339,2727,3788,12348,14006,2830,6932,6313
"PA5557",7239,1060,997,8544,3239,2681,4055,14541,16616,3044,6172,5579
"PA5556",24069,3539,3224,32877,10243,8019,11332,42898,47681,8649,20186,18077
"PA5555",5276,1130,785,7135,2423,1928,2817,14597,16041,2217,5241,4448
"PA5554",23748,3456,2742,30603,8949,7065,10563,34266,38421,8653,20907,19147
"PA5553",2933,368,192,3043,815,573,1125,3211,3621,847,1459,1753
"PA5552",1788,210,142,2144,886,704,908,2328,2343,1101,785,1052
"PA5551",218,28,27,158,122,92,102,268,313,135,90,119
"PA5550",107,31,17,212,100,73,72,265,357,80,39,38
"PA5549",1347,95,40,2238,380,383,532,1473,1700,563,507,602
"PA1949",20021,3921,3236,23435,10533,9465,15957,367,739,14983,16625,18237
"PIT2",0,0,0,62,45,47,0,0,0,2300,2267,2880
"PA5548",110,19,11,138,37,36,68,82,60,129,62,60
"PA5547",293,45,36,316,211,176,170,322,313,172,149,190
"PA5546",9605,2224,2048,11500,7611,6997,8308,540,789,7008,3798,5094
"PA5545",3707,319,424,8924,2115,1531,1767,238,264,1483,3174,3973
"PA5544",1249,117,100,2616,532,346,474,40,51,603,969,1103
"PA5543",399,12,18,360,42,52,157,6,0,175,69,156
"PA5542",2298,260,166,2421,803,777,831,59,94,1134,1086,1674
"PA5541",31,13,1,37,11,20,12,19,6,29,2,7
"PA5540",14,4,0,10,5,4,18,15,10,16,8,5
"PA5539",12,2,0,13,8,9,14,3,1,12,9,6
"PA5538",106,27,13,105,40,52,65,3,25,81,18,20
"PA5537",163,19,9,159,62,46,100,39,48,104,19,51
