"gene_id","Ag1","Ag2","Ag3","AgTe1","AgTe2","AgTe3","C1","C2","C3","Te1","Te2","Te3"
"A4W92_RS00005",207,141,108,112,94,176,144,145,111,125,130,168
"A4W92_RS00010",0,1.363,0,0,0,0,1.293,0,0,0,0,0
"A4W92_RS00015",386,280,158,394,371,558,285,314,272,293,284,489
"A4W92_RS00020",1198,1124,860,1607,1161,1771,869,908,816,960,1080,1508
"A4W92_RS00025",284,245,148,324,304,497,183,246,225,264,256,371
"A4W92_RS00030",27,25,25,26,29,49,23,20,20,37,22,28
"A4W92_RS00035",23,7,8,17,18,22,21,17,14,19,12,8
"A4W92_RS00045",1517.858,1683.694,1635.957,1029.641,681.56,1064.325,990.451,1264.376,965.331,1232.177,1137.533,1671.713
"A4W92_RS33320",103.987,77.984,69,90.998,92.991,134.988,125.976,89.988,87.997,63.986,86.977,82.962
"A4W92_RS00055",82,53,56,45,61,88,53,65,50,53,50,77
"A4W92_RS00060",847.103,633.434,481.313,421.908,424.798,695.873,467.353,721.42,661.563,693.138,599.826,803.669
"A4W92_RS00065",1210,1252,861,1379,1093,1904,1047,1437,1157,1262,1346,1458
"A4W92_RS00070",544,558,454,524,341,675,337,568,417,502,633,692
"A4W92_RS00075",242,224,174,243,201,389,165,245,233,197,273,293
"A4W92_RS00080",1020,900,846,1311,963,1706,832,915,772,987,1059,1252
"A4W92_RS00085",305,226,249,263,248,413,259,330,275,283,264,277
"A4W92_RS00090",471,401,364,387,355,629,485,499,437,475,433,404
"A4W92_RS00095",775,589,533,428,467,811,810,806,751,599,696,647
"A4W92_RS31745",83,85,54,45,47,60,63,75,48,55,67,81
"A4W92_RS00110",1287,880,643,654,832,1156,801,891,832,777,661,1024
"A4W92_RS00115",1430,1105,845,1396,1123,2144,992,1197,981,1266,1244,1440
"A4W92_RS00120",536,401,363,383,444,665,429,467,401,409,354,512
"A4W92_RS00125",188,143,99,91,86,190,95,154,132,136,138,149
"A4W92_RS00130",364,278,239,197,221,303,264,311,263,282,321,369
"A4W92_RS00135",169,145,98,109,71,130,116,145,108,123,123,163
"A4W92_RS00140",188,110,102,62,71,126,110,103,116,99,89,134
"A4W92_RS00145",89,52,35,37,51,54,49,50,57,46,39,82
"A4W92_RS00150",334,249,238,247,235,394,266,296,252,303,280,355
"A4W92_RS00155",259,150,148,157,175,266,167,201,171,180,179,232
"A4W92_RS00160",2507,2234,1587,2429,2040,3865,2166,2380,1946,2249,2619,2941
"A4W92_RS00165",223,195,161,137,142,226,157,197,148,178,179,268
"A4W92_RS00170",145,141,104,89,73,133,84,110,65,105,123,133
"A4W92_RS00175",52,50,19,23,33,41,48,41,28,33,39,36
"A4W92_RS00180",84,44,42,43,33,45,46,72,52,53,57,65
"A4W92_RS00185",128,100,106,111,75,147,108,128,124,111,116,134
"A4W92_RS00190",152,129,117,90,114,182,136,167,155,140,128,170
"A4W92_RS00195",133,114,111,88,88,146,121,148,126,140,107,141
"A4W92_RS00205",201,154,122,75,105,127,134,149,140,138,143,159
"A4W92_RS00210",20,11,13,16,14,27,14,17,11,13,12,21
"A4W92_RS00215",75,54,29,40,37,60,55,59,44,67,56,75
"A4W92_RS00220",32,26,23,16,17,33,30,35,32,19,29,35
"A4W92_RS00225",56,27,23,25,35,34,33,38,38,31,24,49
"A4W92_RS00230",4,5,1,6,4,6,3,5,2,4,1,5
"A4W92_RS00235",23,26,22,20,30,50,17,29,25,29,23,34
"A4W92_RS00240",1908,1624,1139,979,1240,1849,1204,1621,1233,1443,1245,1897
"A4W92_RS00245",419,338,266,256,210,352,277,331,257,316,323,349
"A4W92_RS00250",171.133,105.122,161.898,195.453,142.921,301.8,265.737,260.246,182.809,128.544,186.117,206.6
"A4W92_RS00255",80.943,76.976,50.002,108.002,75.001,120.985,79.002,75.951,61.002,68.002,104.001,105.086
"A4W92_RS00260",100,103,77,78,90,111,115,87,106,74,94,91
"A4W92_RS00265",89,77,73,85,70,130,88,97,86,84,93,87
"A4W92_RS00270",101,94,70,82,78,152,99,95,90,78,81,95
"A4W92_RS00275",25,12,28,13,17,20,28,28,22,16,25,21
"A4W92_RS00280",14,13,12,11,11,17,16,19,14,9,19,14
"A4W92_RS00285",91,61,59,33,42,75,67,72,56,50,38,73
"A4W92_RS00290",59,46,52,31,25,54,45,52,41,38,39,45
"A4W92_RS00295",262,175,157,142,128,216,231,212,199,197,201,181
"A4W92_RS00300",61,42,59,31,39,52,49,43,40,34,46,48
"A4W92_RS00305",18,9,12,3,3,2,2,2,10,8,3,11
"A4W92_RS00310",38,28,23,16,11,17,27,26,17,18,21,23
