"gene_id","X250122_mgu19_RNAseq_CH3484_d03790_PL_1","X250122_mgu19_RNAseq_CH3484_d03790_PL_2","X250122_mgu19_RNAseq_CH3484_d23130_PL_1","X250122_mgu19_RNAseq_CH3484_d23130_PL_2","X250122_mgu19_RNAseq_CH3484_PL_1","X250122_mgu19_RNAseq_CH3484_PL_2","X250122_mgu19_RNAseq_M70564993_PL_1","X250122_mgu19_RNAseq_M70564993_PL_2","X250122_mgu19_RNAseq_PAO1_TTN_d03790_PL_1","X250122_mgu19_RNAseq_PAO1_TTN_d03790_PL_2","X250122_mgu19_RNAseq_PAO1_TTN_d23130_PL_1","X250122_mgu19_RNAseq_PAO1_TTN_d23130_PL_2","X250122_mgu19_RNAseq_PAO1_TTN_PL_1","X250122_mgu19_RNAseq_PAO1_TTN_PL_2","X211207__mgu19__RNAseq_RZ__PA14___PL__1","X211207__mgu19__RNAseq_RZ__PA14___PL__2","X211207__mgu19__RNAseq_RZ__PA14_d03790__PL__1","X211207__mgu19__RNAseq_RZ__PA14_d03790__PL__2","X211207__mgu19__RNAseq_RZ__PA14_d23130__PL__1","X211207__mgu19__RNAseq_RZ__PA14_d23130__PL__2","X170522__mgu19__RNAseq__M70564993_passage18__PL__1","X170522__mgu19__RNAseq__M70564993_passage18__PL__2","X170522__mgu19__RNAseq__M70564993_PL__1","X170522__mgu19__RNAseq__M70564993_PL__2"
"PA14_00010",2880,2885,2742,2816,3883,3772,3479,5192,2277,3358,1903,2599,3044,2370,6898,3096,3736,4503,4468,5911,1373,1528,1529,786
"PA14_00020",2736,2887,2332,2601,3771,3325,2972,4884,2831,4068,2023,2956,3560,2975,4827,2795,3412,4436,4262,4664,1381,1484,1876,814
"PA14_00030",2734,2602,2610,2153,3290,3369,3603,5394,2642,4529,3067,2163,2562,1822,2964,1985,1983,2667,3046,3407,1313,1408,1522,771
"PA14_00050",4234,4591,4347,4803,6238,5899,6667,10997,5472,7279,4305,5298,5242,5192,9343,4844,6066,7368,7884,10058,3625,3426,4199,1823
"PA14_00060",809,661,438,667,945,959,1193,1880,491,854,427,644,825,563,1410,905,1036,943,1466,1560,517,481,471,311
"PA14_00070",434,359,236,333,416,454,294,606,327,528,295,355,412,244,711,365,419,374,546,633,150,166,143,112
"PA14_00080",1240,865,658,951,1169,1143,531,1460,2604,4204,2608,2608,5377,2622,1428,1568,1283,3679,750,930,178,356,191,186
"PA14_00090",2184,2326,1798,2384,3119,3013,2570,3454,1849,2902,1734,2238,1870,2216,5444,2047,2802,2999,4415,5410,1087,920,1139,378
"PA14_00100",833,814,609,795,1139,960,713,1201,589,782,455,658,540,471,1634,617,847,783,1473,1713,399,409,459,179
"PA14_00110",205,143,115,163,241,182,283,482,128,190,132,155,247,138,488,247,316,345,520,532,117,91,113,59
"PA14_00120",897,705,559,740,1106,1077,1484,2625,490,782,461,685,796,582,1675,961,1177,1149,1435,1656,678,728,825,441
"PA14_00130",386,274,221,260,384,388,516,855,347,529,269,327,574,273,336,278,385,464,437,467,152,186,133,100
"PA14_00140",117,74,89,97,166,121,131,241,73,151,62,118,139,88,239,121,173,160,345,271,67,79,40,39
"PA14_00150",32,24,24,20,45,41,127,224,109,112,76,102,108,101,86,111,55,111,172,121,34,38,44,38
"PA14_00160",522,553,442,507,755,718,659,1057,608,1044,578,567,788,593,1600,1173,1204,1365,1580,2208,332,454,350,244
"PA14_00170",607,604,613,637,769,775,969,1569,603,870,562,608,716,500,2176,1125,1356,1499,2178,2530,405,365,458,174
"PA14_00180",543,631,741,712,850,819,743,1201,650,970,728,597,666,679,1985,942,1124,1226,2252,2505,221,257,289,119
"PA14_00190",310,352,415,374,411,402,336,522,318,557,389,319,319,325,1208,559,661,540,1307,1465,157,130,168,68
"PA14_00200",2802,3757,3678,3222,4578,4581,3731,5320,4663,8857,4297,4776,5167,3771,4204,2563,3152,4055,4637,4950,1898,2323,1983,1278
"PA14_00210",3010,2595,1218,2245,3353,3154,3899,5136,1755,2253,1021,3088,3092,2658,5166,3371,3718,3746,4399,5382,1434,1140,1678,690
"PA14_00230",27,12,20,29,27,43,79,70,33,67,28,52,52,55,201,117,95,161,191,206,23,36,51,34
"PA14_00240",451,449,239,313,476,464,351,685,331,460,276,434,471,404,872,394,442,540,762,953,132,133,177,77
"PA14_00250",721,605,368,617,816,782,1498,2071,1120,1387,612,978,1329,1217,1060,723,708,1106,1214,1277,452,483,620,313
"PA14_00280",1302,1402,1245,1861,2009,1823,890,975,343,576,277,458,523,326,3921,1032,1397,2618,1668,2545,599,333,628,162
"PA14_00290",1060,1257,1123,1689,1904,1762,1172,1342,487,726,417,519,514,623,3199,1173,1401,2618,2332,2772,870,421,778,252
"PA14_00300",308,328,227,308,395,352,792,1464,1409,1397,530,1654,2117,1780,2482,1356,1466,1948,1870,2275,235,226,330,161
"PA14_00310",304,233,148,232,272,298,1219,2218,2466,3032,1228,2481,3009,2998,2204,1794,1099,2388,1763,1964,211,220,309,194
"PA14_00320",248,233,134,231,273,285,975,1680,1925,2598,1070,2245,2540,2833,1057,1426,914,1883,1043,1333,134,219,272,171
"PA14_00340",168,123,90,133,205,139,179,253,166,284,122,182,238,179,285,168,161,227,257,308,34,54,68,22
"PA14_00360",38,32,29,29,27,50,41,73,40,70,50,20,45,33,70,51,43,96,84,80,10,38,23,6
"PA14_00380",110,125,61,131,168,134,181,249,120,170,86,121,230,99,325,159,174,236,309,366,48,67,55,57
"PA14_00400",156,178,101,114,197,215,289,417,150,257,107,130,228,94,319,250,241,316,554,574,76,138,106,71
"PA14_00410",375,266,161,246,395,331,380,718,336,525,338,296,506,292,674,367,366,470,787,814,114,121,98,81
"PA14_00420",20,24,12,12,37,19,22,42,21,30,14,19,26,21,73,64,44,61,67,83,12,14,11,12
"PA14_00430",128,61,65,83,143,123,126,266,50,121,89,83,146,48,187,125,202,180,229,225,20,29,42,36
"PA14_00440",482,486,292,479,731,593,678,1056,621,992,401,568,853,649,833,526,552,743,849,1133,198,190,303,146
"PA14_00450",472,446,252,374,654,518,568,850,415,480,245,386,680,369,821,516,476,636,898,1057,205,224,320,155
"PA14_00460",224,192,187,199,271,267,262,344,177,294,171,181,206,197,571,322,315,398,584,557,83,73,95,55
"PA14_00470",550,496,487,492,660,627,1064,2101,1994,3326,1558,985,2655,1117,1165,516,498,1084,864,1004,508,568,607,587
"PA14_00480",8330,6165,6827,8300,10494,10476,10064,16850,17885,40602,19049,19012,27242,17086,8320,6187,6100,10900,11490,9090,2081,3921,2783,3332
"PA14_00490",268,291,261,270,392,392,829,1242,131,179,129,140,197,164,517,493,748,728,755,683,300,445,329,237
"PA14_00510",1359,1647,786,692,1469,1371,162,352,861,990,526,738,892,839,3165,2057,1651,2260,2474,3403,72,129,80,78
"PA14_00520",62,72,57,71,104,108,53,123,103,90,58,63,76,42,121,144,130,159,173,177,30,41,61,35
"PA14_00530",370,347,154,246,428,368,298,531,181,242,144,240,343,212,362,286,288,317,584,536,136,159,123,119
"PA14_00550",302,253,290,249,360,349,351,823,390,676,468,404,652,367,835,466,459,744,796,892,141,153,204,118
"PA14_00560",419,422,240,528,601,570,432,533,478,791,388,456,605,417,1804,1578,1968,2518,2756,2401,151,181,190,130
"PA14_00570",249,365,207,224,468,403,35,49,87,166,97,106,122,73,1044,380,298,313,677,1067,31,30,37,14
"PA14_00580",165,294,157,165,286,246,38,81,86,114,87,103,77,51,390,174,174,165,366,498,38,55,48,14
"PA14_00590",608,945,331,396,971,1009,86,142,240,305,154,237,248,219,1512,366,341,429,997,1688,36,52,58,20
"PA14_00600",917,793,610,631,1184,1144,843,3091,3739,5520,3158,2501,5471,2348,218,59,84,205,135,148,211,392,353,186
"PA14_00620",3095,3214,1968,1772,3647,2968,2182,8923,8746,11814,6945,6016,14566,5921,343,117,108,327,110,267,406,907,895,374
"PA14_00630",2010,1409,965,951,1466,1567,5602,12039,5330,6174,3717,5135,8366,4028,2110,1164,893,1991,571,557,643,1992,837,1417
"PA14_00640",143,131,95,139,192,161,189,499,248,374,408,206,319,186,3177,959,650,1682,232,460,45,92,80,59
"PA14_00650",107,70,88,76,133,94,363,454,909,1867,1112,772,1635,788,509,324,341,945,236,355,39,89,68,39
"PA14_00660",427,353,252,256,484,435,412,738,237,273,181,276,526,302,555,334,445,615,582,702,217,300,322,195
"PA14_00670",367,362,237,290,508,371,364,666,294,423,163,376,518,308,665,393,403,479,593,631,109,250,243,122
"PA14_00680",131,61,52,54,90,83,124,189,112,205,118,149,183,108,175,115,105,150,278,234,24,38,42,15
"PA14_00690",40,34,36,34,31,39,56,84,28,80,45,37,61,31,95,51,62,69,70,98,43,8,15,14
"PA14_00700",51,27,26,42,41,43,47,116,42,67,55,44,59,57,114,67,58,89,89,119,11,20,18,15
"PA14_00710",392,302,288,377,413,482,1723,1677,1275,2472,966,600,2116,529,1169,264,339,677,1112,809,222,291,194,440
"PA14_00720",418,391,242,352,511,548,1025,1346,751,1087,474,520,1295,471,1145,441,543,573,1072,957,475,565,460,694
