gene_id,Exp1_WT_Rep1,Exp1_WT_Rep2,Exp1_WT_Rep3,Exp1_halfparS25_Rep1,Exp1_halfparS25_Rep2,Exp1_halfparS25_Rep3
D3C65_00005,14868,5514,10889,6360,7525,8574
D3C65_00010,11860,4527,9184,5621,6761,7753
D3C65_00015,8110,2955,5764,2957,3576,3960
D3C65_00020,26955,9727,20011,12759,15024,16086
D3C65_00025,1905,631,1433,686,908,984
D3C65_00030,1215,431,950,508,608,629
D3C65_00035,703,195,497,287,324,401
D3C65_00040,10237,3843,8005,4733,6408,6107
D3C65_00045,7160,2637,5312,3082,4145,4061
D3C65_00050,492,180,390,223,256,346
D3C65_00055,2263,680,1563,920,1011,1139
D3C65_00060,578,206,444,269,293,364
D3C65_00065,1470,471,1026,519,663,716
D3C65_00070,209,55,126,70,82,72
D3C65_00075,637,202,505,271,312,373
D3C65_00080,5052,1504,3156,1883,1950,2358
D3C65_00085,2597,833,1772,781,1066,1135
D3C65_00090,1614,484,1142,526,828,686
D3C65_00095,5329,1883,3923,2438,2531,2792
D3C65_00100,10620,4033,7710,4535,5863,6622
D3C65_00105,73,23,64,27,25,31
D3C65_00110,1204,475,1021,503,742,823
D3C65_00115,1274,442,898,434,626,699
D3C65_00120,4633,1488,3236,1970,2480,2688
D3C65_00125,1445,511,1164,644,801,886
D3C65_00130,2990,983,2144,1248,1517,1733
D3C65_00135,1358,471,975,465,694,774
D3C65_00140,385,145,297,111,177,255
D3C65_00145,81,23,45,31,34,36
D3C65_00150,115,39,70,40,45,52
D3C65_00155,189,40,121,46,94,65
D3C65_00160,638,208,423,211,284,316
D3C65_00165,344,131,278,139,176,212
D3C65_00170,80,25,53,32,36,34
D3C65_00175,200,70,172,83,109,106
D3C65_00180,946,325,799,414,601,594
D3C65_00185,2048,715,1531,918,1088,1146
D3C65_00190,580,201,435,182,274,321
D3C65_00195,1069,352,749,500,529,640
D3C65_00200,3167,1338,2519,1463,1852,2025
D3C65_00205,2454,691,1673,719,806,886
D3C65_00210,9208,2448,6041,2949,3298,3553
D3C65_00215,866,227,468,356,366,374
D3C65_00220,328,58,192,175,157,167
D3C65_00225,147,42,73,84,81,100
D3C65_00230,249,74,138,118,119,143
D3C65_00235,135,31,55,58,47,51
D3C65_00240,231,50,119,97,110,126
D3C65_00245,169,34,98,78,66,83
D3C65_00250,695,198,532,235,340,343
D3C65_00255,51,27,46,31,39,24
D3C65_00260,304,95,260,122,160,172
D3C65_00265,927,432,770,392,620,779
D3C65_00270,7102,2249,4941,2991,3383,3457
D3C65_00275,2478,828,2003,1257,1392,1372
D3C65_00280,2467,881,2454,1135,1561,1560
D3C65_00285,178,66,136,68,106,122
D3C65_00290,1140,396,731,535,688,578
D3C65_00295,239,54,142,64,72,86
D3C65_00300,83,30,80,31,48,44
D3C65_00305,92,39,71,46,56,75
D3C65_00310,2074,600,1487,1000,1097,1141
D3C65_00315,398,117,333,150,210,224
D3C65_00320,1281,349,827,475,633,689
D3C65_00325,247,72,175,71,95,96
D3C65_00330,145,57,120,56,84,74
D3C65_00335,72,25,60,22,30,28
D3C65_00340,236,83,142,74,116,137
D3C65_00345,804,304,531,333,407,460
D3C65_00350,159,62,153,74,88,117
D3C65_00355,367,94,218,108,145,167
D3C65_00360,961,335,681,361,515,532
D3C65_00365,1302,485,1054,516,685,717
D3C65_00370,2052,560,1208,675,804,777
D3C65_00375,1650,553,1133,547,783,829
D3C65_00380,8008,2979,6921,3812,5494,5272
D3C65_00385,1085,321,811,453,599,578
D3C65_00390,198,83,196,83,108,142
D3C65_00395,12508,4837,10061,5899,7426,7941
D3C65_00400,4658,1631,3274,1749,1965,2137
D3C65_00405,605,230,509,193,276,308
D3C65_00410,416,134,330,118,207,219
D3C65_00415,5308,1641,3697,1748,2379,2476
D3C65_00420,1169,352,765,393,498,459
D3C65_00425,1073,295,676,235,383,375
D3C65_00430,6707,2056,5021,2287,2843,3133
D3C65_00435,2485,782,1831,835,1084,1123
D3C65_00440,2589,913,2152,889,1330,1254
D3C65_00445,2036,661,1548,648,865,941
D3C65_00450,5968,1804,3952,1937,2398,2519
D3C65_00455,5392,1779,3904,1736,2132,2313
D3C65_00460,4872,1557,3553,2108,2144,2322
D3C65_00465,15109,4820,10628,6186,6480,6689
D3C65_00470,8359,3068,7212,4348,4756,5326
D3C65_00475,2818,902,2156,1013,1211,1236
D3C65_00480,1340,340,900,440,422,444
D3C65_00485,3181,878,2175,927,1150,1174
D3C65_00490,1759,472,1017,458,496,543
D3C65_00495,8091,2317,5849,3092,3679,3642
D3C65_00500,3879,1066,2609,1343,1649,1691
D3C65_00505,1063,343,750,452,497,527
D3C65_00510,2498,679,1569,876,1004,1030
D3C65_00515,1832,600,1397,700,826,867
D3C65_00520,2850,808,2031,1115,1156,1385
D3C65_00525,218,54,147,78,87,89
D3C65_00530,449,160,326,147,209,206
D3C65_00535,338,94,217,96,118,151
D3C65_00540,1627,396,983,534,537,644
D3C65_00545,2054,636,1526,865,997,1134
D3C65_00550,724,216,588,254,315,384
D3C65_00555,2758,994,2175,1264,1598,1791
D3C65_00560,298,120,233,92,122,129
D3C65_00565,1299,390,928,536,680,654
D3C65_00570,46,11,52,36,27,44
D3C65_00575,461,135,308,189,200,264
D3C65_00580,137,38,85,65,61,73
D3C65_00585,30,9,34,15,12,16
D3C65_00590,79,26,58,32,33,48
D3C65_00595,79,26,91,70,52,74
D3C65_00600,86,26,58,23,34,42
D3C65_00605,23,15,22,11,17,10
D3C65_00610,23,8,25,9,11,10
D3C65_00615,63,28,54,24,21,25
D3C65_00620,1197,351,818,422,550,568
D3C65_00625,743,272,500,280,329,437
D3C65_00630,983,312,724,381,497,581
D3C65_00635,596,175,391,194,259,288
D3C65_00640,532,159,334,183,263,278
