gene_id,Exp2_WT_Rep1,Exp2_WT_Rep2,Exp2_WT_Rep3,Exp2_halfparS25_Rep1,Exp2_halfparS25_Rep2,Exp2_halfparS25_Rep3
D3C65_00005,12084,11398,17156,10067,7095,9419
D3C65_00010,9331,9320,13102,7850,5067,7841
D3C65_00015,6581,5673,8585,5185,3177,4593
D3C65_00020,19221,18816,26718,17907,11316,15719
D3C65_00025,1686,1899,2621,1473,919,1412
D3C65_00030,979,974,1586,966,661,923
D3C65_00035,554,530,770,585,570,582
D3C65_00040,7937,8280,10762,7655,5765,6956
D3C65_00045,4870,4810,6798,4549,2710,3808
D3C65_00050,387,397,686,410,333,378
D3C65_00055,1456,1233,2155,1219,708,865
D3C65_00060,445,380,631,368,233,350
D3C65_00065,953,837,1187,736,322,455
D3C65_00070,147,133,188,144,65,80
D3C65_00075,477,571,621,549,422,480
D3C65_00080,3136,3304,3843,3800,2108,3338
D3C65_00085,2015,2103,2247,2377,2220,2120
D3C65_00090,1351,1289,1491,1515,1102,1249
D3C65_00095,3861,3794,5062,3309,2712,3261
D3C65_00100,7448,8816,12038,6111,3317,5708
D3C65_00105,63,61,81,56,82,59
D3C65_00110,1452,1379,1891,1167,933,921
D3C65_00115,929,1058,1347,832,613,827
D3C65_00120,3447,4680,6465,3957,3704,4679
D3C65_00125,1247,1603,2248,1460,1333,1538
D3C65_00130,1805,2380,2802,1931,1207,1844
D3C65_00135,1054,1384,1666,924,867,814
D3C65_00140,389,517,535,326,263,348
D3C65_00145,70,78,97,59,63,58
D3C65_00150,75,103,112,66,72,72
D3C65_00155,95,130,168,93,76,90
D3C65_00160,508,536,674,425,402,374
D3C65_00165,307,310,496,297,181,264
D3C65_00170,66,55,56,50,24,49
D3C65_00175,159,133,156,138,57,102
D3C65_00180,888,916,1153,832,510,726
D3C65_00185,1467,1763,2293,1417,922,1283
D3C65_00190,597,681,869,419,349,398
D3C65_00195,574,692,935,523,272,465
D3C65_00200,2395,2484,3715,1862,1197,1567
D3C65_00205,1592,1588,1909,1370,1321,1371
D3C65_00210,6394,6076,6947,4388,4570,4468
D3C65_00215,316,250,577,252,137,203
D3C65_00220,74,108,167,120,122,157
D3C65_00225,28,51,95,52,102,118
D3C65_00230,68,68,240,77,42,106
D3C65_00235,40,33,85,54,15,42
D3C65_00240,60,61,113,59,29,81
D3C65_00245,75,82,129,135,71,108
D3C65_00250,560,509,752,427,303,316
D3C65_00255,46,41,56,32,36,28
D3C65_00260,234,311,407,275,282,272
D3C65_00265,457,505,779,396,325,416
D3C65_00270,4995,4658,5433,3828,1908,3287
D3C65_00275,2200,2006,2310,1660,1050,1351
D3C65_00280,3005,3088,3694,2683,2285,2214
D3C65_00285,91,89,113,74,63,71
D3C65_00290,247,283,348,188,121,221
D3C65_00295,103,86,162,81,92,69
D3C65_00300,51,97,112,48,55,50
D3C65_00305,55,65,112,48,62,70
D3C65_00310,1147,1199,1889,1318,691,1177
D3C65_00315,333,300,360,264,152,258
D3C65_00320,757,771,974,602,428,550
D3C65_00325,184,184,201,125,145,112
D3C65_00330,105,113,138,79,83,86
D3C65_00335,48,60,66,77,44,34
D3C65_00340,111,135,161,89,73,90
D3C65_00345,500,496,667,400,233,352
D3C65_00350,163,177,262,154,265,237
D3C65_00355,167,188,209,165,123,96
D3C65_00360,894,941,1273,782,643,735
D3C65_00365,1100,1241,1679,909,815,863
D3C65_00370,1166,1371,1532,875,607,869
D3C65_00375,929,1082,1402,785,651,639
D3C65_00380,7065,7806,10680,6664,4216,6205
D3C65_00385,1023,1160,1363,821,559,751
D3C65_00390,216,261,303,230,156,166
D3C65_00395,10260,10725,12734,7989,5262,7855
D3C65_00400,3089,2911,3663,2264,1591,2125
D3C65_00405,720,681,802,472,504,464
D3C65_00410,438,459,506,327,460,321
D3C65_00415,4326,4233,4431,3098,2652,2905
D3C65_00420,843,730,862,560,560,526
