gene_id,WT1,WT2,A1,A2
PA14_RS00005,359,244,1254,1361
PA14_RS00010,614,459,1667,1728
PA14_RS00015,254,197,1010,1070
PA14_RS00020,1203,855,3168,2882
PA14_RS00025,0,0,20,20
PA14_RS00030,7,5,38,15
PA14_RS00035,23,20,45,44
PA14_RS00040,1,4,12,22
PA14_RS00045,0,1,19,12
PA14_RS00050,18,18,79,103
PA14_RS00055,98,62,444,433
PA14_RS00060,26,11,123,82
PA14_RS00065,3,2,169,103
PA14_RS00070,0,0,20,23
PA14_RS00075,0,0,2,1
PA14_RS00080,1,2,15,19
PA14_RS00085,5,4,25,31
PA14_RS00090,2,1,4,5
PA14_RS00095,4,1,10,18
PA14_RS00100,50,45,367,366
PA14_RS00105,3,1,3,3
PA14_RS00110,10,14,119,113
PA14_RS00115,6,3,27,32
PA14_RS00120,99,77,557,570
PA14_RS00125,76,60,242,239
PA14_RS00130,81,77,242,239
PA14_RS00135,45,25,62,55
PA14_RS00140,35,23,15,22
PA14_RS00145,14,13,13,23
PA14_RS00150,3,1,8,14
PA14_RS00155,3,5,53,33
PA14_RS00160,10,8,40,33
PA14_RS00165,19,8,31,24
PA14_RS00170,3,4,6,7
PA14_RS00175,39,30,87,85
PA14_RS00180,1,1,12,12
PA14_RS00185,9,15,80,78
PA14_RS00190,10,12,74,86
PA14_RS00195,68,52,174,188
PA14_RS00200,298,212,856,1107
PA14_RS00205,53,41,232,193
PA14_RS00210,324,231,764,825
PA14_RS00220,11,11,93,191
PA14_RS00225,1,0,18,24
PA14_RS00230,102,69,6087,6912
PA14_RS00235,24,10,514,559
PA14_RS00240,57,56,949,1008
PA14_RS00245,4,2,154,147
PA14_RS00250,1,0,86,97
PA14_RS00255,3,3,131,147
PA14_RS00260,16,6,18,16
PA14_RS00265,14,18,16,26
PA14_RS00270,1,1,4,3
PA14_RS00275,0,0,1,2
PA14_RS00280,5,4,8,21
PA14_RS00285,2,0,4,0
PA14_RS00290,4,1,21,16
PA14_RS00295,2,0,2,9
