"gene_id","MS4223.11_S7_L001","MS4223.14_S8_L001","MS4223.15_S9_L001","MS4223.16_S10_L001","MS4223.17_S11_L001","MS4223.18_S12_L001","MS4223.2_S1_L001","MS4223.3_S2_L001","MS4223.5_S3_L001","MS4223.6_S4_L001","MS4223.7_S5_L001","MS4223.8_S6_L001"
"dnaA",19191,15916,17096,10778,11190,12921,13031,11141,13066,12423,9342,11777
"dnaN",24395,20919,19476,14604,17368,19577,20060,17924,19513,20594,15873,18595
"recF",13566,12738,13657,7868,4590,4814,5315,4572,6288,5560,5697,5360
"gyrB",50909,46400,46152,35155,33981,33086,32265,28885,34934,38408,35523,34346
"PA14_00060",2616,2329,2592,1503,1501,1712,1988,1745,1989,1421,1173,1550
"PA14_00070",902,866,879,664,523,576,620,554,685,527,414,537
"PA14_00080",7386,10222,7228,44120,10566,10594,20713,25518,28226,15467,29079,16067
"glyS",12674,9009,10131,5232,7635,8199,6312,5016,5318,7325,4515,6349
"glyQ",3888,2828,3560,1547,2874,3553,2830,2192,2275,2296,1305,2261
"tag",1049,943,1031,856,865,1071,1344,1294,1224,962,718,901
"PA14_00120",2154,1737,1804,1228,1353,1635,1628,1502,1520,1489,1002,1296
"PA14_00130",537,502,458,657,387,540,646,564,661,396,358,369
"PA14_00140",540,426,482,339,303,287,308,256,341,221,216,219
"PA14_00150",324,323,278,261,196,258,268,255,292,242,208,306
"PA14_00160",1666,1540,1400,1376,1165,1066,1241,1222,1475,1397,1288,1368
"trkA",12274,10523,10904,7518,6930,7019,7766,7960,8567,7438,7365,7554
"sun",10244,9274,10083,4848,4543,4664,4620,4645,5112,4828,4581,4866
"fmt",8409,7815,8030,4284,3871,3954,4304,4071,4438,3881,3735,3850
"def",10569,9417,8813,8591,7420,7063,7849,7137,9278,8946,8237,8604
"PA14_00210",6909,6051,6842,4177,5404,6754,7367,6244,6685,5083,3566,5117
"smf",400,418,408,278,194,167,203,181,213,148,167,165
"PA14_00240",1948,1640,1687,1183,1696,1946,1907,1630,1714,1491,1082,1518
"qor",3591,3249,2793,2464,3443,4651,5131,4537,4303,4549,3142,4188
"hemF",8832,7936,7448,5775,4939,5945,5520,4726,5312,2852,3274,4119
"aroE",5679,5538,5019,3718,2855,3130,2900,2651,3282,1936,2211,2598
"plcB",4160,3790,3350,4492,5316,6179,7285,5707,6766,4652,4816,5509
"PA14_00310",2598,2723,2422,2393,2785,3126,3056,2648,3220,2511,2631,2760
"PA14_00320",705,681,571,526,537,591,540,503,610,464,492,552
"PA14_00340",567,533,498,493,341,335,409,317,437,270,332,351
"PA14_00360",203,198,161,231,216,254,310,277,235,198,218,184
"betC",811,849,763,1047,655,728,855,738,745,577,654,685
"PA14_00400",1137,1091,983,1031,818,908,1047,868,1059,819,722,841
"PA14_00410",936,1023,725,1042,993,786,922,814,1061,859,973,899
"PA14_00420",403,398,378,337,274,262,315,249,352,243,278,320
"bvga",748,756,747,510,366,378,386,381,569,319,303,390
"trpA",20164,13963,14967,6509,7322,6902,5584,5570,9307,6367,4451,6992
"trpB",38044,14528,19589,7080,11403,12369,9903,10921,13789,17280,6249,16407
"trpI",936,830,812,557,576,644,705,558,625,614,483,584
"PA14_00470",6331,6676,4763,11684,8973,7072,8661,8132,11313,10880,11867,10710
"PA14_00480",12289,13612,10227,16847,13192,12358,13941,12697,15894,16401,15653,14783
"PA14_00490",1357,984,1033,417,515,652,680,486,523,560,397,531
"PA14_00510",8014,6628,5326,4582,6511,5837,5360,4024,4760,6836,4608,5126
"PA14_00520",707,628,626,318,208,229,243,220,294,285,260,305
"PA14_00530",1626,1463,1451,1161,906,990,1053,898,1075,925,884,947
"PA14_00550",2830,2758,2555,2258,1444,1329,1681,1467,1812,1627,1683,1674
"exoT",14229,15530,14156,21256,15480,13063,14347,13320,16964,21731,20282,16460
"PA14_00570",2874,2168,2795,875,1629,2036,1498,1110,1239,1523,737,1111
"PA14_00580",1384,1099,1237,486,786,1005,706,575,650,754,379,596
"PA14_00590",1564,1358,1475,761,939,1086,986,747,867,912,572,735
"PA14_00600",1245,1468,1376,917,626,689,985,1069,1283,951,1244,941
"PA14_00620",9766,11655,10205,7041,6389,8097,10115,13756,12456,11413,13011,11857
"PA14_00630",3061,2908,2563,2198,2836,2585,2060,1468,2323,2638,1657,1958
"phzH",7096,5514,4530,3427,4508,4081,3217,1858,3177,6494,2748,4071
"PA14_00650",2211,2486,1679,7139,2728,2527,3879,3890,4912,3858,4813,3826
"PA14_00660",1363,1197,1229,621,870,1169,1264,1019,1059,1030,685,965
"PA14_00670",3751,3413,2983,2953,3853,5278,6236,6159,5380,5205,3893,5117
"PA14_00680",271,258,279,244,168,158,216,208,216,123,151,179
"PA14_00690",576,513,522,375,332,359,429,313,336,431,297,368
"PA14_00700",390,404,364,243,197,219,234,201,220,233,206,196
"osmC",2606,2465,1926,1558,2304,1951,1751,1535,2032,3413,2523,2931
"PA14_00720",1526,1269,1040,1184,1569,1248,1267,1175,1472,1747,1775,1923
"PA14_00730",2064,1939,1553,2322,2064,1811,2179,2199,2716,2329,2595,2709
"PA14_00740",918,736,606,484,821,1120,906,710,881,1054,614,923
"PA14_00750",2966,2856,2779,2035,1551,1580,1759,1517,1854,1524,1467,1551
"PA14_00760",3557,3456,3090,3018,2989,3213,3472,3147,3287,3354,2858,2927
"PA14_00770",1693,1639,1587,1595,1480,1595,1813,1715,1870,1563,1420,1510
"PA14_00780",1590,1362,1294,1505,1423,1466,1732,1569,1766,1511,1404,1444
"prlC",21032,19640,17721,17931,18895,20293,21378,20545,21109,20040,17891,19632
"PA14_00800",1360,1245,1070,1212,1081,1179,1284,1212,1229,1259,1315,1321
"PA14_00810",2496,2254,2147,2557,1657,1550,1795,1757,2244,2004,2196,2004
"PA14_00820",20627,19256,14879,25837,39731,42050,38265,31315,33691,46855,33953,35013
"PA14_00830",6561,5998,5912,5371,4058,4051,4030,3241,4619,5003,4185,4292
"PA14_00850",1306,1404,1254,1173,729,632,665,584,856,750,706,719
"PA14_00860",1231,1245,1077,1563,967,807,892,746,954,1041,1045,963
"ppkA",10229,9582,8587,11452,8550,8008,7660,6495,8477,9003,8776,7986
"PA14_00890",1992,1729,1524,2101,1730,1574,1827,1370,1827,1751,1748,1615
"PA14_00900",1685,1619,1348,1995,1669,1384,1485,1308,1678,1768,1650,1437
"PA14_00910",10746,10254,8051,11671,12801,11724,12371,11741,12760,16151,14893,12140
"PA14_00925",4885,4812,3812,5201,6385,6291,6765,6606,6792,8471,7165,6492
"PA14_00940",4876,4861,4133,5318,7076,7201,7372,7135,7428,9390,7868,6877
"PA14_00960",1656,1524,1388,1512,2160,2289,2497,2114,2245,2561,2009,2011
"PA14_00970",1557,1476,1358,1628,1847,1986,2007,1828,2101,2252,2000,2060
"PA14_00980",5901,5564,5570,5719,4456,4846,5241,4430,5935,4897,4546,5368
"PA14_00990",8360,7680,7755,4699,7850,9109,8435,7041,7316,8667,5446,7266
"PA14_01010",8584,8769,6564,12374,16585,15825,16359,15391,15537,22160,16836,15383
"PA14_01020",26633,27651,19392,39787,53294,52062,52674,50450,48373,73647,55181,50816
"PA14_01030",20587,18350,11802,25114,40386,38103,36049,33213,32230,46943,34898,33854
"PA14_01040",4111,4072,3538,4602,6458,6628,6958,6210,5816,7055,4926,5172
"PA14_01060",961,864,817,1010,1328,1482,1393,1199,1111,1576,1018,1282
"PA14_01070",5241,4542,3864,4943,5884,6018,5321,5136,5053,7915,5659,5766
"PA14_01080",2346,1987,1674,2073,2082,2115,1954,1649,2028,2857,2057,2252
"clpB",16041,14103,10612,26168,30187,25418,25010,17989,24132,28001,24446,21453
"PA14_01110",7087,6189,5331,9518,10043,8964,8058,5766,7857,9208,7320,7241
"PA14_01120",838,887,664,1044,856,781,935,792,967,886,799,774
"PA14_01130",334,325,261,358,416,444,482,442,514,532,342,448
"PA14_01140",2023,1803,1849,1423,2121,2658,2342,1903,2069,2191,1498,2027
"PA14_01150",1462,1487,1575,1287,1353,1768,1730,1454,1645,1262,986,1214
"PA14_01160",9103,8279,7957,8211,9440,10308,10606,8878,10526,12857,8609,9909
"PA14_01170",1039,1060,844,1200,1550,1516,1756,1705,1699,2286,1728,1617
"PA14_01180",2483,2646,1911,2782,3394,3343,3799,3440,3614,5105,3574,3678
"PA14_01190",1818,1744,1291,1928,2330,2265,2445,2211,2437,3666,2698,2658
"PA14_01200",3039,2886,2167,3384,3771,3772,3709,3198,3800,5146,4086,3774
"PA14_01220",3525,3267,2547,3973,4741,4203,4391,3909,4215,5615,4759,4213
"PA14_01230",3163,3027,2270,3751,3909,3316,3564,3160,3524,4452,3888,3430
"PA14_01240",4820,4393,4215,5530,4257,4087,4761,4353,5259,4576,4495,4194
"ychM",1447,1348,1307,1111,1134,1307,1346,1201,1301,1128,1072,1096
"PA14_01270",894,779,782,641,858,1104,1238,1027,1043,770,636,837
"coxB",3980,7292,4059,48260,9843,10405,20795,24468,28693,11815,24665,14580
"coxA",2304,5208,1998,51454,8598,10105,20775,28818,28137,12505,29168,15361
"coxG",475,1024,429,9691,1475,1697,3595,4702,5417,2207,5378,2842
"coIII",2816,4607,2399,26330,5641,5560,12183,13668,16614,7016,15130,8134
"PA14_01330",1327,1649,1038,4635,1752,1705,2447,2130,3037,1878,2707,2111
"PA14_01340",473,745,423,8080,877,1144,3169,3487,4503,1571,4000,1761
"PA14_01350",313,550,302,7517,786,951,2964,3200,4421,1461,4139,1601
"ctaA",567,861,580,10494,966,1152,3807,4322,5506,1915,5533,2204
"ctaB",737,1097,715,13559,1174,1421,4741,5681,7608,2287,7015,2718
"PA14_01390",4776,4430,4000,8282,2378,2891,4041,4205,5332,2881,4741,3286
"elaA",1690,1379,1461,792,691,917,858,838,801,779,624,681
"PA14_01410",1426,1376,1288,1450,1209,1247,1594,1485,1493,1420,1290,1336
"PA14_01430",600,542,461,636,523,561,713,787,737,618,524,568
"PA14_01440",850,825,607,1022,775,890,1261,1344,1299,1140,962,1090
"dctA",2155,2134,1655,1871,1624,1297,1449,1417,1713,1868,1649,1647
"PA14_01470",1068,1226,888,1352,1316,1358,1733,1581,1725,1447,1287,1384
"PA14_01480",1021,1085,822,1445,1268,1309,1777,1681,1694,1252,1354,1406
"PA14_01490",68205,87191,58645,289130,93967,88578,140814,133121,192152,120879,165845,110934
"PA14_01500",7433,8928,7304,14870,6418,6087,7968,9855,9880,10385,11499,9159
"PA14_01510",201,173,148,101,127,159,185,143,181,151,114,187
"PA14_01520",91,61,75,66,107,118,146,112,94,88,75,83
"PA14_01540",2488,2039,1850,1976,4056,5222,4557,4097,3453,4710,2700,3749
"PA14_01550",862,739,704,776,671,680,811,766,874,807,656,749
"phnA",2637,2215,2525,1255,1318,1504,1721,1277,1626,2107,1624,1834
"gabP",12502,15790,14025,20538,23756,18358,18109,21432,23714,38965,34730,33990
"mmsA",35710,50330,37919,83618,89104,56969,63955,63578,80151,104197,116133,99030
"PA14_01610",3492,5361,3514,8428,9466,4983,5467,5645,7411,10851,12593,10919
"aptA",35558,52681,32992,78459,107546,56056,60569,59550,76780,118022,137232,113057
"PA14_01640",951,955,885,1137,759,837,846,771,952,843,859,839
"guaD",3643,3636,2693,4789,4531,4120,4900,4273,5404,5116,4881,5583
"PA14_01670",462,492,511,521,371,262,332,264,364,284,301,319
"PA14_01680",277,279,223,173,134,111,118,110,141,105,144,122
"PA14_01690",799,726,792,556,297,344,446,407,435,259,365,385
"ahpC",26981,24494,20172,23001,27585,29437,29542,24965,28310,30331,23310,26778
"ahpF",10849,10271,9695,7426,5859,6199,6188,5511,6484,4835,5950,5787
"PA14_01730",29657,25345,22118,31054,28237,28930,31879,24414,33125,21538,24231,23710
