"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"ablA",588,1125,1890,1582,2994,1201,3368,3889,654,5422,1150,7182,5465,1527,13879,8310
"ahpC",1492,1215,667,577,1364,978,776,1809,452,2105,520,1265,1738,1106,4023,1205
"ahpF",666,734,459,383,821,420,422,1510,405,1946,559,1640,1628,863,4313,1127
"alaS",1485,1564,2645,3314,3552,2928,4809,4046,1310,8278,1633,5914,7079,4239,15527,9598
"aroB",168,110,237,326,324,209,356,312,167,1019,190,843,873,451,1793,1020
"aroC",302,261,650,701,740,610,1163,620,470,2249,463,2179,2567,1593,4721,2327
"asnS",3332,2569,3992,6566,8776,4854,7486,8560,3418,16645,3583,14463,19759,7713,32506,19231
"aspS",3635,5262,7956,8409,8503,5073,11012,13157,2757,18989,4043,22787,15356,5398,36833,25533
"bamD",5397,4143,7989,9165,8279,7787,12010,7219,5081,17687,4310,16270,14154,8914,23209,12578
"bcp",2791,2725,5539,6607,5295,5249,9464,5100,3005,12693,3232,11565,8858,5434,16780,12440
"bioB",306,321,421,554,694,472,660,686,371,1938,403,1492,1719,825,3302,2086
"bioC",324,384,814,899,843,607,1077,833,403,2628,574,3203,1965,1297,3671,3005
"bioD",223,182,293,518,312,336,444,300,221,1307,225,756,805,610,1470,987
"carA",206,292,381,386,433,179,391,572,191,1321,289,1499,1017,269,3172,1388
"carB",1004,1221,1960,2181,1834,921,1870,2236,953,6834,1417,7526,4986,1730,11066,6125
"cas1",919,1081,1127,1323,2055,825,1074,2263,1297,3690,1260,3683,5851,1005,9194,3709
"cas10",858,591,620,1168,2198,442,425,1479,1244,2679,1282,1690,6136,730,10105,1524
"cas1b",582,218,232,852,669,310,168,348,790,1704,674,692,1950,473,2416,676
"cas2_1",8,4,5,16,9,5,1,7,5,20,7,23,26,18,75,19
"cas2_2",85,31,27,129,116,41,28,44,152,251,121,76,319,75,473,95
"cas4",92,56,63,160,155,58,47,104,175,390,158,214,517,100,895,173
"cas5p",701,368,348,1099,1458,406,331,899,966,2568,1026,1027,3881,729,7094,1301
"cas6",1068,854,853,1931,3197,732,848,1795,1214,4323,1678,2124,6373,935,11136,2671
"cas7p",3118,1681,2391,6144,7456,1548,1900,4445,4099,12596,5174,6518,21508,2862,37412,6946
"cas8c",1407,721,743,2277,3507,751,670,1991,2219,4917,2461,2148,8936,1259,15623,2781
"ccsA",142,74,126,244,306,192,154,151,222,602,258,458,753,282,1268,384
"cdd",251,333,577,564,543,450,816,526,268,1561,360,1689,982,618,1999,1520
"clpB",272,266,413,603,301,250,667,658,256,1672,209,900,1240,1013,3135,2725
"clpP",2228,1496,2980,4759,3771,3770,4135,2819,2779,10100,2698,7874,7882,4958,14604,8516
"clpX",179,122,201,304,355,188,253,322,218,937,228,673,996,332,3654,720
"cls",3171,2291,2343,5436,4978,3935,3116,4049,3174,9359,2969,5345,9429,3797,15594,8003
"cmr3",376,488,617,706,1443,289,451,1401,595,1677,738,1819,3629,392,6905,1589
"cmr4",520,485,529,644,1166,390,503,1120,721,1571,694,1415,2630,430,4450,1542
"cmr6",341,534,628,529,1162,273,515,1521,489,1385,597,1834,2635,345,5486,1879
"coaBC",502,513,790,879,1038,503,876,1134,419,2362,502,2339,2170,775,4951,2347
"coaD",90,78,221,336,213,308,396,220,128,902,153,631,641,537,1078,830
"coaE",220,312,460,396,613,352,656,709,256,1733,379,2044,1343,473,2966,1717
"cobC",236,224,536,526,575,303,669,572,264,1435,290,2081,1222,455,2609,1669
"cobD",58,42,57,86,107,93,115,94,88,279,101,230,369,215,791,334
"cobJ",957,1105,1403,1585,2010,946,1413,2007,1022,4753,1145,3808,4317,1492,7846,4561
"cobM",850,1178,1410,1523,1842,922,1423,2286,942,4363,1071,4617,3929,1245,8450,4681
"cobT",152,160,274,305,297,243,353,365,158,854,160,816,659,332,1778,972
"cobU",128,122,175,253,295,149,215,249,119,604,125,437,545,197,1021,501
"dacB",235,184,228,348,488,294,372,334,194,653,174,581,780,354,1459,536
"dapB",290,381,1202,879,938,526,1719,1189,319,2773,511,4622,1795,713,5700,3187
"deoC",978,898,1184,1741,2110,1252,1619,2089,901,3685,899,3203,4273,1083,6545,3124
"dnaA",2375,2110,3304,4377,4679,2919,3857,4146,3123,15737,3516,12916,13120,6309,25091,13655
"dnaB",652,574,866,1275,1153,890,1224,1177,581,3581,635,2416,2352,1298,4920,3118
"dnaE",2033,1577,2538,3955,3639,2837,3453,2682,2091,8223,2305,6451,7701,3740,14837,6081
"dnaG",1659,1793,2646,3472,4312,2852,3173,4516,2292,10495,2520,9665,11373,4451,21573,12018
"dnaJ",169,162,355,473,347,180,477,655,180,1770,287,1143,1216,637,4461,2385
"dnaK",521,441,1232,1638,723,880,2378,2120,534,6419,671,3750,3377,4125,10756,11472
