gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
ablA,3894,3519,3469,2271,4816,3717,2348,1525,4365,2303,1440,1361,2346,2755,2795,2251
ahpC,8605,5172,1705,6194,18224,8147,2219,21283,44049,6468,6686,27914,3314,6906,2036,8952
ahpF,4056,2512,1515,3261,9863,6248,1145,11574,32523,2679,1500,10495,1536,3845,1152,3817
alaS,8929,10113,10610,6699,13668,9815,11723,5361,8503,6142,7295,4053,5953,5969,12872,6498
aroB,877,691,696,631,812,506,537,455,816,412,504,458,586,704,1034,873
aroC,2836,2660,7296,2085,1893,1439,10451,2207,1934,987,4958,1710,1588,1878,5627,1957
asnS,7066,4526,4264,2841,6491,3900,4059,1619,6130,2751,2075,1246,3344,4769,4085,2807
aspS,10689,12532,12266,7948,20397,13634,13822,8627,15707,7113,9973,9237,7014,8874,10285,8054
bamD,18492,17087,6244,11466,21534,14316,6431,12983,25026,13322,8434,13201,11316,15644,14836,11448
bcp,9354,16449,6565,10697,17253,14917,9546,14087,13139,11125,12383,15006,9219,8233,13697,12147
bioB,2519,2787,1684,1760,2662,1646,1569,1204,2111,1677,1245,1246,1804,1824,2406,1688
bioC,5433,5585,2265,3451,3397,2884,1451,2596,3540,2470,1100,1894,3653,5537,2460,3275
bioD,1038,1047,777,723,1012,680,785,751,769,594,1005,857,705,606,1622,836
carA,724,543,818,678,425,263,584,361,457,224,389,402,500,468,566,955
carB,4328,3723,4033,3287,3021,2069,3168,1836,3276,1768,1993,2216,2759,3528,2795,3787
cas1,939,698,249,429,396,251,274,418,696,355,404,749,710,1281,529,915
cas10,2577,1316,1080,690,703,686,1479,1182,4198,1745,2180,2697,2175,4139,1873,2740
cas13b_1,11944,10695,7363,7007,10351,7260,7040,4882,11770,5345,4762,4211,7291,11740,7150,7258
cas13b_2,3012,2079,1972,1476,2121,1576,3885,2378,4817,2442,4286,4143,2461,2468,3306,2754
cas1b,2049,1693,1044,1221,663,566,1791,1514,2309,1382,3018,4529,2124,2235,2681,3423
cas2_1,3,11,19,10,3,8,16,19,18,6,10,11,29,17,18,25
cas2_2,333,362,117,182,130,149,186,262,306,320,451,598,682,515,371,736
cas4,925,615,468,462,268,210,676,461,901,427,976,1497,1164,1022,883,1568
cas6,7049,3442,2670,2613,4071,2328,5592,3353,6615,2589,3717,4965,3734,5492,4600,5706
ccsA,1147,611,536,534,450,357,325,476,964,553,461,635,660,1022,595,838
cdd,1376,1622,649,1037,1691,1270,862,987,1617,1047,1073,1168,1152,1246,1254,1026
clpB,1036,1116,2410,1402,872,685,2684,2040,932,611,3425,2578,681,479,3378,1345
clpP,7774,8280,3526,6930,9303,9066,6453,7937,9061,6695,7552,11125,6433,7265,9351,8308
clpX,3970,2643,2170,1834,2829,1767,2119,2113,4387,2105,2417,3615,2808,3183,3652,3083
cls,5620,6432,2463,2906,4036,3318,4290,4730,7924,6940,9084,7997,5826,5964,5664,4232
cmr3,2106,1166,804,588,612,491,1217,1019,4031,1301,1768,2271,1652,2994,1292,2055
cmr4,1643,958,601,533,466,503,1061,1119,2241,1139,1725,2368,1397,2032,1121,1705
cmr6,2572,1783,1120,955,793,899,1574,1545,4143,1569,2002,2397,2142,3333,1277,2168
coaBC,1681,1039,1682,1351,1359,841,1763,1169,1679,766,1443,1830,1070,1050,2216,1818
coaD,316,309,304,293,348,224,154,288,226,160,280,146,161,241,635,362
coaE,1356,1354,659,1049,1121,1031,441,914,1281,780,357,798,1031,1121,782,1355
cobC,1440,1047,916,682,1205,805,910,713,1630,938,800,985,888,1234,1067,925
cobD,409,346,495,241,318,188,311,241,251,169,283,232,331,259,453,278
cobJ,1775,1522,1628,1237,1746,1051,2145,1504,1870,971,1936,1920,1139,1044,2037,1509
cobM,3139,2307,1892,1810,2171,1511,1857,2817,3687,1524,2074,2527,1690,1993,2649,2063
cobT,2380,1479,1433,1142,1726,1226,1467,1297,1923,1008,1834,1795,1060,1161,1999,1437
cobU,577,324,563,292,473,253,622,282,526,255,398,437,372,284,455,376
dacB,1146,796,711,755,1126,863,781,986,1201,540,770,826,610,789,799,896
dapB,1911,1071,1594,618,1212,603,1322,623,1258,721,528,705,1391,964,924,1239
deoC,1889,1597,879,1053,1337,969,871,1124,2092,1249,861,1400,1272,1455,1623,1160
der,1579,1422,856,963,1310,1102,903,1001,1838,991,726,948,1264,1374,1313,1283
dnaA,8914,8574,4575,7722,5645,3914,4170,6571,7108,4628,4218,8504,7671,6633,7914,9580
dnaB,6880,8599,3669,3697,8062,6471,4107,3848,8205,5421,3521,2613,5283,6954,5266,3106
dnaE,11515,11306,5610,6925,12542,9547,7043,7849,13201,8638,7468,9964,9000,9688,9756,9457
dnaG,9139,6341,4972,4317,4849,3720,3905,3947,8023,3767,4350,3251,5071,6117,7322,5624
dnaJ,616,573,898,402,464,313,820,295,465,296,426,388,640,493,495,411
dnaK,2268,2338,5268,3008,2286,2147,5394,3254,1931,1332,4495,4600,1544,1530,6167,3090
dnaN,3858,4332,2783,3945,4887,4551,4273,4450,4449,3578,5231,5744,3416,3021,6740,4537
dprA,1735,1378,968,1197,1346,940,857,1262,1790,884,736,1128,1194,1267,1185,1602
dusB,1132,1007,889,742,891,584,822,544,754,542,703,488,848,732,1148,690
dut,451,385,390,471,441,236,310,326,406,251,346,353,306,379,732,495
efp_1,30029,49905,16793,28064,37335,53270,19348,24108,24792,29923,16121,12659,27305,20110,32489,21533
efp_2,2535,2199,6111,4548,1923,1259,4897,4641,125,1367,9557,7933,1706,264,12755,4096
eno,3063,2624,3236,1746,4224,2791,2791,1847,3553,2129,1975,1577,1986,1821,3825,1999
era,2143,1670,1449,1302,1875,1477,1370,1156,2340,1272,1469,1017,1417,1642,1998,1788
fabD,4122,4502,2073,2604,3092,3281,2639,3177,5036,3265,3442,4177,2821,4340,3417,3254
fabF,3548,3814,5605,2189,9946,5530,7593,8593,7090,3735,5516,5959,2989,3625,5029,2475
fabG,3143,3359,2963,1993,4905,3757,4102,4985,4309,3060,5066,5698,2426,2831,5928,2098
feoB_1,1702,1577,1466,1528,2924,1966,2271,1746,2663,1694,2112,1911,1362,1093,2015,1596
feoB_2,1495,1681,5083,1398,1200,841,4695,2341,1153,701,4950,2602,855,559,5119,1130
ffh,8674,9052,5521,5677,11940,9443,4712,4371,9614,6173,3289,3126,6510,6670,6791,6253
folB,293,290,261,198,349,270,170,200,304,276,157,127,247,252,519,202
folD,2660,2742,2377,2619,2610,2086,4020,2828,2488,1323,5173,4091,1539,2019,4081,2688
folE,1187,1035,557,835,766,603,499,694,1459,742,541,761,964,1259,1445,1028
folK,509,509,584,409,449,308,442,263,408,258,339,290,302,401,589,512
folP,1070,1051,841,867,1283,1024,972,799,1281,943,1225,981,901,852,1519,988
frr,443,353,344,322,374,268,496,331,477,348,573,562,446,329,688,490
fsa,1368,1072,977,1341,1372,901,1621,1381,1584,855,1466,2009,1164,1165,1644,1832
ftcD,15169,15099,20812,15008,25723,15983,13669,10668,13772,8595,6557,6692,6661,7183,17093,10821
ftsH,20262,21203,12296,12471,27246,17360,16355,12813,21817,13579,15851,12959,11208,12113,13891,12657
ftsY,3269,3136,2805,1592,4362,2154,3286,1561,3417,1816,1640,1816,1940,2061,2332,1972
ftsZ,15803,14359,6395,10350,10818,10161,10013,12734,19835,11776,12814,17982,11779,13764,11673,13502
fusA,19520,20508,27682,20389,34895,23375,23625,10652,20562,10921,12068,5194,8674,11903,27373,16379
galE,1126,789,1351,599,1270,813,1591,870,1359,685,1026,1180,815,763,1086,948
galK,2811,2356,3580,1868,1809,1535,3878,1939,2040,1341,4498,2998,1767,1805,4811,2343
gap,22413,22847,11130,11474,20954,12130,11583,11096,18550,15873,12919,16187,15160,18060,25942,15189
gcvH,2002,1369,1188,1192,1722,1173,1195,1390,1994,1185,988,1019,1023,1496,2413,1134
gcvP,21172,19484,15587,15880,24358,17375,15558,15996,25408,13549,14220,17036,12652,15176,19559,16962
gcvT,8046,7317,5254,6332,7398,6315,4692,5643,7624,5377,4213,4253,4532,5053,9554,6424
gdhA,17123,18037,9765,11037,13521,11489,12555,10798,17697,12358,12968,11377,15359,14353,15722,11808
