"gene_id","WT1","WT2","WT3","flavodoxin1","flavodoxin2","flavodoxin3"
"CF003_RS10770",18729,12932,15916,16718,11469,15022
"CF003_RS10785",25,29,20,12,16,16
"CF003_RS10790",504,410,450,1070,931,587
"CF003_RS10795",102,79,60,47,41,56
"CF003_RS10800",58,60,47,47,45,51
"CF003_RS10815",166,140,155,170,168,160
"CF003_RS10820",929,549,586,325,406,323
"CF003_RS10825",233,180,181,199,237,208
"CF003_RS10830",223,220,219,323,296,340
"CF003_RS10835",170,161,198,250,220,265
"CF003_RS10840",143,156,127,96,97,110
"CF003_RS10845",66,85,64,38,35,48
"CF003_RS10850",56,67,69,50,54,54
"CF003_RS10855",125,109,137,56,63,64
"CF003_RS10860",403,328,368,256,224,206
"CF003_RS10865",63,56,43,41,39,52
"CF003_RS10870",169,118,104,88,102,98
"CF003_RS10880",767,637,544,219,244,205
"CF003_RS10885",961,1135,865,217,266,222
"CF003_RS10890",383,436,310,105,138,144
"CF003_RS10895",1104,1558,902,262,331,292
"CF003_RS10900",651,1033,641,83,112,116
"CF003_RS10905",179,147,217,89,108,90
"CF003_RS10910",12,8,4,2,1,3
"CF003_RS10915",55,40,43,25,31,36
"CF003_RS10920",15,10,9,9,9,12
"CF003_RS10925",37,35,29,32,36,44
"CF003_RS10930",87,73,94,68,63,71
"CF003_RS10935",141,136,161,155,205,215
"CF003_RS10940",254,223,262,187,195,170
"CF003_RS10945",1901,1439,1749,643,538,685
"CF003_RS10955",159,146,161,91,77,84
"CF003_RS10960",956,791,613,461,610,627
"CF003_RS10965",101,100,103,120,142,130
"CF003_RS10975",553,265,537,195,195,185
"CF003_RS10980",403,633,355,206,408,222
"CF003_RS10985",304,471,390,139,289,205
"CF003_RS10990",209,210,229,126,127,156
"CF003_RS10995",70,55,72,30,34,36
"CF003_RS11010",121,126,126,54,62,58
"CF003_RS11015",480,509,529,204,232,238
"CF003_RS11020",270,282,272,112,127,133
"CF003_RS11025",583,679,717,389,467,349
"CF003_RS11030",494,522,540,356,358,298
"CF003_RS11035",328,341,343,220,240,225
"CF003_RS11040",131,148,95,96,109,92
"CF003_RS11045",82,108,63,64,61,68
"CF003_RS11050",133,117,113,109,149,116
"CF003_RS11055",50,34,41,43,58,39
"CF003_RS11060",50,52,43,107,138,86
"CF003_RS11065",25,27,22,51,65,48
"CF003_RS11070",26,36,24,43,59,65
"CF003_RS11075",197,249,335,167,168,213
"CF003_RS11080",323,313,228,154,182,158
"CF003_RS11085",353,431,340,228,261,213
"CF003_RS11090",348,328,292,245,267,264
"CF003_RS11095",666,669,577,452,485,433
"CF003_RS11100",293,286,309,306,321,332
"CF003_RS11105",234,178,215,186,206,233
"CF003_RS11110",390,295,282,264,336,361
"CF003_RS11115",305,243,307,232,243,268
"CF003_RS11120",20,29,18,9,8,13
"CF003_RS11125",91,92,76,29,38,32
"CF003_RS11130",0,0,0,1,0,0
"CF003_RS11135",96,79,61,56,56,63
"CF003_RS11140",84,116,79,52,62,74
"CF003_RS11145",48,73,43,44,53,79
"CF003_RS11150",61,52,42,74,106,89
"CF003_RS11155",75,87,60,82,106,72
"CF003_RS11160",65,84,67,44,67,74
"CF003_RS11165",283,311,255,90,104,115
"CF003_RS11170",78,83,70,37,34,50
"CF003_RS11180",7898,7806,5316,4722,8068,6809
"CF003_RS11185",195,195,167,109,118,129
"CF003_RS11190",212,206,142,89,98,110
"CF003_RS11195",185,138,130,109,115,127
"CF003_RS11200",256,206,190,141,138,162
"CF003_RS11210",75,71,70,71,72,107
"CF003_RS11215",362,331,363,291,289,411
"CF003_RS11220",309,313,280,171,189,215
"CF003_RS11240",110,92,193,16,27,27
"CF003_RS11245",5774,5590,4657,224,190,361
"CF003_RS11250",476,471,463,59,51,78
"CF003_RS11255",124,48,83,24,51,49
"CF003_RS11260",195,108,209,65,57,62
"CF003_RS11265",218,183,166,149,161,170
"CF003_RS11275",86,99,98,30,34,58
"CF003_RS11280",94,130,134,71,51,172
"CF003_RS11285",95,145,112,48,46,89
"CF003_RS11290",101,170,189,76,87,88
"CF003_RS11295",113,165,226,61,90,66
"CF003_RS11305",79,107,110,47,51,44
"CF003_RS11310",82,100,116,64,75,66
"CF003_RS11315",55,82,96,39,55,34
"CF003_RS11320",57,80,77,39,46,36
"CF003_RS11325",27,43,31,13,15,12
"CF003_RS11330",41,54,59,19,24,24
"CF003_RS11335",33,34,32,21,19,21
"CF003_RS11340",33,43,52,33,36,33
"CF003_RS11345",1563,1218,1625,1961,1881,2917
"CF003_RS11350",93,109,100,77,72,91
"CF003_RS11355",95,87,62,53,71,75
"CF003_RS11360",75,51,48,47,71,77
"CF003_RS11365",287,268,194,175,201,197
"CF003_RS11370",118,110,82,63,66,76
"CF003_RS11375",48,53,35,38,45,49
"CF003_RS11380",77,71,56,47,51,40
"CF003_RS11385",130,173,157,120,112,218
"CF003_RS11395",111,87,81,130,146,130
"CF003_RS11400",140,123,126,185,204,179
"CF003_RS11405",300,216,254,399,459,352
"CF003_RS11410",526,355,628,645,802,530
"CF003_RS11415",206,169,180,70,81,108
"CF003_RS11420",332,319,334,296,326,363
"CF003_RS11425",540,424,381,639,718,584
"CF003_RS11430",373,322,333,105,105,113
"CF003_RS11435",136,122,81,116,123,137
"CF003_RS11440",122,84,107,98,101,108
"CF003_RS11445",177,165,113,78,95,109
"CF003_RS11450",173,128,87,123,151,142
"CF003_RS11455",134,81,74,97,108,145
"CF003_RS11460",1655,895,943,1345,1426,1543
"CF003_RS11465",90,72,47,93,92,95
"CF003_RS11470",102,80,69,93,101,93
"CF003_RS11475",123,94,82,104,110,114
"CF003_RS11480",112,109,101,127,126,138
"CF003_RS11485",135,98,104,185,173,229
"CF003_RS11490",140,121,81,201,196,221
"CF003_RS11495",126,116,110,145,151,181
"CF003_RS11500",213,174,130,204,210,216
"CF003_RS11505",84,73,70,55,56,49
"CF003_RS11510",154,116,105,70,73,88
"CF003_RS11515",149,120,128,55,59,73
"CF003_RS11520",137,114,101,71,61,82
"CF003_RS11525",804,920,820,1067,930,1052
"CF003_RS11530",418,509,412,424,374,299
"CF003_RS11535",1934,1737,2061,587,733,371
"CF003_RS11540",290,196,243,132,159,121
"CF003_RS11545",42,50,36,19,20,25
"CF003_RS11550",71,67,78,32,32,38
"CF003_RS11555",59,52,48,30,25,35
"CF003_RS11560",1570,1472,1444,581,493,775
"CF003_RS11570",238,243,215,148,155,173
"CF003_RS11575",250,278,214,158,159,158
"CF003_RS11580",168,172,185,159,157,160
"CF003_RS11585",360,358,399,192,190,163
"CF003_RS11590",91,103,91,14,19,22
"CF003_RS11600",160,150,178,77,86,90
"CF003_RS11610",11,18,24,11,9,15
"CF003_RS11615",46,66,69,17,21,18
"CF003_RS11620",72,114,82,33,29,30
"CF003_RS11625",33,42,46,29,33,30
"CF003_RS11630",106,128,139,54,63,36
"CF003_RS11635",653,396,681,1820,1823,1076
"CF003_RS11645",3779,4774,4664,7728,7795,8049
"CF003_RS11650",3962,5219,5188,8680,9009,7707
"CF003_RS11660",691,769,685,380,409,468
"CF003_RS11665",1096,1508,1249,387,409,493
"CF003_RS11670",659,841,661,181,156,208
"CF003_RS11675",498,658,555,184,192,252
"CF003_RS11680",785,662,955,248,261,331
"CF003_RS11685",604,571,921,257,247,356
"CF003_RS11690",46,48,72,31,32,35
"CF003_RS11695",453,240,367,100,109,95
"CF003_RS11700",374,504,361,286,247,348
"CF003_RS11705",38,56,39,8,6,14
"CF003_RS11710",74,85,57,49,44,67
"CF003_RS11715",131,134,136,72,71,94
"CF003_RS11720",196,204,149,87,76,104
"CF003_RS11725",456,455,377,174,166,200
"CF003_RS11730",95,114,87,43,47,67
"CF003_RS11735",47,40,50,29,22,48
"CF003_RS11740",67,84,71,48,48,61
"CF003_RS11750",247,489,260,33,59,47
"CF003_RS11755",60,48,40,45,56,49
"CF003_RS11760",108,100,83,98,100,105
"CF003_RS11765",80,77,54,65,68,81
"CF003_RS11770",157,150,131,97,107,127
"CF003_RS11780",130,116,117,25,17,24
"CF003_RS11785",137,116,81,31,31,35
"CF003_RS11790",63,74,69,20,16,34
"CF003_RS11795",176,226,131,106,94,154
"CF003_RS11800",177,185,156,100,86,128
"CF003_RS11805",3,3,5,4,3,3
"CF003_RS11810",8,7,5,5,3,6
"CF003_RS11815",2,2,0,4,3,0
"CF003_RS11820",2,3,3,4,8,6
"CF003_RS11830",70,73,63,52,45,75
"CF003_RS11835",151,150,124,126,101,179
"CF003_RS11840",160,149,178,77,85,89
"CF003_RS11845",166,145,129,273,291,250
"CF003_RS11850",53,56,40,31,34,43
"CF003_RS11855",99,93,97,65,74,76
"CF003_RS11865",841,672,931,613,521,579
"CF003_RS11870",123,72,99,79,82,95
"CF003_RS11875",693,838,822,1800,1538,1897
"CF003_RS11885",34,31,50,6,6,14
"CF003_RS11890",61,86,67,29,28,33
"CF003_RS11895",642,499,508,68,84,76
"CF003_RS11900",389,384,372,34,42,51
"CF003_RS11905",122,137,157,54,51,78
"CF003_RS11910",3763,4007,4210,2535,2287,2349
"CF003_RS11915",3224,3312,2902,1498,1445,1441
"CF003_RS11920",3429,3628,4092,1525,1466,1665
"CF003_RS11925",2579,1986,2782,2489,2361,1147
"CF003_RS11930",3688,1791,2029,2007,1879,1182
"CF003_RS11940",43,38,55,11,17,18
"CF003_RS11945",1654,1373,1764,641,739,788
"CF003_RS11955",511,381,519,138,132,204
"CF003_RS11960",1084,894,857,312,330,357
"CF003_RS11965",584,423,466,279,310,306
"CF003_RS11970",173,196,253,91,96,112
"CF003_RS11975",186,329,212,86,116,127
"CF003_RS11980",229,395,244,144,223,167
"CF003_RS11985",289,426,266,204,306,188
"CF003_RS11990",42,42,64,27,30,33
"CF003_RS11995",0,1,0,0,0,1
"CF003_RS12000",991,977,853,275,277,332
"CF003_RS12005",392,498,387,117,130,144
"CF003_RS12010",314,274,353,304,262,237
"CF003_RS12015",431,453,528,233,225,228
"CF003_RS12020",440,486,394,261,234,270
"CF003_RS12025",264,339,257,173,141,175
"CF003_RS12030",578,801,710,277,254,321
"CF003_RS12035",337,407,353,137,130,163
"CF003_RS12040",148,171,146,83,69,84
"CF003_RS12050",400,1023,552,138,413,288
"CF003_RS12055",1194,1082,1308,964,903,709
"CF003_RS12060",632,696,873,1157,1257,921
"CF003_RS12065",80,69,106,64,60,59
"CF003_RS12070",318,270,319,141,142,152
"CF003_RS12075",23,24,20,14,14,18
"CF003_RS12080",17,17,13,10,10,10
"CF003_RS12085",9,7,6,7,5,7
"CF003_RS12090",10,6,6,7,5,4
"CF003_RS12095",5,3,2,3,3,3
"CF003_RS12100",103,96,105,35,39,44
"CF003_RS12105",492,471,418,34,39,50
"CF003_RS12110",1191,1324,1154,122,141,160
"CF003_RS12115",976,999,745,170,220,211
"CF003_RS12120",1146,1168,1030,200,261,242
"CF003_RS12125",1638,1640,1365,309,371,319
"CF003_RS12130",122,183,111,29,37,38
"CF003_RS12135",67,82,46,22,25,27
"CF003_RS12140",2911,1771,3431,7351,6012,3746
"CF003_RS12145",0,0,0,0,1,1
"CF003_RS12150",37,30,28,25,30,32
"CF003_RS12155",102,86,98,118,122,135
"CF003_RS12160",274,227,218,257,280,309
"CF003_RS12180",61,50,64,121,102,84
"CF003_RS12185",398,332,395,244,281,241
"CF003_RS12190",618,719,484,398,465,526
"CF003_RS12195",520,591,514,491,515,519
"CF003_RS12200",961,1110,1235,860,901,720
"CF003_RS12205",935,1021,968,787,857,689
"CF003_RS12210",1005,935,873,749,786,578
"CF003_RS12215",763,893,588,599,631,424
"CF003_RS12220",80,84,70,28,25,36
"CF003_RS12225",193,224,132,192,169,184
"CF003_RS12230",193,220,164,139,127,129
"CF003_RS12235",293,366,275,172,163,166
"CF003_RS12240",13,18,19,7,7,9
