"gene_id","MRSA.01","MRSA.02","MRSA.03","MRSA.04","MRSA.05","MRSA.06","MRSA.07","MRSA.08","MRSA.09","MRSA.10","MRSA.11","MRSA.12","MRSA.13","MRSA.14","MRSA.15","MRSA.16","MRSA.17","MRSA.18","MRSA.19","MRSA.20","MRSA.21","MRSA.22","MRSA.23","MRSA.24","MRSA.25","MRSA.26","MRSA.27","MRSA.28","MRSA.29","MRSA.30","MRSA.31","MRSA.32","MRSA.33","MRSA.34","MRSA.35","MRSA.36","MRSA.37","MRSA.38","MRSA.39","MRSA.40","MRSA.41","MRSA.42"
"SAUSA300_0001",16502,21208,17460,21026,16891,21170,16701,15728,17220,19960,18468,21963,18128,20390,17558,19600,24649,18613,17040,16646,16044,11113,13167,13742,12647,14099,11917,10645,10307,11238,14015,13642,13135,15634,15387,16575,11702,11445,11482,13195,18209,20599
"SAUSA300_0002",15665,21754,17409,20550,15941,21713,15552,15390,16018,19604,18421,23009,17040,20627,17524,18729,24944,19471,16653,16634,15615,10689,11568,12548,11832,12328,10560,9188,8874,10020,12323,11691,11372,14316,13616,15161,10273,10073,11025,11176,15260,16486
"SAUSA300_0003",938,1248,1080,1183,878,1063,863,808,1098,988,932,1029,869,884,711,1186,1747,1257,1536,1331,1229,898,927,943,862,834,755,901,796,846,833,795,792,956,861,902,802,613,695,871,884,1104
"SAUSA300_0004",6114,7936,6224,7492,6120,9886,6468,6183,6414,9365,8118,10375,8576,10389,9034,9951,11749,9454,8606,8904,8519,7107,7952,8111,7164,6587,6631,7238,6985,7775,5671,5702,5579,6912,6587,6999,8119,7903,7756,9461,8918,10024
"SAUSA300_0005",9382,11325,9290,11493,9509,20042,9796,9762,10083,21281,15688,20771,18464,22749,21064,17311,16944,15115,16006,15902,15731,13716,17053,16399,14427,13229,14241,15285,15010,16588,9668,10171,9663,11978,11472,12175,17371,17925,15499,20932,18467,22214
"SAUSA300_0006",12356,17227,13996,15824,12541,27647,12845,11812,13139,30979,25423,34833,25024,31875,29041,21641,28631,24994,21655,24252,20952,20521,21721,21712,21128,17965,18326,19519,18050,20686,10496,11035,9961,14093,12259,12974,21604,20053,22287,22563,21697,23891
"SAUSA300_0007",1457,1794,1546,1810,1418,1442,1148,886,1106,1570,1834,1690,1363,1499,1161,1268,1969,1448,1376,1207,1220,4255,5309,5622,4392,3902,4563,3507,3623,3352,2709,2416,2415,3001,3111,3132,4085,3931,3502,3719,2708,3514
"SAUSA300_0008",299,311,312,357,294,592,229,161,182,2314,1891,2639,1787,2118,1737,385,475,384,353,395,415,1163,1401,1456,997,815,986,956,1056,1135,1054,1135,1140,1153,1075,1159,1646,1485,1387,1664,1307,1637
"SAUSA300_0009",8719,10823,8982,11064,8694,13949,8476,8120,8849,14216,11214,15685,10848,12380,13090,9729,12373,10445,9847,9922,9591,11606,20609,44768,16975,27853,15251,33973,40051,40874,2654,2694,2659,3243,3055,3117,22421,31361,20289,25879,21910,27416
"SAUSA300_0010",1063,1482,1155,1500,1115,870,1042,1098,1013,288,500,372,425,494,345,1557,1976,1252,1140,1116,1029,105,113,146,110,74,96,78,76,72,671,473,495,919,882,888,93,104,124,110,69,99
