"gene_id","HG001.rep1","HG001.rep2","HG001.rep3","UTI.89.mixed.with.HG001.rep1","UTI.89.mixed.with.HG001.rep2","UTI.89.mixed.with.HG001.rep3"
"SAOUHSC_00001",375,454,519,73,56,290
"SAOUHSC_00002",345,402,446,54,37,220
"SAOUHSC_00003",30,45,27,10,1,14
"SAOUHSC_00004",242,286,300,52,50,158
"SAOUHSC_00005",393,393,417,99,92,184
"SAOUHSC_00006",561,625,591,128,122,256
"SAOUHSC_00007",52,50,42,4,10,47
"SAOUHSC_00008",58,44,44,1,3,23
"SAOUHSC_00009",125,166,165,14,6,158
"SAOUHSC_00010",8,6,3,0,3,1
"SAOUHSC_00012",2,1,2,1,3,0
"SAOUHSC_00013",10,14,7,0,2,1
"SAOUHSC_00014",170,194,187,15,20,44
"SAOUHSC_00015",447,601,545,34,64,144
"SAOUHSC_00017",91,125,121,9,16,44
"SAOUHSC_00018",266,380,308,27,32,76
"SAOUHSC_00019",86,90,91,11,10,45
"SAOUHSC_00020",199,157,196,21,29,83
"SAOUHSC_00021",348,355,374,49,37,176
"SAOUHSC_00022",209,250,250,17,29,105
"SAOUHSC_00023",156,183,214,30,30,62
"SAOUHSC_00024",47,108,62,4,13,47
"SAOUHSC_00025",41,41,38,1,3,28
"SAOUHSC_00026",0,0,0,0,0,0
"SAOUHSC_00027",11,11,10,0,1,8
"SAOUHSC_00028",3,3,5,0,1,3
"SAOUHSC_00029",3,0,0,0,0,0
"SAOUHSC_00030",123,107,111,8,13,46
"SAOUHSC_00031",9,10,9,0,1,4
"SAOUHSC_00032",0,0,0,0,0,0
"SAOUHSC_00033",14,12,12,0,2,1
"SAOUHSC_00034",2,1,4,0,0,0
"SAOUHSC_00035",5,5,4,0,1,1
"SAOUHSC_00036",4,6,9,0,0,2
"SAOUHSC_00037",14,19,17,0,1,9
"SAOUHSC_00038",5,5,3,0,1,3
"SAOUHSC_00039",63,76,53,6,7,21
"SAOUHSC_00040",7,2,2,0,0,2
"SAOUHSC_00041",4,8,7,1,1,6
"SAOUHSC_00042",17,20,13,1,0,4
"SAOUHSC_00043",0,3,2,0,0,0
"SAOUHSC_00044",12,13,11,0,2,6
"SAOUHSC_00045",5,6,2,0,0,2
"SAOUHSC_00046",12,14,13,1,1,9
"SAOUHSC_00047",7,13,10,0,1,3
"SAOUHSC_00049",39,41,35,2,5,24
"SAOUHSC_00050",9,12,14,0,3,5
"SAOUHSC_00051",4,4,4,1,0,3
"SAOUHSC_00052",7,0,0,0,0,1
"SAOUHSC_00053",3,6,2,0,0,4
"SAOUHSC_00054",2,4,4,0,0,5
"SAOUHSC_00055",9,5,5,0,0,4
"SAOUHSC_00056",166,193,163,22,38,82
"SAOUHSC_00057",10,9,9,1,3,3
"SAOUHSC_00058",6,13,11,1,0,4
"SAOUHSC_00060",490,559,530,15,75,45
"SAOUHSC_00061",17,22,30,10,36,23
"SAOUHSC_00062",0,2,1,0,0,2
"SAOUHSC_00064",3,7,4,0,1,4
"SAOUHSC_00065",15,15,18,0,3,2
"SAOUHSC_00067",60,62,56,5,5,21
"SAOUHSC_00069",850,1030,820,320,305,802
"SAOUHSC_00070",131,150,157,9,16,64
"SAOUHSC_00071",22,14,26,2,5,15
"SAOUHSC_00072",4,2,2,1,2,10
"SAOUHSC_00074",4,4,6,5,22,104
"SAOUHSC_00075",1,0,0,1,6,2
"SAOUHSC_00076",1,2,1,1,7,3
"SAOUHSC_00077",2,2,2,3,7,10
"SAOUHSC_00078",3,1,3,1,1,3
"SAOUHSC_00079",5,1,3,1,3,5
"SAOUHSC_00080",5,2,4,4,3,12
"SAOUHSC_00081",0,2,2,2,0,5
"SAOUHSC_00082",2,2,3,2,4,6
"SAOUHSC_00083",0,5,2,1,5,5
"SAOUHSC_00084",14,12,11,0,2,5
"SAOUHSC_00085",30,19,15,1,3,11
"SAOUHSC_00086",58,68,45,14,50,9
"SAOUHSC_00087",0,0,0,0,0,0
"SAOUHSC_00088",6,3,9,1,1,5
"SAOUHSC_00089",2,3,0,1,2,2
"SAOUHSC_00090",4,6,2,0,1,3
"SAOUHSC_00091",6,7,4,0,1,3
"SAOUHSC_00092",24,28,15,1,3,7
"SAOUHSC_00093",23,22,22,5,5,21
"SAOUHSC_00094",33,31,18,4,1,75
"SAOUHSC_00096",25,32,31,0,1,13
"SAOUHSC_00097",1,2,1,0,0,2
"SAOUHSC_00099",14,12,11,0,0,6
"SAOUHSC_00100",85,92,91,10,13,30
"SAOUHSC_00101",266,358,285,46,51,106
"SAOUHSC_00102",2,4,6,0,0,0
"SAOUHSC_00103",4,1,0,0,0,2
"SAOUHSC_00104",3,2,4,0,1,0
"SAOUHSC_00105",10,6,14,1,3,4
"SAOUHSC_00106",3,4,5,0,1,3
"SAOUHSC_00107",22,20,23,1,2,11
"SAOUHSC_00108",0,0,0,0,0,0
"SAOUHSC_00109",2,1,0,0,0,1
"SAOUHSC_00111",0,1,2,1,0,1
"SAOUHSC_00112",1,5,3,0,0,2
"SAOUHSC_00113",23,19,29,3,3,18
"SAOUHSC_00114",2,7,3,1,1,5
"SAOUHSC_00115",2,8,4,1,0,3
"SAOUHSC_00116",2,8,7,0,2,3
"SAOUHSC_00117",10,12,6,0,7,5
"SAOUHSC_00118",6,3,9,1,8,4
"SAOUHSC_00119",7,4,4,1,5,4
"SAOUHSC_00120",6,6,5,0,8,2
"SAOUHSC_00121",3,2,1,1,0,1
"SAOUHSC_00122",9,6,6,0,4,4
"SAOUHSC_00123",8,4,7,0,8,3
"SAOUHSC_00124",11,4,6,1,5,4
"SAOUHSC_00125",7,11,7,1,6,7
"SAOUHSC_00126",5,6,3,2,0,3
"SAOUHSC_00127",9,13,10,0,1,3
"SAOUHSC_00128",14,14,14,1,5,9
"SAOUHSC_00129",25,18,18,2,5,8
"SAOUHSC_00130",3,1,4,2,1,10
"SAOUHSC_00131",0,3,0,2,5,15
"SAOUHSC_00132",4,6,6,0,0,8
"SAOUHSC_00133",30,25,20,2,4,7
"SAOUHSC_00134",18,12,11,0,3,8
"SAOUHSC_00135",168,98,96,7,19,20
"SAOUHSC_00136",16,13,24,0,6,3
"SAOUHSC_00137",15,14,17,2,6,3
"SAOUHSC_00138",15,11,14,1,4,2
"SAOUHSC_00139",26,12,18,2,4,7
"SAOUHSC_00141",25,29,24,2,6,9
"SAOUHSC_00142",3,4,4,6,1,61
"SAOUHSC_00143",20,20,21,0,0,7
"SAOUHSC_00144",192,234,246,16,20,149
"SAOUHSC_00145",29,36,29,1,3,16
"SAOUHSC_00146",520,590,556,32,14,294
"SAOUHSC_00147",4,6,7,0,0,2
"SAOUHSC_00148",10,8,9,0,2,1
"SAOUHSC_00149",11,8,4,0,0,3
"SAOUHSC_00150",6,5,6,1,1,4
"SAOUHSC_00151",116,160,141,6,13,21
"SAOUHSC_00152",16,17,10,0,2,6
"SAOUHSC_00153",47,51,67,6,3,30
"SAOUHSC_00154",0,0,0,0,0,0
"SAOUHSC_00155",281,316,313,26,15,251
"SAOUHSC_00156",9,9,12,3,0,45
"SAOUHSC_00157",3,3,2,0,1,12
"SAOUHSC_00158",9,9,10,0,2,17
"SAOUHSC_00160",6,7,7,0,5,6
"SAOUHSC_00161",1,4,2,1,0,1
"SAOUHSC_00162",180,199,196,12,18,120
"SAOUHSC_00163",56,74,65,8,4,31
"SAOUHSC_00164",30,27,29,3,2,20
"SAOUHSC_00166",26,31,25,3,1,6
"SAOUHSC_00167",12,12,9,0,4,3
"SAOUHSC_00168",5,1,5,0,0,1
"SAOUHSC_00169",2,2,3,1,0,1
"SAOUHSC_00170",2,3,3,1,1,1
"SAOUHSC_00171",15,9,14,3,8,11
"SAOUHSC_00172",15,26,18,4,3,14
"SAOUHSC_00173",18,17,17,1,4,4
"SAOUHSC_00174",3,4,0,0,0,1
"SAOUHSC_00175",3,2,3,0,0,4
"SAOUHSC_00176",3,3,3,0,0,2
"SAOUHSC_00177",6,6,4,2,0,5
"SAOUHSC_00178",2,0,6,0,1,1
"SAOUHSC_00179",6,4,5,0,1,3
"SAOUHSC_00180",4,7,1,0,2,1
"SAOUHSC_00181",6,9,7,0,3,7
"SAOUHSC_00182",31,19,35,0,2,3
"SAOUHSC_00183",3,5,3,1,1,7
"SAOUHSC_00184",19,16,14,1,2,8
