"gene_id","N_A","N_B","N_C","N0A","N0B","N0C","N2A","N2B","N2C","N5A","N5B","N5C","N10A","N10B","N10C","N20A","N20B","N20C","N30A","N30B","N30C"
"gene-NWMN_RS00005",1034,1309,1143,993,1772,969,1263,1280,882,776,817,507,386,854,257,356,368,244,383,267,158
"gene-NWMN_RS00010",1494,1538,1315,1181,1965,1079,1415,1492,1186,971,1098,649,517,1023,315,406,412,301,393,334,190
"gene-NWMN_RS00015",168,175,268,206,214,214,177,151,176,177,168,168,90,134,73,73,73,82,54,52,33
"gene-NWMN_RS00020",783,697,1360,933,1366,1128,882,971,1023,788,991,749,426,789,330,386,419,284,323,301,187
"gene-NWMN_RS00025",909,704,3186,1726,2444,2564,1722,1926,2018,1636,2184,1467,879,1310,797,740,993,756,748,668,484
"gene-NWMN_RS00030",2429,2351,6500,4511,5125,4916,3958,4147,4326,3813,5049,3362,1932,2407,1636,1492,1712,1371,1548,1267,871
"gene-NWMN_RS00035",1161,765,1196,1115,866,812,998,642,947,754,603,530,475,728,303,557,330,365,564,313,217
"gene-NWMN_RS00040",64,37,112,93,54,64,89,55,62,58,58,80,36,58,53,44,29,66,69,21,33
"gene-NWMN_RS00045",1433,1317,1463,1444,1670,1322,1699,952,1459,1456,1255,1454,1099,1831,668,615,676,427,360,363,213
"gene-NWMN_RS00050",86,83,74,53,86,64,45,44,51,50,44,38,23,46,18,28,19,12,22,10,10
"gene-NWMN_RS00055",40,28,26,24,43,27,23,21,30,23,24,18,11,20,8,7,9,7,10,6,1
"gene-NWMN_RS00060",87,87,75,82,79,63,58,68,67,75,56,46,54,72,37,45,32,28,46,26,22
"gene-NWMN_RS00065",919,738,754,705,830,591,694,541,605,504,455,307,250,424,136,268,197,130,259,197,87
"gene-NWMN_RS00070",1842,1692,2880,2431,2632,2426,2229,2085,2129,1719,2085,1307,863,1214,700,828,823,689,930,721,445
"gene-NWMN_RS00075",325,215,664,444,624,530,610,506,493,356,474,340,175,295,156,194,206,171,229,158,101
"gene-NWMN_RS00080",942,793,2089,1590,1864,1603,1468,1513,1404,1125,1492,979,571,752,503,518,485,430,590,429,291
"gene-NWMN_RS00085",263,242,564,422,434,460,360,362,386,605,457,235,373,541,164,285,380,155,251,223,100
