"gene_id","WT_3H_R1_GE","WT_3H_R2_GE","pEPSA_Teg49_Comp_3H_R1_GE","pEPSA_Teg49_Comp_3H_R2_GE","Teg49_mutant_3H_R1_GE","Teg49_mutant_3H_R2_GE"
"dnaA",17219,23845,26852,32086,25928,26600
"SAOUHSC_00002",18073,23611,28186,32795,28773,29190
"SAOUHSC_00003",1393,1933,2500,2612,2328,2393
"recF",12581,17293,20762,22169,19770,20324
"SAOUHSC_00005",19413,28654,30490,32571,29290,29735
"SAOUHSC_00006",40679,57135,64989,71460,63293,63805
"SAOUHSC_00007",3633,4453,6098,6683,5077,5173
"SAOUHSC_00008",3171,4558,6293,6681,5987,5872
"SAOUHSC_00009",17707,17756,28131,25471,24390,25627
"SAOUHSC_00010",174,227,306,288,235,290
"SAOUHSC_00012",207,240,309,355,304,342
"SAOUHSC_00013",464,717,808,898,804,812
"SAOUHSC_00014",6514,7387,10598,12435,10358,10493
"SAOUHSC_00015",30768,38505,49289,52689,44912,45623
"rplI",8290,10958,13178,13857,12731,12835
"SAOUHSC_00018",11935,20263,21419,24220,22488,22977
"SAOUHSC_00019",6523,9601,14646,15504,22712,22961
"SAOUHSC_T00018",22,19,27,23,16,8
"SAOUHSC_T00011",0,0,0,0,0,0
"SAOUHSC_00020",6858,8478,10232,10982,8843,9051
"SAOUHSC_00021",26267,33169,41955,48630,39937,39871
"SAOUHSC_00022",20911,27333,32826,37203,29442,29153
"SAOUHSC_00023",14828,17415,24096,25807,20601,20166
"SAOUHSC_00024",2661,2192,3990,3739,2864,2934
"SAOUHSC_00025",2447,3104,3777,3828,3611,3813
"SAOUHSC_00026",31,78,26,84,57,88
"SAOUHSC_00027",766,1055,1337,1516,1506,1459
"SAOUHSC_00028",75,64,116,145,162,141
"SAOUHSC_00029",30,20,56,43,29,36
"SAOUHSC_00030",3533,4036,5670,6950,6396,6329
"SAOUHSC_00031",581,828,1028,1048,881,974
"SAOUHSC_00032",20,16,39,46,35,33
"SAOUHSC_00033",634,759,999,1194,1006,1109
