"gene_id","MOPS.2.hr...M.2.1","MOPS.2.hr...M.2.2","MOPS.2.hr...M.2.3","Lignin.2.hr...L.2.1","Lignin.2.hr...L.2.2","Lignin.2.hr...L.2.3","MOPS.20.min...M.20.1","MOPS.20.min...M.20.2","MOPS.20.min...M.20.3","Lignin.20.min...L.20.1","Lignin.20.min...L.20.2","Lignin.20.min...L.20.3"
"accA",2207,3432,2896,4610,4136,4593,6024,6676,7195,8676,7513,7849
"accB",510,437,319,631,647,651,1395,1348,1388,1244,1178,1311
"accC",2122,3387,2739,5087,4288,4598,7646,9243,8753,9363,7787,8025
"accD",1473,2500,2101,3649,2897,3095,4160,4690,4546,6286,5135,5253
"ackA",8510,9210,8153,5849,7891,8762,8827,11320,11907,16727,11333,11358
"acpD",55,53,47,117,167,159,86,77,73,161,854,812
"acpP",3375,4797,3713,10248,7453,8743,5699,6882,8883,7260,5106,5381
"acpS",241,341,258,667,752,654,1149,1195,1180,1096,800,938
"acsA",1834,9941,7703,14825,16074,18722,5850,7147,6529,3841,2579,2123
"acuA",199,440,301,734,1492,1614,263,213,305,524,375,356
"adhA",21735,76568,62875,12391,7522,8322,4428,2974,696,4766,1388,1212
"adhE",2297,5971,5195,2588,2065,1870,967,460,264,913,941,686
"adk",11719,15534,13397,22308,27470,27751,27132,51729,55527,44991,54792,50550
"agrA",70909,77585,69983,60196,62316,71630,5613,5629,7931,13227,5243,6412
"agrB",61382,76419,61196,67998,52654,57956,4334,4399,6233,10180,4205,5051
"agrC",82925,60925,56779,48480,58323,66734,6659,5820,9018,13213,5814,7404
"agrD",755,549,517,557,590,662,47,55,89,123,41,89
"ahpC",7138,6317,6075,10371,14649,16609,17071,16501,14509,35828,37921,38235
"ahpF",15906,26739,22990,49309,46463,51834,38619,43409,36072,108187,107196,99149
"alaS",4174,4454,3823,8040,9496,9294,8221,10289,9073,22074,16886,17500
"ald1",5662,15687,12940,6861,3371,4332,6114,9028,7054,4898,3767,3359
"ald2",243,263,235,127,103,100,278,181,46,172,167,104
"alr",889,1034,825,1954,2404,2361,4019,4169,3924,3774,2742,2885
"appC",26,70,76,137,158,155,148,178,310,247,333,299
"appD",7,29,34,64,91,60,78,99,202,128,221,234
"appF",45,49,36,83,127,119,112,109,206,182,253,255
"apt",425,747,579,1260,679,901,1054,1369,1144,1875,1637,1584
"arcA",62,210,161,69,89,41,674,374,94,368,438,359
"arcB",68,260,225,158,155,84,620,445,147,411,545,406
"arcC",11,0,0,23,29,16,143,274,646,0,138,122
"arcD",0,0,0,0,0,0,0,0,0,0,0,0
"argC",60,106,65,166,250,203,57,79,117,147,356,252
"argG",298,1007,743,752,1139,782,1341,2331,5121,870,998,1059
"argH",517,854,805,1016,1725,1469,2028,3280,6418,1266,1419,1489
"argJ",95,105,83,318,497,431,149,175,219,310,573,454
"argR",546,357,235,521,840,815,1301,1221,1168,481,589,667
"argS",1160,1802,1513,1826,1885,2414,3461,3628,3575,4164,3569,3606
"arlR",694,736,594,1501,2085,2009,766,801,576,1450,1541,1648
"arlS",1718,1537,1224,2502,3670,3495,2169,2087,1407,2927,3102,3140
"aroA",834,1021,902,2078,2774,2647,2516,3065,2744,4937,3739,3465
"aroB",470,770,587,1783,2110,2090,1565,2172,1664,3155,2540,2441
"aroC",489,1030,816,2075,2358,2264,1458,2089,1537,3162,2461,2145
"aroE",316,248,223,630,643,653,1309,1626,1870,2038,2370,2493
"arsB1",211,193,173,444,626,544,447,452,789,697,1474,1396
"arsB2",25,58,45,56,66,62,82,82,109,74,221,150
"arsC",181,238,204,250,284,327,239,278,444,461,728,637
"arsR1",15,14,16,49,75,72,55,54,102,66,234,229
"arsR2",7,17,5,10,12,9,12,6,11,22,22,44
"asd",352,655,484,2459,4048,3983,2647,3297,2056,1809,1773,1554
"asnC",4929,4668,4210,4838,4984,5598,5784,6143,5760,12114,6073,6925
"asp23",138186,225853,191795,344741,325010,368855,131090,92074,92409,185756,82712,75999
"aspS",2810,2837,2467,4942,5876,5707,5275,6206,8380,14273,12750,13361
"atl",11719,10716,9767,31294,53343,53737,14375,14314,17550,61626,65245,54953
"atpA",13071,15156,13847,21174,23218,29185,44604,52476,55408,41885,27033,28562
"atpB",8846,9638,8382,10943,11836,13634,23895,26513,26433,20541,13192,14046
"atpC",9022,15263,12837,10716,10002,12513,14006,17900,16317,13824,7888,8367
"atpD",36545,68661,58556,58008,51175,61249,68189,87452,80687,74480,43156,44301
"atpE",989,2039,1685,2159,1716,1918,3142,3443,3801,2717,1582,1528
"atpF",4407,5732,4692,9419,8278,10249,16694,19159,19890,15526,9575,10017
"atpG",11832,11870,11480,12287,15834,19340,30504,34978,35793,28921,18962,21004
"atpH",3819,3452,3102,5497,6295,7472,14377,15975,17172,12215,8237,9095
"atpI",3628,4393,3573,4909,4541,4987,9124,9605,9407,7028,4385,4791
"aur",82,294,225,304,450,503,366,660,449,214,351,335
"bbp",22,74,68,87,83,118,31,16,27,216,219,213
"bfmB",5748,7827,6564,7752,7309,7676,10221,11889,10450,10576,9063,9196
"bfmBAA",2468,4403,3677,6059,5278,5247,6777,8231,6756,6697,5352,5313
"bfmBAB",2205,3137,2574,4038,4002,4317,5751,6404,5800,5728,4834,4898
"bfmBC",2014,3302,2671,4316,3892,3938,6945,7756,6054,4525,3527,3694
"bglA",620,1103,898,1872,1587,1390,855,1067,1032,2128,1469,1309
"bioA",2,46,28,24,13,27,45,58,50,28,132,63
"bioB",39,85,83,194,243,209,97,125,69,181,317,223
"birA",228,459,288,698,818,763,1547,1831,1290,676,1022,939
"blaI",14,62,35,92,69,104,163,171,260,138,198,362
"blaR1",108,133,126,274,351,355,640,694,819,488,962,1450
"blaZ",932,1045,804,3104,3955,4058,2197,1851,3164,4126,3582,5972
