"Synonym","Newman.TSB.Replicate.1","Newman.TSB.Replicate.2","Newman.TSB.Replicate.3","Newman.Minus.Glc.Replicate.1","Newman.Minus.Glc.Replicate.2","Newman.Minus.Glc.Replicate.3","arlRS.KO.TSB.Replicate.1","arlRS.KO.TSB.Replicate.2","arlRS.KO.TSB.Replicate.3","arlRS.KO.Minus.Glc.Replicate.1","arlRS.KO.Minus.Glc.Replicate.2","arlRS.KO.Minus.Glc.Replicate.3"
"NWMN_RS00005",9922,6145,6358,5441,5920,4584,6156,7723,6354,5447,4515,4808
"NWMN_RS00010",15246,9834,14940,10439,11997,10604,10740,12466,13643,9279,7035,7594
"NWMN_RS00015",457,309,345,267,355,234,253,429,308,362,429,299
"NWMN_RS00020",14038,9593,12456,9786,11601,9267,9623,12509,10519,8060,7662,5553
"NWMN_RS00025",48506,29381,36875,28244,35185,27467,27877,39436,29534,20359,23263,14750
"NWMN_RS00030",56519,33972,53095,37005,48013,40179,37389,42922,44796,25132,25445,18080
"NWMN_RS00035",2154,2316,1530,1965,3806,1683,2282,1737,2432,742,1166,454
"NWMN_RS00040",314,273,270,324,626,301,220,254,291,2903,314,3709
"NWMN_RS00045",5843,5097,5555,6098,8348,5992,5478,7395,7036,4156,5669,3485
"NWMN_RS00050",2800,1079,1791,2056,2046,1935,2753,3236,3401,1410,2301,710
"NWMN_RS00055",1740,666,1726,1352,1327,1203,1475,2240,2031,852,1477,383
"NWMN_RS00060",3385,1579,3070,1469,2350,1395,2453,3162,3110,1242,1541,674
"NWMN_RS00065",13331,9489,16972,10069,11094,9761,8140,10137,10772,6918,6999,4992
"NWMN_RS00070",36980,21628,41911,23055,24283,22185,20136,22719,23956,12684,14511,9287
"NWMN_RS00075",6425,4838,6947,4052,5311,3603,3265,5186,4165,2762,3712,1896
"NWMN_RS00080",45771,22955,44242,26325,28837,26090,22583,28426,26707,15651,17407,9705
"NWMN_RS00085",3321,3221,3676,3233,4144,3481,2294,2352,2859,1106,1538,834
"NWMN_RS00090",0,3,0,0,2,0,0,0,0,0,3,0
"NWMN_RS00095",0,3,0,3,8,0,0,0,0,3,1,2
"NWMN_RS00100",27019,10404,20431,13512,15090,12465,11997,19516,13491,12489,9815,8799
"NWMN_RS00105",19782,10764,19591,11949,12928,11138,12774,15566,15270,11869,7945,9524
"NWMN_RS00110",15168,8786,15317,8636,11735,8865,10368,12439,12770,8734,6402,7263
"NWMN_RS00115",10533,5632,9148,5615,7926,5385,6444,8854,7662,5540,4624,3801
"NWMN_RS00120",1569,1172,1482,1395,1773,1102,954,1265,1210,730,948,462
"NWMN_RS00125",2567,1446,1519,2814,4615,2342,674,775,501,790,995,747
"NWMN_RS00130",1413,693,778,818,799,729,1021,1022,773,770,495,763
"NWMN_RS00135",4,2,6,4,2,0,3,0,3,4,4,0
"NWMN_RS00140",4,7,8,18,4,7,11,13,18,11,3,4
"NWMN_RS00145",2485,1703,2730,1747,1985,1250,1804,1999,1739,1300,864,1076
"NWMN_RS00150",313,256,147,253,471,230,232,311,174,126,282,94
"NWMN_RS00155",11,14,7,24,38,13,11,8,11,10,13,2
"NWMN_RS00160",671,546,381,856,1254,910,623,949,617,368,884,302
"NWMN_RS00165",66,37,5,96,132,65,82,92,74,38,100,19
"NWMN_RS00170",145,134,130,161,377,192,140,270,130,62,149,53
"NWMN_RS00175",375,388,404,464,634,612,358,662,523,371,382,347
"NWMN_RS00180",1454,1082,1443,2015,3671,2277,1503,1640,1707,4672,2354,3760
"NWMN_RS15910",0,12,13,18,36,3,5,51,18,9,8,6
"NWMN_RS00190",5059,4099,3533,4432,7018,3835,4177,4212,5074,2633,3333,1721
"NWMN_RS00195",75,6,0,10,20,21,31,27,19,32,9,16
"NWMN_RS00200",387,266,316,428,445,324,196,477,302,212,325,266
"NWMN_RS00205",170,116,274,129,293,159,139,261,243,132,186,92
"NWMN_RS00210",78,72,106,70,82,33,74,106,69,32,52,36
"NWMN_RS00215",121,193,231,174,267,133,230,262,264,178,186,102
"NWMN_RS00220",86,127,138,89,346,131,168,222,167,219,235,181
"NWMN_RS00225",381,318,322,293,474,413,354,436,360,248,333,183
"NWMN_RS00230",308,172,131,123,248,110,153,232,161,98,191,49
"NWMN_RS00235",2708,1363,1807,1440,1751,1569,1499,2467,1868,1831,1196,1519
"NWMN_RS00240",676,307,462,347,622,341,303,655,340,333,522,226
"NWMN_RS00245",215,225,136,218,267,111,237,338,382,162,197,128
"NWMN_RS00250",0,19,16,7,10,0,17,27,8,1,6,6
"NWMN_RS00255",73,61,60,45,33,28,98,42,65,17,28,32
"NWMN_RS00260",54,50,85,26,28,23,35,82,34,17,11,11
"NWMN_RS00265",130,111,181,47,87,31,83,129,103,52,43,41
"NWMN_RS00270",15304,7125,11747,10027,15443,10369,9078,12136,12193,9231,9881,5951
"NWMN_RS00275",1381,676,648,1148,3474,927,1566,2281,1651,8097,3829,7564
"NWMN_RS00280",2392,1429,2766,2811,7618,2900,3571,4200,4119,19218,9450,18719
"NWMN_RS00285",17131,16418,13829,43383,72272,50995,18483,13734,21972,25643,34613,20076
"NWMN_RS00290",164,278,342,775,630,414,895,827,1306,2902,1195,2075
"NWMN_RS00295",7,26,48,19,19,20,43,78,61,42,37,30
"NWMN_RS00300",1519,734,743,855,1361,899,2188,3612,2836,1349,2443,868
"NWMN_RS00305",411,449,519,629,918,592,422,829,563,1193,1122,1045
"NWMN_RS00310",16609,9871,13246,12410,28359,13685,9684,14231,11101,15720,14818,13225
"predicted RNA",76,72,38,104,286,64,13,54,10,62,38,31
"NWMN_RS00315",41551,23827,22636,50512,91127,41429,7934,15235,7104,23861,13925,19361
"NWMN_RS00320",2425,2885,2274,3083,4355,2688,1386,1764,1495,1826,1927,1423
"NWMN_RS00325",3347,2719,2106,2704,6372,3484,1648,1842,1891,4376,2713,3814
"NWMN_RS00330",14640,4991,4615,3927,10227,7053,547,1383,572,454,557,236
"NWMN_RS00335",11070,5891,3459,4031,8781,6112,270,1063,174,190,216,176
"NWMN_RS00340",1740,422,369,340,778,819,1,26,2,5,2,5
"NWMN_RS00345",2853,568,698,399,1559,1111,6,81,19,38,26,24
"NWMN_RS00350",3596,1004,777,417,2465,1295,105,198,106,70,60,50
"NWMN_RS00355",1419,397,112,281,929,327,0,88,74,45,45,27
"NWMN_RS00360",1544,789,485,332,1878,578,111,226,86,79,137,60
"NWMN_RS00365",2794,1186,601,556,2589,771,200,429,197,152,221,135
"NWMN_RS00370",2023,707,413,389,1837,499,164,276,218,158,196,114
"NWMN_RS00375",2929,1144,514,660,3087,735,324,587,386,176,356,138
"NWMN_RS00380",1531,849,485,523,1806,518,194,420,300,159,268,103
"NWMN_RS00390",57,80,64,66,136,44,22,63,64,67,47,91
"NWMN_RS00395",181,224,239,266,456,213,117,213,128,229,229,169
"NWMN_RS00400",14543,6354,11069,12066,14788,9298,12275,16151,15600,24372,15644,16101
"NWMN_RS00405",0,1,4,2,0,0,0,0,2,0,0,3
"NWMN_RS00410",141,56,75,45,127,54,5553,6530,9939,3138,3862,1862
"NWMN_RS00415",137,72,12,58,130,59,4841,6737,7634,2120,4083,1481
"NWMN_RS00420",126,144,143,113,194,74,4907,6244,8169,1451,3225,1045
"NWMN_RS00425",123,151,160,106,180,98,2417,3020,4458,882,1650,455
"NWMN_RS00430",700,667,749,648,1124,748,4639,5373,7624,1832,2958,1148
"NWMN_RS00435",1339,610,593,593,986,468,278,561,289,128,456,115
"NWMN_RS00440",6372,2880,4818,2527,2638,1954,4644,6040,5533,8517,4050,6696
"NWMN_RS00445",971,756,635,1206,1551,983,864,982,958,1174,1096,856
"NWMN_RS00455",34,33,42,41,76,38,72,63,25,113,70,92
"NWMN_RS00460",1229,1092,1131,1016,2120,1066,994,1093,1091,1647,1086,1211
"NWMN_RS00465",5685,3625,5961,4897,6199,4854,2794,3847,3373,2967,3630,2488
"NWMN_RS00470",33182,16253,30028,25404,30926,24433,13749,19173,16993,15746,15418,11611
"NWMN_RS00475",137,96,127,82,172,152,342,473,558,323,283,200
"NWMN_RS00480",102,93,80,118,239,70,449,648,690,432,348,306
"NWMN_RS00485",22,33,41,70,86,42,300,515,455,256,208,201
"NWMN_RS00490",82,51,42,6,61,33,149,301,250,253,205,155
"NWMN_RS00495",242,195,110,161,305,202,357,491,415,319,421,192
"NWMN_RS00500",1223,741,877,1071,1205,825,1209,1469,1153,1045,1359,707
"NWMN_RS00505",0,12,8,18,15,35,27,42,56,44,12,19
"NWMN_RS15665",18,16,21,39,20,54,32,49,26,10,29,9
"NWMN_RS00520",0,0,11,0,2,0,3,9,9,0,0,0
"predicted RNA",25602,16825,17242,20431,24577,18069,17822,23940,19734,16695,14286,9434
"NWMN_RS15915",39,36,32,18,32,4,37,37,4,6,27,18
"NWMN_RS00530",567,843,547,1607,599,528,469,575,947,499,524,357
"NWMN_RS00535",36,29,31,55,79,4,8,8,4,41,4,62
"NWMN_RS00540",161,75,81,121,164,88,41,25,47,139,18,96
"NWMN_RS00545",145,82,38,100,214,70,24,29,25,100,24,107
"NWMN_RS00550",397,202,135,150,386,157,87,107,79,163,86,136
"NWMN_RS00555",254,143,164,119,251,109,55,55,58,80,51,79
"NWMN_RS00560",126,102,162,67,212,93,55,59,90,124,56,94
"NWMN_RS00565",291,182,224,168,507,230,92,167,133,231,123,193
"NWMN_RS00570",3,41,20,12,84,27,19,18,21,25,28,33
"NWMN_RS00575",145,107,89,73,164,96,73,85,66,131,63,145
"NWMN_RS00580",184,131,169,102,332,179,151,177,194,208,110,164
"NWMN_RS00585",102,139,84,108,248,111,144,133,113,104,116,120
