"gene_id","QOBWO025A5_20210322102047__S10_R1_001.bam","QOBWO026AD_20210322102047__S11_R1_001.bam","QOBWO027AL_20210322102047__S12_R1_001.bam","QOBWO028AT_20210322102047__S13_R1_001.bam","QOBWO029A3_20210322102047__S14_R1_001.bam","QOBWO030A6_20210322102047__S15_R1_001.bam","QOBWO070A0_20210322102047__S16_R1_001.bam","QOBWO071A8_20210322102047__S17_R1_001.bam","QOBWO072AG_20210322102047__S18_R1_001.bam"
"KQU62_RS00010",0,0,0,0,0,0,1,0,0
"KQU62_RS00015",0,0,0,2,6,2,1,2,2
"KQU62_RS00020",1,1,3,0,8,6,9,5,2
"KQU62_RS00025",1,4,3,10,4,3,1,8,8
"KQU62_RS00030",2,4,6,6,7,6,6,5,8
"KQU62_RS00035",2,3,2,4,6,4,12,2,4
"KQU62_RS00040",0,0,0,0,0,0,0,0,0
"KQU62_RS00045",1,4,4,17,24,29,10,5,8
"KQU62_RS00050",6,15,12,83,58,60,37,45,42
"KQU62_RS00055",1,2,2,6,4,11,6,4,1
"KQU62_RS00060",3,0,0,3,0,1,0,0,1
"KQU62_RS00065",5,6,9,42,50,53,52,22,21
"KQU62_RS00070",1,14,11,19,17,20,12,7,3
"KQU62_RS00075",6,14,20,19,23,25,22,17,21
"KQU62_RS00080",7,10,8,8,6,7,1,11,1
"KQU62_RS00085",0,0,0,0,1,0,0,0,0
"KQU62_RS00090",4,11,8,17,13,12,12,13,7
"KQU62_RS00095",12,20,19,16,26,27,13,6,17
"KQU62_RS00100",48,89,54,276,330,334,819,463,720
"KQU62_RS00105",15,32,27,246,216,188,872,539,665
"KQU62_RS00110",44,73,41,141,142,134,210,109,168
"KQU62_RS00115",1604,3371,2227,1656,1847,1634,1502,944,1014
"KQU62_RS00120",365,688,471,884,976,917,1496,835,924
"KQU62_RS00125",16,24,19,61,71,72,45,38,36
"KQU62_RS00130",172,346,220,1208,1618,1330,544,366,367
"KQU62_RS00135",3642,7633,4891,1968,2609,2159,2187,1441,1517
"KQU62_RS00140",1390,2912,1908,990,1168,1060,735,460,504
"KQU62_RS00145",0,6,4,3,6,9,1,0,0
"KQU62_RS00150",815,1722,1140,301,393,396,225,161,171
"KQU62_RS00155",144,298,236,60,67,85,64,46,31
"KQU62_RS00160",820,1758,1248,386,476,501,309,176,160
"KQU62_RS00165",1043,2047,1381,380,572,559,321,209,224
"KQU62_RS00170",1300,2597,1953,586,677,596,465,276,276
"KQU62_RS00175",2643,5008,3752,1311,1458,1375,977,780,757
"KQU62_RS00180",203,366,221,403,548,406,285,233,230
"KQU62_RS00185",15,34,18,33,53,55,42,22,22
"KQU62_RS00190",29,54,52,71,103,94,64,57,37
"KQU62_RS00195",68,218,137,253,342,295,230,129,132
