"gene_id","Q12SA014A0_20211014141226__2109SHr1014_2_S14_R1_001.bam","Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam","Q12SA013AQ_20211014141226__2109SHr1013_1_S13_R1_001.bam","Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam","Q12SA017AO_20211014141226__2109SHr1017_5_S17_R1_001.bam","Q12SA018AW_20211014141226__2109SHr1018_6_S18_R1_001.bam","Q12SA016AG_20211014141226__2109SHr1016_4_S16_R1_001.bam","Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam","Q12SA015A8_20211014141226__2109SHr1015_3_S15_R1_001.bam"
"ACCFDFCE_00001",10986,8682,14002,7938,8990,8572,10580,6696,5644
"ACCFDFCE_00002",10788,9342,14543,7851,8513,8617,10257,6923,5826
"ACCFDFCE_00003",866,777,1258,601,636,598,792,569,488
"ACCFDFCE_00004",6327,3979,10015,3163,4114,4009,5276,2970,3706
"ACCFDFCE_00005",11721,7658,18437,5572,6954,7103,9062,5723,7011
"ACCFDFCE_00006",12514,8207,18420,6333,6120,7146,7815,5816,7895
"ACCFDFCE_00007",429,395,614,320,375,410,462,144,219
"ACCFDFCE_00008",7345,543,6705,4879,4639,4490,5565,6349,2795
"ACCFDFCE_00010",8462,12229,11926,12732,12117,11639,13217,7005,4520
"ACCFDFCE_00011",88,383,111,309,181,204,180,221,50
"ACCFDFCE_00012",56,295,94,218,122,126,126,159,28
"ACCFDFCE_00014",523,469,1024,368,677,752,898,615,330
"ACCFDFCE_00015",2824,2439,4317,1662,2607,2703,3342,1622,1526
"ACCFDFCE_00016",10265,10217,14531,6667,7866,8142,9603,6380,5700
"ACCFDFCE_00017",3620,4326,5021,2889,3425,2839,3775,2769,1994
"ACCFDFCE_00018",6165,7329,8177,4900,4636,5357,5965,3860,3360
"ACCFDFCE_00019",174,184,202,160,134,142,143,156,92
"ACCFDFCE_00022",4690,4260,6433,2873,3564,3523,4417,2319,2353
"ACCFDFCE_00023",8129,7765,11649,5708,5562,5890,6466,4483,4888
"ACCFDFCE_00024",5871,5287,9087,3632,3797,4011,4400,2992,3859
"ACCFDFCE_00025",3574,3083,5677,2017,2331,2367,2715,1809,2308
"ACCFDFCE_00026",582,276,709,200,488,415,690,209,249
"ACCFDFCE_00027",1981,2367,1354,1454,1560,1454,1974,2792,645
"ACCFDFCE_00028",1815,739,2440,821,1474,1351,1908,763,719
