"gene_id","WT_T6_Rep1_S62","WT_T6_Rep2_S63","WT_T6_Rep3_S64","walR_T6_Rep1_S71","walR_T6_Rep2_S72","walR_T6_Rep3_S73","tunR_T6_Rep1_S80","tunR_T6_Rep2_S81","tunR_T6_Rep3_S82"
"SA_RS00145",697,167,7301,210,4008,4760,6351,2357,8185
"SA_RS00150",770,129,7285,175,4392,5276,6501,1999,7671
"SA_RS00155",174,25,1316.5,19.5,686.5,826.5,745,391.5,1124
"SA_RS00160",954.5,180.5,7120,233.5,4467,5576,6206.5,2480,7756
"SA_RS00165",3178,744,17976,1144,12635,13699.5,16252,8288,19352.5
"SA_RS00170",2368.5,483.5,15452.5,929,10603.5,11035,12105.5,6789.5,15306.5
"SA_RS00175",333,55,2039,52,977,967,1864,849,1564
"SA_RS00180",820,256,6622,95,1761,2646,2900,4022,6225
"SA_RS00185",1123,172,5389,316,4499,3846,6485,2385,5209
"SA_RS00190",79,4,1216.5,15,821,1071.5,613.5,233,1032
"SA_RS00195",149,36,1103.5,37,619,906.5,503.5,393,861
"SA_RS00200",155,44,1557,35,688,1159,857,570,1702
"SA_RS00205",581,59,5424.5,108,3797,4072.5,4177.5,1545.5,4843.5
"SA_RS00210",3295,773.5,15457.5,1061,10557.5,11885.5,11907,8556,14466.5
"SA_RS00215",675.5,278.5,5811,385,3462,4091,4575.5,1585.5,6143.5
"SA_RS00220",1638.5,323,8933,344,5589.5,5690,6040,4182,8229.5
"SA_RS00225",2731,305,7081,989,9993,5995,11005,5243,7538
"SA_RS00240",2182.5,455.5,7886.5,602.5,5811.5,6289.5,7482.5,5955.5,9313
"SA_RS00245",1671,320,12190.5,415.5,7033.5,8757.5,9843.5,4002,11377.5
"SA_RS00250",1371,507,8641,481,5516.5,6502.5,7585,3704,8871
"SA_RS00255",896.5,142.5,5990,196,3486.5,4368.5,5208,2159.5,5790.5
"SA_RS00260",345,90,1214,139,1017,1023,1098,916,1126
"SA_RS00265",1472,306,3364,550,3177,2466,5562,3446,5131
"SA_RS00270",121,66,623,69,435,437,669,287,933
"SA_RS00275",0,0,0,0,0,0,0,0,0
"SA_RS00280",47.5,0,248,0,160.5,200,273.5,49,440
"SA_RS00285",794.5,77,4332,44,4424.5,3450,6448.5,1943,8453
"SA_RS00295",0,0,0,0,0,0,2,0,0
"SA_RS00300",0,0,0,0,0,0,0,0,0
"SA_RS00305",0,0,0,0,0,0,0,0,0
"SA_RS00310",0,0,0,0,0,0,0,0,0
"SA_RS00315",1078,32,8700,44,2197,5886,4477,2360,8135
"SA_RS14390",0,0,38,0,2,27,0,36,5
"SA_RS00325",0,0,0,0,0,0,0,0,0
"SA_RS00330",0,0,0,0,0,0,0,0,0
"SA_RS00335",0,0,0,0,0,0,0,0,0
"SA_RS00340",0,0,0,0,0,0,0,0,0
"SA_RS00345",0,0,0,0,0,0,0,0,0
"SA_RS15045",0,0,0,0,0,0,0,0,0
"SA_RS00350",0,0,0,0,0,0,0,0,0
"SA_RS00360",14,0,305,0,189,220,313,111,382
"SA_RS00365",6,0,330,1,337,125,300,10,321
"SA_RS00370",29.5,12,239.5,5,186,186.5,264.5,114.5,389
"SA_RS00375",13.5,0,259.5,0,255,176.5,142.5,35.5,342
"SA_RS14410",0,0,0,0,0,0,0,0,0
"SA_RS00380",0,0,0,0,0,0,0,0,0
"SA_RS15290",0,0,0,0,0,0,0,0,0
"SA_RS00385",0,0,0,0,0,0,0,0,0
"SA_RS00390",0,0,0,0,0,0,0,0,0
"SA_RS00395",0,0,0,0,0,0,0,0,0
"SA_RS00400",0,0,0,0,0,0,0,0,0
"SA_RS00405",0,0,0,0,0,0,0,0,0
"SA_RS00410",0,0,0,0,0,0,0,0,0
"SA_RS00415",0,0,0,0,0,0,0,0,0
"SA_RS00420",0,0,0,0,0,0,0,0,0
"SA_RS00425",0,0,0,0,0,0,0,0,0
"SA_RS00430",0,0,0,0,0,0,0,0,0
"SA_RS00435",0,0,0,0,0,0,0,0,0
"SA_RS00440",0,0,0,0,0,0,0,0,0
"SA_RS00445",0,0,0,0,0,0,0,0,0
"SA_RS00450",0,0,0,0,0,0,0,0,0
"SA_RS14420",0,0,0,0,0,0,0,0,0
"SA_RS00470",0,0,0,0,0,0,0,0,0
"SA_RS00475",0,0,0,0,0,0,0,0,0
"SA_RS00480",0,0,0,0,0,0,0,0,0
"SA_RS00485",0,0,0,0,0,0,0,0,0
"SA_RS00490",0,0,0,0,0,0,0,0,0
"SA_RS00495",0,0,0,0,0,0,0,0,0
"SA_RS00500",0,0,0,0,0,0,0,0,0
"SA_RS00505",0,0,0,0,0,0,0,0,0
"SA_RS00510",0,0,0,0,0,0,0,0,0
"SA_RS00520",0,0,0,0,0,0,0,0,0
"SA_RS00525",0,0,0,0,0,0,1,0,0
"SA_RS00530",0,0.5,160.5,1.5,58.5,98,65,1.5,28.5
"SA_RS00535",0,0.5,143.5,0.5,41.5,70,32,0.5,12.5
"SA_RS00540",359,39,4642,62,2516,3665,3722,876,4495
"SA_RS00545",72,4,784,10,494,583,635,235,885
"SA_RS00550",2,0,62,1,24,53,53,6,36
"SA_RS00555",62.5,14,980,7,370,664.5,729.5,192.5,905
"SA_RS00560",7.5,2,172,1,63,102.5,82.5,37.5,115
"SA_RS00565",149,62,319,18,240,297,403,366.5,548
"SA_RS00570",147,15,546.5,30,355,355.5,746.5,187,663
"SA_RS00575",44,4,707.5,8,372,730.5,177.5,73.5,766
"SA_RS00585",332,44,1620,127,1149,1397,1535,588,1383
"SA_RS00590",5,0,103.5,2,75.5,90.5,93,7,53
"SA_RS00595",92,14,387.5,20,268.5,257.5,277,174,274
"SA_RS00600",52,11,604,16,466,528,482,119,476
"SA_RS00605",308,66,2340,112,1807,2189,2367,844,2902
"SA_RS00610",118,35,602,45,488,578,728,170,700
"SA_RS00615",58,8,364,20,257,272,323,202,436
"SA_RS00620",10,0,89,4,90,111,121,20,120
"SA_RS00625",10,4,107,14,90,151,93,23,105
"SA_RS00630",0,0,0,0,0,0,0,0,0
"SA_RS00635",0,0,0,0,0,0,0,0,0
"SA_RS00640",5,0,19,0,17,27,26,7,52
"SA_RS00645",447,54,2233,108,1517,2017,1741,1218,2619
"SA_RS00650",147.5,40,469.5,55,398,553,535.5,307.5,546.5
"SA_RS00655",281.5,15,883.5,72,657,855,795.5,560.5,915.5
"SA_RS00660",328,36,1759,139,2662,2049,3027,1487,3055
"SA_RS00665",210,34,1195,107,1333,982,1242,414,1114
"SA_RS00670",4,0,25,0,29,34,33,9,38
"SA_RS00675",55,9,335,13,318,341,286,139,364
"SA_RS00680",68,0,578,6,415,774,204,168,612
"SA_RS00685",986,95,6437,146,4113,6089,3400,2543,7350
"SA_RS00690",23142,16974,135556,14155,72457,55613,154154,45970,162367
"SA_RS00695",240,52,5698,50,2533,3470,4323,684,4068
"SA_RS00700",112,17,1688,28,1025.5,1590.5,282.5,535,1445
"SA_RS00705",34.5,28,957.5,8,526,1115,153,369.5,1154.5
"SA_RS00710",29.5,57,2312.5,17,1669.5,3569.5,183.5,577.5,2802.5
"SA_RS00715",0,6,230,0,81,412.5,9,79,253.5
