"gene_id","NRSA384.WT.1","NRSA384.WT.2","NRSA384.WT.3","NRSA384.389.4","NRSA384.389.5","NRSA384.389.6"
"SAUSA300_0136",5908,7058,7883,367,352,415
"SAUSA300_0438",2424,2079,3503,90147,80545,103717
"SAUSA300_1757",16,28,23,1576,1308,1630
"SAUSA300_1758",36,38,64,2716,1973,2784
"SAUSA300_2253",113,136,162,6329,6415,6111
"SAUSA300_0435",157,161,203,3526,2752,3390
"SAUSA300_0955",5789,5133,7866,133153,122803,157326
"SAUSA300_0973",507,472,723,11537,8953,12336
"SAUSA300_0602",22409,24232,21106,7772,5824,8898
"SAUSA300_0175",618,582,780,11063,8706,10185
"SAUSA300_2354",4881,5176,5464,3942,3385,4513
"SAUSA300_0372",40933,45547,45761,26272,24516,28653
"SAUSA300_0972",693,717,1008,11691,9186,11894
"SAUSA300_0176",1890,1748,2251,24242,21220,24453
"SAUSA300_0177",2052,1898,2312,25745,22637,26693
"SAUSA300_1382",166,135,224,3186,2876,3545
"SAUSA300_1753",16,21.7222,21.3917,502.596,480.837,550
"SAUSA300_1756",15,24,27,793,617,791
"SAUSA300_2246",5116,5169,4671,2607,2047,2651
"SAUSA300_0067",27278,36299,27035,8721,8831,9540
"SAUSA300_0789",16708,17028,16223,10809,9003,11756
"SAUSA300_0951",212,237,360,4804,3962,5674
"SAUSA300_1381",359,359.638,466,4370,3637.74,4844
"SAUSA300_0690",2849,2796,4114,45036,43918,47246
"SAUSA300_0971",644,640,1038,14292,10512,14544
"SAUSA300_1690",5597,6425,5818,3967,3111,3747
"SAUSA300_1790",17978,17493,19550,16526,14172,18327
"SAUSA300_1795",27086,31689,23936,10494,9301,11091
"SAUSA300_2007",102,138,167,2241,1993,2587
"SAUSA300_0107",1268,1458,1712,18172,13422,18030
"SAUSA300_2364",6165,5531,8424,92436,77331,101648
"SAUSA300_1974",2635,2445,3372,29524,24539,31005
"SAUSA300_0781",10131,7560,9936,5461,5121,6732
"SAUSA300_1803",4154,4679,5245,4563,3529,5341
