"gene_id","ST29_biol_rep_1","ST29_biol_rep_2","ST29_biol_rep_3","ST61_biol_rep_1","ST61_biol_rep_2","ST61_biol_rep_3","ST40_biol_rep_1","ST40_biol_rep_2","ST40_biol_rep_3","ST41_biol_rep_1","ST41_biol_rep_2","ST41_biol_rep_3"
"gene-dnaA",13651,6466,5403,1728,1858,1545,9708,9074,9999,5969,6429,6865
"gene-dnaN",7716,6093,5176,1478,1672,1373,9172,7967,9750,5510,6013,6610
"gene-SA0003",1164,1026,869,271,256,271,1393,1741,1374,770,1011,1189
"gene-recF",9158,4854,4470,1131,1239,1046,6556,7244,6682,4266,4604,5990
"gene-gyrB",16283,7558,7403,1979,2264,1885,11446,12438,11236,7117,7386,11682
"gene-gyrA",25605,12774,12974,3702,4139,3491,21090,22931,21234,12599,13681,18935
"gene-SA0007",1310,1329,977,517,642,554,2009,2156,2140,1128,1363,1596
"gene-hutH",789,239,301,54,83,85,98,83,82,117,104,140
"gene-serS",6149,5011,12589,1220,1647,1228,7467,8685,7724,6989,7736,9893
"gene-SA0010",480,1145,1142,316,375,368,1523,983,1493,1639,1792,1899
"gene-SAS001",309,785,667,221,273,235,946,633,1016,1057,1131,1073
"gene-SA0011",1033,2078,2227,491,586,574,3165,2383,3151,2622,2844,3633
"gene-SA0012",3528,3447,3051,798,929,884,4797,4560,5095,3775,3831,4283
"gene-SA0013",15594,11519,9965,3260,3834,3308,14956,16271,15012,11133,12317,13788
"gene-rplI",4477,3139,3094,766,898,791,3933,4121,4080,3032,3125,3819
"gene-dnaC",11186,5620,5907,1885,2251,1785,7950,8190,7982,6232,7329,8033
"gene-purA",3748,1257,1304,1271,1474,1335,9439,5889,9669,1205,1380,4624
"gene-SAtRNA01",3,4,2,3,2,1,4,5,7,4,9,5
"gene-SAtRNA02",59,1,6,0,6,9,7,5,3,3,13,6
"gene-vicR",11447,3610,3856,965,1005,920,4700,4689,4515,2548,2731,3793
"gene-vicK",28180,9712,9197,2134,2226,2197,12086,13919,11659,6613,7410,9904
"gene-SA0019",19898,7748,7297,1842,2074,1865,8982,10494,8730,5317,5725,8038
"gene-SA0020",9527,5142,4783,998,1148,971,5601,6406,5604,3510,3555,4989
"gene-SA0021",1418,496,384,180,205,173,1110,1284,1234,635,703,790
"gene-SA0022",284,147,275,195,190,163,538,343,494,511,444,600
"gene-orfX",506,346,219,117,92,87,815,966,808,234,297,384
"gene-SA0024",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0025",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0026",0,0,0,0,0,0,0,0,0,0,0,0
"gene-truncated(repB)",5,0,0,0,0,0,1,0,0,0,2,0
"gene-SAS002",0,0,0,0,0,0,0,0,0,0,0,0
"gene-pre",1,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0030",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0031",0,0,0,0,0,0,0,0,0,0,0,0
"gene-bleO",14,0,0,0,0,0,0,0,0,0,0,0
"gene-aadD",17,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0034",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0035",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0036",1,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0037",0,0,0,0,0,0,0,0,0,0,0,0
"gene-mecA",1,0,0,0,0,0,0,0,0,0,0,0
"gene-mecR1",0,0,0,0,0,0,0,0,0,0,0,0
"gene-mecI",0,0,0,0,0,0,0,0,0,0,0,0
"gene-xylR",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0042",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0043",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0044",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0045",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0046",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0047",0,0,0,0,0,0,0,0,0,0,0,0
"gene-ermA",0,0,0,0,0,0,0,0,0,0,0,0
"gene-ant(9)",0,0,0,0,0,0,0,0,0,0,0,0
"gene-tnpC",0,0,0,0,0,0,0,0,0,0,0,0
"gene-tnpB",0,0,0,0,0,0,0,0,0,0,0,0
"gene-tnpA",0,0,0,0,0,0,0,0,0,0,0,0
"gene-truncated(radC)",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0054",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0055",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0056",0,0,0,0,0,0,0,0,0,0,0,0
"gene-ccrB",0,0,0,0,0,0,0,0,0,0,0,0
"gene-ccrA",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0059",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0060",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0061",1,0,0,0,0,0,0,0,0,0,0,0
"gene-tnp",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0064",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0065",0,0,0,0,0,0,0,0,0,0,0,0
"gene-kdpE(SCCmec)",0,0,0,0,0,0,0,0,0,0,0,0
"gene-kdpD(SCCmec)",1,0,0,0,0,0,0,0,0,0,0,0
"gene-kdpA(SCCmec)",3,0,0,0,0,0,0,0,0,0,0,0
"gene-kdpB(SCCmec)",0,0,0,0,0,0,0,0,0,0,0,0
"gene-kdpC(SCCmec)",1,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0072",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0073",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SAS003",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0074",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0075",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0076",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0077",0,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0078",911,1012,688,129,124,118,2335,2372,2368,859,748,755
"gene-SA0079",26,95,78,74,45,54,89,81,82,154,184,195
"gene-SA0080",84,236,165,68,63,57,270,182,309,326,329,275
"gene-SA0081",29,66,55,27,14,12,84,36,78,91,77,114
"gene-SA0082",200,166,169,100,129,102,180,260,172,221,225,221
"gene-SA0083",255,199,261,174,190,148,210,294,232,287,339,319
"gene-SA0084",388,252,331,320,242,239,346,392,359,474,618,535
"gene-SA0085",2533,1065,1138,425,517,432,1593,1739,1487,1165,1364,1817
"gene-SA0086",40,15,20,1,2,3,26,17,28,21,15,3
"gene-SA0087",219,88,154,19,40,24,92,121,123,119,116,178
"gene-SA0088",399,327,446,61,65,64,358,298,378,309,287,347
"gene-SA0089",1423,1186,1291,230,231,266,1842,1536,1912,1008,888,1282
"gene-SA0090",463,432,412,73,98,61,517,487,547,370,346,451
"gene-plc",187,167,210,50,73,63,426,238,449,417,320,460
"gene-SA0092",15,14,7,4,3,4,19,10,24,22,14,21
"gene-SA0093",24,25,17,4,6,6,33,19,25,56,25,49
"gene-SA0094",47,44,59,14,12,12,50,44,66,90,65,105
"gene-SA0095",180,126,112,26,31,27,161,128,136,169,114,186
"gene-SA0096",307,172,202,91,65,55,222,215,215,217,223,305
"gene-SA0097",1615,1246,1426,500,533,484,1708,1536,1689,1516,1549,1849
"gene-SA0098",342,346,335,137,95,102,335,276,288,255,300,375
"gene-SA0099",648,483,534,186,132,129,442,467,369,391,419,553
"gene-SA0100",600,231,420,852,730,593,630,427,599,1717,1760,1805
"gene-SA0101",17,9,25,9,3,4,28,17,27,31,25,9
"gene-SA0102",3573,1429,4094,2625,1481,1848,2678,2163,2748,3392,3711,6487
"gene-SA0103",24,5,18,9,15,14,19,18,23,53,31,24
"gene-SA0104",291,365,598,53,73,58,471,256,493,639,517,705
"gene-SA0105",160,191,224,70,55,45,253,202,248,275,262,312
"gene-lctP",1296,880,942,479,428,403,1510,1240,1483,1289,1456,1446
"gene-spa",580,342,494,1237,1126,1419,1328,774,1246,2413,2600,2981
"gene-sarH1",685,98,127,79,82,86,270,219,289,433,402,342
"gene-sirC",234,102,88,156,114,91,190,153,197,264,357,295
"gene-sirB",13,28,16,5,16,8,33,42,42,41,40,30
"gene-sirA",22,65,30,7,5,10,69,107,109,65,40,44
"gene-sbnA",4,4,3,2,1,1,5,9,6,13,15,10
"gene-sbnB",4,4,4,1,1,2,8,13,9,17,11,10
"gene-sbnC",18,8,20,11,6,8,21,20,26,55,42,51
"gene-sbnD",10,12,6,6,11,7,18,12,16,44,32,18
"gene-sbnE",25,33,30,14,17,11,41,36,37,50,46,49
"gene-sbnF",52,45,53,37,28,15,49,47,63,89,81,85
"gene-sbnG",36,29,15,21,12,16,28,36,31,38,30,38
"gene-sbnH",73,65,46,18,29,21,54,56,58,60,64,81
"gene-sbnI",86,47,63,27,32,29,47,64,58,91,75,93
"gene-SA0121",8,5,10,8,6,8,21,8,23,37,15,20
"gene-butA",59097,25194,32445,2582,2365,2837,17390,21569,15877,8687,9219,17655
"gene-SAS004",3,1,1,1,1,0,4,3,3,9,1,0
"gene-SA0123",1013,1145,1256,180,201,159,2066,1179,1998,1111,1000,1912
"gene-SA0124",294,770,936,171,224,199,1890,1073,1798,1059,831,1509
"gene-SA0125",249,1050,909,264,355,299,2771,1678,2652,1132,1163,1723
"gene-SA0126",139,801,544,170,197,151,2074,1657,2082,827,767,898
"gene-SA0127",531,1172,894,277,354,276,2375,2551,2472,1047,1125,1146
"gene-sodM",224,210,321,45,75,60,358,332,343,217,245,331
"gene-SA0129",22931,5554,12048,3538,3414,3868,12914,12576,12610,9860,13219,16096
"gene-SA0130",1131,321,507,138,144,123,576,509,479,351,486,515
"gene-pnp",179,140,124,60,84,66,190,186,182,155,223,199
"gene-SA0132",348,303,271,160,173,157,509,418,466,428,441,483
"gene-dra",1647,555,635,189,195,181,680,696,603,480,562,673
"gene-drm",5109,2532,2395,874,916,924,3433,3573,3435,2379,2684,3529
"gene-SA0135",3133,2570,3787,248,299,330,3848,3666,3721,1451,1815,2691
"gene-SA0136",2545,2387,3593,207,270,259,3418,2973,3637,1409,1496,2261
"gene-SA0137",2883,2838,4761,325,394,396,4070,3406,4091,1776,1793,3258
"gene-SA0138",6067,4586,7903,351,367,435,6279,5131,6083,2504,2669,4570
"gene-SA0139",274,485,352,135,131,144,511,345,469,382,361,479
"gene-SA0140",1914,1487,1405,303,332,294,1824,1745,1789,1021,1154,1506
"gene-SA0141",294,976,744,90,93,83,781,622,827,672,578,899
"gene-SA0142",2053,2162,2351,314,335,305,1927,1974,1944,1679,1588,2295
"gene-adhE",3899,1705,2102,1735,965,2453,2840,1957,2771,4246,5186,6979
"gene-capA",20,18,12,31,13,14,43,40,36,78,57,81
"gene-capB",24,27,33,42,31,30,45,41,49,80,74,95
"gene-capC",29,27,22,51,34,30,61,54,58,112,95,115
"gene-capD",77,48,57,90,66,44,100,113,102,204,167,252
"gene-capE",32,26,37,42,41,14,57,67,64,127,83,143
"gene-capF",37,35,58,46,39,23,71,78,63,121,82,168
"gene-capG",49,58,59,56,40,32,107,75,99,164,108,185
"gene-capH",18,29,40,21,25,13,52,48,39,64,40,89
"gene-capI",46,70,77,48,43,33,138,106,118,159,119,170
"gene-capJ",39,58,44,35,32,26,109,78,96,123,116,125
"gene-capK",37,47,43,35,18,24,89,68,76,99,71,62
"gene-capL",55,71,55,60,48,41,127,135,111,149,135,171
"gene-capM",29,48,41,27,16,17,65,72,53,81,57,72
"gene-capN",68,114,95,57,72,51,152,154,139,196,141,196
"gene-capO",163,173,143,117,88,81,203,213,229,242,241,306
"gene-capP",541,456,438,166,168,139,461,494,476,481,502,622
"gene-SA0160",203,246,82,26,23,18,250,336,245,75,120,114
"gene-SA0161",139,223,51,17,17,27,306,321,339,58,75,81
"gene-aldA",34,53,17,17,19,19,59,52,61,66,60,59
"gene-SA0163",137,157,191,49,53,39,166,149,201,213,177,222
"gene-SAS005",193,14,33,11,7,9,23,34,29,24,47,38
"gene-SA0164",263,98,171,33,37,34,107,103,129,125,104,146
"gene-SA0165",497,164,152,74,91,51,379,225,372,318,336,343
"gene-SA0166",37,18,5,3,3,4,31,11,31,35,23,28
"gene-SA0167",43,14,15,9,7,11,37,42,31,38,30,23
"gene-SA0168",31,10,17,11,5,12,41,32,37,55,47,30
"gene-SA0169",65,35,55,25,26,23,70,50,50,79,65,76
"gene-SA0170",678,961,599,170,192,152,1711,1651,1720,538,572,594
"gene-fdh",142,75,31,11,16,5,93,131,107,62,42,39
"gene-SA0172",39,46,42,24,12,16,62,44,52,79,72,85
"gene-SA0173",1114,1002,1053,604,600,512,970,986,1016,1659,1746,1855
"gene-SA0174",170,194,198,83,81,65,180,150,174,248,295,283
"gene-SA0175",14927,7885,10250,2309,2316,2269,9349,8327,9377,7588,9553,10442
