"gene_id","Un_A_count","Ox_A_count","Lor_A_count","Un_B_count","Ox_B_count","Lor_B_count","Co_B_count","Un_C_count","Ox_C_count","Lor_C_count","Co_C_count"
"KNNFDEDG_00547",4543,2084,2383,4224,2917,2279,2610,3997,3129,2384,2680
"KNNFDEDG_00546",8726,10134,21217,9999,12533,19055,21493,9361,13153,23162,22497
"KNNFDEDG_00545",200,182,141,243,214,166,224,197,226,219,220
"KNNFDEDG_00544",233,122,146,261,195,125,201,231,232,171,232
"KNNFDEDG_00542",3344,3457,9080,4530,4979,6541,8668,3808,6004,8021,9343
"KNNFDEDG_01018",3398,2827,2824,4126,4170,2438,3671,3773,5012,3104,3852
"KNNFDEDG_01286.t00",5183,2643,6779,6452,2253,5775,4324,6577,2825,5781,4672
"KNNFDEDG_01016",524,451,303,429,390,341,354,392,492,269,364
"KNNFDEDG_00918.t00",177,128,123,220,56,102,103,186,87,115,56
"KNNFDEDG_00549",28565,15172,50793,57508,39763,22225,46453,52287,53572,42325,46483
"KNNFDEDG_00548",4535,2230,1943,3546,2462,2335,2020,3333,2469,2133,2254
"KNNFDEDG_01176.t00",182,29,46,157,35,70,55,132,53,64,46
"KNNFDEDG_01382",6044,3432,4979,5650,4538,5154,4488,5543,4726,5838,3884
"KNNFDEDG_01383",4901,2414,5143,6321,4525,3949,4469,5716,5297,5732,4232
"KNNFDEDG_02501.t00",200,109,136,188,81,112,106,225,102,155,94
"KNNFDEDG_01381",1039,461,158,1078,716,154,166,962,835,177,203
"KNNFDEDG_00499",581,318,1202,944,444,543,1261,970,776,1235,1014
"Novel00212",1,2,0,0,0,0,0,0,0,0,0
"KNNFDEDG_00541",672,481,522,774,956,459,874,782,1160,715,861
"KNNFDEDG_02768.t00",7,1,4,9,5,2,6,10,3,8,2
"KNNFDEDG_00491",3811,1160,1889,5196,2066,1424,1907,4116,2650,1936,1770
"KNNFDEDG_00490",483,248,340,609,251,420,413,572,350,503,482
"KNNFDEDG_00493",4260,3903,1822,3356,5481,2316,3497,3511,5944,2394,4418
"KNNFDEDG_01019",2341,1151,2144,2207,1601,2134,2431,2210,1799,2547,2243
"KNNFDEDG_00495",819,438,936,1345,1226,634,1541,1355,1348,1214,1300
"KNNFDEDG_00497",361,200,261,380,283,180,272,294,321,234,265
"KNNFDEDG_00496",2718,1464,1776,3123,2706,1506,2615,2911,3133,2329,2286
"KNNFDEDG_00169",877,462,589,931,746,520,837,993,952,778,807
"KNNFDEDG_00168",684,463,354,640,596,389,563,641,640,457,520
"KNNFDEDG_01160.t00",1,0,15,20,1,1,5,18,3,3,1
"Novel00217",0,1,1,0,0,0,4,1,0,2,1
"KNNFDEDG_00262.t00",0,0,0,0,0,0,0,0,0,0,0
"KNNFDEDG_00160",2019,52523,8052,2489,62529,8597,34394,2196,68158,10444,38051
"KNNFDEDG_00165",1224,1259,1209,1459,2631,915,2317,1289,3187,1408,2586
"KNNFDEDG_00164",369,265,1455,680,459,691,1412,631,664,1508,1193
"KNNFDEDG_00167",375,628,1885,902,1095,746,2535,867,1436,2046,2020
"Novel00548",0,0,0,0,0,0,0,0,0,0,0
"Novel00019",0,0,0,0,0,1,0,0,0,0,1
"Novel00018",10,19,0,5,2,5,3,7,0,0,3
"Novel00017",54,33,42,59,13,30,34,56,24,31,35
"Novel00016",4,13,8,4,6,0,0,1,12,1,0
"Novel00015",2,11,11,14,13,4,10,11,27,14,8
"Novel00542",4,4,5,51,14,0,8,34,19,8,12
"Novel00013",3,40,13,3,69,27,47,3,86,45,71
"Novel00012",1,6,1,0,1,0,0,2,1,0,2
"Novel00011",26,10,14,9,41,26,25,15,49,30,24
"Novel00010",2,3,1,15,13,1,7,8,4,3,2
"KNNFDEDG_02498.t00",15111,1931,22847,18914,2183,15979,9719,19010,2356,21060,8155
"KNNFDEDG_01011",2333,1423,1667,2160,1735,1631,1744,2239,1923,1965,1566
"KNNFDEDG_01948",2,0,2,2,0,3,2,1,1,5,3
"Novel00499",22,9,29,37,22,27,43,49,18,36,32
