"gene_id","S1.ctr_1h.BR1","S2.trt_1h.BR1","S3.ctr_3h.BR1","S4.trt_3h.BR1","S5.ctr_1h.BR2","S6.trt_1h.BR2","S7.ctr_3h.BR2","S8.trt_3h.BR2","S9.ctr_1h.BR3","S10.trt_1h.BR3","S11.ctr_3h.BR3","S12.trt_3h.BR3"
"t145_t084_00010",2778,190,589,1194,2041,3318,742,380,13631,2195,472,477
"t145_t084_00020",192242,1776,56771,17483,116066,22829,70001,32786,265631,10260,77666,80291
"t145_t084_00030",351433,3088,19286,15246,178110,50324,19349,45716,559672,27657,25767,84792
"t145_t084_00040",9155,1877,3811,7362,7560,18660,5392,4501,27811,8799,3110,4973
"t145_t084_00050",30,5,21,95,27,170,19,96,77,102,27,102
"t145_t084_00060",108,25,119,126,142,546,81,77,286,242,64,82
"t145_t084_00070",26918,7997,2172,27897,11022,169859,2810,15870,49810,71943,1863,14763
"t145_t084_00080",825,144,470,2336,633,6003,451,1310,2163,2500,288,1409
"t145_t084_00090",79,17,55,235,95,382,53,85,106,112,18,100
"t145_t084_00100",1274,578,993,1942,1068,10568,1260,1218,3018,2031,601,1015
"t145_t084_00110",3612,1704,1387,8682,2928,38415,3293,3635,7864,9480,1152,2953
"t145_t084_00120",15745,2698,7620,10950,14817,39254,10261,6712,39617,19200,5055,8494
"t145_t084_00130",11404,2647,8726,25145,12427,58367,14356,15352,39065,26693,6851,13041
"t145_t084_00140",43466,10331,32324,97273,50573,211890,41515,51458,127875,67979,25932,54558
"t145_t084_00150",4172,873,2465,7176,4981,17741,4546,3698,18876,8635,2155,3661
"t145_t084_00160",9378,2782,6998,21696,11249,43452,10219,12419,42850,17459,5305,12049
"t145_t084_00170",19042,4404,12499,26242,20789,69909,16428,16080,81087,31861,8998,16955
"t145_t084_00180",5338,1251,5700,7541,5288,17508,7214,5682,18878,10462,4464,6089
"t145_t084_00190",5530,1125,2796,4874,7023,18969,3489,2623,19670,6999,2062,3209
"t145_t084_00200",1083,165,1148,2003,1295,3086,1359,1747,3762,1920,865,1633
"t145_t084_00210",1564,281,1541,2287,1989,3857,1506,1853,5213,1863,1078,1793
"t145_t084_00220",1564,246,1549,1910,1754,3195,1570,1763,4691,1956,1151,1660
"t145_t084_00230",255,32,267,470,247,538,373,401,567,391,287,405
"t145_t084_00240",5118,722,1544,10430,4499,9734,3519,2652,10231,4335,1195,3283
"t145_t084_00250",1116,458,545,1835,1303,6560,523,770,2022,3275,292,836
"t145_t084_00260",14410,9748,5309,44388,16251,153582,9646,18682,43635,40130,3654,15633
"t145_t084_00270",4128,2477,2316,14512,4596,38492,4084,7508,10512,17272,1725,6342
"t145_t084_00280",289,89,298,973,389,1254,312,388,392,489,105,338
"t145_t084_00290",2558,2366,1341,19487,2310,48583,1471,8036,8849,9233,733,7033
"t145_t084_00300",707,168,593,2476,637,4866,835,1462,2086,1903,589,1385
"t145_t084_00310",132,47,327,868,146,735,326,549,377,428,224,601
"t145_t084_00320",10407,150,3136,3204,5405,4474,3532,2322,9874,2001,1517,4857
"t145_t084_00330",10787,140,3220,2894,5910,4294,3375,2227,10206,2259,1564,4862
"t145_t084_00340",13957,129,4167,3058,7398,4726,3988,2163,12088,2620,2036,5106
"t145_t084_00350",52462,1309,11351,10908,26900,15863,12422,7743,47769,11061,5761,13945
"t145_t084_00360",14239,297,2938,2164,6900,3732,2621,1670,11575,2645,1510,3246
"t145_t084_00370",10313,110,1610,640,4655,2024,1248,390,7511,1285,821,1217
"t145_t084_00380",16201,172,2785,934,8060,2795,2717,573,11996,2709,1658,2082
"t145_t084_00390",17330,191,3281,1171,9146,3042,3419,697,14591,3180,1981,2144
"t145_t084_00400",19705,341,3703,2761,12158,6536,3675,1450,22272,3396,2177,2504
"t145_t084_00410",7172,3440,3410,17199,6541,60796,5825,10429,20303,18358,2793,10182
"t145_t084_00420",7168,1294,3506,8753,7382,26545,3642,5390,23439,10676,2206,4524
"t145_t084_00430",4587,1705,6140,10924,5202,11867,10598,8561,10303,8863,3872,6316
"t145_t084_00440",2700,1134,2379,10633,2916,13779,3989,6905,6998,8035,1755,5387
"t145_t084_00450",1895,768,1244,5780,2572,9590,1957,3403,5681,3826,863,2876
"t145_t084_00460",20829,9582,3729,14237,22574,151204,6693,6952,70488,35714,3276,5305
"t145_t084_00470",2805,858,1087,2036,2855,16153,1215,1150,7627,4370,806,1456
"t145_t084_00480",2552,557,1022,1539,2525,10093,821,646,7464,2603,595,1204
"t145_t084_00490",10305,989,5424,11449,9872,22300,4590,6418,32244,6544,4044,7591
"t145_t084_00500",2273,568,792,7594,1908,9948,1263,4885,6277,5567,746,3602
"t145_t084_00510",649,219,491,3171,741,8860,512,1474,2048,2108,438,984
"t145_t084_00520",4018,680,2667,6907,3987,12937,3579,6095,10807,7778,2271,5350
"t145_t084_00530",624,243,231,3349,477,8408,301,1434,1533,3183,220,889
"t145_t084_00540",141,77,86,732,224,1874,145,288,550,659,60,210
"t145_t084_00550",871,250,604,3301,961,7460,801,1759,2795,3825,497,1520
"t145_t084_00560",887,178,429,2207,895,4874,577,1159,2497,2017,371,1002
"t145_t084_00570",21103,11388,10619,101009,19750,242040,10197,48551,56943,55715,6494,43369
"t145_t084_00580",11184,4202,6762,33299,11849,108870,8487,19535,30385,31212,4663,17863
"t145_t084_00590",10724,1138,4943,8965,12691,24293,5233,6319,33069,8821,3726,4867
"t145_t084_00600",2753,885,1990,8400,2625,15830,2625,6003,9363,9418,1515,5904
"t145_t084_00610",7792,1965,5496,35051,6511,38596,4818,15759,17160,11577,3716,9887
"t145_t084_00620",6925,2262,3586,29728,5859,59680,3364,17659,20152,25201,2750,18066
"t145_t084_00630",503,77,635,921,693,1614,771,493,2974,732,428,400
"t145_t084_00640",1107,753,687,9736,1192,20358,949,4347,3048,4894,612,2739
"t145_t084_00650",12872,9852,5132,44838,11814,149943,6792,19999,35738,42185,3951,19393
"t145_t084_00660",1568,183,854,1834,2010,4351,1210,1070,5115,1710,635,1388
"t145_t084_00670",18852,3369,12218,19890,16939,40713,18790,14190,66347,9633,9998,16865
"t145_t084_00680",11690,4387,5374,23619,14586,92790,9988,15540,38663,34309,5197,13552
"t145_t084_00690",11101,3619,1524,8927,11596,63970,3568,4959,36580,14836,1834,3012
"t145_t084_00700",714,55,638,613,885,1348,830,465,1891,539,508,524
"t145_t084_00710",213,164,109,1490,194,2579,143,1051,463,1674,78,1193
"t145_t084_00720",682,324,425,3167,651,6554,635,2023,1541,4090,397,2109
"t145_t084_00730",26,7,39,79,75,262,45,86,194,218,29,47
"t145_t084_00740",298,44,176,278,385,863,125,151,1144,551,94,161
"t145_t084_00750",833,101,338,806,636,1946,414,445,1964,1240,328,441
"t145_t084_00760",629,84,389,737,683,1859,367,408,1969,1167,305,515
"t145_t084_00770",461,86,360,670,613,1456,400,380,1456,1075,295,448
"t145_t084_00780",167,27,104,255,152,294,80,106,416,186,55,157
"t145_t084_00790",1246,119,84,927,444,2578,86,400,1059,828,50,392
"t145_t084_00800",1316,83,23,376,403,1026,58,291,1051,285,56,230
"t145_t084_00810",1232,35,65,405,386,465,87,627,1082,369,53,844
"t145_t084_00820",427164,2560,4430,34476,146468,40627,5983,89431,401690,16425,11271,181728
"t145_t084_00830",1809,502,891,5304,1683,10492,888,2432,4486,5493,570,2955
"t145_t084_00840",24222,15149,67154,144299,30190,314815,70960,70747,41597,149661,47644,96977
"t145_t084_00850",2178,216,945,1175,7990,2155,524,717,2918,1068,380,1213
"t145_t084_00860",17213,5681,3841,39787,12599,93938,3216,23087,44589,36691,2736,29812
"t145_t084_00870",14390,8415,7018,92391,12262,76762,10349,44754,58834,107072,4992,59482
"t145_t084_00880",13297,6282,5360,36258,12009,58721,4257,15993,36898,39849,2743,23285
"t145_t084_00890",27694,14612,19150,117709,26247,168262,21049,62303,80576,182409,13045,92073
"t145_t084_00900",6839,1131,2017,6880,4181,21402,2411,5999,15782,9311,1706,5933
"t145_t084_00910",2765,840,1982,9190,2985,13679,2851,6306,10465,5130,1781,5535
"t145_t084_00920",5351,1376,2855,13800,5044,22510,5222,11171,16461,9707,2809,8768
"t145_t084_00930",1491,783,1301,8971,2093,12805,2260,5171,3865,6194,979,3786
"t145_t084_00940",2263,747,1583,9386,2955,16672,2392,5475,4429,6855,1251,4297
