"gene_id","SBAC317-PC1a.count","SBAC317-PC1b.count","SBAC317-PC1c.count","SBAC317-TSB1a.count","SBAC317-TSB1b.count","SBAC317-TSB1c.count"
"JYA73_RS00040",4039,2562,4496,225,474,495
"JYA73_RS00050",9012,5981,4489,888,1505,1655
"JYA73_RS00055",707,781,624,56,98,69
"JYA73_RS00060",791,974,738,56,73,104
"JYA73_RS00065",375,652,618,105,190,181
"JYA73_RS00125",1558,1864,3012,360,662,794
"JYA73_RS00165",22,73,82,7,7,11
"JYA73_RS00185",368,131,268,21,31,53
"JYA73_RS00210",88,92,79,3,2,5
"JYA73_RS00215",6379,6502,12639,1841,3531,3209
"JYA73_RS00250",38,104,265,20,46,42
"JYA73_RS00255",269,273,2436,111,179,309
"JYA73_RS00260",32,64,97,7,23,10
"JYA73_RS00265",22,80,103,8,22,16
"JYA73_RS00270",32,124,176,18,34,32
"JYA73_RS00275",30,101,136,16,39,24
"JYA73_RS00330",40,70,105,21,25,29
"JYA73_RS00340",1380,1356,2440,233,465,687
"JYA73_RS00415",710,387,541,87,175,145
"JYA73_RS00440",1624,11946,2117,835,1619,1818
"JYA73_RS00445",2034,13686,2568,832,1625,1713
"JYA73_RS00450",2218,14290,2742,847,1647,1642
"JYA73_RS00455",2810,16751,3532,1109,1713,1766
"JYA73_RS00460",1887,10230,2147,596,967,952
"JYA73_RS00465",909,4906,1187,293,431,486
"JYA73_RS00470",2408,11820,2746,723,1109,1086
"JYA73_RS00475",2198,11694,2856,618,981,1104
"JYA73_RS00480",1134,6326,1600,390,617,765
"JYA73_RS00485",1583,7505,1849,493,826,805
"JYA73_RS00490",2812,12615,3160,1024,1745,1746
"JYA73_RS00495",2845,11176,2846,872,1506,1580
"JYA73_RS00500",330,386,531,56,112,136
"JYA73_RS00505",149,259,456,42,77,60
"JYA73_RS00600",3658,2534,5159,907,1501,1631
"JYA73_RS00685",489,469,643,118,174,338
"JYA73_RS00760",106264,115922,62300,11613,24722,23401
"JYA73_RS00765",112,311,119,11,9,21
"JYA73_RS00770",1881,4113,2483,104,177,158
"JYA73_RS00945",2029,1839,3104,338,596,580
"JYA73_RS00950",836,1010,1660,121,221,193
"JYA73_RS00955",923,206,606,105,158,239
"JYA73_RS01015",342,202,573,89,131,190
"JYA73_RS01055",1029,728,2095,149,261,385
"JYA73_RS01125",1004,477,763,81,98,110
"JYA73_RS01130",86,209,327,44,89,85
"JYA73_RS01155",36,97,187,22,23,45
"JYA73_RS01175",147,466,741,114,160,150
"JYA73_RS01180",194,421,666,81,115,128
"JYA73_RS01185",283,534,775,107,199,176
"JYA73_RS01190",113,304,566,63,109,162
"JYA73_RS01205",823,950,2773,125,197,217
"JYA73_RS01210",2134,1338,2874,115,236,226
"JYA73_RS01220",3988,3823,5502,614,1100,1142
"JYA73_RS01225",1177,412,1888,117,251,193
"JYA73_RS01295",339,372,770,92,152,130
"JYA73_RS01300",170,229,540,61,87,104
"JYA73_RS01420",425,1297,757,133,221,268
"JYA73_RS01425",334,1088,714,104,191,188
"JYA73_RS01430",305,685,546,75,104,122
"JYA73_RS01455",477,432,951,100,138,115
"JYA73_RS01480",120,561,285,39,65,69
"JYA73_RS01485",125,461,237,36,40,30
"JYA73_RS01510",855,272,1048,86,151,184
"JYA73_RS01530",192,206,470,66,86,108
"JYA73_RS01535",85,97,217,13,43,44
"JYA73_RS01550",3117,1860,3686,401,534,1045
"JYA73_RS01625",981,1018,3707,86,161,104
"JYA73_RS01630",2561,3717,10797,257,669,475
"JYA73_RS01635",4141,7773,18224,1267,2597,2509
"JYA73_RS01640",6877,11972,21339,1790,3459,3173
"JYA73_RS01645",318,509,427,109,131,161
"JYA73_RS01700",19,22,23,4,6,8
"JYA73_RS01765",54,271,291,29,58,82
"JYA73_RS01770",58,248,293,27,50,72
"JYA73_RS01775",39,140,185,19,21,51
"JYA73_RS01780",59,239,370,34,51,46
"JYA73_RS01840",969,3486,3883,527,1102,911
"JYA73_RS01905",11851,15099,32462,1253,2631,2254
