Replicate,Strain,Genotype,GrowthStage
1,AHLAC,empty_vector,logarithmic 
2,AHLAC,empty_vector,logarithmic 
3,AHLAC,empty_vector,logarithmic 
1,AHLAC,sarz_bursa+empty_vector,logarithmic 
2,AHLAC,sarz_bursa+empty_vector,logarithmic 
3,AHLAC,sarz_bursa+empty_vector,logarithmic 
1,AHLAC,sarz_bursa+WT,logarithmic 
2,AHLAC,sarz_bursa+WT,logarithmic 
3,AHLAC,sarz_bursa+WT,logarithmic 
1,ER00594,FS1,logarithmic 
2,ER00594,FS2,logarithmic 
3,ER00594,FS3,logarithmic 
1,ER00594,FS1+WTsarZ,logarithmic 
2,ER00594,FS1+WTsarZ,logarithmic 
3,ER00594,FS1+WTsarZ,logarithmic 
1,ER00573,WTsarZ,logarithmic 
2,ER00573,WTsarZ,logarithmic 
3,ER00573,WTsarZ,logarithmic 
1,ER00574,sarZ+tet,logarithmic 
2,ER00574,sarZ+tet,logarithmic 
3,ER00574,sarZ+tet,logarithmic 
1,AHLAC,empty_vector,stationary
2,AHLAC,empty_vector,stationary
3,AHLAC,empty_vector,stationary
1,AHLAC,sarz_bursa+empty_vector,stationary
2,AHLAC,sarz_bursa+empty_vector,stationary
3,AHLAC,sarz_bursa+empty_vector,stationary
1,AHLAC,sarz_bursa+WT,stationary
2,AHLAC,sarz_bursa+WT,stationary
3,AHLAC,sarz_bursa+WT,stationary
1,ER00594,FS1,stationary
2,ER00594,FS2,stationary
3,ER00594,FS3,stationary
1,ER00594,FS1+WTsarZ,stationary
2,ER00594,FS1+WTsarZ,stationary
3,ER00594,FS1+WTsarZ,stationary
1,ER00573,WTsarZ,stationary
2,ER00573,WTsarZ,stationary
3,ER00573,WTsarZ,stationary
1,ER00574,sarZ+tet,stationary
2,ER00574,sarZ+tet,stationary
3,ER00574,sarZ+tet,stationary
