"gene_id","D457.R1","D457.R2","D457.R3","D457.R4","D457_PEP.R1","D457_PEP.R2","D457_PEP.R3","D457_GA.3P.R1","D457_GA.3P.R2","D457_GA.3P.R3","D457_fosfo.R1","D457_fosfo.R2","D457_fosfo.R3"
"gene-SMD_RS00115",3660,4198,3759,4007,2938,3375,2221,2467,2997,2423,3306,3057,2840
"gene-SMD_RS00120",3826,4031,3874,3829,5534,5695,5272,5417,5749,5167,5425,5309,5459
"gene-SMD_RS00125",1275,1464,1785,1520,832,829,671,800,848,947,1015,886,919
"gene-SMD_RS00130",12869,14396,14507,14137,11231,10357,9742,11395,10015,12487,11179,10688,10676
"gene-SMD_RS00135",2773,2891,2909,2898,1635,1614,1380,1381,1483,1691,1933,1540,1724
"gene-SMD_RS00140",1826,2373,2281,2573,1993,1943,1964,1852,1829,2030,1885,1762,1858
"gene-SMD_RS00145",14552,18649,15842,14894,17875,18112,15487,15688,17459,14548,16244,16584,17513
"gene-SMD_RS00150",8873,9587,9152,8718,8764,9011,6679,7303,7964,6578,8616,8147,9883
"gene-SMD_RS00155",18049,19139,17705,16683,19724,21840,16202,16890,20660,15720,19584,20951,22337
"gene-SMD_RS00160",9058,9346,8685,7516,9907,10577,7614,8314,9963,7354,10156,9892,10377
"gene-SMD_RS00165",8972,9232,8458,7628,9478,10043,7496,8166,9357,7339,8464,9474,9776
"gene-SMD_RS00170",777,851,1088,1179,655,639,572,630,667,648,667,575,576
"gene-SMD_RS00175",282,315,380,314,220,218,203,172,196,200,304,181,192
"gene-SMD_RS00180",689,957,924,929,844,865,793,731,830,733,848,815,766
"gene-SMD_RS00185",881,963,1006,756,372,333,309,393,332,489,388,295,314
"gene-SMD_RS00190",895,909,949,846,893,1071,763,810,947,654,812,887,800
"gene-SMD_RS22835",512,587,484,496,511,610,512,492,569,568,538,473,450
"gene-SMD_RS00205",1010,1221,1204,1148,968,1051,926,938,1033,892,972,889,937
"gene-SMD_RS00210",2839,2936,2991,3158,2139,2120,1638,2049,2067,2341,2008,2252,2319
"gene-SMD_RS00215",4596,5313,5558,5314,4825,5090,4484,4350,4861,4455,5677,5037,5713
"gene-SMD_RS00220",607,663,660,623,542,462,406,443,425,435,594,523,637
"gene-SMD_RS00225",6,10,5,17,11,17,13,14,10,15,10,15,21
"gene-SMD_RS00230",51,51,49,68,31,29,22,29,32,28,64,29,19
"gene-SMD_RS00235",20,26,19,23,20,14,14,15,23,19,20,14,8
"gene-SMD_RS00240",59,125,132,138,113,68,93,100,87,110,84,60,65
"gene-SMD_RS00245",1819,2882,2825,2573,722,695,1097,806,808,1336,786,483,624
"gene-SMD_RS00250",26457,41714,40781,33574,23427,20754,37289,28470,26070,35289,21770,16935,19663
"gene-SMD_RS00255",747,730,596,703,485,450,377,354,436,475,550,437,484
"gene-SMD_RS00260",171,316,393,524,260,209,292,289,260,291,287,230,241
"gene-SMD_RS00265",2175,2230,2239,2271,1622,1730,1643,1701,1788,1984,2142,1788,1796
"gene-SMD_RS00270",3768,7261,10050,8807,10044,7021,10277,11196,9018,10305,7960,7107,8080
"gene-SMD_RS00275",526,670,899,1021,681,521,644,603,565,693,763,511,655
"gene-SMD_RS00280",862,979,1001,1134,898,884,706,688,764,703,997,837,1154
"gene-SMD_RS00285",482,810,1029,984,717,552,614,669,556,689,680,556,710
"gene-SMD_RS00290",6385,4307,4997,5752,5134,4955,2456,3349,4086,2926,5338,5200,6124
"gene-SMD_RS00295",1765,1544,1529,1350,1396,1244,986,1145,1196,768,1521,1360,1601
"gene-SMD_RS00300",51,61,93,78,69,45,77,62,60,62,62,64,49
"gene-SMD_RS00305",32,30,39,41,34,36,22,35,27,23,66,31,47
"gene-SMD_RS00310",294,500,601,551,661,507,677,636,590,619,591,491,592
"gene-SMD_RS00315",480,731,693,785,629,575,586,624,574,620,664,535,561
"gene-SMD_RS00320",102,261,225,228,156,148,149,181,159,186,169,154,133
"gene-SMD_RS00325",472,514,470,588,912,1159,931,894,874,869,1446,1519,1041
"gene-SMD_RS00330",829,858,882,884,885,845,774,747,798,727,961,774,820
"gene-SMD_RS00335",2315,2678,2130,2991,2467,2765,2430,2400,2598,2814,3153,2686,2907
"gene-SMD_RS00340",1257,1356,1364,1280,1025,910,818,786,1017,920,1354,1003,1231
"gene-SMD_RS00345",150,392,544,487,729,598,954,908,647,805,441,573,475
"gene-SMD_RS00350",294,535,721,635,1178,958,1281,1138,948,973,862,889,1203
"gene-SMD_RS00355",3932,3337,3238,3064,3142,3335,2611,2706,2996,2427,3464,3271,3193
"gene-SMD_RS00360",19,26,36,38,28,22,19,24,27,22,28,19,31
"gene-SMD_RS00370",722,1064,1128,1125,846,905,975,956,864,1249,710,833,610
"gene-SMD_RS00375",1173,1444,1504,1692,899,1091,983,981,895,1262,870,937,670
"gene-SMD_RS22185",991,1270,1239,1397,844,898,743,772,838,985,756,940,710
"gene-SMD_RS00385",253,280,293,408,196,183,192,196,198,241,259,185,197
"gene-SMD_RS00390",631,870,720,692,571,501,387,520,520,455,738,578,709
"gene-SMD_RS00395",4376,3383,3001,2630,2667,2694,2231,2018,2528,2152,3491,2613,3185
"gene-SMD_RS00400",2888,2258,2104,2007,1785,1649,1410,1489,1635,1572,2400,1807,2375
"gene-SMD_RS00405",394,211,181,231,86,100,54,66,69,97,98,115,102
"gene-SMD_RS00410",298,306,276,311,520,476,528,419,442,382,510,462,527
"gene-SMD_RS00415",8088,8067,7960,7401,4838,4527,4529,4511,4636,4909,5811,4745,5205
"gene-SMD_RS00420",116,146,219,240,159,134,130,171,146,189,138,122,136
"gene-SMD_RS00425",3020,2882,3073,3104,1972,1601,1606,1860,1738,2025,1900,1846,2103
"gene-SMD_RS00430",3592,4217,4200,3766,2808,2920,2375,2774,2748,2823,3235,2884,2732
"gene-SMD_RS00435",1198,1372,1524,1664,1631,895,1147,1238,885,1261,1367,964,1141
"gene-SMD_RS00440",750,932,1000,1070,680,750,600,598,710,627,805,600,698
"gene-SMD_RS00450",622,725,593,633,469,425,371,363,387,413,546,389,547
"gene-SMD_RS00455",2033,5079,4943,5261,3139,2832,2834,2627,2583,2864,2919,2192,2843
"gene-SMD_RS00460",397,847,829,772,592,480,563,512,534,532,678,499,550
"gene-SMD_RS00465",32,30,28,36,37,32,28,19,25,32,24,22,23
"gene-SMD_RS00470",44,18,23,29,42,42,37,32,32,55,43,32,46
"gene-SMD_RS00475",50,85,89,88,49,42,53,51,59,76,46,43,54
"gene-SMD_RS00480",725,1199,1633,1335,1465,1108,1350,1463,1127,1443,1117,1208,955
"gene-SMD_RS00485",256,668,740,541,435,387,494,499,370,502,375,425,323
"gene-SMD_RS00490",28,30,26,26,32,30,24,27,28,28,29,31,34
"gene-SMD_RS00495",136,124,156,136,249,269,237,259,287,186,292,272,275
"gene-SMD_RS00510",69,61,58,68,53,58,50,64,70,83,64,62,67
"gene-SMD_RS00515",334,348,326,293,255,189,216,200,183,232,309,219,238
"gene-SMD_RS00520",1010,1118,1086,968,836,810,773,728,711,833,835,762,802
"gene-SMD_RS00525",219,296,257,416,264,355,293,217,268,353,319,297,349
"gene-SMD_RS00530",658,848,828,883,623,670,599,585,638,564,884,570,627
"gene-SMD_RS00535",685,702,686,419,534,465,501,482,440,363,618,434,595
"gene-SMD_RS00540",851,778,719,555,651,568,586,617,548,441,646,530,599
"gene-SMD_RS00545",720,742,673,438,535,493,467,509,478,379,509,419,478
"gene-SMD_RS00550",839,827,835,543,609,496,561,585,558,437,666,500,682
"gene-SMD_RS00555",1443,1556,1540,1005,1382,1196,1289,1428,1206,1069,1194,1084,1082
"gene-SMD_RS00560",1057,1165,1205,819,1164,1010,1132,1324,1170,887,1033,1042,1008
"gene-SMD_RS00565",2896,3186,3262,2420,4605,4521,4779,5373,4760,3620,3286,4107,3871
"gene-SMD_RS00570",3206,3633,4034,2717,5831,5500,5865,6929,6030,4117,4663,5153,4988
"gene-SMD_RS00575",2155,2154,3041,1926,4652,4697,4362,5525,4886,2985,3799,4281,4206
"gene-SMD_RS00580",80,128,171,178,193,147,178,223,181,186,171,161,178
"gene-SMD_RS00585",9151,7775,7836,7535,7546,7307,6029,6360,6598,6535,8234,7303,8306
"gene-SMD_RS00590",513,804,1130,1033,1268,981,1241,1310,1002,1339,1054,856,869
"gene-SMD_RS00595",1384,1381,1340,1301,1301,1356,1130,1099,1089,1010,1483,1353,1366
"gene-SMD_RS00600",539,1014,1407,1467,1777,1246,1999,1860,1395,1808,1086,1111,1212
"gene-SMD_RS00605",448,1056,1372,1194,1152,783,1290,1132,879,1203,1087,847,935
"gene-SMD_RS00610",224,545,607,591,292,228,352,312,263,412,291,215,292
