"gene_id","D39WT_Untreated","D39_WT_100Zn","DczcD_100Zn"
"SPD_0001",4812,4502,4382
"SPD_0002",4502,4466,4870
"SPD_0003",262,188,334
"SPD_0004",8646,7078,10826
"SPD_0005",1443,1236,1592
"SPD_0006",6304,6041,7924
"SPD_0007",1276,1185,1324
"SPD_0008",2628,2253,2851
"SPD_0009",1191,925,1263
"SPD_0010",7057,6392,8864
"SPD_0011",5455,5113,7653
"SPD_0012",8201,6803,8721
"SPD_0013",43381,37208,48895
"SPD_0014",36,54,32
"SPD_0015",487,387,166
"SPD_0016",1019,5457,5335
"SPD_0017",10,10,5
"SPD_0018",1116,11042,9618
"SPD_0019",16,12,12
"SPD_0020",5,10,4
"SPD_0021",1389,1217,2214
"SPD_0022",259,276,693
"SPD_0023",75,125,158
"SPD_0024",13025,11352,11610
"SPD_0025",203,184,376
"SPD_0026",75,57,102
"SPD_0027",555,439,569
"SPD_0028",723,650,845
"SPD_0029",2048,1829,2358
"SPD_0030",2895,2852,4512
"SPD_0031",2765,2836,5252
"SPD_0032",572,597,1042
"SPD_0033",15336,12174,10091
"SPD_0034",679,704,1013
"SPD_0035",248,258,317
"SPD_0036",177,185,239
"SPD_0037",254,307,325
"SPD_0038",14098,13114,20090
"SPD_0039",1372,1111,1283
"SPD_0040",20682,16062,20252
"SPD_0041",5771,5140,6627
"SPD_0042",3437,3142,4355
"SPD_0043",4583,4418,6641
"SPD_0044",1185,1211,1990
"SPD_0045",1198,1162,1870
"SPD_0046",703,628,1467
"SPD_0047",367,355,763
"SPD_0048",893,678,599
"SPD_0049",579,1341,1124
"SPD_0050",335,800,770
"SPD_0051",19,29,27
"SPD_0052",197,213,244
"SPD_0053",92,108,119
"SPD_0054",86,89,96
"SPD_0055",45,41,42
"SPD_0056",40,48,77
"SPD_0057",325,351,442
"SPD_0058",192,172,225
"SPD_0059",100,124,127
"SPD_0060",614,493,502
"SPD_0061",1626,1221,1213
"SPD_0062",9373,7422,9044
"SPD_0063",2057,1896,2693
"SPD_0064",35746,30953,35793
"SPD_0065",186,185,134
"SPD_0066",64,59,53
"SPD_0067",100,152,125
"SPD_0068",118,147,111
"SPD_0069",66,87,60
"SPD_0070",166,184,166
"SPD_0071",136,120,140
"SPD_0072",115,145,511
"SPD_0073",317,292,739
"SPD_0074",3167,3294,4641
"SPD_0075",796,939,1209
"SPD_0076",14896,14154,28071
"SPD_0077",10030,8950,17565
"SPD_0078",2314,1679,2834
"SPD_0079",1590,1367,2467
"SPD_0080",752,817,1360
"SPD_0081",1440,1412,2341
"SPD_0082",3043,2860,5864
"SPD_0083",61911,50698,35783
"SPD_0084",286,232,256
"SPD_0085",951,783,1167
"SPD_0086",2428,2039,2854
"SPD_0087",1542,1226,1726
"SPD_0088",31,36,54
"SPD_0089",29,41,69
"SPD_0090",58,82,157
"SPD_0091",37269,37963,41577
"SPD_0092",488,414,441
"SPD_0093",3114,2189,3188
"SPD_0094",2685,1857,2673
"SPD_0095",1443,986,1236
"SPD_0096",607,389,402
"SPD_0097",3465,3497,7300
"SPD_0098",5729,4492,6098
"SPD_0099",17493,14310,20382
"SPD_0100",1352,1140,2604
