"gene_id","T4delta_ccpA_CDMB_Exp_1","T4delta_ccpA_CDMB_Exp_2","T4delta_ccpA_CDMB_Exp_3","T4delta_ccpA_CDMN_Exp_1","T4delta_ccpA_CDMN_Exp_2","T4delta_ccpA_CDMN_Exp_3","T4WT_CDMN_Exp_4","T4WT_CDMN_Exp_5","T4WT_CDMB_Exp_4","T4WT_CDMB_Exp_5"
"SP_0001",10236,6603,7362,6865,6220,5904,9881,10125,7275,8012
"SP_0002",5920,4171,3723,3827,3377,2370,3902,3972,4443,4357
"SP_0003",67,91,46,42,46,30,45,63,65,51
"SP_0004",7158,7267,5862,5538,5097,4510,3300,2947,3826,4915
"SP_0005",851,778,600,434,322,302,267,207,577,587
"SP_0006",10505,9422,8336,5596,5484,5388,4038,3220,6930,7845
"SP_0007",239,209,181,124,102,82,70,78,244,167
"SP_0008",325,360,216,169,131,84,96,59,349,204
"SP_0009",0,0,0,0,0,0,0,0,0,0
"SP_0010",4585,4148,3300,2422,2054,1682,1328,1186,3386,3154
"SP_0011",3742,3448,2751,1892,1707,1573,1194,952,2443,2501
"SP_0012",4611,3828,3424,2785,2524,1711,2228,2020,2816,2645
"SP_0013",38014,34698,29701,27540,26119,24518,21790,18799,20975,26461
"SP_0014",0,0,0,0,0,0,0,0,0,0
"SP_0015",1230,1081,988,475,445,471,431,356,959,1130
"SP_0016",713,596,535,220,187,169,208,204,370,579
"SP_0018",363,298,241,100,75,133,78,85,328,259
"SP_0019",11517,12134,9787,9811,9287,10265,7311,6457,7637,10786
"SP_0020",108,127,72,75,47,49,31,20,68,65
"SP_0021",586,491,528,308,300,275,240,221,545,716
"SP_0022",1125,1006,831,514,427,501,451,347,938,1175
"SP_0024",2360,2348,1846,1372,1438,1321,1518,1237,2060,2975
"SP_0025",12,13,8,1,7,3,3,8,16,12
"SP_0026",2347,2399,1984,1551,1499,1311,1251,1055,1896,2389
"SP_0027",3327,3546,2735,2530,2336,2355,1401,1065,1965,2762
"SP_0029",30,14,18,28,23,14,14,18,46,32
"SP_0030",42,47,36,55,38,33,32,24,64,82
"SP_0031",230,144,137,151,120,99,106,124,335,291
"SP_0032",9057,9203,7640,8923,8783,9812,9090,8118,7540,10003
"SP_0033",430,467,346,585,419,451,524,526,485,526
"SP_0034",6168,6225,4433,4272,4259,3909,4963,4075,6775,10184
"SP_0035",5951,5955,4957,4917,4974,5200,3378,3201,4106,5892
"SP_0036",3664,3654,3113,2989,2762,3124,1649,1354,2241,3246
"SP_0037",5838,5942,4839,4708,4886,4517,3054,2704,3857,5803
"SP_0038",3131,2933,2791,2676,2925,3766,1712,1817,2149,2964
"SP_0040",1,0,0,1,2,1,1,2,0,2
"SP_0041",1199,1162,828,697,579,1162,434,367,945,969
"SP_0042",972,891,765,567,560,661,784,755,1327,1896
"SP_0043",565,556,518,393,371,379,382,390,890,1172
"SP_0044",65,66,50,83,74,67,56,42,53,73
"SP_0045",718,810,558,990,1094,884,861,814,742,1106
"SP_0046",504,465,373,633,705,579,632,499,481,788
"SP_0047",381,422,320,555,565,545,484,420,498,682
