"gene_id","IU10991_1","IU10991_2","IU10991_3","IU1781_1","IU1781_2","IU1781_3"
"SPD_RS00005",4217,3423,2732,3763,3633,3547
"SPD_RS00010",3877,3233,2882,4796,3366,3345
"SPD_RS00015",296,333,216,393,320,347
"SPD_RS00020",12791,14391,11897,18416,11193,10189
"SPD_RS00025",1206,1484,944,2186,1048,1109
"SPD_RS00030",5466,5937,4240,9200,4618,3374
"SPD_RS00035",1167,1837,1435,1716,1432,1936
"SPD_RS00040",2969,4213,3056,4684,3075,3412
"SPD_RS00050",5590,5720,3748,9746,4744,4309
"SPD_RS00055",12579,24830,20681,16570,17948,33355
"SPD_RS00060",19522,31238,27249,20155,21328,23940
"SPD_RS00065",46305,40564,33477,49645,34538,24688
"SPD_RS00070",107,141,87,114,93,117
"SPD_RS00075",1700,3308,4064,760,2058,2904
"SPD_RS00080",215248,57857,75904,127476,96526,37562
"SPD_RS00085",71,113,118,91,88,139
"SPD_RS00090",517410,169895,229712,303775,263365,129839
"SPD_RS00095",399,216,450,133,308,109
"SPD_RS00100",2,16,20,12,14,10
"SPD_RS00135",127,228,154,120,118,157
"SPD_RS00140",23433,23530,22865,23094,14747,11949
"SPD_RS00145",621,752,731,641,795,738
"SPD_RS00150",917,512,516,734,662,436
"SPD_RS00155",977,464,453,819,543,374
"SPD_RS00160",3127,1399,1362,2661,1782,865
"SPD_RS00165",2568,1872,2116,2722,1684,1355
"SPD_RS00170",2828,1947,2056,2656,1943,1511
"SPD_RS00180",19086,10327,10421,19124,11065,6895
"SPD_RS00185",81,88,98,54,81,68
"SPD_RS00190",174,153,169,158,182,115
"SPD_RS00195",216,173,148,302,241,162
"SPD_RS00200",17855,9157,9936,14515,11018,6753
"SPD_RS00205",3309,2932,3158,2009,3191,2732
"SPD_RS00210",26762,11067,12961,19123,15488,14440
"SPD_RS00215",9824,6021,6413,7996,7188,4288
"SPD_RS00220",3542,1904,1920,3182,2440,1665
"SPD_RS00225",2949,1682,1489,3144,2064,1189
"SPD_RS00230",321,246,206,383,254,196
"SPD_RS00235",1097,908,632,1537,916,644
"SPD_RS00240",723,551,379,989,584,573
"SPD_RS00260",16,16,13,15,11,11
