"gene_id","SK36_Mono_7","SK36_Mono_8","SK36_Mono_9","SK36_CoSK36_16","SK36_CoSK36_17","SK36_CoSK36_18","SK36_Quad_22","SK36_Quad_23","SK36_Quad_24"
"SSA_RS00005",4264,2262,3608,9108,10901,5861,1945,1478,1080
"SSA_RS00010",4116,3310,4385,10452,11760,7671,3086,2028,1399
"SSA_RS00015",933,2033,4642,2384,2012,1759,636,628,507
"SSA_RS00020",4778,7976,11184,15486,10025,11602,4898,2318,2600
"SSA_RS00025",7197,2758,3930,14150,16895,10612,5242,4285,3103
"SSA_RS00030",535,472,706,1424,1508,951,259,266,147
"SSA_RS00035",1944,1750,2681,4337,4015,3167,858,810,630
"SSA_RS00040",4233,2058,1459,10225,8430,7969,3373,2265,2324
"SSA_RS00045",1718,604,692,2990,3247,2086,1346,645,799
"SSA_RS00050",8793,3461,4291,15429,18373,11140,5813,2990,3206
"SSA_RS00055",8394,6928,8527,14772,12530,13564,4690,4951,3487
"SSA_RS00060",7347,8016,10709,16079,12249,11873,3058,3463,2405
"SSA_RS00065",25980,28663,49766,60346,48888,43065,13633,12644,10261
"SSA_RS00070",353,955,4932,824,684,620,171,235,140
"SSA_RS00075",45,12,20,62,37,61,17,32,10
"SSA_RS00080",2575,3893,3573,1204,1119,766,158,228,162
"SSA_RS00085",1,1,1,1,1,1,2,1,5
"SSA_RS00090",1,1,1,1,1,1,1,1,1
"SSA_RS00095",1,1,1,1,1,1,1,1,1
"SSA_RS00100",1,1,1,1,1,1,1,1,1
"SSA_RS00105",1,1,1,1,1,1,1,1,1
"SSA_RS00110",1,1,1,1,1,1,1,1,1
"SSA_RS00115",1,1,1,1,1,1,1,1,1
"SSA_RS00120",1,1,1,1,1,1,1,1,1
"SSA_RS00125",1,1,1,1,1,1,1,1,1
"SSA_RS00130",1,1,1,1,1,1,1,1,1
"SSA_RS00135",1,1,1,1,1,1,1,1,1
"SSA_RS00140",110,227,521,221,158,294,72,146,114
"SSA_RS00145",748,2201,6460,2050,1387,1792,345,743,471
"SSA_RS00150",2322,6054,13291,9613,5923,8594,3265,6986,4159
"SSA_RS00155",5971,13079,36171,14364,10790,16139,7986,16426,8971
"SSA_RS00160",378,824,2137,761,531,995,146,606,397
"SSA_RS00165",1499,4426,17217,3921,2980,3677,798,1378,858
"SSA_RS00170",202,625,1611,603,354,804,186,459,299
"SSA_RS00175",1460,3884,10682,4284,2761,5182,1319,2799,1846
"SSA_RS00180",540,1098,4446,1510,958,1221,324,525,341
"SSA_RS00185",539,321,741,1119,915,974,588,853,622
"SSA_RS00190",18067,6386,7100,33099,29650,25207,7809,8009,5691
"SSA_RS00195",2936,1508,2756,4104,4440,3813,981,1172,696
"SSA_RS00200",57499,39943,69130,82702,127179,62612,33944,16763,18435
"SSA_RS00205",2028,3145,6290,5116,4595,4279,1418,1266,1104
"SSA_RS00210",424,493,1350,660,713,469,296,212,181
"SSA_RS00215",368,837,1455,1168,971,918,239,265,208
"SSA_RS00220",328,383,705,1010,992,596,287,218,278
"SSA_RS00225",98,91,181,203,225,141,106,41,47
"SSA_RS00230",1489,1681,1552,4492,3051,3077,1116,880,887
"SSA_RS00235",715,2088,4230,2635,1464,1820,479,511,609
"SSA_RS00240",16,6,18,76,53,43,17,12,16
"SSA_RS00245",21,50,94,77,48,38,17,22,4
"SSA_RS00250",6,2,13,1,10,5,4,1,1
"SSA_RS00255",5,10,21,14,6,4,1,2,2
"SSA_RS00260",7,9,20,8,9,4,5,3,1
"SSA_RS00265",11,39,58,29,23,36,1,2,3
"SSA_RS00270",18,31,54,49,38,32,1,11,11
"SSA_RS00275",46,21,69,14,20,10,1,6,3
"SSA_RS00280",45,62,169,97,76,63,22,28,22
"SSA_RS00285",6,2,27,31,19,11,12,5,2
"SSA_RS00290",176,65,70,236,249,170,95,48,69
"SSA_RS00300",196,91,164,341,458,183,109,53,34
"SSA_RS00305",899,862,982,2652,2154,1641,595,473,494
"SSA_RS00315",362,469,617,1204,1008,634,236,185,162
"SSA_RS00320",962,2662,4472,3033,2810,1928,471,418,396
"SSA_RS00325",168,554,979,553,554,379,104,84,82
"SSA_RS00330",417,557,1233,1172,941,823,603,548,544
"SSA_RS00335",982,861,1207,1188,843,942,482,386,264
"SSA_RS00340",430,82,117,199,209,154,79,93,33
"SSA_RS00345",231,281,467,854,602,295,51,81,53
"SSA_RS00350",104,66,151,423,270,38,7,2,4
"SSA_RS00355",57,132,452,328,152,38,1,1,2
"SSA_RS00360",4087,2946,5388,8426,9627,5897,2542,1865,1623
"SSA_RS00365",179,249,431,549,470,259,74,82,53
"SSA_RS00370",28,59,138,165,92,25,3,1,2
"SSA_RS00375",33,35,141,117,68,27,82,161,141
"SSA_RS00380",145,42,102,536,302,67,9,2,3
"SSA_RS00385",327,252,636,684,352,62,3,7,5
"SSA_RS00390",43,84,188,117,84,23,4,2,4
"SSA_RS00395",29,31,151,79,45,4,1,2,2
"SSA_RS00400",40,59,162,58,38,5,2,1,6
"SSA_RS00405",462,382,827,844,785,642,300,276,261
"SSA_RS00410",452,523,1069,1159,1021,747,286,283,205
"SSA_RS00415",898,1860,2739,2351,1439,1508,580,640,496
"SSA_RS00420",93,42,39,97,132,75,52,37,18
"SSA_RS00425",1009,1218,2142,2289,1863,1423,580,551,487
"SSA_RS00430",4374,9223,26904,13910,8413,5730,1565,1135,939
"SSA_RS00435",12,48,203,32,34,27,10,11,8
"SSA_RS00440",370,505,1085,1036,849,835,240,232,202
"SSA_RS00445",132,118,235,460,262,107,7,20,6
"SSA_RS00450",127,154,497,802,499,73,4,2,1
"SSA_RS00455",148,91,341,798,538,68,5,3,1
"SSA_RS00460",1408,1071,5228,8713,4590,522,28,22,26
"SSA_RS00465",267,233,846,981,644,78,11,8,12
"SSA_RS00470",453,284,952,1325,720,105,12,4,6
"SSA_RS00475",1093,318,895,2911,1375,196,11,13,17
"SSA_RS00480",51,51,183,98,52,12,1,2,2
"SSA_RS00485",175,172,517,232,95,27,11,4,3
"SSA_RS00490",67,31,75,110,47,17,3,1,1
"SSA_RS00495",23980,13707,18139,60604,41351,30920,9512,7074,5617
"SSA_RS00500",221,57,90,514,573,294,181,121,155
"SSA_RS00505",1911,2089,3421,4714,3535,3023,1791,1797,1523
"SSA_RS00510",90,175,521,251,256,187,112,100,121
"SSA_RS00515",203,182,356,420,377,298,223,154,140
"SSA_RS00520",529,814,1592,1297,957,848,1118,1121,862
"SSA_RS00525",59,76,138,149,118,96,77,94,110
"SSA_RS00530",95,61,86,191,219,104,112,109,107
"SSA_RS00535",713,532,1038,1215,1078,793,756,940,743
"SSA_RS00540",2403,1235,2034,4769,4261,2847,2194,1879,1865
"SSA_RS00545",2300,3279,6736,4910,3836,3362,1749,1519,1559
"SSA_RS00550",7789,10119,15758,21105,20142,18639,13494,3657,6169
"SSA_RS00555",3069,4591,8830,8877,6929,5962,3460,3245,2483
"SSA_RS00560",302,157,359,574,525,394,184,208,170
"SSA_RS00565",290,565,1466,665,560,479,172,202,150
"SSA_RS00570",1723,3189,4958,4381,2431,4098,1500,1404,1353
"SSA_RS00575",769,1052,1841,1665,1490,1087,1050,814,652
"SSA_RS00580",167,236,419,448,352,356,98,151,88
"SSA_RS00585",816,1951,3666,2167,1563,1444,619,715,601
"SSA_RS00590",4270,4372,6528,7185,6347,5907,2705,2777,1927
"SSA_RS00595",1128,1556,2728,2891,2135,2016,711,748,618
"SSA_RS00600",795,1498,3661,1541,1281,1305,452,440,405
"SSA_RS00605",862,663,833,1658,2385,1400,2399,2017,1643
"SSA_RS00610",1890,2711,3405,6062,5828,4547,2554,2339,2178
"SSA_RS00615",1911,3835,6041,3754,3463,3077,1913,1531,1362
"SSA_RS00620",629,893,1338,1380,1155,1078,373,383,307
"SSA_RS00625",1178,2455,4388,3340,2828,2792,1367,1486,1104
"SSA_RS00630",684,1831,2611,1881,1248,1699,2110,2155,2028
"SSA_RS00635",395,425,427,1169,1160,978,1345,1293,1135
"SSA_RS00640",1174,1817,2114,3835,3310,2972,1976,1721,1610
"SSA_RS00645",1307,1661,2429,3509,3113,2533,1192,853,709
"SSA_RS00650",1684,3596,5420,4458,4023,2955,2245,1767,1747
"SSA_RS00655",1378,2219,2998,3302,3133,2616,2703,2412,2191
"SSA_RS00660",801,1007,1609,2055,1958,1719,1842,1490,1272
"SSA_RS00665",1622,2317,3088,3868,3359,2633,1062,956,778
"SSA_RS00670",1499,1751,2751,4027,4173,3052,2840,2113,1609
"SSA_RS00675",886,641,629,2185,2031,1817,2146,2031,1816
"SSA_RS00680",3507,7473,12978,10131,7806,8925,3791,3971,2996
"SSA_RS00685",262,213,402,579,829,412,232,102,75
"SSA_RS00690",1139,2149,3273,3058,2780,2423,1947,1763,1554
"SSA_RS00695",648,764,1021,3507,3958,2574,1765,1498,1025
"SSA_RS00700",677,821,1016,1945,1945,1437,883,909,593
"SSA_RS00705",627,1717,2848,1653,1453,1227,919,761,585
"SSA_RS00710",1602,4483,7209,5354,4358,4111,2691,2668,2174
"SSA_RS00715",4772,6498,9408,14957,12252,10930,3777,3524,2388
"SSA_RS00720",4484,1542,1623,10386,11027,6846,3289,2703,2443
"SSA_RS00725",13728,10320,13505,29303,25301,25457,20897,25285,21632
"SSA_RS00730",10263,2533,1891,21447,20727,12979,19295,13438,13218
"SSA_RS00735",8543,1469,1850,13435,16166,9062,4264,3520,2854
"SSA_RS00740",1895,896,1405,3068,4896,2251,2847,1897,1229
"SSA_RS00745",12303,4406,6258,21832,30220,15259,6877,4844,3909
"SSA_RS00750",14379,15830,18729,33584,26158,26025,14695,13448,12933
"SSA_RS00760",1775,231,247,3382,2506,2773,4454,3569,3581
"SSA_RS00765",232,102,144,326,349,244,123,123,111
"SSA_RS00770",360,69,80,539,457,455,344,169,235
"SSA_RS00775",1,1,1,1,1,1,1,1,1
"SSA_RS00780",2,1,5,1,1,6,11,31,14
"SSA_RS00785",487,681,1243,1294,789,1225,277,602,324
"SSA_RS00790",681,1890,3724,1436,879,2126,540,1284,827
"SSA_RS00795",1172,2706,9541,2865,2152,3012,996,1152,761
"SSA_RS00800",264,596,1634,571,354,871,109,549,303
"SSA_RS00805",1293,4938,17712,3532,2689,3581,636,1146,812
"SSA_RS00810",34,130,163,102,45,191,56,230,166
"SSA_RS00815",100,270,995,807,501,787,194,926,555
"SSA_RS00820",305,866,2908,1335,893,1352,717,1190,790
"SSA_RS00825",177,573,1838,1279,711,1404,451,1355,847
"SSA_RS00830",48,133,330,101,78,112,34,66,41
"SSA_RS00835",68,204,478,226,144,301,148,138,102
