"gene_id","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2"
"SP5448_RS00005",4096,7151,9004,7711,8082
"SP5448_RS00010",4659,9695,12147,10127,10869
"SP5448_RS00015",241,346,509,363,177
"SP5448_RS00020",6470,10128,14188,10436,10902
"SP5448_RS00025",789,1211,1721,1449,1363
"SP5448_RS00030",7097,10493,13894,10891,11219
"SP5448_RS00035",524,1406,1945,1353,1308
"SP5448_RS00040",1133,2208,2699,2240,2239
"SP5448_RS00045",3710,6653,10164,6932,7409
"SP5448_RS00050",2500,4777,7096,4825,4983
"SP5448_RS00055",4041,7206,11768,7355,7482
"SP5448_RS00060",46568,62955,82136,62334,69276
"SP5448_RS00065",2894,5555,7272,5737,5299
"SP5448_RS00070",602,246,372,279,501
"SP5448_RS00075",507,576,1266,518,405
"SP5448_RS00080",716,2243,2867,1871,2085
"SP5448_RS00085",3,5,16,2,1
"SP5448_RS00090",944,838,2762,868,686
"SP5448_RS00095",1639,1536,5491,1762,985
"SP5448_RS00100",6545,6398,26273,9266,5426
"SP5448_RS00105",1504,1691,6052,1590,1266
"SP5448_RS00110",680,771,3094,1141,828
"SP5448_RS00115",371,313,1345,375,249
"SP5448_RS00120",684,1076,2740,964,590
"SP5448_RS00125",321,720,1394,415,282
"SP5448_RS00130",1282,1402,4458,1282,434
"SP5448_RS00135",891,999,3126,1241,1058
"SP5448_RS00140",1205,1813,4114,1922,1664
"SP5448_RS00145",408,613,1333,656,555
"SP5448_RS00150",416,526,1333,478,512
"SP5448_RS00155",79,150,396,249,223
"SP5448_RS00160",107,83,326,182,104
"SP5448_RS00165",195,297,1155,416,435
"SP5448_RS00170",357,432,924,368,362
"SP5448_RS09590",0,28,0,11,11
"SP5448_RS00175",28229,52686,49095,55110,52397
"SP5448_RS00180",15432,24602,32223,25225,30053
"SP5448_RS00185",784,1041,1622,1096,1007
"SP5448_RS00190",2685,5110,6750,4894,5031
"SP5448_RS00195",453,623,831,680,772
"SP5448_RS00200",554,313,504,714,339
"SP5448_RS00205",6237,3912,4057,7632,4411
"SP5448_RS00210",2928,2095,2198,4207,2058
"SP5448_RS00215",1798,1402,1646,2721,1585
"SP5448_RS00220",1231,913,1150,1740,963
"SP5448_RS00225",4407,2922,3261,5517,3311
"SP5448_RS00230",49,120,90,70,144
"SP5448_RS00235",4981,2851,2978,5918,2570
"SP5448_RS00240",1392,1264,1226,2229,1080
"SP5448_RS00245",4692,2785,2852,5562,2799
"SP5448_RS00250",4135,5853,6578,7822,6040
"SP5448_RS00255",8896,9341,10955,11469,10213
"SP5448_RS00260",693,554,599,1120,394
"SP5448_RS00265",11825,14274,21866,17924,15204
"SP5448_RS00270",3158,3942,5691,4458,4579
"SP5448_RS00275",2812,3409,4950,4229,3935
"SP5448_RS00280",12320,20599,24880,21486,22198
"SP5448_RS00285",9135,24223,10943,11098,27584
"SP5448_RS00290",1348,3622,2089,1738,3437
"SP5448_RS00295",1371,2195,3030,1933,1638
"SP5448_RS00300",19633,31930,47500,34464,30791
"SP5448_RS00305",51281,81825,103045,82375,84637
"SP5448_RS00310",43044,68420,80899,68192,71441
"SP5448_RS00315",26898,45848,53469,46872,47881
"SP5448_RS00320",74570,122179,136567,118040,129233
"SP5448_RS00325",21704,44034,49421,40923,41258
"SP5448_RS00330",32435,54047,61018,52777,56596
"SP5448_RS00335",60120,100199,111843,98066,104565
"SP5448_RS00340",45578,65328,72725,64957,70810
"SP5448_RS00345",23065,34449,36298,31876,34579
"SP5448_RS00350",34597,53329,56211,49572,54289
"SP5448_RS00355",36845,62080,67429,55824,63369
"SP5448_RS00360",40981,63142,69536,59082,64644
"SP5448_RS00365",55287,107894,113035,102325,115437
"SP5448_RS00370",10948,18523,19103,15737,17190
"SP5448_RS00375",30381,59465,61437,52565,58184
"SP5448_RS00380",49199,92072,99077,87621,95293
"SP5448_RS00385",37303,59264,65169,52538,60843
"SP5448_RS00390",42770,68488,71654,62793,72988
"SP5448_RS00395",20659,30682,34225,28447,33223
"SP5448_RS00400",44017,71066,80524,72132,74758
"SP5448_RS00405",97273,170782,191109,163943,178156
"SP5448_RS00410",5581,9511,14851,9812,10156
"SP5448_RS00415",19465,30321,36154,29327,35195
"SP5448_RS09135",10275,21767,29123,21935,23991
"SP5448_RS00420",24852,52669,63175,54831,58780
"SP5448_RS00425",48818,77512,88277,70043,83423
"SP5448_RS00430",126705,182938,210867,179204,205450
"SP5448_RS00435",40291,67348,78135,62689,70626
"SP5448_RS00440",600,219,344,286,518
"SP5448_RS00445",472,534,1228,528,443
"SP5448_RS00450",787,2150,2886,1903,2070
"SP5448_RS00455",11,5,21,6,0
"SP5448_RS00460",63,68,187,112,92
"SP5448_RS00465",56,119,407,127,117
"SP5448_RS00470",273,511,1673,572,590
"SP5448_RS00475",306,321,1106,297,290
"SP5448_RS00480",514,603,1857,577,623
"SP5448_RS00485",448,519,1391,468,570
"SP5448_RS00490",222,182,468,216,187
"SP5448_RS00495",322,374,995,272,444
"SP5448_RS00500",564,656,1745,523,634
"SP5448_RS00505",446,283,1026,400,494
"SP5448_RS00510",222,364,1284,578,584
"SP5448_RS00515",69,82,181,69,65
"SP5448_RS00535",2312,3200,4911,3499,3944
"SP5448_RS00540",3973,5549,7809,5712,6200
"SP5448_RS00545",3729,5937,7582,6313,7065
"SP5448_RS00550",116,141,284,208,161
"SP5448_RS00555",3513,7541,9816,6698,8670
"SP5448_RS00560",17909,26696,31778,27333,29385
"SP5448_RS00565",86036,116444,133417,120289,131947
"SP5448_RS00570",121272,169745,182824,168370,194022
"SP5448_RS00575",857,1845,2846,2023,1916
"SP5448_RS00580",13,103,157,154,57
"SP5448_RS00585",35,67,123,64,95
"SP5448_RS00590",10,43,13,35,0
"SP5448_RS00595",51,47,115,15,110
"SP5448_RS00600",29,10,37,13,51
"SP5448_RS00605",21,22,39,16,30
"SP5448_RS00610",0,31,36,12,8
"SP5448_RS00615",6958,8398,13909,9233,8398
"SP5448_RS00620",10162,17441,22272,15642,17910
"SP5448_RS00625",61,147,220,148,200
"SP5448_RS00630",4369,5832,7274,6085,6572
"SP5448_RS00635",6757,9322,11212,9810,10147
"SP5448_RS00640",246,521,789,572,434
"SP5448_RS00645",461,669,1407,974,581
"SP5448_RS00650",2325,3293,4644,3402,3249
"SP5448_RS00655",72,81,155,94,78
"SP5448_RS00660",3283,5146,6646,5262,5749
"SP5448_RS00665",8271,11847,15243,13182,14097
"SP5448_RS00670",5543,7688,9946,7873,8494
"SP5448_RS00675",21786,45886,56083,46670,50814
"SP5448_RS00680",33268,66416,91315,70084,75495
"SP5448_RS00685",6053,14745,18667,14938,16467
"SP5448_RS00690",11196,26713,34148,26425,31445
"SP5448_RS00695",10883,22924,29410,23480,25222
"SP5448_RS00700",6447,14409,18503,13589,16260
"SP5448_RS00705",1282,1069,1008,1114,879
"SP5448_RS00710",119,220,119,133,121
"SP5448_RS00715",1277,785,325,835,480
"SP5448_RS00725",778,1003,530,860,362
"SP5448_RS00730",40,96,27,20,16
"SP5448_RS00745",7,132,29,41,73
"SP5448_RS00750",0,14,42,37,52
"SP5448_RS00755",12,34,30,41,58
"SP5448_RS00760",842,1305,1360,1176,1299
"SP5448_RS00765",1504,2323,3633,2305,3044
"SP5448_RS00770",4436,6601,11168,6968,9646
"SP5448_RS00775",103,113,228,153,175
"SP5448_RS00780",295,542,501,417,759
"SP5448_RS00785",35,94,30,95,70
"SP5448_RS00790",68,186,286,161,184
"SP5448_RS00795",173,294,333,271,239
"SP5448_RS00800",105,143,138,82,110
"SP5448_RS00805",477,725,1001,544,717
"SP5448_RS00810",471,649,978,662,737
"SP5448_RS00815",178,308,332,307,305
"SP5448_RS00820",2863,4826,5985,4860,5628
"SP5448_RS00825",1529,2304,2350,2237,2510
"SP5448_RS00830",12019,23048,21100,17658,22214
"SP5448_RS00835",11499,21630,23681,18376,20617
"SP5448_RS00840",2878,3253,4393,3739,3899
"SP5448_RS00845",2315,1699,5104,3042,2476
"SP5448_RS00850",768,795,2158,1063,945
"SP5448_RS00855",3381,3238,9863,4754,4883
"SP5448_RS00860",153,40,67,216,100
"SP5448_RS00865",91,77,46,109,58
"SP5448_RS09165",12,64,14,27,7
"SP5448_RS00875",4393,7525,6144,8175,9681
"SP5448_RS00880",28869,36580,45060,37098,45958
"SP5448_RS00885",60,175,76,143,325
"SP5448_RS00890",21,69,14,32,29
"SP5448_RS00895",34,48,14,23,10
"SP5448_RS00900",73,52,23,48,96
"SP5448_RS00905",40,56,57,70,31
"SP5448_RS00910",56,71,55,47,69
"SP5448_RS00915",2217,3610,4295,3392,3942
"SP5448_RS00920",928,1656,1344,1317,2304
"SP5448_RS00925",16240,10871,15668,22014,10243
"SP5448_RS00930",30760,23321,26453,41580,22894
"SP5448_RS00935",33448,32807,33878,45387,33736
"SP5448_RS00940",6535,6940,7004,8717,7401
"SP5448_RS00945",7161,8658,9814,11954,9085
"SP5448_RS00950",3611,4979,5188,5772,4645
"SP5448_RS00955",8367,11346,13809,15201,11548
"SP5448_RS00960",4360,5843,7734,7625,6395
"SP5448_RS00985",195,474,639,455,439
"SP5448_RS00990",295,230,143,422,159
"SP5448_RS00995",151,221,297,289,209
"SP5448_RS01005",2878,5141,7072,5474,6159
"SP5448_RS01010",12429,17770,22519,18291,20676
"SP5448_RS09180",508,628,1076,512,606
"SP5448_RS01015",796,1639,1698,1403,1217
"SP5448_RS01020",2715,4721,4934,4096,4774
"SP5448_RS01025",2522,3937,5129,4015,4669
"SP5448_RS01030",690,1174,1464,1086,1455
"SP5448_RS09185",729,1042,1253,1014,1366
"SP5448_RS01035",1274,2937,3745,2395,2936
"SP5448_RS01040",23760,37872,49838,37627,43639
